BridgeKey,DateKey,BusinessUnitKey,RegionKey,BridgeStep,BridgeOrder,Amount
BRG00001,20260501,B004,R002,Budget EBITDA,1,4707439.8
BRG00002,20260501,B004,R002,Revenue volume/mix,2,-577694.55
BRG00003,20260501,B004,R002,Price/rate,3,-472076.39
BRG00004,20260501,B004,R002,COGS productivity,4,0.0
BRG00005,20260501,B004,R002,Opex control,5,88952.66
BRG00006,20260501,B004,R002,FX and other,6,-0.01
BRG00007,20260501,B004,R002,Actual EBITDA,7,3746621.51
BRG00008,20260501,B004,R001,Budget EBITDA,1,3172333.06
BRG00009,20260501,B004,R001,Revenue volume/mix,2,-377352.58
BRG00010,20260501,B004,R001,Price/rate,3,-332345.49
BRG00011,20260501,B004,R001,COGS productivity,4,0.0
BRG00012,20260501,B004,R001,Opex control,5,46302.7
BRG00013,20260501,B004,R001,FX and other,6,-0.05
BRG00014,20260501,B004,R001,Actual EBITDA,7,2508937.64
BRG00015,20260501,B004,R004,Budget EBITDA,1,6132098.7
BRG00016,20260501,B004,R004,Revenue volume/mix,2,-377682.41
BRG00017,20260501,B004,R004,Price/rate,3,-610437.4
BRG00018,20260501,B004,R004,COGS productivity,4,0.0
BRG00019,20260501,B004,R004,Opex control,5,-97265.31
BRG00020,20260501,B004,R004,FX and other,6,-0.08
BRG00021,20260501,B004,R004,Actual EBITDA,7,5046713.5
BRG00022,20260501,B004,R003,Budget EBITDA,1,3941244.76
BRG00023,20260501,B004,R003,Revenue volume/mix,2,-451220.16
BRG00024,20260501,B004,R003,Price/rate,3,-411949.5
BRG00025,20260501,B004,R003,COGS productivity,4,0.0
BRG00026,20260501,B004,R003,Opex control,5,48315.02
BRG00027,20260501,B004,R003,FX and other,6,-0.03
BRG00028,20260501,B004,R003,Actual EBITDA,7,3126390.09
BRG00029,20260501,B001,R002,Budget EBITDA,1,3186768.72
BRG00030,20260501,B001,R002,Revenue volume/mix,2,-924305.12
BRG00031,20260501,B001,R002,Price/rate,3,-199985.02
BRG00032,20260501,B001,R002,COGS productivity,4,0.0
BRG00033,20260501,B001,R002,Opex control,5,401456.44
BRG00034,20260501,B001,R002,FX and other,6,-0.05
BRG00035,20260501,B001,R002,Actual EBITDA,7,2463934.97
BRG00036,20260501,B001,R001,Budget EBITDA,1,2167209.09
BRG00037,20260501,B001,R001,Revenue volume/mix,2,-602488.25
BRG00038,20260501,B001,R001,Price/rate,3,-139419.62
BRG00039,20260501,B001,R001,COGS productivity,4,0.0
BRG00040,20260501,B001,R001,Opex control,5,259017.1
BRG00041,20260501,B001,R001,FX and other,6,0.06
BRG00042,20260501,B001,R001,Actual EBITDA,7,1684318.38
BRG00043,20260501,B001,R004,Budget EBITDA,1,4142506.09
BRG00044,20260501,B001,R004,Revenue volume/mix,2,-1018395.09
BRG00045,20260501,B001,R004,Price/rate,3,-278656.84
BRG00046,20260501,B001,R004,COGS productivity,4,-0.0
BRG00047,20260501,B001,R004,Opex control,5,422168.9
BRG00048,20260501,B001,R004,FX and other,6,-0.02
BRG00049,20260501,B001,R004,Actual EBITDA,7,3267623.04
BRG00050,20260501,B001,R003,Budget EBITDA,1,2667038.34
BRG00051,20260501,B001,R003,Revenue volume/mix,2,-758527.37
BRG00052,20260501,B001,R003,Price/rate,3,-172144.18
BRG00053,20260501,B001,R003,COGS productivity,4,-0.0
BRG00054,20260501,B001,R003,Opex control,5,328726.04
BRG00055,20260501,B001,R003,FX and other,6,0.04
BRG00056,20260501,B001,R003,Actual EBITDA,7,2065092.87
BRG00057,20260501,B002,R002,Budget EBITDA,1,2824391.96
BRG00058,20260501,B002,R002,Revenue volume/mix,2,-270749.83
BRG00059,20260501,B002,R002,Price/rate,3,-120115.54
BRG00060,20260501,B002,R002,COGS productivity,4,0.0
BRG00061,20260501,B002,R002,Opex control,5,46887.83
BRG00062,20260501,B002,R002,FX and other,6,0.07
BRG00063,20260501,B002,R002,Actual EBITDA,7,2480414.49
BRG00064,20260501,B002,R001,Budget EBITDA,1,1941192.86
BRG00065,20260501,B002,R001,Revenue volume/mix,2,-187476.23
BRG00066,20260501,B002,R001,Price/rate,3,-84359.13
BRG00067,20260501,B002,R001,COGS productivity,4,0.0
BRG00068,20260501,B002,R001,Opex control,5,33561.77
BRG00069,20260501,B002,R001,FX and other,6,-0.03
BRG00070,20260501,B002,R001,Actual EBITDA,7,1702919.24
BRG00071,20260501,B002,R004,Budget EBITDA,1,3696029.13
BRG00072,20260501,B002,R004,Revenue volume/mix,2,-332270.71
BRG00073,20260501,B002,R004,Price/rate,3,-159144.05
BRG00074,20260501,B002,R004,COGS productivity,4,0.0
BRG00075,20260501,B002,R004,Opex control,5,52789.39
BRG00076,20260501,B002,R004,FX and other,6,0.01
BRG00077,20260501,B002,R004,Actual EBITDA,7,3257403.77
BRG00078,20260501,B002,R003,Budget EBITDA,1,2369173.01
BRG00079,20260501,B002,R003,Revenue volume/mix,2,-211494.37
BRG00080,20260501,B002,R003,Price/rate,3,-103667.61
BRG00081,20260501,B002,R003,COGS productivity,4,-0.0
BRG00082,20260501,B002,R003,Opex control,5,33857.55
BRG00083,20260501,B002,R003,FX and other,6,-0.03
BRG00084,20260501,B002,R003,Actual EBITDA,7,2087868.55
BRG00085,20260501,B003,R002,Budget EBITDA,1,1470634.35
BRG00086,20260501,B003,R002,Revenue volume/mix,2,-240177.28
BRG00087,20260501,B003,R002,Price/rate,3,-210238.11
BRG00088,20260501,B003,R002,COGS productivity,4,0.0
BRG00089,20260501,B003,R002,Opex control,5,70059.73
BRG00090,20260501,B003,R002,FX and other,6,-0.05
BRG00091,20260501,B003,R002,Actual EBITDA,7,1090278.64
BRG00092,20260501,B003,R001,Budget EBITDA,1,1010713.26
BRG00093,20260501,B003,R001,Revenue volume/mix,2,-164573.25
BRG00094,20260501,B003,R001,Price/rate,3,-152142.17
BRG00095,20260501,B003,R001,COGS productivity,4,0.0
BRG00096,20260501,B003,R001,Opex control,5,44500.2
BRG00097,20260501,B003,R001,FX and other,6,-0.02
BRG00098,20260501,B003,R001,Actual EBITDA,7,738498.02
BRG00099,20260501,B003,R004,Budget EBITDA,1,1950278.42
BRG00100,20260501,B003,R004,Revenue volume/mix,2,-356506.85
BRG00101,20260501,B003,R004,Price/rate,3,-289387.87
BRG00102,20260501,B003,R004,COGS productivity,4,0.0
BRG00103,20260501,B003,R004,Opex control,5,116166.17
BRG00104,20260501,B003,R004,FX and other,6,-0.01
BRG00105,20260501,B003,R004,Actual EBITDA,7,1420549.86
BRG00106,20260501,B003,R003,Budget EBITDA,1,1255446.79
BRG00107,20260501,B003,R003,Revenue volume/mix,2,-314248.19
BRG00108,20260501,B003,R003,Price/rate,3,-178489.55
BRG00109,20260501,B003,R003,COGS productivity,4,-0.0
BRG00110,20260501,B003,R003,Opex control,5,140450.27
BRG00111,20260501,B003,R003,FX and other,6,0.01
BRG00112,20260501,B003,R003,Actual EBITDA,7,903159.33
