FactCashKey,DateKey,ScenarioKey,BusinessUnitKey,RegionKey,CashBalance,ARBalance,DSO,Capex
CSH0000001,20250101,S001,B001,R001,3209813.8,14847092.75,43.8,234701.7
CSH0000002,20250101,S001,B001,R002,5468037.59,23174021.56,45.8,191208.09
CSH0000003,20250101,S001,B001,R003,3036875.3,18176064.55,43.0,191604.16
CSH0000004,20250101,S001,B001,R004,7614256.09,30008209.09,46.0,302591.64
CSH0000005,20250101,S001,B002,R001,1707014.76,7929651.13,42.7,105502.57
CSH0000006,20250101,S001,B002,R002,2556808.29,11815827.66,43.2,108673.62
CSH0000007,20250101,S001,B002,R003,1932233.87,9687944.67,42.1,91855.34
CSH0000008,20250101,S001,B002,R004,3406226.57,15304032.63,42.7,178567.75
CSH0000009,20250101,S001,B003,R001,2539601.25,15690501.83,46.9,246600.33
CSH0000010,20250101,S001,B003,R002,3958424.09,21330680.71,43.7,219063.45
CSH0000011,20250101,S001,B003,R003,1245902.85,17689179.48,42.7,200153.72
CSH0000012,20250101,S001,B003,R004,5174868.81,27994177.68,43.7,440897.54
CSH0000013,20250101,S001,B004,R001,4850459.55,34693500.2,46.2,334194.76
CSH0000014,20250101,S001,B004,R002,9019331.65,51836252.81,46.5,504982.33
CSH0000015,20250101,S001,B004,R003,6387315.97,42778982.27,45.9,694835.85
CSH0000016,20250101,S001,B004,R004,10181960.93,64515682.04,44.7,1104824.22
CSH0000017,20250201,S001,B001,R001,3312139.15,13628035.43,43.9,188875.45
CSH0000018,20250201,S001,B001,R002,5621745.5,22161438.36,47.8,217098.38
CSH0000019,20250201,S001,B001,R003,3163692.18,18365612.14,47.6,152469.55
CSH0000020,20250201,S001,B001,R004,7815616.22,28638276.47,47.4,326847.44
CSH0000021,20250201,S001,B002,R001,1806278.64,7790311.67,45.1,127252.27
CSH0000022,20250201,S001,B002,R002,2703272.03,11525437.26,45.3,163304.3
CSH0000023,20250201,S001,B002,R003,2053194.31,9594600.93,45.1,113152.47
CSH0000024,20250201,S001,B002,R004,3598082.65,15795220.59,47.3,212073.69
CSH0000025,20250201,S001,B003,R001,2576232.01,14538481.43,47.4,162407.66
CSH0000026,20250201,S001,B003,R002,4012893.41,21213038.49,46.9,181244.27
CSH0000027,20250201,S001,B003,R003,1291917.87,17649787.35,46.9,217909.38
CSH0000028,20250201,S001,B003,R004,5247286.94,26383934.56,45.0,398930.55
CSH0000029,20250201,S001,B004,R001,4984765.38,30773150.41,45.0,355761.94
CSH0000030,20250201,S001,B004,R002,9221004.65,48303562.75,47.6,708659.82
CSH0000031,20250201,S001,B004,R003,6558196.2,39001769.38,45.3,423117.99
CSH0000032,20250201,S001,B004,R004,10453502.44,63265459.02,47.4,571050.02
CSH0000033,20250301,S001,B001,R001,3435241.67,17626783.85,47.1,146950.3
CSH0000034,20250301,S001,B001,R002,5802097.69,26674593.03,48.8,392332.93
CSH0000035,20250301,S001,B001,R003,3316748.91,21654696.71,46.8,174462.16
CSH0000036,20250301,S001,B001,R004,8053355.78,32208958.13,44.9,421571.92
CSH0000037,20250301,S001,B002,R001,1923760.09,9616022.71,47.0,121764.79
CSH0000038,20250301,S001,B002,R002,2878124.52,13540368.56,44.6,218534.84
CSH0000039,20250301,S001,B002,R003,2199518.26,11726841.07,45.8,115116.29
CSH0000040,20250301,S001,B002,R004,3828042.43,18988251.74,47.6,148938.16
CSH0000041,20250301,S001,B003,R001,2619827.42,16691802.32,46.0,199821.25
CSH0000042,20250301,S001,B003,R002,4078314.55,25751415.69,47.2,282190.31
CSH0000043,20250301,S001,B003,R003,1346846.62,22116992.08,48.4,183695.0
CSH0000044,20250301,S001,B003,R004,5334411.98,32662191.01,46.4,426653.27
CSH0000045,20250301,S001,B004,R001,5149019.03,39660599.98,48.1,466749.54
CSH0000046,20250301,S001,B004,R002,9461822.06,55629737.68,45.6,846217.13
CSH0000047,20250301,S001,B004,R003,6754902.3,45827720.94,45.2,497157.76
CSH0000048,20250301,S001,B004,R004,10764904.88,75476426.4,47.9,661277.12
CSH0000049,20250401,S001,B001,R001,3557092.35,16366710.53,44.6,262242.27
CSH0000050,20250401,S001,B001,R002,5980931.04,26133977.75,47.8,420317.86
CSH0000051,20250401,S001,B001,R003,3467653.46,22306853.1,48.6,271776.88
CSH0000052,20250401,S001,B001,R004,8287691.87,33867690.49,47.4,352295.91
CSH0000053,20250401,S001,B002,R001,2040405.36,9646960.57,47.7,121199.72
CSH0000054,20250401,S001,B002,R002,3050288.96,13736348.73,45.7,114374.03
CSH0000055,20250401,S001,B002,R003,2342983.33,11749797.84,47.2,115874.72
CSH0000056,20250401,S001,B002,R004,4049666.39,17871516.44,46.1,199612.55
CSH0000057,20250401,S001,B003,R001,2664006.95,16923091.16,47.1,254467.02
CSH0000058,20250401,S001,B003,R002,4143522.93,26053904.77,48.6,299992.18
CSH0000059,20250401,S001,B003,R003,1401116.87,20622248.0,45.8,295493.59
CSH0000060,20250401,S001,B003,R004,5417815.0,31024741.48,44.0,406979.2
CSH0000061,20250401,S001,B004,R001,5312828.07,39170280.78,47.9,623096.97
CSH0000062,20250401,S001,B004,R002,9703229.51,55493348.42,46.1,570733.71
CSH0000063,20250401,S001,B004,R003,6955092.91,47922261.12,47.6,719985.45
CSH0000064,20250401,S001,B004,R004,11074677.67,74721935.96,48.2,820133.64
CSH0000065,20250501,S001,B001,R001,3680903.08,16122784.46,42.4,156916.95
CSH0000066,20250501,S001,B001,R002,6165194.54,24241252.52,42.6,436864.88
CSH0000067,20250501,S001,B001,R003,3623611.39,21748378.04,46.4,307390.1
CSH0000068,20250501,S001,B001,R004,8532951.48,33749554.61,45.3,314346.44
CSH0000069,20250501,S001,B002,R001,2161981.05,8955369.14,42.5,97071.58
CSH0000070,20250501,S001,B002,R002,3229553.4,13387668.39,43.0,147818.12
CSH0000071,20250501,S001,B002,R003,2493753.05,11317659.36,43.3,165441.42
CSH0000072,20250501,S001,B002,R004,4287365.69,18501077.2,45.0,260641.96
CSH0000073,20250501,S001,B003,R001,2710209.86,16248310.33,43.0,199189.81
CSH0000074,20250501,S001,B003,R002,4207561.76,25879108.33,46.1,363110.7
CSH0000075,20250501,S001,B003,R003,1456926.13,20084030.07,43.2,336423.25
CSH0000076,20250501,S001,B003,R004,5504739.6,33746015.59,46.7,453468.93
CSH0000077,20250501,S001,B004,R001,5480533.52,38031171.04,45.2,348988.91
CSH0000078,20250501,S001,B004,R002,9954186.13,56053155.48,44.8,485672.25
