FactFinanceKey,DateKey,ScenarioKey,BusinessUnitKey,ProductKey,RegionKey,CustomerKey,Revenue,COGS,GrossMargin,AllocatedOpex,EBITDA,Orders,CashImpact
FIN0000001,20250101,S001,B004,P007,R002,C001,1467225.94,1122427.84,344798.1,208346.08,136452.01,74,97420.94
FIN0000002,20250101,S001,B004,P007,R002,C002,1293320.18,989389.93,303930.24,183651.46,120278.78,67,93546.71
FIN0000003,20250101,S001,B004,P007,R002,C003,1076410.0,823453.65,252956.35,152850.22,100106.13,55,66589.86
FIN0000004,20250101,S001,B004,P007,R002,C004,1028806.5,787036.97,241769.53,146090.52,95679.0,55,64752.83
FIN0000005,20250101,S001,B004,P007,R002,C005,1042475.05,797493.41,244981.64,148031.46,96950.18,59,67326.35
FIN0000006,20250101,S001,B004,P007,R002,C006,953481.23,729413.14,224068.09,135394.34,88673.75,58,60601.54
FIN0000007,20250101,S001,B004,P007,R002,C007,844704.42,646198.88,198505.54,119948.03,78557.51,42,62377.16
FIN0000008,20250101,S001,B004,P007,R002,C008,754733.5,577371.13,177362.37,107172.16,70190.22,36,55381.28
FIN0000009,20250101,S001,B004,P007,R002,C009,750416.94,574068.96,176347.98,106559.21,69788.78,45,53418.35
FIN0000010,20250101,S001,B004,P007,R002,C010,560690.75,428928.43,131762.33,79618.09,52144.24,31,36750.45
FIN0000011,20250101,S001,B004,P007,R002,C011,521721.31,399116.8,122604.51,74084.43,48520.08,30,35697.24
FIN0000012,20250101,S001,B004,P007,R002,C012,1526995.29,1168151.4,358843.89,216833.33,142010.56,75,88687.02
FIN0000013,20250101,S001,B004,P007,R001,C001,983664.4,752503.26,231161.13,139680.34,91480.79,54,63141.5
FIN0000014,20250101,S001,B004,P007,R001,C002,896866.15,686102.6,210763.54,127354.99,83408.55,43,55914.73
FIN0000015,20250101,S001,B004,P007,R001,C003,759621.22,581110.23,178510.99,107866.21,70644.77,38,44307.36
FIN0000016,20250101,S001,B004,P007,R001,C004,746341.02,570950.88,175390.14,105980.42,69409.71,35,55255.93
FIN0000017,20250101,S001,B004,P007,R001,C005,664382.05,508252.26,156129.78,94342.25,61787.53,38,46582.99
FIN0000018,20250101,S001,B004,P007,R001,C006,631917.19,483416.65,148500.54,89732.24,58768.3,29,47384.63
FIN0000019,20250101,S001,B004,P007,R001,C007,611837.39,468055.6,143781.79,86880.91,56900.88,33,40977.61
