FactOpexKey,DateKey,ScenarioKey,BusinessUnitKey,RegionKey,DepartmentKey,Opex,FTE
OPX0000001,20250101,S001,B004,R002,D004,1048443.27,26.6
OPX0000002,20250101,S001,B004,R002,D002,1909317.81,48.5
OPX0000003,20250101,S001,B004,R002,D001,553276.86,13.5
OPX0000004,20250101,S001,B004,R002,D003,653212.99,16.0
OPX0000005,20250101,S001,B004,R002,D005,452571.45,10.5
OPX0000006,20250101,S001,B004,R001,D004,673409.82,15.5
OPX0000007,20250101,S001,B004,R001,D002,1315191.09,29.6
OPX0000008,20250101,S001,B004,R001,D001,378764.42,9.7
OPX0000009,20250101,S001,B004,R001,D003,429565.24,10.2
OPX0000010,20250101,S001,B004,R001,D005,316176.94,7.9
OPX0000011,20250101,S001,B004,R004,D004,1355088.15,30.8
OPX0000012,20250101,S001,B004,R004,D002,2522040.26,63.3
OPX0000013,20250101,S001,B004,R004,D001,728925.64,17.7
OPX0000014,20250101,S001,B004,R004,D003,814964.58,19.0
OPX0000015,20250101,S001,B004,R004,D005,606081.71,15.0
OPX0000016,20250101,S001,B004,R003,D004,828033.68,20.7
OPX0000017,20250101,S001,B004,R003,D002,1608592.92,37.8
OPX0000018,20250101,S001,B004,R003,D001,472415.45,11.3
OPX0000019,20250101,S001,B004,R003,D003,534285.05,12.6
OPX0000020,20250101,S001,B004,R003,D005,384170.77,9.2
OPX0000021,20250101,S001,B001,R002,D004,664996.33,15.1
OPX0000022,20250101,S001,B001,R002,D002,1266863.52,29.0
OPX0000023,20250101,S001,B001,R002,D001,355653.54,8.8
OPX0000024,20250101,S001,B001,R002,D003,412048.84,9.6
OPX0000025,20250101,S001,B001,R002,D005,298775.94,7.0
OPX0000026,20250101,S001,B001,R001,D004,420986.2,10.1
OPX0000027,20250101,S001,B001,R001,D002,811147.99,19.8
OPX0000028,20250101,S001,B001,R001,D001,234043.38,5.3
OPX0000029,20250101,S001,B001,R001,D003,284124.75,6.6
OPX0000030,20250101,S001,B001,R001,D005,202397.97,5.0
OPX0000031,20250101,S001,B001,R004,D004,842693.83,19.1
OPX0000032,20250101,S001,B001,R004,D002,1640216.93,39.2
OPX0000033,20250101,S001,B001,R004,D001,462287.82,10.6
OPX0000034,20250101,S001,B001,R004,D003,524422.61,12.5
OPX0000035,20250101,S001,B001,R004,D005,377511.82,9.4
OPX0000036,20250101,S001,B001,R003,D004,528889.43,13.1
OPX0000037,20250101,S001,B001,R003,D002,1044083.87,25.4
OPX0000038,20250101,S001,B001,R003,D001,303551.87,7.6
OPX0000039,20250101,S001,B001,R003,D003,337059.6,8.4
OPX0000040,20250101,S001,B001,R003,D005,237536.15,5.7
OPX0000041,20250101,S001,B002,R002,D004,306665.81,7.7
OPX0000042,20250101,S001,B002,R002,D002,595458.82,15.3
OPX0000043,20250101,S001,B002,R002,D001,173340.6,4.2
OPX0000044,20250101,S001,B002,R002,D003,192607.47,4.4
OPX0000045,20250101,S001,B002,R002,D005,144217.02,3.5
OPX0000046,20250101,S001,B002,R001,D004,218567.28,5.6
OPX0000047,20250101,S001,B002,R001,D002,407673.03,10.1
OPX0000048,20250101,S001,B002,R001,D001,118056.85,2.9
OPX0000049,20250101,S001,B002,R001,D003,134510.66,3.1
OPX0000050,20250101,S001,B002,R001,D005,98770.79,2.3
OPX0000051,20250101,S001,B002,R004,D004,417622.4,9.8
OPX0000052,20250101,S001,B002,R004,D002,797826.39,19.4
OPX0000053,20250101,S001,B002,R004,D001,227771.97,5.3
OPX0000054,20250101,S001,B002,R004,D003,270387.29,6.4
OPX0000055,20250101,S001,B002,R004,D005,192013.04,4.5
OPX0000056,20250101,S001,B002,R003,D004,263566.61,6.0
OPX0000057,20250101,S001,B002,R003,D002,514300.14,11.6
OPX0000058,20250101,S001,B002,R003,D001,145734.5,3.3
OPX0000059,20250101,S001,B002,R003,D003,162066.94,3.7
OPX0000060,20250101,S001,B002,R003,D005,116825.25,2.9
OPX0000061,20250101,S001,B003,R002,D004,654335.27,15.1
OPX0000062,20250101,S001,B003,R002,D002,1265745.12,32.1
OPX0000063,20250101,S001,B003,R002,D001,377908.33,9.4
OPX0000064,20250101,S001,B003,R002,D003,413075.19,10.5
OPX0000065,20250101,S001,B003,R002,D005,307654.13,7.7
OPX0000066,20250101,S001,B003,R001,D004,466420.71,10.9
OPX0000067,20250101,S001,B003,R001,D002,907933.67,21.1
OPX0000068,20250101,S001,B003,R001,D001,259504.89,6.5
OPX0000069,20250101,S001,B003,R001,D003,297377.74,6.7
OPX0000070,20250101,S001,B003,R001,D005,203257.05,4.8
OPX0000071,20250101,S001,B003,R004,D004,872379.04,20.9
OPX0000072,20250101,S001,B003,R004,D002,1733649.75,42.3
OPX0000073,20250101,S001,B003,R004,D001,473116.08,11.0
OPX0000074,20250101,S001,B003,R004,D003,563141.41,13.3
OPX0000075,20250101,S001,B003,R004,D005,394901.54,9.9
OPX0000076,20250101,S001,B003,R003,D004,580656.21,13.2
OPX0000077,20250101,S001,B003,R003,D002,1081971.01,27.6
OPX0000078,20250101,S001,B003,R003,D001,316613.67,7.1
OPX0000079,20250101,S001,B003,R003,D003,373385.46,9.2
OPX0000080,20250101,S001,B003,R003,D005,258497.34,6.5
OPX0000081,20250201,S001,B004,R002,D004,928189.17,21.5
OPX0000082,20250201,S001,B004,R002,D002,1797568.55,45.9
OPX0000083,20250201,S001,B004,R002,D001,518575.8,11.6
OPX0000084,20250201,S001,B004,R002,D003,598887.95,13.8
OPX0000085,20250201,S001,B004,R002,D005,423113.61,10.1
OPX0000086,20250201,S001,B004,R001,D004,622592.95,14.2
OPX0000087,20250201,S001,B004,R001,D002,1180990.01,30.1
OPX0000088,20250201,S001,B004,R001,D001,349343.85,8.1
OPX0000089,20250201,S001,B004,R001,D003,408924.13,10.1
OPX0000090,20250201,S001,B004,R001,D005,290299.28,6.8
OPX0000091,20250201,S001,B004,R004,D004,1193040.7,29.2
OPX0000092,20250201,S001,B004,R004,D002,2354296.64,53.6
OPX0000093,20250201,S001,B004,R004,D001,682238.61,16.5
OPX0000094,20250201,S001,B004,R004,D003,774964.65,17.8
OPX0000095,20250201,S001,B004,R004,D005,569615.4,13.6
OPX0000096,20250201,S001,B004,R003,D004,799293.45,20.5
OPX0000097,20250201,S001,B004,R003,D002,1505403.7,36.0
OPX0000098,20250201,S001,B004,R003,D001,437322.89,9.9
OPX0000099,20250201,S001,B004,R003,D003,513288.14,13.2
OPX0000100,20250201,S001,B004,R003,D005,347413.04,7.8
OPX0000101,20250201,S001,B001,R002,D004,580637.44,13.2
OPX0000102,20250201,S001,B001,R002,D002,1149466.92,27.2
OPX0000103,20250201,S001,B001,R002,D001,329351.31,8.0
OPX0000104,20250201,S001,B001,R002,D003,379796.34,9.0
OPX0000105,20250201,S001,B001,R002,D005,264095.03,6.8
OPX0000106,20250201,S001,B001,R001,D004,382767.78,9.5
OPX0000107,20250201,S001,B001,R001,D002,767120.04,18.6
OPX0000108,20250201,S001,B001,R001,D001,213675.27,5.0
OPX0000109,20250201,S001,B001,R001,D003,249280.41,5.8
OPX0000110,20250201,S001,B001,R001,D005,183031.61,4.5
OPX0000111,20250201,S001,B001,R004,D004,782810.35,20.0
OPX0000112,20250201,S001,B001,R004,D002,1491624.56,34.1
OPX0000113,20250201,S001,B001,R004,D001,434804.04,11.1
OPX0000114,20250201,S001,B001,R004,D003,482497.74,12.0
OPX0000115,20250201,S001,B001,R004,D005,348931.95,8.6
OPX0000116,20250201,S001,B001,R003,D004,487236.92,12.0
OPX0000117,20250201,S001,B001,R003,D002,939565.08,21.3
OPX0000118,20250201,S001,B001,R003,D001,261890.37,6.7
OPX0000119,20250201,S001,B001,R003,D003,306532.43,7.8
OPX0000120,20250201,S001,B001,R003,D005,230369.04,5.6
OPX0000121,20250201,S001,B002,R002,D004,294780.19,6.8
OPX0000122,20250201,S001,B002,R002,D002,564550.75,13.2
OPX0000123,20250201,S001,B002,R002,D001,160486.64,3.8
OPX0000124,20250201,S001,B002,R002,D003,192290.94,4.7
OPX0000125,20250201,S001,B002,R002,D005,128289.08,3.1
OPX0000126,20250201,S001,B002,R001,D004,192142.04,4.7
OPX0000127,20250201,S001,B002,R001,D002,366196.49,9.2
OPX0000128,20250201,S001,B002,R001,D001,106658.43,2.5
OPX0000129,20250201,S001,B002,R001,D003,121699.83,3.1
OPX0000130,20250201,S001,B002,R001,D005,88750.59,2.0
OPX0000131,20250201,S001,B002,R004,D004,370145.73,8.7
OPX0000132,20250201,S001,B002,R004,D002,723709.7,18.5
OPX0000133,20250201,S001,B002,R004,D001,210032.81,5.3
OPX0000134,20250201,S001,B002,R004,D003,248502.99,5.6
OPX0000135,20250201,S001,B002,R004,D005,179555.57,4.2
OPX0000136,20250201,S001,B002,R003,D004,248562.58,6.1
OPX0000137,20250201,S001,B002,R003,D002,454016.29,11.1
OPX0000138,20250201,S001,B002,R003,D001,134018.81,3.1
OPX0000139,20250201,S001,B002,R003,D003,157660.17,4.0
OPX0000140,20250201,S001,B002,R003,D005,109699.76,2.8
