CheckType,Subject,Expected,Actual,Delta,Status
Metric,2025-01-01 Actual Revenue,272621921.6,272621921.6,0.0,Pass
Metric,2025-01-01 Actual COGS,191139098.18,191139098.18,0.0,Pass
Metric,2025-01-01 Actual GrossMargin,81482823.45,81482823.45,0.0,Pass
Metric,2025-01-01 Actual AllocatedOpex,46021248.06,46021248.06,0.0,Pass
Metric,2025-01-01 Actual EBITDA,35461575.22,35461575.22,0.0,Pass
Metric,2025-01-01 Actual Orders,14315.0,14315.0,0.0,Pass
Metric,2025-01-01 Actual CashImpact,27916236.21,27916236.21,0.0,Pass
Metric,2025-02-01 Actual Revenue,250616882.93,250616882.93,0.0,Pass
Metric,2025-02-01 Actual COGS,175648099.63,175648099.63,0.0,Pass
Metric,2025-02-01 Actual GrossMargin,74968783.33,74968783.33,0.0,Pass
Metric,2025-02-01 Actual AllocatedOpex,42312250.13,42312250.13,0.0,Pass
Metric,2025-02-01 Actual EBITDA,32656533.32,32656533.32,0.0,Pass
Metric,2025-02-01 Actual Orders,13104.0,13104.0,0.0,Pass
Metric,2025-02-01 Actual CashImpact,25984002.46,25984002.46,0.0,Pass
Metric,2025-03-01 Actual Revenue,299071395.99,299071395.99,0.0,Pass
Metric,2025-03-01 Actual COGS,209606550.84,209606550.84,0.0,Pass
Metric,2025-03-01 Actual GrossMargin,89464845.36,89464845.36,0.0,Pass
Metric,2025-03-01 Actual AllocatedOpex,50514658.91,50514658.91,0.0,Pass
Metric,2025-03-01 Actual EBITDA,38950186.45,38950186.45,0.0,Pass
Metric,2025-03-01 Actual Orders,15575.0,15575.0,0.0,Pass
Metric,2025-03-01 Actual CashImpact,30818519.83,30818519.83,0.0,Pass
Metric,2025-04-01 Actual Revenue,295695115.16,295695115.16,0.0,Pass
Metric,2025-04-01 Actual COGS,207262054.85,207262054.85,0.0,Pass
Metric,2025-04-01 Actual GrossMargin,88433060.22,88433060.22,0.0,Pass
Metric,2025-04-01 Actual AllocatedOpex,49957363.71,49957363.71,0.0,Pass
Metric,2025-04-01 Actual EBITDA,38475696.49,38475696.49,0.0,Pass
Metric,2025-04-01 Actual Orders,15615.0,15615.0,0.0,Pass
Metric,2025-04-01 Actual CashImpact,30512981.42,30512981.42,0.0,Pass
Metric,2025-05-01 Actual Revenue,308038597.74,308038597.74,0.0,Pass
Metric,2025-05-01 Actual COGS,215917111.66,215917111.66,0.0,Pass
Metric,2025-05-01 Actual GrossMargin,92121486.06,92121486.06,0.0,Pass
Metric,2025-05-01 Actual AllocatedOpex,52018370.45,52018370.45,0.0,Pass
Metric,2025-05-01 Actual EBITDA,40103115.71,40103115.71,0.0,Pass
Metric,2025-05-01 Actual Orders,16146.0,16146.0,0.0,Pass
Metric,2025-05-01 Actual CashImpact,31872039.36,31872039.36,0.0,Pass
Metric,2025-06-01 Actual Revenue,312636229.74,312636229.74,0.0,Pass
