CashImpactKey,MonthStart,PlanPeriod,ScenarioKey,RevenueUSD,DirectCostUSD,PayrollCostUSD,NonPayrollOpexUSD,GrossProfitUSD,EBITDAUSD,TaxPaidUSD,CapexUSD,DSODays,DPODays,WorkingCapitalUSD,OperatingCashFlowUSD,EndingCashUSD,DateKey,YearMonth
CASH_202401_ACTUAL,2024-01-01,Actual,ACTUAL,9158504.17,7194669.71,698722.84,226956.27,1963834.46,1038155.35,176486.41,8500,43,31,5692697.28,662424.54,2503924.54,20240101,2024-01
CASH_202402_ACTUAL,2024-02-01,Actual,ACTUAL,9625237.18,7546503.41,707407.17,226109.21,2078733.77,1145217.39,194686.96,8500,43,31,5998119.77,740596.24,3236020.78,20240201,2024-02
CASH_202403_ACTUAL,2024-03-01,Actual,ACTUAL,10051567.02,7887214.69,721072.37,231382.37,2164352.33,1211897.59,206022.59,32000,43,31,6257124.22,786875.65,3990896.43,20240301,2024-03
CASH_202404_ACTUAL,2024-04-01,Actual,ACTUAL,10322536.92,8067257.22,733026.11,231458.56,2255279.7,1290795.03,219435.16,8500,43,31,6459470.46,845278.41,4827674.84,20240401,2024-04
CASH_202405_ACTUAL,2024-05-01,Actual,ACTUAL,10321412.15,8123562.92,736740.87,232995.0,2197849.23,1228113.36,208779.27,8500,43,31,6399675.73,795345.44,5614520.28,20240501,2024-05
CASH_202406_ACTUAL,2024-06-01,Actual,ACTUAL,10024142.85,7848616.67,727590.22,230081.46,2175526.18,1217854.5,207035.26,8500,43,31,6257700.86,791799.7,6397819.98,20240601,2024-06
CASH_202407_ACTUAL,2024-07-01,Actual,ACTUAL,9668316.91,7557237.56,725488.36,233306.0,2111079.35,1152284.99,195888.45,8500,43,31,6048775.43,744689.4,7134009.38,20240701,2024-07
CASH_202408_ACTUAL,2024-08-01,Actual,ACTUAL,10081494.53,7908645.93,743977.43,236398.97,2172848.6,1192472.2,202720.27,8500,43,31,6277874.7,770026.31,7895535.7,20240801,2024-08
CASH_202409_ACTUAL,2024-09-01,Actual,ACTUAL,9806524.57,7685785.24,722562.28,232487.55,2120739.33,1165689.5,198167.22,32000,43,31,6114040.47,753530.87,8617066.56,20240901,2024-09
CASH_202410_ACTUAL,2024-10-01,Actual,ACTUAL,9748242.93,7670501.51,731492.87,232715.34,2077741.42,1113533.21,189300.65,8500,43,31,6046296.64,712612.18,9321178.75,20241001,2024-10
