CostDriverKey,RevenueDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,ServiceKey,SegmentKey,CarrierCostUSD,HandlingCostUSD,FuelCostUSD,CustomsCostUSD,DirectCostUSD,VariableCostPerJobUSD,CostInflationPct,DateKey,YearMonth
COST_202401_ACTUAL_VN_NORTH_AIR_ENT,202401_ACTUAL_VN_NORTH_AIR_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,ENT,97953.01,3099.96,6414.74,621.07,108088.77,1149.88,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_AIR_MM,202401_ACTUAL_VN_NORTH_AIR_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,MM,75883.64,4891.34,4969.46,699.1,86443.54,1137.41,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_AIR_SME,202401_ACTUAL_VN_NORTH_AIR_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,SME,70088.39,2690.36,4589.94,340.29,77708.99,1142.78,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_AIR_SKA,202401_ACTUAL_VN_NORTH_AIR_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,SKA,115785.72,7717.69,7582.56,993.57,132079.55,1189.91,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_FCL_ENT,202401_ACTUAL_VN_NORTH_FCL_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,ENT,118786.57,9972.49,5754.39,505.33,135018.79,828.34,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_FCL_MM,202401_ACTUAL_VN_NORTH_FCL_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,MM,92058.74,3786.54,4459.61,977.87,101282.76,810.26,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_FCL_SME,202401_ACTUAL_VN_NORTH_FCL_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,SME,76979.51,2304.13,3729.13,886.62,83899.38,847.47,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_FCL_SKA,202401_ACTUAL_VN_NORTH_FCL_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,SKA,125357.52,4436.17,6072.71,1106.52,136972.91,810.49,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_LCL_ENT,202401_ACTUAL_VN_NORTH_LCL_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,ENT,53996.68,7926.43,2850.01,765.4,65538.54,474.92,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_LCL_MM,202401_ACTUAL_VN_NORTH_LCL_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,MM,44948.3,3345.88,2372.43,592.15,51258.75,427.16,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_LCL_SME,202401_ACTUAL_VN_NORTH_LCL_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,SME,36884.29,6738.68,1946.8,561.69,46131.46,501.43,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_LCL_SKA,202401_ACTUAL_VN_NORTH_LCL_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,SKA,62663.29,4263.43,3307.45,1140.25,71374.42,443.32,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CLS_ENT,202401_ACTUAL_VN_NORTH_CLS_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,ENT,58235.75,4731.52,3550.72,225.37,66743.35,889.91,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CLS_MM,202401_ACTUAL_VN_NORTH_CLS_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,MM,50285.53,3101.9,3065.98,400.62,56854.04,861.42,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CLS_SME,202401_ACTUAL_VN_NORTH_CLS_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,SME,41813.93,3186.49,2549.46,348.69,47898.57,997.89,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CLS_SKA,202401_ACTUAL_VN_NORTH_CLS_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,SKA,61036.07,4816.06,3721.46,373.36,69946.95,813.34,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CUS_ENT,202401_ACTUAL_VN_NORTH_CUS_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,ENT,18883.63,4697.22,1589.98,5768.0,30938.82,150.19,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CUS_MM,202401_ACTUAL_VN_NORTH_CUS_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,MM,14787.8,9449.89,1245.11,4648.0,30130.8,181.51,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CUS_SME,202401_ACTUAL_VN_NORTH_CUS_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,SME,11959.16,4910.33,1006.95,3696.0,21572.44,163.43,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_CUS_SKA,202401_ACTUAL_VN_NORTH_CUS_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,SKA,20093.5,7211.77,1691.85,6692.0,35689.11,149.33,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_TRK_ENT,202401_ACTUAL_VN_NORTH_TRK_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,ENT,46430.1,11145.04,3439.38,2289.03,63303.54,261.58,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_TRK_MM,202401_ACTUAL_VN_NORTH_TRK_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,MM,36132.28,9981.2,2676.55,836.26,49626.28,268.25,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_TRK_SME,202401_ACTUAL_VN_NORTH_TRK_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,SME,31367.46,9834.88,2323.59,1204.65,44730.57,302.23,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_NORTH_TRK_SKA,202401_ACTUAL_VN_NORTH_TRK_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,SKA,54347.47,6811.0,4025.87,1508.58,66692.91,238.19,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_AIR_ENT,202401_ACTUAL_VN_SOUTH_AIR_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,ENT,115699.79,3747.9,7576.93,598.42,127623.04,1090.8,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_AIR_MM,202401_ACTUAL_VN_SOUTH_AIR_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,MM,92243.5,3708.76,6040.83,534.49,102527.58,1139.2,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_AIR_SME,202401_ACTUAL_VN_SOUTH_AIR_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,SME,71189.92,3742.68,4662.08,414.05,80008.74,1212.25,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_AIR_SKA,202401_ACTUAL_VN_SOUTH_AIR_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,AIR,SKA,132636.06,7695.17,8686.06,894.68,149911.97,1127.16,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_FCL_ENT,202401_ACTUAL_VN_SOUTH_FCL_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,ENT,139607.0,9039.35,6762.99,809.62,156218.96,877.63,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_FCL_MM,202401_ACTUAL_VN_SOUTH_FCL_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,MM,114586.7,9692.85,5550.93,1342.18,131172.66,868.69,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_FCL_SME,202401_ACTUAL_VN_SOUTH_FCL_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,SME,92179.13,6300.02,4465.44,700.61,103645.2,870.97,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_FCL_SKA,202401_ACTUAL_VN_SOUTH_FCL_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,FCL,SKA,162824.72,6656.14,7887.73,1344.63,178713.22,831.22,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_LCL_ENT,202401_ACTUAL_VN_SOUTH_LCL_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,ENT,55100.19,9723.67,2908.26,510.96,68243.08,470.64,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_LCL_MM,202401_ACTUAL_VN_SOUTH_LCL_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,MM,48216.83,2713.93,2544.95,797.44,54273.15,411.16,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_LCL_SME,202401_ACTUAL_VN_SOUTH_LCL_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,SME,35823.45,2382.06,1890.81,453.73,40550.05,409.6,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_LCL_SKA,202401_ACTUAL_VN_SOUTH_LCL_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,LCL,SKA,69761.7,7253.53,3682.11,1033.63,81730.97,439.41,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CLS_ENT,202401_ACTUAL_VN_SOUTH_CLS_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,ENT,69995.66,5826.89,4267.74,354.44,80444.74,855.8,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CLS_MM,202401_ACTUAL_VN_SOUTH_CLS_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,MM,55312.24,2204.25,3372.47,375.88,61264.83,875.21,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CLS_SME,202401_ACTUAL_VN_SOUTH_CLS_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,SME,44836.67,2173.12,2733.76,527.82,50271.36,866.75,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CLS_SKA,202401_ACTUAL_VN_SOUTH_CLS_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,CLS,SKA,83459.98,2406.29,5088.68,374.75,91329.7,886.7,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CUS_ENT,202401_ACTUAL_VN_SOUTH_CUS_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,ENT,19686.91,5656.8,1657.61,6328.0,33329.32,147.47,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CUS_MM,202401_ACTUAL_VN_SOUTH_CUS_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,MM,17281.73,7992.46,1455.1,5236.0,31965.29,170.94,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CUS_SME,202401_ACTUAL_VN_SOUTH_CUS_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,SME,12245.02,9296.54,1031.01,3668.0,26240.57,200.31,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_CUS_SKA,202401_ACTUAL_VN_SOUTH_CUS_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,CUS,SKA,24999.96,7086.83,2104.96,7588.0,41779.76,154.17,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_TRK_ENT,202401_ACTUAL_VN_SOUTH_TRK_ENT,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,ENT,51396.24,6199.28,3807.25,931.0,62333.77,243.49,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_TRK_MM,202401_ACTUAL_VN_SOUTH_TRK_MM,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,MM,45688.01,13340.52,3384.41,1318.32,63731.26,279.52,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_TRK_SME,202401_ACTUAL_VN_SOUTH_TRK_SME,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,SME,32484.65,8312.62,2406.35,1598.61,44802.22,271.53,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_SOUTH_TRK_SKA,202401_ACTUAL_VN_SOUTH_TRK_SKA,2024-01-01,Actual,ACTUAL,VN_SOUTH,TRK,SKA,59745.17,15332.76,4425.71,944.81,80448.45,268.16,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_AIR_ENT,202401_ACTUAL_VN_CENTRAL_AIR_ENT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,ENT,72835.67,3391.25,4769.85,684.63,81681.39,1150.44,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_AIR_MM,202401_ACTUAL_VN_CENTRAL_AIR_MM,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,MM,66207.01,2136.64,4335.76,199.28,72878.69,1175.46,0.018,20240101,2024-01
COST_202401_ACTUAL_VN_CENTRAL_AIR_SME,202401_ACTUAL_VN_CENTRAL_AIR_SME,2024-01-01,Actual,ACTUAL,VN_CENTRAL,AIR,SME,48386.76,2271.0,3168.75,139.27,53965.78,1226.5,0.018,20240101,2024-01
