ForecastAccuracyKey,MonthStart,ForecastHorizonMonths,RegionKey,ServiceKey,ScenarioKey,ActualRevenueUSD,ForecastRevenueUSD,ForecastErrorUSD,AbsoluteErrorUSD,AbsolutePctError,ForecastBiasPct,DateKey,YearMonth
FA_202501_1M_CN_AIR,2025-01-01,1,CN,AIR,BASE,438656.51,461022.13,22365.62,22365.62,0.05099,0.051,20250101,2025-01
FA_202501_2M_CN_AIR,2025-01-01,2,CN,AIR,BASE,438656.51,435399.67,-3256.84,3256.84,0.00742,-0.0074,20250101,2025-01
FA_202501_3M_CN_AIR,2025-01-01,3,CN,AIR,BASE,438656.51,441990.95,3334.44,3334.44,0.0076,0.0076,20250101,2025-01
FA_202501_1M_CN_CLS,2025-01-01,1,CN,CLS,BASE,343864.79,363278.23,19413.44,19413.44,0.05646,0.0565,20250101,2025-01
FA_202501_2M_CN_CLS,2025-01-01,2,CN,CLS,BASE,343864.79,381855.0,37990.21,37990.21,0.11048,0.1105,20250101,2025-01
FA_202501_3M_CN_CLS,2025-01-01,3,CN,CLS,BASE,343864.79,323731.37,-20133.42,20133.42,0.05855,-0.0586,20250101,2025-01
FA_202501_1M_CN_CUS,2025-01-01,1,CN,CUS,BASE,132684.4,145005.34,12320.94,12320.94,0.09286,0.0929,20250101,2025-01
FA_202501_2M_CN_CUS,2025-01-01,2,CN,CUS,BASE,132684.4,146773.01,14088.61,14088.61,0.10618,0.1062,20250101,2025-01
FA_202501_3M_CN_CUS,2025-01-01,3,CN,CUS,BASE,132684.4,124855.92,-7828.48,7828.48,0.059,-0.059,20250101,2025-01
FA_202501_1M_CN_FCL,2025-01-01,1,CN,FCL,BASE,526398.93,537329.79,10930.86,10930.86,0.02077,0.0208,20250101,2025-01
FA_202501_2M_CN_FCL,2025-01-01,2,CN,FCL,BASE,526398.93,558698.84,32299.91,32299.91,0.06136,0.0614,20250101,2025-01
FA_202501_3M_CN_FCL,2025-01-01,3,CN,FCL,BASE,526398.93,582763.7,56364.77,56364.77,0.10708,0.1071,20250101,2025-01
FA_202501_1M_CN_LCL,2025-01-01,1,CN,LCL,BASE,240897.9,251292.07,10394.17,10394.17,0.04315,0.0432,20250101,2025-01
FA_202501_2M_CN_LCL,2025-01-01,2,CN,LCL,BASE,240897.9,251105.09,10207.19,10207.19,0.04237,0.0424,20250101,2025-01
FA_202501_3M_CN_LCL,2025-01-01,3,CN,LCL,BASE,240897.9,261174.8,20276.9,20276.9,0.08417,0.0842,20250101,2025-01
FA_202501_1M_CN_TRK,2025-01-01,1,CN,TRK,BASE,241642.02,250583.64,8941.62,8941.62,0.037,0.037,20250101,2025-01
FA_202501_2M_CN_TRK,2025-01-01,2,CN,TRK,BASE,241642.02,234299.7,-7342.32,7342.32,0.03039,-0.0304,20250101,2025-01
FA_202501_3M_CN_TRK,2025-01-01,3,CN,TRK,BASE,241642.02,250801.0,9158.98,9158.98,0.0379,0.0379,20250101,2025-01
FA_202501_1M_TH_AIR,2025-01-01,1,TH,AIR,BASE,365826.22,389153.39,23327.17,23327.17,0.06377,0.0638,20250101,2025-01
FA_202501_2M_TH_AIR,2025-01-01,2,TH,AIR,BASE,365826.22,328309.57,-37516.65,37516.65,0.10255,-0.1026,20250101,2025-01
FA_202501_3M_TH_AIR,2025-01-01,3,TH,AIR,BASE,365826.22,343921.48,-21904.74,21904.74,0.05988,-0.0599,20250101,2025-01
FA_202501_1M_TH_CLS,2025-01-01,1,TH,CLS,BASE,260270.29,242920.45,-17349.84,17349.84,0.06666,-0.0667,20250101,2025-01
FA_202501_2M_TH_CLS,2025-01-01,2,TH,CLS,BASE,260270.29,262554.03,2283.74,2283.74,0.00877,0.0088,20250101,2025-01
FA_202501_3M_TH_CLS,2025-01-01,3,TH,CLS,BASE,260270.29,220016.89,-40253.4,40253.4,0.15466,-0.1547,20250101,2025-01
FA_202501_1M_TH_CUS,2025-01-01,1,TH,CUS,BASE,102614.95,99798.12,-2816.83,2816.83,0.02745,-0.0274,20250101,2025-01
