HeadcountPlanKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,DepartmentKey,FTE,NewHires,Attrition,AvgSalaryUSD,PayrollCostUSD,JobsPerFTE,DateKey,YearMonth
HC_202401_ACTUAL_CN_SALES,2024-01-01,Actual,ACTUAL,CN,SALES,13.8,0.2,0.2,1998.0,27572.4,185.29,20240101,2024-01
HC_202401_ACTUAL_CN_OPS,2024-01-01,Actual,ACTUAL,CN,OPS,42.2,0.8,0.4,1425.6,60160.32,60.59,20240101,2024-01
HC_202401_ACTUAL_CN_CS,2024-01-01,Actual,ACTUAL,CN,CS,15.2,0.3,0.2,1274.4,19370.88,168.22,20240101,2024-01
HC_202401_ACTUAL_CN_FIN,2024-01-01,Actual,ACTUAL,CN,FIN,6.4,0.1,0.1,1674.0,10713.6,399.53,20240101,2024-01
HC_202401_ACTUAL_CN_IT,2024-01-01,Actual,ACTUAL,CN,IT,4.4,0.1,0.0,1836.0,8078.4,581.14,20240101,2024-01
HC_202401_ACTUAL_CN_MGT,2024-01-01,Actual,ACTUAL,CN,MGT,3.5,0.1,0.0,3348.0,11718.0,730.57,20240101,2024-01
HC_202401_ACTUAL_TH_SALES,2024-01-01,Actual,ACTUAL,TH,SALES,10.6,0.2,0.1,1998.0,21178.8,182.74,20240101,2024-01
HC_202401_ACTUAL_TH_OPS,2024-01-01,Actual,ACTUAL,TH,OPS,35.2,0.6,0.4,1425.6,50181.12,55.03,20240101,2024-01
HC_202401_ACTUAL_TH_CS,2024-01-01,Actual,ACTUAL,TH,CS,11.8,0.2,0.1,1274.4,15037.92,164.15,20240101,2024-01
HC_202401_ACTUAL_TH_FIN,2024-01-01,Actual,ACTUAL,TH,FIN,4.6,0.1,0.0,1674.0,7700.4,421.09,20240101,2024-01
HC_202401_ACTUAL_TH_IT,2024-01-01,Actual,ACTUAL,TH,IT,3.2,0.1,0.0,1836.0,5875.2,605.31,20240101,2024-01
HC_202401_ACTUAL_TH_MGT,2024-01-01,Actual,ACTUAL,TH,MGT,2.6,0.0,0.0,3348.0,8704.8,745.0,20240101,2024-01
HC_202401_ACTUAL_VN_CENTRAL_SALES,2024-01-01,Actual,ACTUAL,VN_CENTRAL,SALES,12.1,0.2,0.2,1850.0,22385.0,193.06,20240101,2024-01
HC_202401_ACTUAL_VN_CENTRAL_OPS,2024-01-01,Actual,ACTUAL,VN_CENTRAL,OPS,37.4,0.7,0.4,1320.0,49368.0,62.46,20240101,2024-01
HC_202401_ACTUAL_VN_CENTRAL_CS,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CS,13.7,0.2,0.1,1180.0,16166.0,170.51,20240101,2024-01
HC_202401_ACTUAL_VN_CENTRAL_FIN,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FIN,5.6,0.1,0.1,1550.0,8680.0,417.14,20240101,2024-01
HC_202401_ACTUAL_VN_CENTRAL_IT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,IT,3.6,0.1,0.0,1700.0,6120.0,648.89,20240101,2024-01
HC_202401_ACTUAL_VN_CENTRAL_MGT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,MGT,3.0,0.1,0.0,3100.0,9300.0,778.67,20240101,2024-01
HC_202401_ACTUAL_VN_NORTH_SALES,2024-01-01,Actual,ACTUAL,VN_NORTH,SALES,17.1,0.3,0.2,1850.0,31635.0,192.34,20240101,2024-01
HC_202401_ACTUAL_VN_NORTH_OPS,2024-01-01,Actual,ACTUAL,VN_NORTH,OPS,53.5,1.0,0.5,1320.0,70620.0,61.48,20240101,2024-01
HC_202401_ACTUAL_VN_NORTH_CS,2024-01-01,Actual,ACTUAL,VN_NORTH,CS,19.6,0.4,0.2,1180.0,23128.0,167.81,20240101,2024-01
HC_202401_ACTUAL_VN_NORTH_FIN,2024-01-01,Actual,ACTUAL,VN_NORTH,FIN,8.2,0.1,0.1,1550.0,12710.0,401.1,20240101,2024-01
HC_202401_ACTUAL_VN_NORTH_IT,2024-01-01,Actual,ACTUAL,VN_NORTH,IT,5.6,0.1,0.1,1700.0,9520.0,587.32,20240101,2024-01
HC_202401_ACTUAL_VN_NORTH_MGT,2024-01-01,Actual,ACTUAL,VN_NORTH,MGT,4.3,0.1,0.0,3100.0,13330.0,764.88,20240101,2024-01
HC_202401_ACTUAL_VN_SOUTH_SALES,2024-01-01,Actual,ACTUAL,VN_SOUTH,SALES,20.5,0.4,0.3,1850.0,37925.0,181.46,20240101,2024-01
HC_202401_ACTUAL_VN_SOUTH_OPS,2024-01-01,Actual,ACTUAL,VN_SOUTH,OPS,57.0,1.0,0.6,1320.0,75240.0,65.26,20240101,2024-01
HC_202401_ACTUAL_VN_SOUTH_CS,2024-01-01,Actual,ACTUAL,VN_SOUTH,CS,21.8,0.4,0.2,1180.0,25724.0,170.64,20240101,2024-01
HC_202401_ACTUAL_VN_SOUTH_FIN,2024-01-01,Actual,ACTUAL,VN_SOUTH,FIN,9.0,0.2,0.1,1550.0,13950.0,413.33,20240101,2024-01
HC_202401_ACTUAL_VN_SOUTH_IT,2024-01-01,Actual,ACTUAL,VN_SOUTH,IT,6.0,0.1,0.1,1700.0,10200.0,620.0,20240101,2024-01
HC_202401_ACTUAL_VN_SOUTH_MGT,2024-01-01,Actual,ACTUAL,VN_SOUTH,MGT,5.3,0.1,0.1,3100.0,16430.0,701.89,20240101,2024-01
HC_202402_ACTUAL_CN_SALES,2024-02-01,Actual,ACTUAL,CN,SALES,13.7,0.2,0.2,2003.99,27454.72,192.99,20240201,2024-02
HC_202402_ACTUAL_CN_OPS,2024-02-01,Actual,ACTUAL,CN,OPS,42.6,0.8,0.4,1429.88,60912.75,62.07,20240201,2024-02
