OpexDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,DepartmentKey,RentUSD,SoftwareUSD,MarketingUSD,TravelUSD,GAUSD,NonPayrollOpexUSD,DateKey,YearMonth
OPEX_202401_ACTUAL_CN_SALES,2024-01-01,Actual,ACTUAL,CN,SALES,4395.57,597.07,4708.23,1399.45,763.53,11863.84,20240101,2024-01
OPEX_202401_ACTUAL_CN_OPS,2024-01-01,Actual,ACTUAL,CN,OPS,4596.06,735.57,482.78,4984.51,2374.87,13173.79,20240101,2024-01
OPEX_202401_ACTUAL_CN_CS,2024-01-01,Actual,ACTUAL,CN,CS,4627.51,289.47,538.01,556.03,801.02,6812.04,20240101,2024-01
OPEX_202401_ACTUAL_CN_FIN,2024-01-01,Actual,ACTUAL,CN,FIN,4489.31,272.08,469.51,219.66,355.28,5805.84,20240101,2024-01
OPEX_202401_ACTUAL_CN_IT,2024-01-01,Actual,ACTUAL,CN,IT,4692.18,187.5,414.82,146.66,231.64,5672.82,20240101,2024-01
OPEX_202401_ACTUAL_CN_MGT,2024-01-01,Actual,ACTUAL,CN,MGT,4739.04,65.12,480.1,128.83,199.61,5612.7,20240101,2024-01
OPEX_202401_ACTUAL_TH_SALES,2024-01-01,Actual,ACTUAL,TH,SALES,3286.18,456.15,4911.68,1225.01,575.74,10454.75,20240101,2024-01
OPEX_202401_ACTUAL_TH_OPS,2024-01-01,Actual,ACTUAL,TH,OPS,3269.68,634.03,458.07,3989.56,1909.45,10260.78,20240101,2024-01
OPEX_202401_ACTUAL_TH_CS,2024-01-01,Actual,ACTUAL,TH,CS,3317.96,210.19,468.64,459.36,653.04,5109.2,20240101,2024-01
OPEX_202401_ACTUAL_TH_FIN,2024-01-01,Actual,ACTUAL,TH,FIN,3241.16,197.41,400.22,145.19,252.84,4236.81,20240101,2024-01
OPEX_202401_ACTUAL_TH_IT,2024-01-01,Actual,ACTUAL,TH,IT,3375.89,128.91,508.76,103.16,179.56,4296.28,20240101,2024-01
OPEX_202401_ACTUAL_TH_MGT,2024-01-01,Actual,ACTUAL,TH,MGT,3228.97,46.28,431.96,88.04,145.08,3940.33,20240101,2024-01
OPEX_202401_ACTUAL_VN_CENTRAL_SALES,2024-01-01,Actual,ACTUAL,VN_CENTRAL,SALES,3437.69,514.59,6079.95,1405.2,691.24,12128.67,20240101,2024-01
OPEX_202401_ACTUAL_VN_CENTRAL_OPS,2024-01-01,Actual,ACTUAL,VN_CENTRAL,OPS,3310.03,683.96,479.58,4458.69,2154.05,11086.3,20240101,2024-01
OPEX_202401_ACTUAL_VN_CENTRAL_CS,2024-01-01,Actual,ACTUAL,VN_CENTRAL,CS,3306.71,256.85,482.05,443.8,772.88,5262.29,20240101,2024-01
OPEX_202401_ACTUAL_VN_CENTRAL_FIN,2024-01-01,Actual,ACTUAL,VN_CENTRAL,FIN,3315.84,248.92,394.49,189.38,316.35,4464.98,20240101,2024-01
OPEX_202401_ACTUAL_VN_CENTRAL_IT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,IT,3196.75,151.62,446.58,121.91,210.33,4127.18,20240101,2024-01
OPEX_202401_ACTUAL_VN_CENTRAL_MGT,2024-01-01,Actual,ACTUAL,VN_CENTRAL,MGT,3155.78,56.16,411.16,91.6,174.21,3888.92,20240101,2024-01
OPEX_202401_ACTUAL_VN_NORTH_SALES,2024-01-01,Actual,ACTUAL,VN_NORTH,SALES,3268.93,775.21,5377.83,2024.1,912.98,12359.05,20240101,2024-01
OPEX_202401_ACTUAL_VN_NORTH_OPS,2024-01-01,Actual,ACTUAL,VN_NORTH,OPS,3132.58,998.9,414.29,5661.82,2777.83,12985.43,20240101,2024-01
OPEX_202401_ACTUAL_VN_NORTH_CS,2024-01-01,Actual,ACTUAL,VN_NORTH,CS,3381.34,335.48,474.76,726.9,1128.57,6047.05,20240101,2024-01
OPEX_202401_ACTUAL_VN_NORTH_FIN,2024-01-01,Actual,ACTUAL,VN_NORTH,FIN,3151.94,352.98,472.15,346.05,439.28,4762.4,20240101,2024-01
OPEX_202401_ACTUAL_VN_NORTH_IT,2024-01-01,Actual,ACTUAL,VN_NORTH,IT,3295.19,232.85,467.28,183.82,303.84,4482.98,20240101,2024-01
OPEX_202401_ACTUAL_VN_NORTH_MGT,2024-01-01,Actual,ACTUAL,VN_NORTH,MGT,3235.45,77.76,481.3,157.59,223.72,4175.81,20240101,2024-01
OPEX_202401_ACTUAL_VN_SOUTH_SALES,2024-01-01,Actual,ACTUAL,VN_SOUTH,SALES,4509.02,899.98,5559.12,2385.61,1076.19,14429.92,20240101,2024-01
OPEX_202401_ACTUAL_VN_SOUTH_OPS,2024-01-01,Actual,ACTUAL,VN_SOUTH,OPS,4519.24,992.2,441.56,6185.47,2916.44,15054.92,20240101,2024-01
OPEX_202401_ACTUAL_VN_SOUTH_CS,2024-01-01,Actual,ACTUAL,VN_SOUTH,CS,4444.97,362.11,455.63,801.65,1174.19,7238.55,20240101,2024-01
OPEX_202401_ACTUAL_VN_SOUTH_FIN,2024-01-01,Actual,ACTUAL,VN_SOUTH,FIN,4411.94,369.88,504.09,305.1,498.4,6089.41,20240101,2024-01
OPEX_202401_ACTUAL_VN_SOUTH_IT,2024-01-01,Actual,ACTUAL,VN_SOUTH,IT,4284.43,240.51,464.11,216.91,328.69,5534.65,20240101,2024-01
OPEX_202401_ACTUAL_VN_SOUTH_MGT,2024-01-01,Actual,ACTUAL,VN_SOUTH,MGT,4524.26,102.31,512.42,182.91,276.68,5598.58,20240101,2024-01
OPEX_202402_ACTUAL_CN_SALES,2024-02-01,Actual,ACTUAL,CN,SALES,4626.86,560.4,5053.93,1462.33,764.57,12468.09,20240201,2024-02
OPEX_202402_ACTUAL_CN_OPS,2024-02-01,Actual,ACTUAL,CN,OPS,4566.61,766.67,440.17,4848.66,2458.24,13080.34,20240201,2024-02
OPEX_202402_ACTUAL_CN_CS,2024-02-01,Actual,ACTUAL,CN,CS,4531.7,253.52,448.67,546.45,791.48,6571.81,20240201,2024-02
OPEX_202402_ACTUAL_CN_FIN,2024-02-01,Actual,ACTUAL,CN,FIN,4591.02,278.95,455.25,193.04,343.29,5861.55,20240201,2024-02
