RevenueDriverKey,MonthStart,PlanPeriod,ScenarioKey,RegionKey,ServiceKey,SegmentKey,VolumeJobs,TEU,CBM,ChargeableKg,AvgRateUSD,SurchargeUSD,DiscountUSD,RevenueUSD,DataSource,DateKey,YearMonth
202401_ACTUAL_VN_NORTH_AIR_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,ENT,94,0.0,0.0,62011.76,1450.17,7906.3,4771.04,139450.77,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_AIR_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,MM,76,0.0,0.0,90437.29,1372.08,6048.11,2294.11,108031.72,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_AIR_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,SME,68,0.0,0.0,62462.43,1400.16,5522.25,952.11,99781.32,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_AIR_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,AIR,SKA,111,0.0,0.0,98352.16,1470.33,9465.96,7833.9,164838.31,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_FCL_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,ENT,163,251.74,0.0,0.0,958.59,9062.52,5468.76,159844.14,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_FCL_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,MM,125,160.13,0.0,0.0,956.59,6935.26,2630.62,123878.05,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_FCL_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,SME,99,124.91,0.0,0.0,998.41,5732.86,988.42,103586.82,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_FCL_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,FCL,SKA,169,241.47,0.0,0.0,988.26,9686.93,8016.77,168686.28,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_LCL_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,ENT,138,0.0,844.44,0.0,565.2,3899.86,2729.9,79167.06,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_LCL_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,MM,120,0.0,961.19,0.0,534.22,3205.29,1410.33,65900.8,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_LCL_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,SME,92,0.0,468.45,0.0,565.19,2599.89,519.98,54077.78,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_LCL_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,LCL,SKA,161,0.0,1042.02,0.0,569.5,4584.51,4401.13,91873.58,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CLS_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,ENT,75,0.0,0.0,0.0,1295.65,4858.68,3401.07,98631.1,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CLS_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,MM,66,0.0,0.0,0.0,1255.25,4142.32,1822.62,85166.19,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CLS_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,SME,48,0.0,0.0,0.0,1418.63,3404.72,680.94,70818.25,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CLS_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,CLS,SKA,86,0.0,0.0,0.0,1199.62,5158.38,4952.04,103373.87,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CUS_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,ENT,206,0.0,0.0,0.0,211.23,2175.67,1522.97,44166.03,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CUS_MM,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,MM,166,0.0,0.0,0.0,202.68,1682.22,740.18,34586.48,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CUS_SME,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,SME,132,0.0,0.0,0.0,203.75,1344.75,268.95,27970.72,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_CUS_SKA,2024-01-01,Actual,ACTUAL,VN_NORTH,CUS,SKA,239,0.0,0.0,0.0,196.24,2345.1,2251.29,46995.74,Synthetic planning model,20240101,2024-01
202401_ACTUAL_VN_NORTH_TRK_ENT,2024-01-01,Actual,ACTUAL,VN_NORTH,TRK,ENT,242,0.0,0.0,0.0,302.02,4239.11,2558.08,74769.08,Synthetic planning model,20240101,2024-01
