customer_id,signup_date,customer_segment,region,country,marketing_opt_in
C000001,2023-05-24,Loyal,East Asia,Japan,Y
C000002,2024-12-27,Active,Europe,United Kingdom,Y
C000003,2024-11-05,Active,Europe,United Kingdom,N
C000004,2024-04-01,VIP,North America,United States,N
C000005,2023-06-09,Loyal,Europe,United Kingdom,N
C000006,2023-11-14,Active,Southeast Asia,Vietnam,Y
C000007,2023-09-14,Loyal,Southeast Asia,Vietnam,Y
C000008,2025-02-15,Active,Europe,United Kingdom,Y
C000009,2024-07-12,Loyal,Southeast Asia,Vietnam,N
C000010,2024-08-21,Loyal,Southeast Asia,Vietnam,N
C000011,2024-10-25,VIP,Europe,United Kingdom,N
C000012,2025-11-14,Active,Europe,United Kingdom,N
C000013,2023-08-21,New,East Asia,Japan,Y
C000014,2025-08-22,New,North America,United States,Y
C000015,2023-10-20,Active,North America,United States,N
C000016,2025-05-13,At Risk,Southeast Asia,Vietnam,Y
C000017,2025-12-30,Active,Europe,United Kingdom,Y
C000018,2023-08-16,Active,Southeast Asia,Vietnam,Y
C000019,2024-04-27,New,Southeast Asia,Vietnam,Y
C000020,2024-10-21,At Risk,North America,United States,Y
C000021,2024-08-07,Active,Southeast Asia,Vietnam,N
C000022,2023-12-27,Active,North America,United States,Y
C000023,2024-06-06,Active,Europe,United Kingdom,Y
C000024,2026-05-09,Active,Oceania,Australia,N
C000025,2025-11-28,New,North America,United States,Y
C000026,2026-05-02,Loyal,Europe,United Kingdom,N
C000027,2024-06-27,Active,Southeast Asia,Vietnam,Y
C000028,2025-05-14,Active,Europe,United Kingdom,N
C000029,2022-12-24,Active,Southeast Asia,Vietnam,N
C000030,2023-06-03,Active,Europe,United Kingdom,Y
C000031,2023-06-07,New,Southeast Asia,Vietnam,Y
C000032,2024-09-27,Active,North America,United States,Y
C000033,2024-07-11,Active,North America,United States,Y
C000034,2024-01-14,New,Europe,United Kingdom,Y
C000035,2023-02-19,Loyal,East Asia,Japan,N
C000036,2025-03-23,Active,Oceania,Australia,Y
C000037,2026-04-11,New,East Asia,Japan,Y
C000038,2025-09-16,Loyal,North America,United States,Y
C000039,2023-05-23,Active,North America,United States,Y
C000040,2023-12-05,New,North America,United States,N
C000041,2024-03-17,New,North America,United States,Y
C000042,2022-12-07,Loyal,Southeast Asia,Vietnam,Y
C000043,2023-11-09,Active,Europe,United Kingdom,Y
C000044,2024-06-25,Active,Southeast Asia,Vietnam,N
C000045,2025-05-27,Loyal,Southeast Asia,Vietnam,N
C000046,2024-12-27,New,North America,United States,Y
C000047,2026-04-24,At Risk,Europe,United Kingdom,Y
C000048,2023-05-12,Loyal,North America,United States,N
C000049,2024-03-10,At Risk,Oceania,Australia,Y
C000050,2022-12-07,Active,North America,United States,Y
C000051,2023-07-28,New,Southeast Asia,Vietnam,Y
C000052,2026-03-13,Active,North America,United States,Y
C000053,2023-08-22,Active,Europe,United Kingdom,Y
C000054,2023-05-26,Active,Europe,United Kingdom,N
C000055,2025-03-13,Active,Oceania,Australia,Y
C000056,2025-06-04,Loyal,North America,United States,Y
C000057,2024-07-21,Active,North America,United States,Y
C000058,2023-12-17,Loyal,North America,United States,Y
C000059,2025-10-11,New,North America,United States,Y
C000060,2024-12-17,Loyal,East Asia,Japan,Y
C000061,2026-01-01,VIP,Southeast Asia,Vietnam,Y
C000062,2024-04-04,Loyal,Southeast Asia,Vietnam,N
C000063,2024-06-07,New,East Asia,Japan,N
C000064,2026-03-18,Loyal,North America,United States,Y
C000065,2025-01-24,New,North America,United States,N
C000066,2024-06-20,New,North America,United States,Y
C000067,2026-01-29,New,North America,United States,N
C000068,2024-01-15,Active,Southeast Asia,Vietnam,N
C000069,2023-01-03,Active,North America,United States,Y
C000070,2025-04-22,Active,North America,United States,Y
C000071,2023-12-01,Loyal,North America,United States,Y
C000072,2026-01-28,Active,East Asia,Japan,Y
C000073,2026-01-16,Active,North America,United States,Y
C000074,2024-08-26,New,Europe,United Kingdom,Y
C000075,2022-09-17,VIP,North America,United States,N
C000076,2023-11-03,Loyal,North America,United States,N
C000077,2024-08-24,Active,North America,United States,N
C000078,2025-11-20,Active,North America,United States,Y
C000079,2023-10-13,New,North America,United States,N
C000080,2023-03-28,Active,Europe,United Kingdom,Y
C000081,2024-04-04,Loyal,Southeast Asia,Vietnam,Y
C000082,2026-04-28,Active,Europe,United Kingdom,N
C000083,2024-08-04,New,North America,United States,N
C000084,2025-02-05,Loyal,North America,United States,N
C000085,2025-12-20,New,North America,United States,Y
C000086,2024-12-31,New,North America,United States,Y
C000087,2022-12-05,Active,Europe,United Kingdom,Y
C000088,2025-04-11,Loyal,Europe,United Kingdom,N
C000089,2023-01-20,Active,Middle East,United Arab Emirates,N
C000090,2025-10-05,Active,North America,United States,N
C000091,2023-01-17,New,North America,United States,Y
C000092,2022-09-21,VIP,North America,United States,Y
C000093,2023-02-27,Active,East Asia,Japan,N
C000094,2025-08-19,Active,Middle East,United Arab Emirates,Y
C000095,2025-04-17,VIP,North America,United States,N
C000096,2025-11-23,New,North America,United States,N
C000097,2024-02-23,Active,Middle East,United Arab Emirates,N
C000098,2025-08-12,New,North America,United States,Y
C000099,2025-08-01,Loyal,Southeast Asia,Vietnam,N
C000100,2024-10-12,Active,North America,United States,Y
C000101,2025-06-28,Active,North America,United States,Y
C000102,2025-06-23,At Risk,Oceania,Australia,Y
C000103,2023-10-25,Loyal,Middle East,United Arab Emirates,N
C000104,2025-09-16,Loyal,Southeast Asia,Vietnam,N
C000105,2024-02-17,New,Southeast Asia,Vietnam,Y
C000106,2023-02-07,Active,Southeast Asia,Vietnam,Y
C000107,2023-04-13,Active,North America,United States,N
C000108,2024-04-19,Loyal,North America,United States,N
C000109,2026-02-21,New,Southeast Asia,Vietnam,Y
C000110,2022-07-24,New,Europe,United Kingdom,Y
C000111,2026-05-30,Active,Oceania,Australia,N
C000112,2024-12-04,Active,East Asia,Japan,N
C000113,2022-07-31,New,North America,United States,N
C000114,2023-03-13,Active,East Asia,Japan,N
C000115,2025-09-08,New,Europe,United Kingdom,Y
C000116,2025-03-21,New,North America,United States,Y
C000117,2025-09-18,Active,North America,United States,Y
C000118,2026-01-24,Active,Oceania,Australia,N
C000119,2023-06-17,Loyal,East Asia,Japan,N
C000120,2024-01-31,Active,Middle East,United Arab Emirates,Y
C000121,2023-08-22,Active,Middle East,United Arab Emirates,Y
C000122,2023-05-22,Active,Middle East,United Arab Emirates,Y
C000123,2023-09-02,Active,East Asia,Japan,N
C000124,2024-11-25,Active,Oceania,Australia,Y
C000125,2023-06-14,Active,North America,United States,Y
C000126,2022-10-27,New,North America,United States,N
C000127,2025-03-14,Active,Europe,United Kingdom,Y
C000128,2025-01-02,Active,Middle East,United Arab Emirates,N
C000129,2022-12-12,New,North America,United States,N
C000130,2025-01-10,Active,Europe,United Kingdom,Y
C000131,2023-04-05,Active,Southeast Asia,Vietnam,N
C000132,2022-12-01,New,Oceania,Australia,Y
C000133,2023-05-13,New,North America,United States,Y
C000134,2026-01-30,New,Oceania,Australia,N
C000135,2023-07-13,New,North America,United States,Y
C000136,2025-10-14,Loyal,Europe,United Kingdom,Y
C000137,2022-12-01,Loyal,East Asia,Japan,Y
C000138,2025-10-04,New,Europe,United Kingdom,N
C000139,2025-02-13,Loyal,Europe,United Kingdom,Y
C000140,2022-09-25,Active,North America,United States,Y
C000141,2024-03-06,New,Europe,United Kingdom,Y
C000142,2024-09-28,Loyal,Europe,United Kingdom,Y
C000143,2025-09-02,New,Southeast Asia,Vietnam,Y
C000144,2026-04-05,Active,North America,United States,Y
C000145,2022-11-02,New,Europe,United Kingdom,N
C000146,2022-08-28,At Risk,Southeast Asia,Vietnam,Y
C000147,2023-08-19,Active,North America,United States,Y
C000148,2025-03-21,New,North America,United States,Y
C000149,2024-06-25,Active,East Asia,Japan,Y
C000150,2024-08-22,Active,Europe,United Kingdom,Y
C000151,2026-01-11,New,Europe,United Kingdom,Y
C000152,2024-04-14,VIP,Europe,United Kingdom,Y
C000153,2024-01-22,VIP,Europe,United Kingdom,N
C000154,2026-01-08,Loyal,North America,United States,N
C000155,2024-01-04,VIP,North America,United States,Y
C000156,2025-09-25,Active,Southeast Asia,Vietnam,Y
C000157,2025-02-14,Active,Europe,United Kingdom,N
C000158,2025-12-02,Active,Middle East,United Arab Emirates,N
C000159,2024-06-08,Loyal,Europe,United Kingdom,N
C000160,2025-12-08,Active,Europe,United Kingdom,Y
C000161,2025-09-30,Loyal,Southeast Asia,Vietnam,Y
C000162,2024-03-21,Loyal,North America,United States,Y
C000163,2023-09-23,New,Europe,United Kingdom,Y
C000164,2023-06-25,VIP,Europe,United Kingdom,Y
C000165,2025-06-05,Loyal,Europe,United Kingdom,Y
C000166,2024-11-05,Loyal,North America,United States,Y
C000167,2026-01-20,Loyal,Europe,United Kingdom,Y
C000168,2026-04-06,New,Oceania,Australia,Y
C000169,2023-05-27,New,Europe,United Kingdom,Y
C000170,2025-10-11,Active,Southeast Asia,Vietnam,N
C000171,2025-08-21,Loyal,East Asia,Japan,Y
C000172,2022-12-05,Active,East Asia,Japan,Y
C000173,2025-06-06,Active,Europe,United Kingdom,N
C000174,2024-04-29,Active,North America,United States,Y
C000175,2025-04-27,Active,Europe,United Kingdom,N
C000176,2025-02-28,Active,North America,United States,Y
C000177,2026-03-20,Active,North America,United States,N
C000178,2025-07-23,Active,Southeast Asia,Vietnam,N
C000179,2024-11-29,New,North America,United States,N
C000180,2025-08-20,Active,Southeast Asia,Vietnam,N
C000181,2024-06-12,Loyal,Southeast Asia,Vietnam,Y
C000182,2023-02-10,Active,North America,United States,N
C000183,2025-10-11,At Risk,Europe,United Kingdom,N
C000184,2026-04-07,Active,North America,United States,Y
C000185,2022-11-23,Active,Southeast Asia,Vietnam,N
C000186,2024-02-18,Active,Europe,United Kingdom,N
C000187,2024-09-15,Active,Oceania,Australia,Y
C000188,2024-05-27,New,North America,United States,Y
C000189,2024-04-10,Active,Oceania,Australia,Y
C000190,2026-02-20,Active,Middle East,United Arab Emirates,Y
C000191,2026-02-23,New,East Asia,Japan,Y
C000192,2024-10-29,Active,Oceania,Australia,Y
C000193,2026-01-10,Loyal,Southeast Asia,Vietnam,Y
C000194,2024-05-21,New,North America,United States,Y
C000195,2024-11-19,New,East Asia,Japan,N
C000196,2026-03-22,VIP,East Asia,Japan,Y
C000197,2026-02-08,VIP,Southeast Asia,Vietnam,Y
C000198,2022-12-03,New,Europe,United Kingdom,Y
C000199,2024-01-17,Loyal,North America,United States,N
C000200,2024-10-21,New,Europe,United Kingdom,Y
C000201,2024-04-15,New,Southeast Asia,Vietnam,Y
C000202,2024-10-03,New,East Asia,Japan,Y
C000203,2025-10-14,New,North America,United States,Y
C000204,2025-01-26,New,North America,United States,Y
C000205,2023-09-14,Loyal,Middle East,United Arab Emirates,N
C000206,2023-04-20,Loyal,North America,United States,Y
C000207,2023-07-16,Loyal,Southeast Asia,Vietnam,N
C000208,2026-03-27,Active,North America,United States,Y
C000209,2022-07-24,New,North America,United States,N
C000210,2025-10-14,New,Southeast Asia,Vietnam,N
C000211,2024-06-03,VIP,Southeast Asia,Vietnam,Y
C000212,2023-06-10,New,North America,United States,N
C000213,2024-04-10,Active,East Asia,Japan,N
C000214,2026-04-11,Active,Europe,United Kingdom,N
C000215,2024-07-08,Active,North America,United States,N
C000216,2024-11-28,Loyal,Europe,United Kingdom,Y
C000217,2025-08-04,Active,East Asia,Japan,N
C000218,2024-09-05,Loyal,Southeast Asia,Vietnam,N
C000219,2023-06-29,Loyal,North America,United States,Y
C000220,2022-08-06,Active,Europe,United Kingdom,Y
C000221,2023-10-23,Active,Southeast Asia,Vietnam,Y
C000222,2022-07-20,Active,North America,United States,Y
C000223,2025-05-27,New,Southeast Asia,Vietnam,Y
C000224,2024-01-27,Active,East Asia,Japan,Y
C000225,2022-08-03,Loyal,Southeast Asia,Vietnam,Y
C000226,2022-12-19,Active,Europe,United Kingdom,Y
C000227,2025-07-15,Loyal,North America,United States,Y
C000228,2023-02-05,New,North America,United States,Y
C000229,2023-06-07,Loyal,Southeast Asia,Vietnam,Y
C000230,2024-04-09,Loyal,Southeast Asia,Vietnam,Y
C000231,2023-06-30,Active,Middle East,United Arab Emirates,Y
C000232,2022-12-13,New,Southeast Asia,Vietnam,Y
C000233,2023-07-14,New,North America,United States,Y
C000234,2026-05-17,Loyal,Oceania,Australia,Y
C000235,2024-09-23,Loyal,North America,United States,N
C000236,2023-06-25,Active,North America,United States,Y
C000237,2024-09-11,Active,Europe,United Kingdom,Y
C000238,2023-03-17,Active,Southeast Asia,Vietnam,N
C000239,2024-02-27,Loyal,East Asia,Japan,N
C000240,2025-09-14,Loyal,Southeast Asia,Vietnam,Y
C000241,2024-08-08,Active,North America,United States,Y
C000242,2023-07-10,Active,Southeast Asia,Vietnam,Y
C000243,2025-02-15,New,East Asia,Japan,N
C000244,2024-01-08,Active,Southeast Asia,Vietnam,N
C000245,2026-03-19,New,North America,United States,N
C000246,2022-10-09,Active,North America,United States,Y
C000247,2023-06-20,Active,North America,United States,Y
C000248,2025-07-01,Active,Middle East,United Arab Emirates,Y
C000249,2025-06-24,Loyal,Southeast Asia,Vietnam,Y
C000250,2024-04-07,Active,North America,United States,Y
C000251,2023-04-05,Loyal,Europe,United Kingdom,Y
C000252,2024-07-20,VIP,North America,United States,N
C000253,2024-01-23,Active,North America,United States,Y
C000254,2025-04-04,New,North America,United States,Y
C000255,2026-05-09,Active,East Asia,Japan,Y
C000256,2022-09-28,Active,Oceania,Australia,Y
C000257,2024-09-02,Loyal,Southeast Asia,Vietnam,Y
C000258,2023-08-24,New,North America,United States,Y
C000259,2023-02-22,At Risk,North America,United States,N
C000260,2023-04-24,New,North America,United States,Y
C000261,2025-04-29,At Risk,North America,United States,N
C000262,2026-05-24,VIP,Middle East,United Arab Emirates,Y
C000263,2025-05-25,Loyal,Europe,United Kingdom,Y
C000264,2023-12-17,New,North America,United States,Y
C000265,2023-09-29,Loyal,East Asia,Japan,N
C000266,2024-11-18,Active,Southeast Asia,Vietnam,N
C000267,2022-12-06,Loyal,North America,United States,Y
C000268,2024-11-11,Active,North America,United States,Y
C000269,2023-03-16,Active,East Asia,Japan,Y
C000270,2025-08-17,Active,Southeast Asia,Vietnam,Y
C000271,2025-08-17,Loyal,North America,United States,Y
C000272,2024-09-23,VIP,Oceania,Australia,Y
C000273,2025-08-24,New,Southeast Asia,Vietnam,Y
C000274,2023-08-10,Active,North America,United States,Y
C000275,2023-11-30,Active,Southeast Asia,Vietnam,Y
C000276,2022-10-16,Active,North America,United States,Y
C000277,2024-10-17,Loyal,Europe,United Kingdom,N
C000278,2026-02-28,Active,Europe,United Kingdom,Y
C000279,2026-04-04,Loyal,North America,United States,N
C000280,2023-07-12,New,Southeast Asia,Vietnam,N
C000281,2023-02-13,New,Europe,United Kingdom,Y
C000282,2024-01-08,Active,North America,United States,Y
C000283,2023-03-24,Active,North America,United States,Y
C000284,2025-07-29,Active,North America,United States,Y
C000285,2023-12-28,New,Southeast Asia,Vietnam,Y
C000286,2023-11-19,At Risk,North America,United States,N
C000287,2025-07-17,Active,Oceania,Australia,N
C000288,2023-02-12,Active,North America,United States,N
C000289,2024-01-30,New,Middle East,United Arab Emirates,Y
C000290,2024-01-05,Active,Europe,United Kingdom,N
C000291,2023-08-04,Loyal,Europe,United Kingdom,Y
C000292,2026-03-09,New,East Asia,Japan,N
C000293,2025-12-25,Active,North America,United States,Y
C000294,2024-01-26,New,Europe,United Kingdom,N
