month,channel,spend,impressions,clicks
2025-01,Affiliate,2806.29,146068,10439
2025-01,Direct,0.0,221112,33160
2025-01,Display,2444.24,55013,6517
2025-01,Email,939.5,211301,16192
2025-01,Organic Search,0.0,345443,63010
2025-01,Paid Search,19903.48,213780,27989
2025-01,Social,12039.3,296950,26913
2025-02,Affiliate,2539.61,69537,9644
2025-02,Direct,0.0,171694,27067
2025-02,Display,2003.97,76480,6334
2025-02,Email,898.65,159586,19438
2025-02,Organic Search,0.0,482370,48913
2025-02,Paid Search,25927.07,215335,30036
2025-02,Social,8275.02,199832,22937
2025-03,Affiliate,3382.23,96389,12756
2025-03,Direct,0.0,348316,26745
2025-03,Display,2485.84,99429,7164
2025-03,Email,1303.71,259521,24526
2025-03,Organic Search,0.0,738958,53819
2025-03,Paid Search,23454.33,438152,29286
2025-03,Social,13422.71,161103,30219
2025-04,Affiliate,2638.64,159932,10289
2025-04,Direct,0.0,196453,29598
2025-04,Display,3208.27,101739,8194
2025-04,Email,1161.21,266263,22967
2025-04,Organic Search,0.0,362497,62688
2025-04,Paid Search,25161.37,363606,37341
2025-04,Social,8220.7,289860,23016
2025-05,Affiliate,4035.28,143409,15151
2025-05,Direct,0.0,370402,34918
2025-05,Display,2469.78,49071,6394
2025-05,Email,1035.06,271543,22185
2025-05,Organic Search,0.0,572667,64394
2025-05,Paid Search,26298.21,454269,33833
2025-05,Social,10670.35,256860,29040
2025-06,Affiliate,3039.84,146753,12706
2025-06,Direct,0.0,438067,36930
2025-06,Display,3393.09,57478,8421
2025-06,Email,1283.58,306665,23430
2025-06,Organic Search,0.0,643161,71109
2025-06,Paid Search,35138.36,297280,41607
2025-06,Social,10058.55,226874,26178
2025-07,Affiliate,3650.93,105694,12811
2025-07,Direct,0.0,480270,38490
2025-07,Display,2483.45,107448,8286
2025-07,Email,1089.57,287096,20207
2025-07,Organic Search,0.0,596746,58561
2025-07,Paid Search,31421.7,365612,39868
2025-07,Social,12771.85,270572,28026
2025-08,Affiliate,3770.04,191326,15399
2025-08,Direct,0.0,463901,35727
2025-08,Display,3000.84,99309,7278
2025-08,Email,1452.18,238815,26460
2025-08,Organic Search,0.0,745401,67810
2025-08,Paid Search,37300.98,240311,43236
2025-08,Social,11512.69,323857,24731
2025-09,Affiliate,3018.93,97922,12950
2025-09,Direct,0.0,290435,29515
2025-09,Display,2618.6,80241,7556
2025-09,Email,946.03,175433,19298
2025-09,Organic Search,0.0,640294,62965
2025-09,Paid Search,30727.75,361120,37850
2025-09,Social,10250.17,227647,21440
2025-10,Affiliate,3328.76,136129,15613
2025-10,Direct,0.0,306504,29223
2025-10,Display,2672.17,67144,8896
2025-10,Email,1046.41,278367,17898
2025-10,Organic Search,0.0,544881,52995
2025-10,Paid Search,27118.44,506187,32049
2025-10,Social,12013.67,202901,25925
2025-11,Affiliate,5605.92,171080,19057
2025-11,Direct,0.0,469651,41337
2025-11,Display,3030.24,64895,9443
2025-11,Email,1155.19,319504,26792
2025-11,Organic Search,0.0,1144343,78125
2025-11,Paid Search,35847.25,654557,50643
2025-11,Social,11582.0,344111,29113
2025-12,Affiliate,4332.66,130328,19855
2025-12,Direct,0.0,278706,41427
2025-12,Display,3093.19,98389,10321
2025-12,Email,1226.12,231831,25645
2025-12,Organic Search,0.0,1025050,77780
2025-12,Paid Search,35081.83,446267,43331
2025-12,Social,10886.63,371081,29952
2026-01,Affiliate,3906.88,179245,14950
2026-01,Direct,0.0,435772,35136
2026-01,Display,2561.01,54302,7569
2026-01,Email,1256.5,140683,24850
2026-01,Organic Search,0.0,813925,65134
2026-01,Paid Search,24849.04,437531,36438
2026-01,Social,12739.99,167318,27801
2026-02,Affiliate,3249.23,149726,13755
2026-02,Direct,0.0,382843,23594
2026-02,Display,1885.84,73260,5620
2026-02,Email,849.96,221024,17895
2026-02,Organic Search,0.0,352205,51776
2026-02,Paid Search,27424.37,393329,35032
2026-02,Social,9585.26,142083,19437
2026-03,Affiliate,4200.12,189113,16862
2026-03,Direct,0.0,323324,35604
2026-03,Display,3426.57,95581,9225
2026-03,Email,1275.63,234869,23955
2026-03,Organic Search,0.0,844615,59366
2026-03,Paid Search,31457.95,279840,36658
2026-03,Social,10482.43,171180,22933
2026-04,Affiliate,3513.12,194145,12495
2026-04,Direct,0.0,307633,37969
2026-04,Display,3805.62,60543,9337
2026-04,Email,1143.5,163002,23123
2026-04,Organic Search,0.0,886732,54371
2026-04,Paid Search,31441.79,311177,36293
2026-04,Social,11426.45,312159,31316
2026-05,Affiliate,4026.69,140297,14596
2026-05,Direct,0.0,483687,35960
2026-05,Display,2744.78,68206,7678
2026-05,Email,1245.04,210394,22021
2026-05,Organic Search,0.0,692650,62543
2026-05,Paid Search,25122.77,553840,34312
2026-05,Social,10186.16,367025,25839
