session_key,session_date,channel,device,region,sessions,visitors,add_to_cart,checkout_starts,session_month
1,2025-01-01,Organic Search,Mobile,North America,588,425,70,39,2025-01
2,2025-01-01,Organic Search,Mobile,Europe,271,211,37,21,2025-01
3,2025-01-01,Organic Search,Mobile,Southeast Asia,243,196,35,19,2025-01
4,2025-01-01,Organic Search,Mobile,East Asia,125,96,13,6,2025-01
5,2025-01-01,Organic Search,Mobile,Oceania,63,47,8,4,2025-01
6,2025-01-01,Organic Search,Mobile,Middle East,56,38,5,2,2025-01
7,2025-01-01,Organic Search,Desktop,North America,224,161,20,11,2025-01
8,2025-01-01,Organic Search,Desktop,Europe,130,93,13,4,2025-01
9,2025-01-01,Organic Search,Desktop,Southeast Asia,90,71,7,3,2025-01
10,2025-01-01,Organic Search,Desktop,East Asia,58,45,7,2,2025-01
11,2025-01-01,Organic Search,Desktop,Oceania,33,26,2,1,2025-01
12,2025-01-01,Organic Search,Desktop,Middle East,19,13,2,0,2025-01
13,2025-01-01,Organic Search,Tablet,North America,101,82,8,3,2025-01
14,2025-01-01,Organic Search,Tablet,Europe,41,30,3,1,2025-01
15,2025-01-01,Organic Search,Tablet,Southeast Asia,46,35,5,1,2025-01
16,2025-01-01,Organic Search,Tablet,East Asia,23,15,2,0,2025-01
17,2025-01-01,Organic Search,Tablet,Oceania,15,11,2,1,2025-01
18,2025-01-01,Organic Search,Tablet,Middle East,8,6,0,0,2025-01
19,2025-01-01,Paid Search,Mobile,North America,270,203,33,18,2025-01
20,2025-01-01,Paid Search,Mobile,Europe,165,114,15,6,2025-01
21,2025-01-01,Paid Search,Mobile,Southeast Asia,145,100,19,8,2025-01
22,2025-01-01,Paid Search,Mobile,East Asia,71,55,8,3,2025-01
23,2025-01-01,Paid Search,Mobile,Oceania,38,26,3,1,2025-01
24,2025-01-01,Paid Search,Mobile,Middle East,30,23,3,1,2025-01
25,2025-01-01,Paid Search,Desktop,North America,135,101,14,7,2025-01
26,2025-01-01,Paid Search,Desktop,Europe,70,55,5,1,2025-01
27,2025-01-01,Paid Search,Desktop,Southeast Asia,63,44,5,2,2025-01
28,2025-01-01,Paid Search,Desktop,East Asia,38,30,3,1,2025-01
29,2025-01-01,Paid Search,Desktop,Oceania,19,14,1,0,2025-01
30,2025-01-01,Paid Search,Desktop,Middle East,14,10,1,0,2025-01
31,2025-01-01,Paid Search,Tablet,North America,56,44,5,1,2025-01
32,2025-01-01,Paid Search,Tablet,Europe,23,16,3,1,2025-01
33,2025-01-01,Paid Search,Tablet,Southeast Asia,24,17,2,0,2025-01
34,2025-01-01,Paid Search,Tablet,East Asia,17,13,2,0,2025-01
35,2025-01-01,Paid Search,Tablet,Oceania,8,5,1,0,2025-01
36,2025-01-01,Paid Search,Tablet,Middle East,5,3,0,0,2025-01
37,2025-01-01,Direct,Mobile,North America,273,189,21,7,2025-01
38,2025-01-01,Direct,Mobile,Europe,117,95,10,3,2025-01
39,2025-01-01,Direct,Mobile,Southeast Asia,137,100,16,6,2025-01
40,2025-01-01,Direct,Mobile,East Asia,76,56,9,3,2025-01
41,2025-01-01,Direct,Mobile,Oceania,34,24,3,1,2025-01
42,2025-01-01,Direct,Mobile,Middle East,22,16,2,0,2025-01
43,2025-01-01,Direct,Desktop,North America,116,85,15,6,2025-01
44,2025-01-01,Direct,Desktop,Europe,64,47,6,3,2025-01
45,2025-01-01,Direct,Desktop,Southeast Asia,62,42,6,3,2025-01
46,2025-01-01,Direct,Desktop,East Asia,33,26,3,1,2025-01
47,2025-01-01,Direct,Desktop,Oceania,16,11,1,0,2025-01
48,2025-01-01,Direct,Desktop,Middle East,10,7,1,0,2025-01
49,2025-01-01,Direct,Tablet,North America,44,35,5,2,2025-01
50,2025-01-01,Direct,Tablet,Europe,24,16,2,0,2025-01
51,2025-01-01,Direct,Tablet,Southeast Asia,24,18,2,0,2025-01
52,2025-01-01,Direct,Tablet,East Asia,13,8,1,0,2025-01
53,2025-01-01,Direct,Tablet,Oceania,5,3,0,0,2025-01
54,2025-01-01,Direct,Tablet,Middle East,4,3,0,0,2025-01
55,2025-01-01,Email,Mobile,North America,152,102,18,8,2025-01
56,2025-01-01,Email,Mobile,Europe,82,62,6,2,2025-01
57,2025-01-01,Email,Mobile,Southeast Asia,68,54,8,3,2025-01
58,2025-01-01,Email,Mobile,East Asia,44,31,3,1,2025-01
59,2025-01-01,Email,Mobile,Oceania,30,24,3,1,2025-01
60,2025-01-01,Email,Mobile,Middle East,16,11,1,0,2025-01
61,2025-01-01,Email,Desktop,North America,78,56,11,5,2025-01
62,2025-01-01,Email,Desktop,Europe,41,33,4,2,2025-01
63,2025-01-01,Email,Desktop,Southeast Asia,31,23,2,0,2025-01
64,2025-01-01,Email,Desktop,East Asia,19,12,2,1,2025-01
65,2025-01-01,Email,Desktop,Oceania,12,8,1,0,2025-01
66,2025-01-01,Email,Desktop,Middle East,7,5,0,0,2025-01
67,2025-01-01,Email,Tablet,North America,30,20,2,0,2025-01
68,2025-01-01,Email,Tablet,Europe,17,13,2,0,2025-01
69,2025-01-01,Email,Tablet,Southeast Asia,13,10,1,0,2025-01
70,2025-01-01,Email,Tablet,East Asia,8,6,0,0,2025-01
71,2025-01-01,Email,Tablet,Oceania,4,2,0,0,2025-01
72,2025-01-01,Email,Tablet,Middle East,3,2,0,0,2025-01
73,2025-01-01,Social,Mobile,North America,205,158,20,7,2025-01
74,2025-01-01,Social,Mobile,Europe,114,81,8,3,2025-01
75,2025-01-01,Social,Mobile,Southeast Asia,81,64,8,4,2025-01
76,2025-01-01,Social,Mobile,East Asia,66,53,9,4,2025-01
77,2025-01-01,Social,Mobile,Oceania,31,24,3,1,2025-01
78,2025-01-01,Social,Mobile,Middle East,21,16,1,0,2025-01
