month,gmv,net_revenue,orders,refunds,cancels,sessions,visitors,aov,conversion_rate,refund_cancel_rate
2025-01,2695970.07,2328040.68,6593,333,236,200251,147279,408.91401031396936,0.03292368078062032,0.08630365539208251
2025-02,2308660.77,1999074.69,5645,246,199,170704,125654,408.974449955713,0.0330689380448027,0.07883082373782108
2025-03,3041872.32,2636164.64,7400,338,269,224463,164706,411.063827027027,0.03296757149285183,0.08202702702702702
2025-04,2777720.83,2416600.15,6726,290,257,204189,150318,412.98257954207554,0.032940070229052494,0.08132619684805234
2025-05,2921345.17,2549657.01,7284,324,261,219824,161987,401.06331274025257,0.03313559938860179,0.08031301482701812
2025-06,3006950.31,2624376.29,7394,341,252,223180,164092,406.6743724641601,0.03313020880007169,0.0802001622937517
2025-07,3322617.64,2879010.8,8014,360,285,242405,178454,414.6016521088096,0.03306037416719952,0.08048415273271775
2025-08,3064540.92,2705317.53,7565,270,263,229774,169255,405.09463582286844,0.0329236554179324,0.07045604758757436
2025-09,2965806.03,2591313.29,7255,296,248,220068,162272,408.794766368022,0.032967082901648584,0.07498277050310131
2025-10,2986110.67,2576257.11,7253,340,259,220522,162482,411.7069722873294,0.03289014248011536,0.08258651592444506
2025-11,3922108.96,3405290.03,9586,396,353,288809,212845,409.14969330273317,0.03319148641489704,0.07813477988733569
2025-12,4224940.67,3682984.84,10223,467,344,308138,228044,413.27796830675925,0.03317669355937924,0.07933092047344224
2026-01,2869161.15,2514719.92,7119,307,248,214943,157808,403.0286767804467,0.03312040866648367,0.07796038769490098
2026-02,2600669.67,2259655.96,6516,271,242,197499,145294,399.1205755064457,0.03299257211428919,0.0787292817679558
2026-03,3107209.58,2703935.55,7545,340,242,230469,170091,411.82366865473824,0.03273759160668029,0.07713717693836979
2026-04,3127847.46,2712379.38,7771,335,254,235199,173761,402.50256852399946,0.033040106463037684,0.07579462102689487
2026-05,3483544.74,3051661.85,8382,360,297,253362,186673,415.5982748747316,0.03308309849148649,0.07838224767358626
