customer_id,region,customer_segment,signup_date,country,marketing_opt_in
U70934,Northeast,Returning,2024-01-01,United States,1
U82272,South,Returning,2024-01-01,United States,1
U41304,Northeast,Returning,2024-01-01,United States,1
U48721,Northeast,Returning,2024-01-01,United States,1
U17131,Midwest,Returning,2024-01-01,United States,1
U83404,South,New,2024-01-01,United States,1
U81899,West,New,2024-01-01,United States,1
U32727,Midwest,Returning,2024-01-01,United States,1
U77580,Midwest,New,2024-01-01,United States,1
U63985,Midwest,New,2024-01-01,United States,1
U42555,Northeast,Returning,2024-01-01,United States,1
U48020,West,Returning,2024-01-01,United States,1
U88935,West,New,2024-01-01,United States,1
U88951,West,Returning,2024-01-01,United States,1
U76908,South,New,2024-01-01,United States,1
U81639,West,Returning,2024-01-01,United States,1
U76944,South,New,2024-01-01,United States,1
U80153,West,New,2024-01-01,United States,1
U93985,International,New,2024-01-01,United States,1
U25828,South,Returning,2024-01-01,United States,1
U51690,Midwest,Returning,2024-01-01,United States,1
U60305,West,Returning,2024-01-01,United States,1
U53574,International,Returning,2024-01-01,United States,1
U54937,International,New,2024-01-01,United States,1
U61508,Northeast,New,2024-01-01,United States,1
U78957,Midwest,Returning,2024-01-01,United States,1
U36422,Northeast,New,2024-01-01,United States,1
U54476,South,Returning,2024-01-01,United States,1
U35740,South,New,2024-01-01,United States,1
U10671,South,Returning,2024-01-01,United States,1
U46524,West,Returning,2024-01-01,United States,1
U79411,South,New,2024-01-01,United States,1
U11564,South,Returning,2024-01-01,United States,1
U47717,South,New,2024-01-01,United States,1
U33450,West,New,2024-01-01,United States,1
U71009,International,New,2024-01-01,United States,1
U89083,South,New,2024-01-01,United States,1
U10001,South,New,2024-01-01,United States,1
U85182,South,Returning,2024-01-01,United States,1
U39102,Midwest,Returning,2024-01-01,United States,1
U87847,Northeast,Returning,2024-01-01,United States,1
U94939,South,Returning,2024-01-01,United States,1
U31705,South,Returning,2024-01-01,United States,1
U75902,West,New,2024-01-01,United States,1
U42528,South,New,2024-01-01,United States,1
U92142,West,Returning,2024-01-01,United States,1
U43318,International,Returning,2024-01-01,United States,1
U44656,South,New,2024-01-01,United States,1
U77738,Midwest,New,2024-01-01,United States,1
U38056,West,Returning,2024-01-01,United States,1
U52432,Northeast,Returning,2024-01-01,United States,1
U52982,Midwest,Returning,2024-01-01,United States,1
U90960,South,Returning,2024-01-01,United States,1
U23979,Northeast,Returning,2024-01-01,United States,1
U94033,West,New,2024-01-01,United States,1
U88570,West,Returning,2024-01-01,United States,1
U34707,South,Returning,2024-01-01,United States,1
U90571,Midwest,Returning,2024-01-01,United States,1
U50179,South,New,2024-01-01,United States,1
U44239,Midwest,Returning,2024-01-01,United States,1
U12992,West,Returning,2024-01-01,United States,1
U57004,International,Returning,2024-01-01,United States,1
U49930,West,Returning,2024-01-01,United States,1
U20541,West,New,2024-01-01,United States,1
U64653,South,New,2024-01-01,United States,1
U16352,South,New,2024-01-01,United States,1
U11601,International,New,2024-01-01,United States,1
U18915,Midwest,Returning,2024-01-01,United States,1
U53870,West,Returning,2024-01-01,United States,1
U33875,Northeast,Returning,2024-01-01,United States,1
U10192,Northeast,New,2024-01-01,United States,1
U84702,Midwest,New,2024-01-01,United States,1
U49800,South,New,2024-01-01,United States,1
U46507,International,New,2024-01-01,United States,1
U27778,South,New,2024-01-01,United States,1
U79615,Northeast,Returning,2024-01-01,United States,1
U95966,South,Returning,2024-01-01,United States,1
U56071,Midwest,New,2024-01-01,United States,1
U10512,International,Returning,2024-01-01,United States,1
U88308,West,Returning,2024-01-01,United States,1
U75458,South,Returning,2024-01-01,United States,1
U85214,Northeast,Returning,2024-01-01,United States,1
U83282,South,New,2024-01-01,United States,1
U46748,West,Returning,2024-01-01,United States,1
U86586,Northeast,Returning,2024-01-01,United States,1
U68905,West,Returning,2024-01-01,United States,1
U71760,Midwest,Returning,2024-01-01,United States,1
U17433,International,New,2024-01-01,United States,1
U55522,South,Returning,2024-01-01,United States,1
U91804,International,Returning,2024-01-01,United States,1
U65993,Midwest,Returning,2024-01-01,United States,1
U73737,South,Returning,2024-01-01,United States,1
U79094,International,New,2024-01-01,United States,1
U92064,International,Returning,2024-01-01,United States,1
U40656,Midwest,Returning,2024-01-01,United States,1
U86648,West,Returning,2024-01-01,United States,1
U82865,International,Returning,2024-01-01,United States,1
U15667,International,New,2024-01-01,United States,1
U66288,Midwest,Returning,2024-01-01,United States,1
U93609,Midwest,New,2024-01-01,United States,1
U25779,West,New,2024-01-01,United States,1
U39613,International,Returning,2024-01-01,United States,1
U50071,Midwest,New,2024-01-01,United States,1
U96005,Midwest,Returning,2024-01-01,United States,1
U70845,South,Returning,2024-01-01,United States,1
U46123,West,New,2024-01-01,United States,1
U12337,Northeast,Returning,2024-01-01,United States,1
U58069,Northeast,Returning,2024-01-01,United States,1
U74547,Midwest,New,2024-01-01,United States,1
U41026,Northeast,Returning,2024-01-01,United States,1
U62499,South,New,2024-01-01,United States,1
U49657,South,New,2024-01-01,United States,1
U92038,International,New,2024-01-01,United States,1
U81634,South,New,2024-01-01,United States,1
U89639,Northeast,New,2024-01-01,United States,1
U30721,Midwest,Returning,2024-01-01,United States,1
U15517,South,Returning,2024-01-01,United States,1
U99144,Midwest,New,2024-01-01,United States,1
U33074,Northeast,New,2024-01-01,United States,1
U20169,South,Returning,2024-01-01,United States,1
U26627,South,Returning,2024-01-01,United States,1
U59934,West,Returning,2024-01-01,United States,1
U53700,Midwest,Returning,2024-01-01,United States,1
U77211,West,Returning,2024-01-01,United States,1
U10789,Northeast,Returning,2024-01-01,United States,1
U75228,Northeast,Returning,2024-01-01,United States,1
U64767,International,Returning,2024-01-01,United States,1
U38258,International,Returning,2024-01-01,United States,1
U69888,South,New,2024-01-01,United States,1
U54035,West,Returning,2024-01-01,United States,1
U43474,South,New,2024-01-01,United States,1
U16331,West,Returning,2024-01-01,United States,1
U74128,West,Returning,2024-01-01,United States,1
U60396,International,New,2024-01-01,United States,1
U58293,South,Returning,2024-01-01,United States,1
