month,channel,spend,impressions,clicks
2025-01,Affiliate,29718.58,1138477,47770
2025-01,Direct,0.0,0,0
2025-01,Email,12226.03,1691437,68979
2025-01,Organic Search,0.0,0,0
2025-01,Paid Search,124794.28,2099032,81097
2025-01,Paid Social,2776.89,81299,3295
2025-01,Referral,0.0,0,0
2025-02,Affiliate,27457.51,1205970,43811
2025-02,Direct,0.0,0,0
2025-02,Email,11317.21,1636985,64081
2025-02,Organic Search,0.0,0,0
2025-02,Paid Search,126745.3,2115108,83049
2025-02,Paid Social,2809.52,74761,3284
2025-02,Referral,0.0,0,0
2025-03,Affiliate,36004.65,1627544,57790
2025-03,Direct,0.0,0,0
2025-03,Email,14318.18,1959081,79091
2025-03,Organic Search,0.0,0,0
2025-03,Paid Search,162999.52,2659046,104899
2025-03,Paid Social,173895.01,5139136,197793
2025-03,Referral,0.0,0,0
2025-04,Affiliate,35313.97,1597099,57002
2025-04,Direct,0.0,0,0
2025-04,Email,15339.09,2192378,83996
2025-04,Organic Search,0.0,0,0
2025-04,Paid Search,156662.15,2538166,102327
2025-04,Paid Social,164732.4,4805249,191862
2025-04,Referral,0.0,0,0
2025-05,Affiliate,29676.59,1156533,47127
2025-05,Direct,0.0,0,0
2025-05,Email,25467.07,3471432,142308
2025-05,Organic Search,0.0,0,0
2025-05,Paid Search,135894.54,2317393,90149
2025-05,Paid Social,139311.53,3864790,157579
2025-05,Referral,0.0,0,0
2025-06,Affiliate,28488.329999999998,1317383,45645
2025-06,Direct,0.0,0,0
2025-06,Email,21592.65,3055475,120745
2025-06,Organic Search,0.0,0,0
2025-06,Paid Search,124151.26,1878628,79586
2025-06,Paid Social,132534.13,3670415,148360
2025-06,Referral,0.0,0,0
2025-07,Affiliate,27016.41,1119751,43334
2025-07,Direct,0.0,0,0
2025-07,Email,20863.45,2939399,115349
2025-07,Organic Search,0.0,0,0
2025-07,Paid Search,117181.32,1870732,76884
2025-07,Paid Social,129736.08,3954810,148810
2025-07,Referral,0.0,0,0
2025-08,Affiliate,25497.11,1100197,41349
2025-08,Direct,0.0,0,0
2025-08,Email,21155.01,3040453,120033
2025-08,Organic Search,0.0,0,0
2025-08,Paid Search,116351.79000000001,1906623,74249
2025-08,Paid Social,121632.93000000001,3593035,137191
2025-08,Referral,0.0,0,0
2025-09,Affiliate,24052.84,905466,38972
2025-09,Direct,0.0,0,0
2025-09,Email,19643.35,2686431,111120
2025-09,Organic Search,0.0,0,0
2025-09,Paid Search,108305.45,1817325,69865
2025-09,Paid Social,112167.05,3411222,129030
2025-09,Referral,0.0,0,0
2025-10,Affiliate,24631.0,1010833,41004
2025-10,Direct,0.0,0,0
2025-10,Email,19296.26,2813643,108392
2025-10,Organic Search,0.0,0,0
2025-10,Paid Search,112599.47,1951690,74608
2025-10,Paid Social,112906.31,3269230,128689
2025-10,Referral,0.0,0,0
2025-11,Affiliate,28180.73,1184897,46270
2025-11,Direct,0.0,0,0
2025-11,Email,24780.29,3648454,137917
2025-11,Organic Search,0.0,0,0
2025-11,Paid Search,129821.39,2147963,84945
2025-11,Paid Social,133566.57,4057542,152243
2025-11,Referral,0.0,0,0
2025-12,Affiliate,27591.44,1200597,45266
2025-12,Direct,0.0,0,0
2025-12,Email,20832.94,2911101,117666
2025-12,Organic Search,0.0,0,0
2025-12,Paid Search,120154.17,1983703,77962
2025-12,Paid Social,123328.01,3508001,140391
2025-12,Referral,0.0,0,0
2026-01,Affiliate,28624.07,1150956,46915
2026-01,Direct,0.0,0,0
2026-01,Email,23972.1,3242545,134770
2026-01,Organic Search,0.0,0,0
2026-01,Paid Search,130808.37,2186067,84258
2026-01,Paid Social,136862.73,3939841,155712
2026-01,Referral,0.0,0,0
2026-02,Affiliate,27411.54,1168098,45681
2026-02,Direct,0.0,0,0
2026-02,Email,22232.85,3045156,121799
2026-02,Organic Search,0.0,0,0
2026-02,Paid Search,121011.77,1938829,78599
2026-02,Paid Social,125758.21,3803783,143365
2026-02,Referral,0.0,0,0
2026-03,Affiliate,36495.11,1516636,58900
2026-03,Direct,0.0,0,0
2026-03,Email,30393.17,4605655,170767
2026-03,Organic Search,0.0,0,0
2026-03,Paid Search,162443.47,2854307,105154
2026-03,Paid Social,172316.66,5072431,196639
2026-03,Referral,0.0,0,0
2026-04,Affiliate,35018.43,1355132,55995
2026-04,Direct,0.0,0,0
2026-04,Email,29383.06,4286985,166553
2026-04,Organic Search,0.0,0,0
2026-04,Paid Search,156119.48,2599888,100211
2026-04,Paid Social,166940.41,5044234,192511
2026-04,Referral,0.0,0,0
2026-05,Affiliate,30548.86,1334127,49490
2026-05,Direct,0.0,0,0
2026-05,Email,25715.51,3640165,142981
2026-05,Organic Search,0.0,0,0
2026-05,Paid Search,135000.8,2164428,87475
2026-05,Paid Social,60924.43,1632328,69828
2026-05,Referral,0.0,0,0
