order_key,order_id,order_date,customer_id,product_id,category,subcategory,region,channel,device,customer_segment,customer_home_region,status,quantity,unit_price,discount_amount,shipping_fee,tax_amount,gmv,net_revenue,refund_amount,contribution_margin,payment_method,is_first_order,order_month,completed_order_flag,refund_order_flag,cancel_order_flag
1,O00000001,2025-01-01,U63985,SKU_1002,Apparel,Outerwear,Midwest,Organic Search,Desktop,Returning,Midwest,Completed,1,68.86,7.59,0.0,0.0,68.86,61.27,0.0,19.47,Card,0,2025-01,1,0,0
2,O00000002,2025-01-01,U76944,SKU_1029,Home,Decor,South,Organic Search,Mobile,Returning,South,Completed,1,98.15,13.49,0.0,0.0,98.15,84.66,0.0,31.27,Card,0,2025-01,1,0,0
3,O00000003,2025-01-01,U51690,SKU_1016,Beauty,Haircare,Midwest,Paid Search,Mobile,Returning,Midwest,Completed,3,27.61,9.27,0.0,0.0,82.83,73.56,0.0,35.61,Card,0,2025-01,1,0,0
4,O00000004,2025-01-01,U79411,SKU_1001,Apparel,Outerwear,South,Direct,Tablet,Returning,South,Completed,2,55.32,9.11,0.0,0.0,110.64,101.53,0.0,35.31,Card,0,2025-01,1,0,0
5,O00000005,2025-01-01,U33450,SKU_1036,Sports,Outdoor,West,Direct,Mobile,Returning,West,Completed,1,68.56,5.79,0.0,0.0,68.56,62.77,0.0,21.8,Card,0,2025-01,1,0,0
6,O00000006,2025-01-01,U92142,SKU_1019,Electronics,Smart Home,West,Paid Search,Desktop,Returning,West,Completed,1,206.64,28.08,0.0,0.0,206.64,178.56,0.0,77.58,Card,0,2025-01,1,0,0
7,O00000007,2025-01-01,U94033,SKU_1005,Apparel,Basics,West,Referral,Desktop,Returning,West,Completed,1,59.14,0.0,0.0,0.0,59.14,59.14,0.0,25.3,Card,0,2025-01,1,0,0
8,O00000008,2025-01-01,U50179,SKU_1002,Apparel,Outerwear,South,Email,Mobile,Returning,South,Completed,1,68.86,6.05,0.0,0.0,68.86,62.81,0.0,19.96,Card,0,2025-01,1,0,0
9,O00000009,2025-01-01,U49930,SKU_1005,Apparel,Basics,West,Referral,Mobile,Returning,West,Completed,1,59.14,6.85,0.0,0.0,59.14,52.29,0.0,22.37,Card,0,2025-01,1,0,0
10,O00000010,2025-01-01,U84702,SKU_1020,Electronics,Smart Home,Midwest,Organic Search,Mobile,Returning,Midwest,Completed,1,218.82,19.0,0.0,0.0,218.82,199.82,0.0,90.11,Card,0,2025-01,1,0,0
11,O00000011,2025-01-01,U79094,SKU_1044,Books,Fiction,International,Direct,Desktop,Returning,International,Completed,1,26.55,3.38,0.0,0.0,26.55,23.17,0.0,12.7,Card,0,2025-01,1,0,0
12,O00000012,2025-01-01,U40656,SKU_1028,Home,Bedding,Midwest,Paid Social,Mobile,Returning,Midwest,Completed,2,83.76,19.99,0.0,0.0,167.52,147.53,0.0,40.62,Card,0,2025-01,1,0,0
13,O00000013,2025-01-01,U15667,SKU_1023,Electronics,Accessories,International,Organic Search,Desktop,Returning,International,Completed,1,262.59,31.4,0.0,0.0,262.59,231.19,0.0,94.79,Card,0,2025-01,1,0,0
14,O00000014,2025-01-01,U39613,SKU_1046,Books,Children,International,Paid Search,Desktop,Returning,International,Completed,1,27.66,1.39,0.0,0.0,27.66,26.27,0.0,10.98,Card,0,2025-01,1,0,0
15,O00000015,2025-01-01,U30721,SKU_1043,Books,Fiction,Midwest,Direct,Mobile,Returning,Midwest,Completed,1,20.68,1.39,0.0,0.0,20.68,19.29,0.0,7.73,Card,0,2025-01,1,0,0
16,O00000016,2025-01-01,U26627,SKU_1026,Home,Kitchen,South,Direct,Desktop,Returning,South,Completed,1,95.4,5.6,0.0,0.0,95.4,89.8,0.0,47.77,Card,0,2025-01,1,0,0
17,O00000017,2025-01-01,U10789,SKU_1034,Sports,Training,Northeast,Email,Desktop,Returning,Northeast,Completed,1,82.03,5.06,0.0,0.0,82.03,76.97,0.0,38.39,Card,0,2025-01,1,0,0
18,O00000018,2025-01-01,U75228,SKU_1017,Electronics,Audio,Northeast,Paid Search,Mobile,Returning,Northeast,Completed,1,214.0,32.2,0.0,0.0,214.0,181.8,0.0,77.01,Card,0,2025-01,1,0,0
19,O00000019,2025-01-01,U43474,SKU_1003,Apparel,Footwear,South,Organic Search,Mobile,Returning,South,Completed,2,71.09,24.25,0.0,0.0,142.18,117.93,0.0,52.01,Card,0,2025-01,1,0,0
20,O00000020,2025-01-01,U74128,SKU_1016,Beauty,Haircare,West,Affiliate,Desktop,Returning,West,Completed,1,27.61,1.57,0.0,0.0,27.61,26.04,0.0,12.61,Card,0,2025-01,1,0,0
21,O00000021,2025-01-01,U37294,SKU_1013,Beauty,Fragrance,Midwest,Organic Search,Mobile,Returning,Midwest,Completed,1,50.45,4.16,0.0,0.0,50.45,46.29,0.0,12.61,Card,0,2025-01,1,0,0
22,O00000022,2025-01-01,U89977,SKU_1029,Home,Decor,Northeast,Organic Search,Mobile,Returning,Northeast,Completed,1,98.15,12.96,0.0,0.0,98.15,85.19,0.0,31.47,Card,0,2025-01,1,0,0
23,O00000023,2025-01-01,U55119,SKU_1020,Electronics,Smart Home,West,Organic Search,Mobile,Returning,West,Completed,1,218.82,19.23,0.0,0.0,218.82,199.59,0.0,90.01,Card,0,2025-01,1,0,0
24,O00000024,2025-01-01,U88070,SKU_1043,Books,Fiction,South,Direct,Mobile,Returning,South,Completed,1,20.68,1.61,0.0,0.0,20.68,19.07,0.0,7.65,Card,0,2025-01,1,0,0
25,O00000025,2025-01-01,U26171,SKU_1028,Home,Bedding,International,Direct,Mobile,Returning,International,Completed,1,83.76,4.5,0.0,0.0,83.76,79.26,0.0,21.82,Card,0,2025-01,1,0,0
26,O00000026,2025-01-01,U35946,SKU_1010,Beauty,Skincare,Northeast,Organic Search,Desktop,Returning,Northeast,Completed,1,37.2,4.06,0.0,0.0,37.2,33.14,0.0,11.11,Card,0,2025-01,1,0,0
27,O00000027,2025-01-01,U81494,SKU_1012,Beauty,Makeup,West,Organic Search,Desktop,Returning,West,Refunded,1,30.42,2.76,0.0,0.0,30.42,0.0,27.66,0.0,Card,0,2025-01,0,1,0
28,O00000028,2025-01-01,U42269,SKU_1031,Home,Storage,Midwest,Organic Search,Desktop,Returning,Midwest,Completed,1,87.53,7.14,0.0,0.0,87.53,80.39,0.0,35.29,Card,0,2025-01,1,0,0
29,O00000029,2025-01-01,U28872,SKU_1009,Beauty,Skincare,International,Paid Search,Desktop,Returning,International,Completed,1,46.75,4.72,0.0,0.0,46.75,42.03,0.0,17.62,Card,0,2025-01,1,0,0
