session_key,session_date,channel,device,region,session_month,sessions,visitors,add_to_cart,checkout_starts
1,2025-01-01,Affiliate,Desktop,Midwest,2025-01,1,1,0,0
2,2025-01-01,Affiliate,Desktop,Northeast,2025-01,2,2,0,0
3,2025-01-01,Affiliate,Desktop,West,2025-01,1,1,1,1
4,2025-01-01,Affiliate,Mobile,International,2025-01,1,1,0,0
5,2025-01-01,Affiliate,Mobile,Midwest,2025-01,2,2,1,1
6,2025-01-01,Affiliate,Mobile,Northeast,2025-01,5,5,0,0
7,2025-01-01,Affiliate,Mobile,South,2025-01,7,7,2,0
8,2025-01-01,Affiliate,Mobile,West,2025-01,1,1,0,0
9,2025-01-01,Affiliate,Tablet,International,2025-01,1,1,0,0
10,2025-01-01,Affiliate,Tablet,Midwest,2025-01,2,2,0,0
11,2025-01-01,Direct,Desktop,International,2025-01,4,4,3,1
12,2025-01-01,Direct,Desktop,Midwest,2025-01,2,2,1,1
13,2025-01-01,Direct,Desktop,Northeast,2025-01,2,2,1,1
14,2025-01-01,Direct,Desktop,South,2025-01,5,5,1,1
15,2025-01-01,Direct,Desktop,West,2025-01,3,3,0,0
16,2025-01-01,Direct,Mobile,International,2025-01,4,4,2,2
17,2025-01-01,Direct,Mobile,Midwest,2025-01,2,2,2,1
18,2025-01-01,Direct,Mobile,Northeast,2025-01,5,5,1,0
19,2025-01-01,Direct,Mobile,South,2025-01,8,8,2,1
20,2025-01-01,Direct,Mobile,West,2025-01,6,6,3,1
21,2025-01-01,Direct,Tablet,Midwest,2025-01,2,2,0,0
22,2025-01-01,Direct,Tablet,South,2025-01,2,2,1,1
23,2025-01-01,Direct,Tablet,West,2025-01,1,1,0,0
24,2025-01-01,Email,Desktop,International,2025-01,3,3,2,0
25,2025-01-01,Email,Desktop,Midwest,2025-01,1,1,0,0
26,2025-01-01,Email,Desktop,Northeast,2025-01,3,3,1,1
27,2025-01-01,Email,Desktop,South,2025-01,2,2,2,1
28,2025-01-01,Email,Desktop,West,2025-01,3,3,1,1
29,2025-01-01,Email,Mobile,International,2025-01,1,1,0,0
30,2025-01-01,Email,Mobile,Midwest,2025-01,5,5,2,1
31,2025-01-01,Email,Mobile,Northeast,2025-01,1,1,1,0
32,2025-01-01,Email,Mobile,South,2025-01,3,3,3,2
33,2025-01-01,Email,Mobile,West,2025-01,2,2,0,0
34,2025-01-01,Organic Search,Desktop,International,2025-01,5,5,2,1
35,2025-01-01,Organic Search,Desktop,Midwest,2025-01,9,9,3,3
36,2025-01-01,Organic Search,Desktop,Northeast,2025-01,4,4,1,1
37,2025-01-01,Organic Search,Desktop,South,2025-01,6,6,0,0
38,2025-01-01,Organic Search,Desktop,West,2025-01,8,8,5,2
39,2025-01-01,Organic Search,Mobile,International,2025-01,3,3,1,0
40,2025-01-01,Organic Search,Mobile,Midwest,2025-01,6,6,2,2
41,2025-01-01,Organic Search,Mobile,Northeast,2025-01,6,6,3,3
42,2025-01-01,Organic Search,Mobile,South,2025-01,10,10,3,3
43,2025-01-01,Organic Search,Mobile,West,2025-01,13,13,3,2
44,2025-01-01,Organic Search,Tablet,Northeast,2025-01,1,1,1,1
45,2025-01-01,Organic Search,Tablet,West,2025-01,1,1,0,0
46,2025-01-01,Paid Search,Desktop,International,2025-01,4,4,3,3
47,2025-01-01,Paid Search,Desktop,Midwest,2025-01,2,2,0,0
48,2025-01-01,Paid Search,Desktop,Northeast,2025-01,4,4,1,1
49,2025-01-01,Paid Search,Desktop,South,2025-01,7,7,1,0
50,2025-01-01,Paid Search,Desktop,West,2025-01,5,5,1,1
51,2025-01-01,Paid Search,Mobile,International,2025-01,1,1,0,0
52,2025-01-01,Paid Search,Mobile,Midwest,2025-01,3,3,2,2
53,2025-01-01,Paid Search,Mobile,Northeast,2025-01,5,5,2,1
54,2025-01-01,Paid Search,Mobile,South,2025-01,4,4,1,1
55,2025-01-01,Paid Search,Mobile,West,2025-01,4,4,2,1
56,2025-01-01,Paid Search,Tablet,International,2025-01,1,1,0,0
57,2025-01-01,Paid Search,Tablet,Midwest,2025-01,2,2,0,0
58,2025-01-01,Paid Search,Tablet,Northeast,2025-01,3,3,1,0
59,2025-01-01,Paid Search,Tablet,South,2025-01,2,2,0,0
60,2025-01-01,Paid Social,Desktop,International,2025-01,1,1,0,0
61,2025-01-01,Paid Social,Desktop,Midwest,2025-01,2,2,0,0
62,2025-01-01,Paid Social,Desktop,Northeast,2025-01,2,2,0,0
63,2025-01-01,Paid Social,Desktop,South,2025-01,2,2,1,0
64,2025-01-01,Paid Social,Desktop,West,2025-01,1,1,0,0
65,2025-01-01,Paid Social,Mobile,International,2025-01,7,7,1,0
66,2025-01-01,Paid Social,Mobile,Midwest,2025-01,2,2,1,1
67,2025-01-01,Paid Social,Mobile,Northeast,2025-01,9,9,5,2
68,2025-01-01,Paid Social,Mobile,South,2025-01,6,6,1,1
69,2025-01-01,Paid Social,Mobile,West,2025-01,5,5,2,1
70,2025-01-01,Paid Social,Tablet,International,2025-01,1,1,0,0
71,2025-01-01,Paid Social,Tablet,Midwest,2025-01,3,3,1,1
