month_start,device_key,channel_key,campaign_key,category_key,visits,product_views,add_to_carts,checkouts,purchases,orders,revenue,gross_revenue,refund_amount,overall_conversion_rate,cart_to_purchase_rate
2025-01-01,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_APPAREL,32,27,11,9,9,9.0,559.59,602.45,0.0,0.28125,0.818182
2025-01-01,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_BEAUTY,34,29,16,13,7,7.0,349.95,382.22,0.0,0.205882,0.4375
2025-01-01,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_BOOKS,9,9,3,2,2,2.0,53.91,62.56,0.0,0.222222,0.666667
2025-01-01,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_ELECTRONICS,23,16,3,3,2,2.0,417.83000000000004,467.80999999999995,0.0,0.086957,0.666667
2025-01-01,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_HOME,21,15,5,4,1,1.0,84.72,102.06,0.0,0.047619,0.2
2025-01-01,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_SPORTS,18,16,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_APPAREL,140,119,61,37,32,32.0,2514.72,2745.66,0.0,0.228571,0.52459
2025-01-01,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_BEAUTY,107,93,49,39,30,30.0,1283.85,1410.42,0.0,0.280374,0.612245
2025-01-01,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_BOOKS,65,63,22,17,11,11.0,343.07,381.25,0.0,0.169231,0.5
2025-01-01,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_ELECTRONICS,119,99,40,25,16,16.0,4018.2,4562.61,206.68,0.134454,0.4
2025-01-01,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_HOME,105,92,36,25,15,15.0,1466.51,1604.31,0.0,0.142857,0.416667
2025-01-01,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_SPORTS,85,73,27,20,9,9.0,922.23,1008.97,0.0,0.105882,0.333333
2025-01-01,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_APPAREL,85,81,40,31,20,20.0,1346.83,1553.17,0.0,0.235294,0.5
2025-01-01,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_BEAUTY,68,67,42,33,28,28.0,1074.12,1249.33,0.0,0.411765,0.666667
2025-01-01,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_BOOKS,28,28,15,14,11,11.0,247.2,287.28,0.0,0.392857,0.733333
2025-01-01,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_ELECTRONICS,56,53,32,27,21,21.0,5023.95,5708.38,0.0,0.375,0.65625
2025-01-01,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_HOME,63,58,32,24,24,24.0,2524.14,2920.33,0.0,0.380952,0.75
2025-01-01,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_SPORTS,47,44,24,20,16,16.0,1289.66,1503.21,0.0,0.340426,0.666667
2025-01-01,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_APPAREL,215,191,73,51,29,29.0,1997.29,2237.68,63.53,0.134884,0.39726
2025-01-01,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_BEAUTY,178,158,77,51,36,36.0,1447.74,1593.69,27.66,0.202247,0.467532
2025-01-01,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_BOOKS,72,67,28,22,9,9.0,234.91000000000003,253.08,0.0,0.125,0.321429
2025-01-01,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_ELECTRONICS,185,140,39,27,14,14.0,3241.55,3539.5099999999998,0.0,0.075676,0.358974
2025-01-01,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_HOME,161,129,61,35,24,24.0,2701.34,2956.23,0.0,0.149068,0.393443
2025-01-01,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_SPORTS,113,92,44,31,16,16.0,1215.8999999999999,1386.16,75.72,0.141593,0.363636
