order_id,session_id,user_id,order_date,date_key,device_key,channel_key,campaign_key,category_key,product_key,region,quantity,unit_price,gross_revenue,discount_amount,refund_flag,refund_amount,net_revenue,order_status,currency
O00000001,S00000010,U63985,2025-01-01,20250101,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_APPAREL,SKU_1002,Midwest,1,68.86,68.86,7.59,0,0.0,61.27,Completed,USD
O00000002,S00000017,U76944,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_HOME,SKU_1029,South,1,98.15,98.15,13.49,0,0.0,84.66,Completed,USD
O00000003,S00000021,U51690,2025-01-01,20250101,DEV_MOBILE,CH_PAID_SEARCH,CMP_GENERIC_SEARCH,CAT_BEAUTY,SKU_1016,Midwest,3,27.61,82.83,9.27,0,0.0,73.56,Completed,USD
O00000004,S00000032,U79411,2025-01-01,20250101,DEV_TABLET,CH_DIRECT,CMP_DIRECT_NONE,CAT_APPAREL,SKU_1001,South,2,55.32,110.64,9.11,0,0.0,101.53,Completed,USD
O00000005,S00000035,U33450,2025-01-01,20250101,DEV_MOBILE,CH_DIRECT,CMP_DIRECT_NONE,CAT_SPORTS,SKU_1036,West,1,68.56,68.56,5.79,0,0.0,62.77,Completed,USD
O00000006,S00000046,U92142,2025-01-01,20250101,DEV_DESKTOP,CH_PAID_SEARCH,CMP_GENERIC_SEARCH,CAT_ELECTRONICS,SKU_1019,West,1,206.64,206.64,28.08,0,0.0,178.56,Completed,USD
O00000007,S00000055,U94033,2025-01-01,20250101,DEV_DESKTOP,CH_REFERRAL,CMP_REVIEW_PARTNERS,CAT_APPAREL,SKU_1005,West,1,59.14,59.14,0.0,0,0.0,59.14,Completed,USD
O00000008,S00000059,U50179,2025-01-01,20250101,DEV_MOBILE,CH_EMAIL,CMP_CART_RECOVERY,CAT_APPAREL,SKU_1002,South,1,68.86,68.86,6.05,0,0.0,62.81,Completed,USD
O00000009,S00000063,U49930,2025-01-01,20250101,DEV_MOBILE,CH_REFERRAL,CMP_REVIEW_PARTNERS,CAT_APPAREL,SKU_1005,West,1,59.14,59.14,6.85,0,0.0,52.29,Completed,USD
O00000010,S00000072,U84702,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_ELECTRONICS,SKU_1020,Midwest,1,218.82,218.82,19.0,0,0.0,199.82,Completed,USD
O00000011,S00000093,U79094,2025-01-01,20250101,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_BOOKS,SKU_1044,International,1,26.55,26.55,3.38,0,0.0,23.17,Completed,USD
O00000012,S00000095,U40656,2025-01-01,20250101,DEV_MOBILE,CH_SOCIAL,CMP_SPRING_SALE,CAT_HOME,SKU_1028,Midwest,2,83.76,167.52,19.99,0,0.0,147.53,Completed,USD
O00000013,S00000098,U15667,2025-01-01,20250101,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_ELECTRONICS,SKU_1023,International,1,262.59,262.59,31.4,0,0.0,231.19,Completed,USD
O00000014,S00000102,U39613,2025-01-01,20250101,DEV_DESKTOP,CH_PAID_SEARCH,CMP_GENERIC_SEARCH,CAT_BOOKS,SKU_1046,International,1,27.66,27.66,1.39,0,0.0,26.27,Completed,USD
O00000015,S00000116,U30721,2025-01-01,20250101,DEV_MOBILE,CH_DIRECT,CMP_DIRECT_NONE,CAT_BOOKS,SKU_1043,Midwest,1,20.68,20.68,1.39,0,0.0,19.29,Completed,USD
O00000016,S00000121,U26627,2025-01-01,20250101,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_HOME,SKU_1026,South,1,95.4,95.4,5.6,0,0.0,89.8,Completed,USD
O00000017,S00000125,U10789,2025-01-01,20250101,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_SPORTS,SKU_1034,Northeast,1,82.03,82.03,5.06,0,0.0,76.97,Completed,USD
O00000018,S00000126,U75228,2025-01-01,20250101,DEV_MOBILE,CH_PAID_SEARCH,CMP_GENERIC_SEARCH,CAT_ELECTRONICS,SKU_1017,Northeast,1,214.0,214.0,32.2,0,0.0,181.8,Completed,USD
O00000019,S00000132,U43474,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_APPAREL,SKU_1003,South,2,71.09,142.18,24.25,0,0.0,117.93,Completed,USD
O00000020,S00000134,U74128,2025-01-01,20250101,DEV_DESKTOP,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_BEAUTY,SKU_1016,West,1,27.61,27.61,1.57,0,0.0,26.04,Completed,USD
O00000021,S00000148,U37294,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_BEAUTY,SKU_1013,Midwest,1,50.45,50.45,4.16,0,0.0,46.29,Completed,USD
O00000022,S00000152,U89977,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_HOME,SKU_1029,Northeast,1,98.15,98.15,12.96,0,0.0,85.19,Completed,USD
O00000023,S00000153,U55119,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_ELECTRONICS,SKU_1020,West,1,218.82,218.82,19.23,0,0.0,199.59,Completed,USD
O00000024,S00000159,U88070,2025-01-01,20250101,DEV_MOBILE,CH_DIRECT,CMP_DIRECT_NONE,CAT_BOOKS,SKU_1043,South,1,20.68,20.68,1.61,0,0.0,19.07,Completed,USD
O00000025,S00000164,U26171,2025-01-01,20250101,DEV_MOBILE,CH_DIRECT,CMP_DIRECT_NONE,CAT_HOME,SKU_1028,International,1,83.76,83.76,4.5,0,0.0,79.26,Completed,USD
O00000026,S00000173,U35946,2025-01-01,20250101,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_BEAUTY,SKU_1010,Northeast,1,37.2,37.2,4.06,0,0.0,33.14,Completed,USD
O00000027,S00000177,U81494,2025-01-01,20250101,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_BEAUTY,SKU_1012,West,1,30.42,30.42,2.76,1,27.66,0.0,Refunded,USD
O00000028,S00000186,U42269,2025-01-01,20250101,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_HOME,SKU_1031,Midwest,1,87.53,87.53,7.14,0,0.0,80.39,Completed,USD
O00000029,S00000203,U28872,2025-01-01,20250101,DEV_DESKTOP,CH_PAID_SEARCH,CMP_BRAND_SEARCH,CAT_BEAUTY,SKU_1009,International,1,46.75,46.75,4.72,0,0.0,42.03,Completed,USD
O00000030,S00000213,U45264,2025-01-01,20250101,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_HOME,SKU_1030,West,1,90.66,90.66,16.18,0,0.0,74.48,Completed,USD
O00000031,S00000263,U13983,2025-01-01,20250101,DEV_MOBILE,CH_AFFILIATE,CMP_AFF_MARKETPLACE,CAT_BEAUTY,SKU_1011,Midwest,1,35.96,35.96,0.26,0,0.0,35.7,Completed,USD
O00000032,S00000270,U71035,2025-01-01,20250101,DEV_DESKTOP,CH_PAID_SEARCH,CMP_BRAND_SEARCH,CAT_SPORTS,SKU_1035,Northeast,1,83.01,83.01,10.78,0,0.0,72.23,Completed,USD
O00000033,S00000271,U27515,2025-01-01,20250101,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_APPAREL,SKU_1007,West,1,49.81,49.81,4.98,0,0.0,44.83,Completed,USD
O00000034,S00000283,U99730,2025-01-02,20250102,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_ELECTRONICS,SKU_1023,South,1,262.59,262.59,35.35,0,0.0,227.24,Completed,USD
O00000035,S00000285,U64519,2025-01-02,20250102,DEV_DESKTOP,CH_DIRECT,CMP_DIRECT_NONE,CAT_BEAUTY,SKU_1010,West,2,37.2,74.4,5.61,0,0.0,68.79,Completed,USD
O00000036,S00000294,U95072,2025-01-02,20250102,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_BEAUTY,SKU_1009,International,2,46.75,93.5,6.9,0,0.0,86.6,Completed,USD
O00000037,S00000306,U14443,2025-01-02,20250102,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_SPORTS,SKU_1033,Northeast,1,78.25,78.25,2.63,0,0.0,75.62,Completed,USD
O00000038,S00000319,U15548,2025-01-02,20250102,DEV_DESKTOP,CH_EMAIL,CMP_CART_RECOVERY,CAT_HOME,SKU_1025,Northeast,1,87.29,87.29,9.86,0,0.0,77.43,Completed,USD
O00000039,S00000321,U31247,2025-01-02,20250102,DEV_MOBILE,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_ELECTRONICS,SKU_1021,West,1,231.2,231.2,24.25,0,0.0,206.95,Completed,USD
O00000040,S00000323,U97315,2025-01-02,20250102,DEV_DESKTOP,CH_PAID_SEARCH,CMP_BRAND_SEARCH,CAT_SPORTS,SKU_1035,South,1,83.01,83.01,5.65,0,0.0,77.36,Completed,USD
O00000041,S00000329,U48217,2025-01-02,20250102,DEV_DESKTOP,CH_ORGANIC,CMP_ORG_EVERGREEN,CAT_SPORTS,SKU_1035,International,1,83.01,83.01,8.66,0,0.0,74.35,Completed,USD
