UserID,LastOrderDate,DaysSinceLastPurchase,LifetimeOrders,LifetimeNetRevenue,AcquisitionChannel,Region,PlanTier,CustomerSegment,RiskScore,RiskBand,ChurnSignal,RecommendedAction
U000001,,9999,0,0.0,Organic,Europe,Free,Consumer,100.0,High,0,Winback offer
U000002,2026-05-06,25,2,104.68,Partner,LATAM,Growth,Consumer,0.0,Low,0,Cross-sell
U000003,,9999,0,0.0,Partner,APAC,Starter,Consumer,100.0,High,0,Winback offer
U000004,,9999,0,0.0,Paid Search,North America,Free,Consumer,100.0,High,0,Winback offer
U000005,2026-02-28,92,15,1231.97,Paid Search,APAC,Growth,SMB,31.1,Low,1,Monitor
U000006,,9999,0,0.0,Organic,North America,Pro,SMB,100.0,High,0,Winback offer
U000007,2026-04-29,32,5,874.93,Lifecycle Email,North America,Pro,Mid-Market,1.1,Low,0,Monitor
U000008,,9999,0,0.0,Organic,North America,Free,Consumer,100.0,High,0,Winback offer
U000009,,9999,0,0.0,Organic,North America,Starter,Consumer,100.0,High,0,Winback offer
U000010,2026-05-25,6,6,220.17,Partner,APAC,Free,SMB,0.0,Low,0,Cross-sell
U000011,,9999,0,0.0,Paid Social,North America,Free,Consumer,100.0,High,0,Winback offer
U000012,,9999,0,0.0,Organic,LATAM,Pro,Consumer,100.0,High,0,Winback offer
U000013,,9999,0,0.0,Organic,North America,Free,SMB,100.0,High,0,Winback offer
U000014,2026-05-16,15,8,219.04,Partner,North America,Free,SMB,0.0,Low,0,Cross-sell
U000015,,9999,0,0.0,Paid Social,Europe,Free,Mid-Market,100.0,High,0,Winback offer
U000016,2025-09-13,260,14,412.6,Paid Social,APAC,Starter,SMB,100.0,High,1,Winback offer
U000017,2026-02-16,104,22,499.51,Referral,Europe,Free,SMB,40.7,Medium,1,Lifecycle email
U000018,,9999,0,0.0,Organic,North America,Free,Enterprise,100.0,High,0,Winback offer
U000019,2025-10-09,234,10,4531.09,Referral,APAC,Pro,Enterprise,100.0,High,1,Winback offer
U000020,,9999,0,0.0,Organic,North America,Starter,Mid-Market,100.0,High,0,Winback offer
U000021,,9999,0,0.0,Paid Social,Europe,Starter,SMB,100.0,High,0,Winback offer
U000022,,9999,0,0.0,Partner,LATAM,Starter,SMB,100.0,High,0,Winback offer
U000023,,9999,0,0.0,Lifecycle Email,APAC,Free,SMB,100.0,High,0,Winback offer
U000024,2026-04-22,39,9,242.96,Lifecycle Email,Europe,Starter,Consumer,0.5,Low,0,Monitor
U000025,,9999,0,0.0,Referral,Europe,Free,Consumer,100.0,High,0,Winback offer
U000026,,9999,0,0.0,Lifecycle Email,North America,Free,Consumer,100.0,High,0,Winback offer
U000027,2025-03-15,442,6,150.75,Organic,Europe,Starter,Consumer,100.0,High,1,Winback offer
U000028,2026-04-21,40,5,198.44,Paid Search,North America,Growth,Consumer,5.5,Low,0,Monitor
U000029,2026-04-09,52,13,2059.06,Referral,LATAM,Starter,Enterprise,12.1,Low,0,Monitor
U000030,2026-05-05,26,5,115.49,Organic,APAC,Free,SMB,0.0,Low,0,Cross-sell
U000031,,9999,0,0.0,Paid Search,North America,Growth,Consumer,100.0,High,0,Winback offer
U000032,2026-04-21,40,9,126.24,Partner,Europe,Free,Consumer,0.0,Low,0,Monitor
U000033,2025-12-20,162,4,160.81,Partner,LATAM,Starter,SMB,72.6,High,1,Winback offer
U000034,2026-05-22,9,4,187.74,Lifecycle Email,North America,Growth,Consumer,0.0,Low,0,Cross-sell
U000035,2026-05-07,24,1,119.87,Partner,North America,Free,Mid-Market,0.0,Low,0,Monitor
U000036,2026-05-31,0,6,530.66,Organic,North America,Free,Enterprise,0.0,Low,0,Cross-sell
U000037,2026-05-31,0,12,406.45,Paid Social,LATAM,Growth,Consumer,0.0,Low,0,Cross-sell
U000038,2026-05-25,6,2,66.96,Paid Search,North America,Growth,Consumer,0.0,Low,0,Cross-sell
U000039,2026-05-11,20,5,95.8,Organic,APAC,Starter,Consumer,0.0,Low,0,Cross-sell
U000040,,9999,0,0.0,Organic,LATAM,Starter,SMB,100.0,High,0,Winback offer
U000041,,9999,0,0.0,Paid Social,North America,Free,SMB,100.0,High,0,Winback offer
U000042,,9999,0,0.0,Partner,North America,Pro,Consumer,100.0,High,0,Winback offer
U000043,2026-03-31,61,11,794.35,Lifecycle Email,North America,Pro,Consumer,15.6,Low,0,Monitor
U000044,,9999,0,0.0,Organic,APAC,Pro,Consumer,100.0,High,0,Winback offer
U000045,2024-12-31,516,7,248.38,Organic,APAC,Starter,SMB,100.0,High,1,Winback offer
U000046,2026-02-21,99,22,1102.07,Partner,Europe,Starter,SMB,41.0,Medium,1,Lifecycle email
U000047,2025-05-29,367,6,84.21,Lifecycle Email,North America,Free,Consumer,100.0,High,1,Winback offer
U000048,2026-02-19,101,19,201.25,Paid Social,North America,Free,Consumer,39.1,Medium,1,Lifecycle email
U000049,2026-04-21,40,6,95.98,Organic,North America,Free,Consumer,0.0,Low,0,Monitor
U000050,,9999,0,0.0,Organic,North America,Free,SMB,100.0,High,0,Winback offer
U000051,,9999,0,0.0,Paid Search,North America,Pro,Consumer,100.0,High,0,Winback offer
U000052,2026-05-17,14,6,253.29,Paid Social,North America,Growth,Consumer,0.0,Low,0,Cross-sell
U000053,2025-08-31,273,12,667.19,Organic,APAC,Growth,Consumer,100.0,High,1,Winback offer
U000054,,9999,0,0.0,Paid Search,APAC,Starter,SMB,100.0,High,0,Winback offer
U000055,2026-04-18,43,6,520.48,Paid Search,North America,Starter,Mid-Market,1.2,Low,0,Monitor
U000056,2026-05-24,7,3,148.76,Organic,Europe,Free,Enterprise,0.0,Low,0,Cross-sell
U000057,,9999,0,0.0,Paid Search,LATAM,Growth,SMB,100.0,High,0,Winback offer
U000058,2026-03-21,71,2,166.6,Organic,APAC,Growth,Consumer,22.6,Low,0,Monitor
U000059,,9999,0,0.0,Organic,APAC,Pro,SMB,100.0,High,0,Winback offer
U000060,,9999,0,0.0,Paid Social,Europe,Growth,Consumer,100.0,High,0,Winback offer
U000061,,9999,0,0.0,Paid Search,North America,Growth,SMB,100.0,High,0,Winback offer
U000062,2026-01-28,123,15,3267.46,Paid Search,LATAM,Pro,Mid-Market,46.7,Medium,1,Lifecycle email
U000063,,9999,0,0.0,Paid Search,LATAM,Free,Consumer,100.0,High,0,Winback offer
