CohortMonth,CohortMonthLabel,ActivityMonth,MonthsSinceCohort,CohortSize,RetainedCustomers,RepeatCustomers,NetRevenue,CumulativeRevenue,RetentionRate,RepeatPurchaseRate,CumulativeLTV,IsCompleteCohort
2024-01-01,Jan 2024,2024-01-01,0,47,47,20,4325.9,4325.9,1.0,0.4255,92.04,1
2024-01-01,Jan 2024,2024-02-01,1,47,21,32,3929.77,8255.67,0.4468,0.6809,175.65,1
2024-01-01,Jan 2024,2024-03-01,2,47,18,39,1846.25,10101.92,0.383,0.8298,214.93,1
2024-01-01,Jan 2024,2024-04-01,3,47,19,41,2356.9,12458.82,0.4043,0.8723,265.08,1
2024-01-01,Jan 2024,2024-05-01,4,47,14,41,1377.62,13836.44,0.2979,0.8723,294.39,1
2024-01-01,Jan 2024,2024-06-01,5,47,12,42,1523.62,15360.06,0.2553,0.8936,326.81,1
2024-01-01,Jan 2024,2024-07-01,6,47,14,42,2299.41,17659.47,0.2979,0.8936,375.73,1
2024-01-01,Jan 2024,2024-08-01,7,47,10,42,543.92,18203.39,0.2128,0.8936,387.31,1
2024-01-01,Jan 2024,2024-09-01,8,47,8,42,904.75,19108.14,0.1702,0.8936,406.56,1
2024-01-01,Jan 2024,2024-10-01,9,47,9,44,836.73,19944.87,0.1915,0.9362,424.36,1
2024-01-01,Jan 2024,2024-11-01,10,47,15,45,2394.61,22339.48,0.3191,0.9574,475.31,1
2024-01-01,Jan 2024,2024-12-01,11,47,8,45,1303.21,23642.69,0.1702,0.9574,503.04,1
2024-01-01,Jan 2024,2025-01-01,12,47,10,45,1399.94,25042.63,0.2128,0.9574,532.82,1
2024-01-01,Jan 2024,2025-02-01,13,47,10,45,1121.86,26164.49,0.2128,0.9574,556.69,1
2024-01-01,Jan 2024,2025-03-01,14,47,10,46,1045.64,27210.13,0.2128,0.9787,578.94,1
2024-01-01,Jan 2024,2025-04-01,15,47,10,46,646.5,27856.63,0.2128,0.9787,592.69,1
2024-01-01,Jan 2024,2025-05-01,16,47,8,46,723.24,28579.87,0.1702,0.9787,608.08,1
2024-01-01,Jan 2024,2025-06-01,17,47,6,46,461.73,29041.6,0.1277,0.9787,617.91,1
2024-01-01,Jan 2024,2025-07-01,18,47,4,46,147.42,29189.02,0.0851,0.9787,621.04,1
