MonthStart,NewUsers,ActiveUsers,ReturningUsers,NewCustomers,ActiveCustomers,ReturningCustomers,RepeatPurchasers,ChurnSignalCustomers,ChurnRiskRevenue,NetRevenue,MonthYear,RepeatPurchaseRate,LTVToDate,M1Retention,M3Retention,M6Retention
2024-01-01,161,98,0,47,47,0,20,0,0.0,4325.9,Jan 2024,0.4255,92.04,,,
2024-02-01,169,195,95,69,90,21,54,0,0.0,12533.51,Feb 2024,0.6,145.34,0.4468,,
2024-03-01,201,313,194,96,142,46,100,0,0.0,16023.65,Mar 2024,0.7042,155.11,0.4263,,
2024-04-01,208,433,307,108,208,100,144,12,730.24,24920.52,Apr 2024,0.6923,180.64,0.4543,0.4043,
2024-05-01,227,544,399,112,254,142,189,33,4759.11,26364.01,May 2024,0.7441,194.83,0.4657,0.4051,
2024-06-01,211,620,501,93,258,165,213,56,7380.85,31898.97,Jun 2024,0.8256,221.08,0.4494,0.4089,
2024-07-01,208,762,634,113,293,180,232,98,16824.579999999998,35139.97,Jul 2024,0.7918,237.0,0.4408,0.4016,0.2979
2024-08-01,203,786,675,102,309,207,253,138,23847.44,34708.41,Aug 2024,0.8188,251.24,0.4334,0.3927,0.3011
2024-09-01,191,891,785,95,309,214,259,183,33314.98,34959.35,Sep 2024,0.8382,264.52,0.4209,0.3774,0.3084
2024-10-01,203,978,858,115,371,256,308,244,62362.71000000001,44460.95,Oct 2024,0.8302,279.3,0.4057,0.3766,0.3169
2024-11-01,194,1060,949,94,382,288,336,275,66187.51999999999,45955.19,Nov 2024,0.8796,298.17,0.4026,0.3786,0.316
2024-12-01,155,1122,1044,75,375,300,333,321,75282.72,46288.5,Dec 2024,0.888,319.55,0.395,0.3716,0.3028
2025-01-01,169,1180,1082,88,398,310,357,369,97135.45,49850.4,Jan 2025,0.897,337.56,0.3965,0.3675,0.2899
2025-02-01,179,1310,1203,78,475,397,427,388,104257.32,55108.5,Feb 2025,0.8989,359.95,0.4001,0.3689,0.3014
2025-03-01,170,1385,1287,87,489,402,442,424,123709.22,59741.4,Mar 2025,0.9039,380.67,0.399,0.3637,0.3066
2025-04-01,205,1450,1335,82,535,453,501,426,126130.53,65191.92,Apr 2025,0.9364,404.04,0.4015,0.3654,0.3142
2025-05-01,166,1529,1427,103,560,457,511,463,148449.61,63617.23,May 2025,0.9125,418.17,0.4031,0.3659,0.3253
2025-06-01,207,1529,1405,83,511,428,465,503,179791.41999999998,59082.23,Jun 2025,0.91,433.03,0.4039,0.3653,0.327
2025-07-01,217,1639,1517,95,542,447,496,588,230823.82,67736.9,Jul 2025,0.9151,448.36,0.4049,0.3645,0.3264
2025-08-01,275,1694,1536,128,523,395,455,695,281488.71,62020.22,Aug 2025,0.87,450.85,0.4052,0.3677,0.3232
2025-09-01,255,1790,1635,127,508,381,448,800,341361.14,65797.19,Sep 2025,0.8819,455.14,0.4017,0.3646,0.3177
2025-10-01,262,1923,1765,127,549,422,481,892,399454.19999999995,66378.93000000001,Oct 2025,0.8761,459.19,0.398,0.3593,0.3154
2025-11-01,264,2013,1870,127,594,467,534,971,452595.1,72316.31,Nov 2025,0.899,465.43,0.3967,0.3566,0.314
2025-12-01,295,2164,1991,145,651,506,574,1033,479910.13,78345.35,Dec 2025,0.8817,469.97,0.3949,0.3538,0.314
2026-01-01,254,2228,2075,142,698,556,626,1075,510792.80999999994,88969.76,Jan 2026,0.8968,478.76,0.396,0.3535,0.3141
2026-02-01,262,2305,2172,119,740,621,680,1095,527460.69,83279.37,Feb 2026,0.9189,488.68,0.3962,0.3535,0.3167
2026-03-01,204,2443,2332,121,793,672,722,1126,550228.29,99745.17,Mar 2026,0.9105,503.34,0.3968,0.3555,0.317
2026-04-01,213,2519,2395,111,809,698,747,1135,564638.5599999999,96716.54,Apr 2026,0.9234,517.51,0.3965,0.357,0.3212
2026-05-01,185,2571,2457,113,812,699,751,1241,611423.97,98650.15,May 2026,0.9249,530.93,0.3997,0.3588,0.3189
