MonthStart,SegmentType,SegmentName,ActiveCustomers,RepeatPurchaseRate,RetentionM3,NetRevenue,ChurnSignalCustomers,LTVToDate
2024-01-01,Channel,Lifecycle Email,3,0.6667,,572.1,0,190.7
2024-01-01,Channel,Organic,14,0.4286,,1840.31,0,131.45
2024-01-01,Channel,Paid Search,8,0.125,,365.26,0,45.66
2024-01-01,Channel,Paid Social,10,0.4,,722.97,0,72.3
2024-01-01,Channel,Partner,4,0.5,,290.4,0,72.6
2024-01-01,Channel,Referral,8,0.625,,534.86,0,66.86
2024-01-01,Plan,Free,8,0.25,,281.16,0,35.15
2024-01-01,Plan,Growth,12,0.5833,,1308.22,0,109.02
2024-01-01,Plan,Pro,6,0.5,,1364.23,0,227.37
2024-01-01,Plan,Starter,21,0.381,,1372.29,0,65.35
2024-01-01,Region,APAC,7,0.5714,,414.34,0,59.19
2024-01-01,Region,Europe,13,0.6154,,2117.69,0,162.9
2024-01-01,Region,LATAM,3,0.3333,,95.64,0,31.88
2024-01-01,Region,North America,24,0.2917,,1698.23,0,70.76
2024-01-01,Segment,Consumer,24,0.4583,,1317.74,0,54.91
2024-01-01,Segment,Enterprise,3,0.6667,,984.77,0,328.26
2024-01-01,Segment,Mid-Market,6,0.3333,,524.24,0,87.37
2024-01-01,Segment,SMB,14,0.3571,,1499.15,0,107.08
2024-02-01,Channel,Lifecycle Email,5,0.4,,366.69,0,117.35
2024-02-01,Channel,Organic,27,0.5556,,4150.55,0,176.2
2024-02-01,Channel,Paid Search,16,0.6875,,2266.02,0,125.3
2024-02-01,Channel,Paid Social,13,0.5385,,2252.77,0,135.26
2024-02-01,Channel,Partner,12,0.5833,,757.62,0,87.33
2024-02-01,Channel,Referral,17,0.7059,,2739.86,0,172.35
2024-02-01,Plan,Free,20,0.65,,924.87,0,50.25
2024-02-01,Plan,Growth,26,0.5769,,4554.71,0,183.22
2024-02-01,Plan,Pro,9,0.6667,,4397.14,0,480.11
2024-02-01,Plan,Starter,35,0.5714,,2656.79,0,83.94
2024-02-01,Region,APAC,27,0.4815,,2814.74,0,104.16
2024-02-01,Region,Europe,19,0.6842,,3684.39,0,241.75
2024-02-01,Region,LATAM,5,0.8,,466.17,0,80.26
2024-02-01,Region,North America,39,0.6154,,5568.21,0,134.56
2024-02-01,Segment,Consumer,35,0.5714,,1699.18,0,59.16
2024-02-01,Segment,Enterprise,9,0.3333,,4051.02,0,503.58
2024-02-01,Segment,Mid-Market,13,0.6154,,2330.25,0,178.41
2024-02-01,Segment,SMB,33,0.697,,4453.06,0,152.62
2024-03-01,Channel,Lifecycle Email,7,0.7143,,903.06,0,153.49
2024-03-01,Channel,Organic,40,0.675,,4595.28,0,173.54
2024-03-01,Channel,Paid Search,33,0.697,,4512.02,0,158.74
2024-03-01,Channel,Paid Social,16,0.9375,,1487.03,0,165.29
