date,campaign_key,channel_key,paid_organic,spend,impressions,clicks,leads,conversions,new_customers,revenue,gross_profit,month_key,year,month,week_start
2025-01-01,CP001,CH01,Paid,1272.77,22394,688,91,21,12,4468.12,2455.18,2025-01,2025,1,2024-12-30
2025-01-01,CP002,CH01,Paid,851.87,7053,416,40,7,6,1448.81,849.47,2025-01,2025,1,2024-12-30
2025-01-01,CP003,CH01,Paid,959.68,9769,430,57,14,8,2925.63,1825.09,2025-01,2025,1,2024-12-30
2025-01-01,CP004,CH02,Paid,712.09,7039,481,51,4,3,729.84,483.69,2025-01,2025,1,2024-12-30
2025-01-01,CP005,CH02,Paid,532.53,9246,369,28,2,2,339.68,207.41,2025-01,2025,1,2024-12-30
2025-01-01,CP006,CH02,Paid,860.13,9276,759,57,7,3,1199.7,723.49,2025-01,2025,1,2024-12-30
2025-01-01,CP007,CH03,Paid,393.35,4255,357,23,2,2,245.31,151.7,2025-01,2025,1,2024-12-30
2025-01-01,CP008,CH03,Paid,510.39,6703,472,36,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-01,CP009,CH04,Paid,235.42,854,45,5,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-01,CP010,CH04,Paid,275.73,587,48,8,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-01,CP011,CH05,Paid,265.61,4431,338,19,1,0,139.41,87.0,2025-01,2025,1,2024-12-30
2025-01-01,CP012,CH05,Paid,247.74,6019,356,18,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-01,CP013,CH06,Paid,256.92,3882,255,28,4,2,791.79,515.9,2025-01,2025,1,2024-12-30
2025-01-01,CP014,CH06,Paid,140.83,4403,127,12,1,1,173.21,111.54,2025-01,2025,1,2024-12-30
2025-01-01,CP015,CH07,Organic,70.49,2899,216,31,7,6,1548.79,847.62,2025-01,2025,1,2024-12-30
2025-01-01,CP016,CH07,Organic,82.5,5440,244,40,14,11,3074.95,1897.82,2025-01,2025,1,2024-12-30
2025-01-01,CP017,CH08,Organic,39.41,3428,195,64,13,7,2021.74,1175.02,2025-01,2025,1,2024-12-30
2025-01-01,CP018,CH08,Organic,38.57,5463,151,42,18,5,3245.61,1884.97,2025-01,2025,1,2024-12-30
2025-01-01,CP019,CH09,Organic,76.23,9146,456,77,19,5,3820.1,2530.98,2025-01,2025,1,2024-12-30
2025-01-01,CP020,CH09,Organic,70.61,6978,397,71,19,10,4216.3,2810.1,2025-01,2025,1,2024-12-30
2025-01-01,CP021,CH10,Organic,98.43,4992,196,29,15,10,3655.52,2337.62,2025-01,2025,1,2024-12-30
2025-01-01,CP022,CH10,Organic,75.3,1822,148,27,6,2,1418.46,893.53,2025-01,2025,1,2024-12-30
2025-01-01,CP023,CH10,Organic,118.91,2756,233,57,14,8,2966.32,2012.34,2025-01,2025,1,2024-12-30
2025-01-02,CP001,CH01,Paid,1002.04,8429,493,62,8,4,1318.69,867.2,2025-01,2025,1,2024-12-30
2025-01-02,CP002,CH01,Paid,1191.68,16007,644,93,28,22,5304.85,3331.17,2025-01,2025,1,2024-12-30
2025-01-02,CP003,CH01,Paid,1006.87,7940,573,67,14,8,3143.21,1916.73,2025-01,2025,1,2024-12-30
2025-01-02,CP004,CH02,Paid,678.38,5043,415,23,2,2,363.08,198.39,2025-01,2025,1,2024-12-30
2025-01-02,CP005,CH02,Paid,595.67,7304,512,43,4,3,687.47,449.76,2025-01,2025,1,2024-12-30
2025-01-02,CP006,CH02,Paid,776.28,8023,580,51,7,6,1116.52,743.78,2025-01,2025,1,2024-12-30
2025-01-02,CP007,CH03,Paid,518.14,6972,441,33,2,2,245.89,134.27,2025-01,2025,1,2024-12-30
2025-01-02,CP008,CH03,Paid,457.46,12146,430,35,1,0,133.53,75.34,2025-01,2025,1,2024-12-30
2025-01-02,CP009,CH04,Paid,292.68,1419,53,1,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-02,CP010,CH04,Paid,345.33,2032,68,5,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-02,CP011,CH05,Paid,247.82,8058,347,23,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-02,CP012,CH05,Paid,274.78,16695,419,19,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-02,CP013,CH06,Paid,228.05,2758,197,28,5,3,841.0,535.65,2025-01,2025,1,2024-12-30
2025-01-02,CP014,CH06,Paid,168.31,2209,156,16,2,1,369.76,249.7,2025-01,2025,1,2024-12-30
2025-01-02,CP015,CH07,Organic,66.96,2125,163,32,11,5,2402.8,1460.06,2025-01,2025,1,2024-12-30
2025-01-02,CP016,CH07,Organic,142.47,6700,395,59,10,6,1944.14,1078.83,2025-01,2025,1,2024-12-30
2025-01-02,CP017,CH08,Organic,43.85,4006,230,42,9,3,1263.22,718.22,2025-01,2025,1,2024-12-30
2025-01-02,CP018,CH08,Organic,61.04,4039,309,75,25,8,4250.39,2375.02,2025-01,2025,1,2024-12-30
2025-01-02,CP019,CH09,Organic,94.34,13282,618,94,31,9,6388.88,4213.64,2025-01,2025,1,2024-12-30
2025-01-02,CP020,CH09,Organic,62.48,5878,359,69,31,8,5551.02,3661.67,2025-01,2025,1,2024-12-30
2025-01-02,CP021,CH10,Organic,113.32,2632,210,35,11,4,2707.36,1643.52,2025-01,2025,1,2024-12-30
2025-01-02,CP022,CH10,Organic,116.97,3807,270,53,11,6,2417.5,1527.75,2025-01,2025,1,2024-12-30
2025-01-02,CP023,CH10,Organic,101.52,3601,196,31,10,4,2725.56,1510.7,2025-01,2025,1,2024-12-30
2025-01-03,CP001,CH01,Paid,1041.07,8230,607,66,17,11,3235.12,1813.59,2025-01,2025,1,2024-12-30
2025-01-03,CP002,CH01,Paid,1131.42,10398,605,95,23,16,4734.08,2816.44,2025-01,2025,1,2024-12-30
2025-01-03,CP003,CH01,Paid,770.28,12916,427,54,9,5,2193.89,1402.83,2025-01,2025,1,2024-12-30
2025-01-03,CP004,CH02,Paid,715.48,6331,527,42,3,2,502.49,279.42,2025-01,2025,1,2024-12-30
2025-01-03,CP005,CH02,Paid,529.32,5265,405,36,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-03,CP006,CH02,Paid,671.1,5892,482,40,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-03,CP007,CH03,Paid,411.33,6304,375,29,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-03,CP008,CH03,Paid,398.9,4155,325,32,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-03,CP009,CH04,Paid,322.99,1299,61,8,1,1,437.55,249.59,2025-01,2025,1,2024-12-30
2025-01-03,CP010,CH04,Paid,240.52,1469,46,2,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-03,CP011,CH05,Paid,334.58,20499,517,26,3,1,424.28,272.45,2025-01,2025,1,2024-12-30
2025-01-03,CP012,CH05,Paid,267.19,12574,423,32,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-03,CP013,CH06,Paid,164.23,3340,175,20,3,2,571.64,318.97,2025-01,2025,1,2024-12-30
2025-01-03,CP014,CH06,Paid,130.64,2408,108,14,3,1,564.73,341.12,2025-01,2025,1,2024-12-30
2025-01-03,CP015,CH07,Organic,64.14,2246,188,33,8,6,1534.9,857.64,2025-01,2025,1,2024-12-30
2025-01-03,CP016,CH07,Organic,110.08,3538,284,35,4,1,871.95,487.73,2025-01,2025,1,2024-12-30
2025-01-03,CP017,CH08,Organic,31.94,2671,162,53,14,3,1944.72,1230.15,2025-01,2025,1,2024-12-30
2025-01-03,CP018,CH08,Organic,54.41,6327,273,60,26,6,3781.46,2455.33,2025-01,2025,1,2024-12-30
2025-01-03,CP019,CH09,Organic,100.87,6127,437,74,18,5,3561.48,2013.58,2025-01,2025,1,2024-12-30
2025-01-03,CP020,CH09,Organic,77.41,5248,387,74,20,7,3469.45,2020.08,2025-01,2025,1,2024-12-30
2025-01-03,CP021,CH10,Organic,91.71,3093,173,25,12,7,2757.96,1701.49,2025-01,2025,1,2024-12-30
2025-01-03,CP022,CH10,Organic,94.21,3451,181,29,6,2,1628.7,977.11,2025-01,2025,1,2024-12-30
2025-01-03,CP023,CH10,Organic,130.29,4652,257,47,11,7,2634.03,1534.95,2025-01,2025,1,2024-12-30
2025-01-04,CP001,CH01,Paid,757.61,4525,344,45,10,8,2297.45,1520.63,2025-01,2025,1,2024-12-30
2025-01-04,CP002,CH01,Paid,681.33,6790,383,47,14,11,3291.37,2201.86,2025-01,2025,1,2024-12-30
2025-01-04,CP003,CH01,Paid,635.09,5684,377,43,9,7,1964.37,1177.54,2025-01,2025,1,2024-12-30
2025-01-04,CP004,CH02,Paid,420.1,6517,280,24,1,1,169.01,95.91,2025-01,2025,1,2024-12-30
2025-01-04,CP005,CH02,Paid,392.79,7316,291,32,1,1,162.72,96.8,2025-01,2025,1,2024-12-30
2025-01-04,CP006,CH02,Paid,617.99,12581,461,36,3,3,520.09,294.35,2025-01,2025,1,2024-12-30
2025-01-04,CP007,CH03,Paid,231.78,2842,223,20,1,1,120.02,77.44,2025-01,2025,1,2024-12-30
2025-01-04,CP008,CH03,Paid,308.26,13579,372,22,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-04,CP009,CH04,Paid,241.52,1263,50,5,1,1,476.83,275.99,2025-01,2025,1,2024-12-30
2025-01-04,CP010,CH04,Paid,213.2,896,38,5,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-04,CP011,CH05,Paid,189.68,3827,248,9,1,1,164.9,100.52,2025-01,2025,1,2024-12-30
2025-01-04,CP012,CH05,Paid,160.21,5215,239,11,1,1,160.39,104.53,2025-01,2025,1,2024-12-30
2025-01-04,CP013,CH06,Paid,119.95,2986,103,12,3,1,531.99,321.35,2025-01,2025,1,2024-12-30
2025-01-04,CP014,CH06,Paid,129.78,2002,120,10,1,1,172.8,96.59,2025-01,2025,1,2024-12-30
2025-01-04,CP015,CH07,Organic,53.04,3054,141,15,2,2,447.83,287.19,2025-01,2025,1,2024-12-30
2025-01-04,CP016,CH07,Organic,79.81,6392,233,30,11,6,2617.77,1539.73,2025-01,2025,1,2024-12-30
2025-01-04,CP017,CH08,Organic,20.1,2109,97,23,4,0,672.83,397.01,2025-01,2025,1,2024-12-30
2025-01-04,CP018,CH08,Organic,31.85,2035,167,36,7,4,1261.15,819.33,2025-01,2025,1,2024-12-30
2025-01-04,CP019,CH09,Organic,53.31,6785,319,66,23,11,4376.66,2639.59,2025-01,2025,1,2024-12-30
2025-01-04,CP020,CH09,Organic,54.77,8264,279,63,17,7,3275.86,1814.11,2025-01,2025,1,2024-12-30
2025-01-04,CP021,CH10,Organic,58.41,1736,114,30,7,3,1699.55,972.76,2025-01,2025,1,2024-12-30
2025-01-04,CP022,CH10,Organic,67.09,2947,127,25,7,4,1757.88,989.73,2025-01,2025,1,2024-12-30
2025-01-04,CP023,CH10,Organic,76.89,5480,145,37,9,6,2262.35,1327.07,2025-01,2025,1,2024-12-30
2025-01-05,CP001,CH01,Paid,910.02,6233,512,70,14,10,3124.8,1760.61,2025-01,2025,1,2024-12-30
2025-01-05,CP002,CH01,Paid,697.12,6091,352,55,9,2,1918.97,1265.41,2025-01,2025,1,2024-12-30
2025-01-05,CP003,CH01,Paid,529.81,4576,305,43,6,1,1186.3,717.55,2025-01,2025,1,2024-12-30
2025-01-05,CP004,CH02,Paid,506.01,9722,374,35,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-05,CP005,CH02,Paid,302.33,3439,234,18,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-05,CP006,CH02,Paid,651.36,6342,489,28,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-05,CP007,CH03,Paid,251.23,7127,219,17,3,1,356.69,203.24,2025-01,2025,1,2024-12-30
2025-01-05,CP008,CH03,Paid,296.79,9102,315,26,1,1,130.48,84.44,2025-01,2025,1,2024-12-30
2025-01-05,CP009,CH04,Paid,219.08,1310,48,5,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-05,CP010,CH04,Paid,228.59,1304,44,2,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-05,CP011,CH05,Paid,141.81,2754,230,6,0,0,0.0,0.0,2025-01,2025,1,2024-12-30
2025-01-05,CP012,CH05,Paid,175.02,2773,232,13,1,0,151.15,86.74,2025-01,2025,1,2024-12-30
2025-01-05,CP013,CH06,Paid,109.56,3459,94,9,1,0,201.72,120.2,2025-01,2025,1,2024-12-30
2025-01-05,CP014,CH06,Paid,103.11,1342,108,13,1,0,165.06,92.82,2025-01,2025,1,2024-12-30
2025-01-05,CP015,CH07,Organic,57.21,5078,146,22,5,2,996.29,670.57,2025-01,2025,1,2024-12-30
2025-01-05,CP016,CH07,Organic,55.1,6334,160,18,2,1,411.61,259.73,2025-01,2025,1,2024-12-30
2025-01-05,CP017,CH08,Organic,26.41,1831,137,18,2,0,285.24,156.13,2025-01,2025,1,2024-12-30
2025-01-05,CP018,CH08,Organic,34.84,3140,191,47,16,5,2686.34,1751.94,2025-01,2025,1,2024-12-30
2025-01-05,CP019,CH09,Organic,37.31,5115,227,61,19,3,3770.09,2116.19,2025-01,2025,1,2024-12-30
2025-01-05,CP020,CH09,Organic,41.32,3906,203,45,16,11,2827.92,1725.82,2025-01,2025,1,2024-12-30
2025-01-05,CP021,CH10,Organic,90.17,4293,187,35,16,7,4250.11,2528.3,2025-01,2025,1,2024-12-30
2025-01-05,CP022,CH10,Organic,61.3,3152,125,18,4,3,1058.01,708.24,2025-01,2025,1,2024-12-30
2025-01-05,CP023,CH10,Organic,76.83,2573,156,24,9,5,2124.51,1152.27,2025-01,2025,1,2024-12-30
2025-01-06,CP001,CH01,Paid,1179.36,22159,633,109,21,11,4385.25,2463.68,2025-01,2025,1,2025-01-06
2025-01-06,CP002,CH01,Paid,1198.35,9435,610,70,17,9,3284.64,1946.56,2025-01,2025,1,2025-01-06
2025-01-06,CP003,CH01,Paid,1086.74,10036,604,89,16,9,3826.26,2494.09,2025-01,2025,1,2025-01-06
2025-01-06,CP004,CH02,Paid,731.49,13913,483,48,3,2,509.12,325.45,2025-01,2025,1,2025-01-06
2025-01-06,CP005,CH02,Paid,593.82,14337,427,36,2,1,307.95,189.05,2025-01,2025,1,2025-01-06
2025-01-06,CP006,CH02,Paid,669.95,7348,442,35,6,4,866.74,571.91,2025-01,2025,1,2025-01-06
2025-01-06,CP007,CH03,Paid,360.66,8711,339,30,1,0,124.92,83.25,2025-01,2025,1,2025-01-06
2025-01-06,CP008,CH03,Paid,620.04,13733,533,30,1,1,129.9,81.13,2025-01,2025,1,2025-01-06
2025-01-06,CP009,CH04,Paid,314.41,1283,59,7,1,0,434.48,285.41,2025-01,2025,1,2025-01-06
2025-01-06,CP010,CH04,Paid,237.58,927,45,6,1,1,483.5,305.86,2025-01,2025,1,2025-01-06
2025-01-06,CP011,CH05,Paid,299.38,9709,453,22,1,1,152.54,100.0,2025-01,2025,1,2025-01-06
2025-01-06,CP012,CH05,Paid,302.03,11414,380,29,0,0,0.0,0.0,2025-01,2025,1,2025-01-06
2025-01-06,CP013,CH06,Paid,203.64,3249,170,25,8,4,1432.16,859.18,2025-01,2025,1,2025-01-06
2025-01-06,CP014,CH06,Paid,128.47,1550,130,19,5,2,956.88,601.98,2025-01,2025,1,2025-01-06
2025-01-06,CP015,CH07,Organic,75.92,2552,214,30,9,4,1999.71,1150.25,2025-01,2025,1,2025-01-06
2025-01-06,CP016,CH07,Organic,116.59,7783,361,51,11,8,2470.07,1446.74,2025-01,2025,1,2025-01-06
2025-01-06,CP017,CH08,Organic,38.04,3224,206,49,10,2,1635.58,938.32,2025-01,2025,1,2025-01-06
2025-01-06,CP018,CH08,Organic,55.91,3991,284,57,18,4,2489.2,1675.08,2025-01,2025,1,2025-01-06
2025-01-06,CP019,CH09,Organic,48.15,7206,250,57,12,6,2299.9,1292.95,2025-01,2025,1,2025-01-06
2025-01-06,CP020,CH09,Organic,57.12,12660,338,66,24,7,4411.34,2491.41,2025-01,2025,1,2025-01-06
2025-01-06,CP021,CH10,Organic,87.92,2615,198,33,9,5,2400.91,1384.64,2025-01,2025,1,2025-01-06
2025-01-06,CP022,CH10,Organic,109.78,3450,224,31,5,3,1430.96,924.64,2025-01,2025,1,2025-01-06
2025-01-06,CP023,CH10,Organic,124.19,10727,294,50,18,7,4592.29,2609.18,2025-01,2025,1,2025-01-06
2025-01-07,CP001,CH01,Paid,1287.97,10059,645,85,16,9,3443.88,2282.38,2025-01,2025,1,2025-01-06
2025-01-07,CP002,CH01,Paid,1096.47,14248,604,84,13,5,2789.49,1563.66,2025-01,2025,1,2025-01-06
2025-01-07,CP003,CH01,Paid,883.35,6009,468,71,14,8,3234.13,1861.15,2025-01,2025,1,2025-01-06
2025-01-07,CP004,CH02,Paid,796.39,12828,495,42,2,2,327.84,218.95,2025-01,2025,1,2025-01-06
2025-01-07,CP005,CH02,Paid,632.08,10449,524,51,2,2,369.57,235.28,2025-01,2025,1,2025-01-06
2025-01-07,CP006,CH02,Paid,653.81,9780,472,44,1,1,169.87,112.81,2025-01,2025,1,2025-01-06
2025-01-07,CP007,CH03,Paid,331.73,3978,264,18,3,2,406.66,241.85,2025-01,2025,1,2025-01-06
2025-01-07,CP008,CH03,Paid,439.8,5238,386,29,2,1,255.51,168.38,2025-01,2025,1,2025-01-06
2025-01-07,CP009,CH04,Paid,342.39,1238,60,5,0,0,0.0,0.0,2025-01,2025,1,2025-01-06
2025-01-07,CP010,CH04,Paid,285.4,919,49,5,0,0,0.0,0.0,2025-01,2025,1,2025-01-06
2025-01-07,CP011,CH05,Paid,246.66,12463,340,13,2,2,309.13,183.43,2025-01,2025,1,2025-01-06
2025-01-07,CP012,CH05,Paid,244.21,5764,348,14,0,0,0.0,0.0,2025-01,2025,1,2025-01-06
2025-01-07,CP013,CH06,Paid,208.48,3799,217,22,1,1,182.13,119.85,2025-01,2025,1,2025-01-06
2025-01-07,CP014,CH06,Paid,155.43,2344,148,9,3,1,550.85,303.44,2025-01,2025,1,2025-01-06
2025-01-07,CP015,CH07,Organic,48.87,2613,156,27,7,5,1505.61,894.11,2025-01,2025,1,2025-01-06
2025-01-07,CP016,CH07,Organic,81.48,4355,220,44,7,5,1539.47,989.35,2025-01,2025,1,2025-01-06
2025-01-07,CP017,CH08,Organic,43.1,6767,209,63,24,10,3437.53,2094.64,2025-01,2025,1,2025-01-06
