channel,paid_organic,target_roas,target_cac,spend,revenue,gross_profit,clicks,conversions,new_customers,roas,marketing_roi,cac,conversion_rate,roas_vs_target,cac_vs_target,spend_share,action
Affiliates,Paid,4.8,65,162081.46,371280.52,226745.32,147674,2061,1287,2.290703205659673,0.3989590172744003,125.93742035742035,0.01395641751425437,-2.509296794340327,-60.93742035742035,0.04018073273576667,Review/Cut
Direct,Organic,10.0,20,66401.91,4018675.12,2449583.65,369673,20511,8147,60.52047478754753,35.8902588796015,8.150473794034614,0.055484171145850525,50.52047478754753,11.849526205965386,0.016461336163028344,Scale
Email,Organic,9.0,24,42469.91,2252323.78,1375149.14,212423,14550,4941,53.0334012951758,31.37937495040606,8.595407812183769,0.0684954077477486,44.0334012951758,15.404592187816231,0.010528484275882414,Scale
Google Search,Paid,4.5,75,1560899.63,4392029.9,2679556.64,826223,19907,12137,2.8137811141642723,0.7166745308280971,128.6067092362198,0.024093979470433527,-1.6862188858357277,-53.606709236219814,0.3869541331894905,Review/Cut
LinkedIn,Paid,3.0,140,287428.76,100076.14,61290.91,54784,218,126,0.3481771970209244,-0.7867613874130063,2281.180634920635,0.003979264018691589,-2.6518228029790754,-2141.180634920635,0.07125489976541932,Review/Cut
Meta,Paid,3.2,90,1017663.43,552375.62,337056.7,732299,3326,2449,0.5427881200368967,-0.6687935420849307,415.5424377296856,0.004541860633429788,-2.6572118799631035,-325.5424377296856,0.2522834030233538,Review/Cut
Organic Search,Organic,8.0,35,82724.93,2078809.97,1269050.13,236991,9850,5355,25.12918379018272,14.34060083217961,15.448166199813258,0.04156275976724855,17.12918379018272,19.551833800186742,0.020507887224825133,Scale
Programmatic Display,Paid,2.2,105,267681.27,79439.23,48906.4,384982,544,428,0.29676798081539285,-0.8172961447769581,625.4235280373832,0.001413053077806235,-1.9032320191846073,-520.4235280373832,0.06635940698115995,Review/Cut
Referral Partners,Organic,8.5,42,150594.0,4154712.2,2530280.75,302796,16569,8592,27.588829568243092,15.802002403814228,17.52723463687151,0.05472000951135418,19.088829568243092,24.47276536312849,0.037332939039480796,Scale
TikTok,Paid,2.8,85,395865.16,126160.44,76707.12,360135,968,771,0.3186954871199072,-0.8062291715694303,513.4437872892347,0.002687880933538812,-2.481304512880093,-428.4437872892347,0.0981367776015931,Review/Cut
