sku_id,product_name,seller_id,platform_id,category_id,category,brand,base_price,product_demand_weight,active_flag
SKU00001,FMCG SKU 00001,S0001,P01,C05,FMCG,Local Brand,6.1,1.8931920991214113,1
SKU00002,Fashion SKU 00002,S0001,P01,C02,Fashion,Imported,43.52,1.1191895154865696,1
SKU00003,Fashion SKU 00003,S0001,P01,C02,Fashion,Local Brand,26.36,1.6567047541723512,1
SKU00004,Mother Baby SKU 00004,S0001,P01,C08,Mother Baby,Imported,53.07,0.4644771529585359,1
SKU00005,Home SKU 00005,S0001,P01,C04,Home,Imported,52.9,1.5996659315652686,1
SKU00006,Beauty SKU 00006,S0001,P01,C03,Beauty,Imported,44.69,2.2116315697306423,1
SKU00007,Sports SKU 00007,S0001,P01,C06,Sports,Local Brand,39.97,1.1751850682276084,1
SKU00008,Mother Baby SKU 00008,S0001,P01,C08,Mother Baby,Imported,75.85,0.6137135795985588,1
SKU00009,Beauty SKU 00009,S0002,P01,C03,Beauty,Local Brand,14.84,0.7553538449598824,1
SKU00010,Mother Baby SKU 00010,S0002,P01,C08,Mother Baby,Local Brand,37.76,1.334369440695105,1
SKU00011,Mother Baby SKU 00011,S0002,P01,C08,Mother Baby,Local Brand,25.17,1.778266362577469,1
SKU00012,Beauty SKU 00012,S0002,P01,C03,Beauty,Private Label,12.33,0.9655945255196968,1
SKU00013,Books SKU 00013,S0002,P01,C07,Books,Local Brand,7.14,1.322297277992243,1
SKU00014,Home SKU 00014,S0002,P01,C04,Home,Marketplace Choice,34.63,1.2033383107765516,1
SKU00015,Sports SKU 00015,S0002,P01,C06,Sports,Official Brand,29.6,0.7228627198954142,1
SKU00016,Beauty SKU 00016,S0003,P01,C03,Beauty,Private Label,28.91,1.0624449446594877,1
SKU00017,Beauty SKU 00017,S0003,P01,C03,Beauty,Imported,14.45,1.0071135374179276,1
SKU00018,FMCG SKU 00018,S0003,P01,C05,FMCG,Local Brand,8.85,1.6513036173374123,1
SKU00019,Fashion SKU 00019,S0003,P01,C02,Fashion,Imported,40.6,2.2303114265961903,1
SKU00020,Fashion SKU 00020,S0003,P01,C02,Fashion,Imported,51.37,1.2565231382429547,1
SKU00021,Fashion SKU 00021,S0004,P01,C02,Fashion,Imported,50.47,0.9262754457373492,1
SKU00022,Fashion SKU 00022,S0004,P01,C02,Fashion,Imported,20.85,4.799897062172842,1
SKU00023,Home SKU 00023,S0004,P01,C04,Home,Marketplace Choice,40.51,0.789281071387474,1
SKU00024,Beauty SKU 00024,S0004,P01,C03,Beauty,Local Brand,13.65,0.6573740250816802,1
SKU00025,Sports SKU 00025,S0004,P01,C06,Sports,Marketplace Choice,48.74,0.7573260111483,1
SKU00026,FMCG SKU 00026,S0004,P01,C05,FMCG,Local Brand,14.85,1.5258530045726613,1
SKU00027,FMCG SKU 00027,S0005,P01,C05,FMCG,Marketplace Choice,9.17,1.10143197207672,1
SKU00028,Home SKU 00028,S0005,P01,C04,Home,Private Label,39.96,0.8995935818490036,1
SKU00029,Beauty SKU 00029,S0005,P01,C03,Beauty,Marketplace Choice,10.0,2.1672682858440533,1
SKU00030,Beauty SKU 00030,S0005,P01,C03,Beauty,Local Brand,19.32,0.6939501006479327,1
SKU00031,Electronics SKU 00031,S0005,P01,C01,Electronics,Private Label,82.14,1.208154659401547,1
SKU00032,FMCG SKU 00032,S0006,P01,C05,FMCG,Marketplace Choice,6.19,2.391133094823629,1
SKU00033,FMCG SKU 00033,S0006,P01,C05,FMCG,Imported,22.25,1.3342939066394428,1
SKU00034,Fashion SKU 00034,S0006,P01,C02,Fashion,Local Brand,23.22,0.9581260713055723,1
SKU00035,Home SKU 00035,S0006,P01,C04,Home,Marketplace Choice,35.04,1.1353047202268272,1
