seller_id,seller_name,platform_id,region,seller_tier,lifecycle_status,account_manager,official_store_flag,active_flag,join_date,demand_weight,fulfillment_quality,cancel_propensity,rating_base,stock_discipline
S0001,Shopee Seller 001,P01,Can Tho,Mid,Churn Risk,AM South,0,1,2024-08-01,2.496105657823364,0.9257881468642752,0.07123494263478397,4.571858015800061,0.845116377587648
S0002,Shopee Seller 002,P01,Can Tho,Mid,Declining,AM Central,0,1,2022-11-06,0.64432260948354,0.9462157961716455,0.043420695021300665,4.333074684464378,0.8336307850535755
S0003,Shopee Seller 003,P01,Da Nang,Long-tail,Stable,AM South,0,1,2024-09-08,1.3483832402999847,0.7648768619745014,0.10803193634265407,4.305047953241574,0.6880455589282166
S0004,Shopee Seller 004,P01,Hanoi,Long-tail,Declining,AM North,0,1,2024-04-02,0.5983535251588926,0.8524253798466975,0.09326190065274825,4.1432089324128585,0.8981208876482203
S0005,Shopee Seller 005,P01,Da Nang,Long-tail,Stable,AM South,0,1,2022-07-20,2.4126538032654907,0.7544760205142622,0.1761676908258461,4.012379799628956,0.6553339801812295
S0006,Shopee Seller 006,P01,Da Nang,Mid,Growing,AM Growth,0,1,2023-11-07,1.0232201293977081,0.836572815202127,0.029965669065446603,4.38135391795052,0.7273495480244563
S0007,Shopee Seller 007,P01,Can Tho,Long-tail,Stable,AM North,0,1,2022-08-31,1.67292997853527,0.7218511706370452,0.15833832585648316,4.04907932657058,0.7706364782473264
S0008,Shopee Seller 008,P01,Hai Phong,Long-tail,New,AM Key,0,1,2022-08-26,0.6503094578441537,0.8759937266531307,0.13374228791123002,4.789188017999399,0.8344900707671292
S0009,Shopee Seller 009,P01,Hai Phong,Key,New,AM Central,1,1,2024-11-08,2.0413729712311977,0.9248059155273841,0.11367391690856557,4.3836757945182345,0.8283773018243078
S0010,Shopee Seller 010,P01,Da Nang,Long-tail,Stable,AM South,0,1,2022-12-27,0.629514295660854,0.7853302295950488,0.11321316158262783,4.2002163807359585,0.8328301449683619
S0011,Shopee Seller 011,P01,Hanoi,Strategic,Stable,AM Growth,1,1,2023-04-19,8.26923161361783,0.984334179341013,0.03678606443638748,3.957476978857001,0.9637482433644661
S0012,Shopee Seller 012,P01,Can Tho,Long-tail,Growing,AM Growth,0,1,2024-06-08,1.19036171577127,0.8212387161554419,0.13471309276951474,4.168763836828729,0.842471653379487
S0013,Shopee Seller 013,P01,HCMC,Key,Growing,AM Growth,1,1,2023-06-04,2.39013855726111,0.8206126849227704,0.027465269005041662,4.110913873665151,0.99
S0014,Shopee Seller 014,P01,Nationwide,Long-tail,Stable,AM Growth,0,1,2024-03-04,2.195973289193809,0.822216711791381,0.08648199266031045,4.09341915246068,0.7925357133108256
S0015,Shopee Seller 015,P01,Da Nang,Long-tail,Stable,AM South,0,1,2023-10-03,0.8772155155758903,0.7966851732931135,0.0962697249043043,4.182432055976822,0.8600833350438498
S0016,Shopee Seller 016,P01,HCMC,New,Stable,AM South,0,1,2022-12-29,0.32331819437001325,0.86761421246294,0.1983337216914479,4.324341378264931,0.6924929171243133
S0017,Shopee Seller 017,P01,Hai Phong,Long-tail,Stable,AM North,0,1,2023-03-14,1.8726606593404675,0.8377574915725094,0.10438935445008568,4.706591167069994,0.7896604035840917
S0018,Shopee Seller 018,P01,Nationwide,Mid,Stable,AM Growth,0,1,2024-03-29,2.418975699579276,0.9546687686667099,0.05539295639124871,4.302192056383324,0.7620741099923815
S0019,Shopee Seller 019,P01,Hai Phong,Key,New,AM Growth,1,0,2023-06-16,6.190034140610684,0.9480070733865965,0.13772752280886114,4.358686421655628,0.9667413040066664
S0020,Shopee Seller 020,P01,Nationwide,Key,Growing,AM Key,0,1,2023-01-20,1.2238589827390778,0.9125090404434482,0.0575183520463886,4.048067338410709,0.690069509437973
S0021,Shopee Seller 021,P01,Hanoi,Mid,Growing,AM South,0,1,2024-11-11,1.3561382298457147,0.8051044109305756,0.11425444200852973,4.043404827004471,0.7914813612336716
S0022,Shopee Seller 022,P01,Hanoi,Long-tail,Stable,AM Central,0,1,2023-08-03,1.1100241352797222,0.8212473428754598,0.08693381077726853,4.017562522282064,0.7148018134370897
S0023,Shopee Seller 023,P01,HCMC,Mid,Growing,AM Central,0,1,2023-12-27,2.0875279650161556,0.8988304589403366,0.06990499865733994,3.9531995965615865,0.9022386866513004
S0024,Shopee Seller 024,P01,Nationwide,Key,Stable,AM Central,1,1,2023-01-27,3.0629452593047928,0.9434666889293243,0.18614217320275556,4.447545343676038,0.8435186650202654
S0025,Shopee Seller 025,P01,Hanoi,Long-tail,Stable,AM North,0,1,2024-03-29,0.7633559312223325,0.8808534930620933,0.20196067942464316,4.191027068380235,0.7543398431482407
S0026,Shopee Seller 026,P01,Nationwide,Long-tail,Growing,AM Growth,0,1,2023-03-01,3.2429194911180317,0.7353774172257894,0.14881612788951903,3.8392771561645365,0.7880356620803085
S0027,Shopee Seller 027,P01,Hai Phong,Mid,Stable,AM South,0,1,2024-09-12,2.77447450300104,0.8058748007725918,0.02379829140685863,3.572859952319529,0.7854854994038226
S0028,Shopee Seller 028,P01,HCMC,New,Stable,AM South,0,1,2024-10-30,0.6283601179397575,0.8694744387666117,0.07753476516030337,4.108205586158162,0.6025673467909733
S0029,Shopee Seller 029,P01,Can Tho,Long-tail,New,AM South,0,1,2022-10-19,0.8306627466120278,0.8165042468337473,0.09536051324654662,4.1578872881862035,0.7486313586251768
S0030,Shopee Seller 030,P01,Hanoi,Mid,Stable,AM Central,0,1,2024-07-03,0.9881194004649596,0.9685933092079742,0.038272729649094964,4.2437391203547,0.7517210485150976
S0031,Shopee Seller 031,P01,Hanoi,Strategic,Declining,AM North,1,1,2023-12-02,7.863642514933537,0.9477532162165473,0.08592760978447438,3.8521905631488638,0.8354889391160892
S0032,Shopee Seller 032,P01,Nationwide,New,Stable,AM Key,0,1,2022-10-06,0.7614022768145878,0.7863663212911077,0.09169028475313279,4.031417148395794,0.8130534017982609
S0033,Shopee Seller 033,P01,Nationwide,Key,Growing,AM Key,1,1,2023-08-17,5.953445746667885,0.9589215929587704,0.041546823363288965,4.051496771406477,0.8962066028012629
S0034,Shopee Seller 034,P01,Da Nang,Long-tail,Growing,AM Key,0,1,2024-02-08,0.4743515292491955,0.885911265431268,0.12527914528528608,4.072669701554199,0.8372843100132966
S0035,Shopee Seller 035,P01,HCMC,Key,Stable,AM Growth,0,0,2023-09-04,3.932032837483155,0.9071469594856414,0.03533797315035731,3.8939004469853353,0.9182999288849695
S0036,Shopee Seller 036,P01,Hai Phong,Mid,Churn Risk,AM South,0,1,2023-12-19,2.7847808965949414,0.8670495375705611,0.09582433658931203,3.6888889173822905,0.8425758093819417
S0037,Shopee Seller 037,P01,Da Nang,Long-tail,Growing,AM Growth,0,1,2023-02-21,2.2270878619128687,0.8472798434198562,0.12225537784721432,4.394341259642752,0.8984448061396322
S0038,Shopee Seller 038,P01,Da Nang,Mid,Growing,AM South,0,1,2023-08-28,3.1072069612598625,0.8946361897931814,0.13771851653842052,3.9808754590935576,0.7585174474009282
S0039,Shopee Seller 039,P01,HCMC,Key,Stable,AM Central,0,1,2023-05-11,8.725114538754635,0.995,0.017216413758691314,4.32953443189714,0.8636546705490675
S0040,Shopee Seller 040,P01,Nationwide,Mid,Stable,AM North,0,1,2023-04-15,2.195182896966232,0.9135189758860576,0.09460564742717666,4.19354139173917,0.9827771929326222
S0041,Shopee Seller 041,P01,Hanoi,Long-tail,Stable,AM South,0,1,2023-04-10,1.1470707964405702,0.7439009103520972,0.09530754833969854,3.8844476971772646,0.7786803758874645
S0042,Shopee Seller 042,P01,Hai Phong,Key,Declining,AM North,1,1,2024-05-28,1.7902080601222807,0.9134144472037682,0.03583202696455564,3.7487241769689446,0.9743873063424854
S0043,Shopee Seller 043,P01,Can Tho,Mid,Stable,AM South,0,1,2023-04-29,0.9715444767777479,0.8442118056322925,0.02054450169575534,3.893869286515007,0.8322676336471453
S0044,Shopee Seller 044,P01,Da Nang,Long-tail,Stable,AM North,0,1,2024-03-09,1.0251182979281357,0.7567709575861502,0.10494749534924042,3.909834563174789,0.8714449311515498
S0045,Shopee Seller 045,P01,Hanoi,Long-tail,Stable,AM South,0,1,2023-04-07,1.018224099268536,0.8581941842657252,0.1102428078245545,4.047821988764427,0.7979184216920785
S0046,Shopee Seller 046,P01,Nationwide,Key,New,AM South,1,1,2022-12-07,4.017238783869639,0.9563024599585868,0.01807106302665963,4.424481846473112,0.9532155491884284
S0047,Shopee Seller 047,P01,Hanoi,Mid,Growing,AM Central,0,1,2023-12-19,0.9345274224333734,0.8707117511288542,0.0288058825676863,4.2096654084256455,0.9371152612710931
S0048,Shopee Seller 048,P01,Can Tho,Key,Stable,AM Key,1,0,2023-06-07,10.217966979696545,0.8596189807473588,0.19388149319434175,4.171236952008205,0.8615060875012543
S0049,Shopee Seller 049,P01,Hanoi,Strategic,Stable,AM North,1,1,2023-06-29,12.368722429919032,0.9741725835101038,0.09155546207686285,4.246084044304133,0.9671226457509821
S0050,Shopee Seller 050,P01,Nationwide,Mid,Declining,AM Growth,0,1,2024-04-01,2.692480886478401,0.8340077084071119,0.031119996025097865,4.350875815890709,0.846413089753195
S0051,Lazada Seller 051,P02,Hai Phong,Key,Stable,AM South,1,1,2024-07-23,2.8940437797117817,0.9105438124196676,0.06961595323561555,4.233575281532798,0.7776787131512165
S0052,Lazada Seller 052,P02,Hai Phong,Key,Stable,AM Growth,1,1,2024-11-25,3.880638104576328,0.9449838351021937,0.009070538565279809,4.3692543766834575,0.8479353177800086
S0053,Lazada Seller 053,P02,Da Nang,Mid,New,AM South,0,1,2023-03-23,1.0021047328176471,0.9089118938096685,0.04720650572374728,4.116049718407477,0.6860979943641725
S0054,Lazada Seller 054,P02,Da Nang,Long-tail,Stable,AM North,0,0,2024-09-22,0.7461858971102805,0.8233975105090084,0.07728847107324585,3.6592037429284905,0.7288044510548561
S0055,Lazada Seller 055,P02,HCMC,Key,Growing,AM North,1,1,2023-09-04,2.5403778331245612,0.9234790450217243,0.1296519386423239,4.6290393983148785,0.8875663004987172
S0056,Lazada Seller 056,P02,Hanoi,Mid,Stable,AM North,0,1,2024-01-08,0.963648854446157,0.80101547003146,0.140454846895535,4.206525796298561,0.8660987196675977
S0057,Lazada Seller 057,P02,Hanoi,Mid,Declining,AM Key,0,1,2023-05-27,2.1171185359659406,0.9037580847431561,0.047833245413859186,4.164952094282128,0.9102972561256463
S0058,Lazada Seller 058,P02,Can Tho,New,Churn Risk,AM Growth,0,1,2024-09-29,0.6104311337902852,0.7822778425951834,0.11782572542483077,4.22416017566515,0.7800930900615588
S0059,Lazada Seller 059,P02,Hai Phong,Long-tail,Stable,AM Key,0,1,2024-02-06,1.5968037252146683,0.7575525883187326,0.07457642434588563,3.9339904471230573,0.7875099830791452
S0060,Lazada Seller 060,P02,Hai Phong,Mid,New,AM Growth,0,1,2023-09-09,1.8483377204148657,0.8540476275566403,0.02003231252149074,4.188069731022138,0.7785851066031388
S0061,Lazada Seller 061,P02,Da Nang,Mid,Stable,AM South,0,1,2024-07-18,1.492270463122021,0.8926119433272178,0.04518540451398948,4.323628674728428,0.6910105522509489
S0062,Lazada Seller 062,P02,Da Nang,Long-tail,Stable,AM Growth,0,1,2024-10-29,3.2339938322079513,0.8026901785782239,0.17722546803388947,3.9634315636326884,0.7920247087783998
S0063,Lazada Seller 063,P02,Can Tho,Long-tail,Churn Risk,AM South,0,1,2023-03-03,0.3127509589238872,0.7757788124921254,0.06457979704933964,3.6941890480821895,0.5765934333293101
S0064,Lazada Seller 064,P02,Hai Phong,New,Stable,AM Growth,0,1,2023-09-30,0.6116093421848525,0.7663302862682928,0.135280758183512,4.232481228159253,0.7040793741212217
S0065,Lazada Seller 065,P02,Hanoi,New,Growing,AM Key,0,1,2024-07-28,0.4399055161824801,0.7880106358541467,0.12888392952116792,4.089162530660106,0.673572287990586
S0066,Lazada Seller 066,P02,Hai Phong,Long-tail,Stable,AM North,0,1,2023-08-21,0.7603054904024045,0.8676415944042772,0.13493726023885086,4.154877730972945,0.734724516212638
