year_month,platform_id,seller_id,ads_spend,voucher_cost
2025-01,P01,S0001,17.49,20.43
2025-01,P01,S0002,5.91,3.77
2025-01,P01,S0003,18.5,12.25
2025-01,P01,S0004,3.13,1.68
2025-01,P01,S0005,43.74,30.1
2025-01,P01,S0006,19.95,8.55
2025-01,P01,S0007,4.84,4.55
2025-01,P01,S0008,0.32,0.09
2025-01,P01,S0009,70.43,83.67
2025-01,P01,S0010,0.48,1.07
2025-01,P01,S0011,502.28,305.48
2025-01,P01,S0012,9.03,4.27
2025-01,P01,S0013,123.58,21.28
2025-01,P01,S0014,0.57,0.69
2025-01,P01,S0015,6.85,7.61
2025-01,P01,S0017,115.02,97.28
2025-01,P01,S0018,30.66,21.22
2025-01,P01,S0019,232.0,111.71
2025-01,P01,S0020,88.76,29.65
2025-01,P01,S0021,28.47,11.63
2025-01,P01,S0022,38.16,27.09
2025-01,P01,S0023,71.04,40.28
2025-01,P01,S0024,210.55,83.05
2025-01,P01,S0025,0.73,0.75
2025-01,P01,S0026,17.17,18.0
2025-01,P01,S0027,127.58,32.37
2025-01,P01,S0028,3.28,2.05
2025-01,P01,S0029,5.88,7.14
2025-01,P01,S0030,13.56,7.15
2025-01,P01,S0031,257.03,262.22
2025-01,P01,S0032,5.73,3.41
2025-01,P01,S0033,92.95,108.55
2025-01,P01,S0034,4.62,8.23
2025-01,P01,S0035,295.55,229.58
2025-01,P01,S0036,109.37,48.09
2025-01,P01,S0037,13.23,6.84
2025-01,P01,S0038,20.99,20.81
2025-01,P01,S0039,1120.62,370.06
2025-01,P01,S0040,10.78,20.35
2025-01,P01,S0041,14.87,7.6
2025-01,P01,S0042,20.31,16.09
2025-01,P01,S0043,23.49,24.11
2025-01,P01,S0044,7.3,4.41
2025-01,P01,S0045,30.57,9.29
2025-01,P01,S0046,124.84,53.42
2025-01,P01,S0047,7.68,3.43
2025-01,P01,S0048,216.95,44.64
2025-01,P01,S0049,306.55,254.3
2025-01,P01,S0050,27.58,30.76
2025-01,P02,S0051,95.39,30.77
2025-01,P02,S0052,132.75,78.74
2025-01,P02,S0053,15.73,20.56
2025-01,P02,S0054,5.84,4.58
2025-01,P02,S0055,63.0,41.24
2025-01,P02,S0056,37.57,20.29
2025-01,P02,S0057,25.66,18.07
2025-01,P02,S0058,0.0,0.0
2025-01,P02,S0059,19.97,12.33
2025-01,P02,S0060,78.89,34.23
2025-01,P02,S0061,10.38,13.27
2025-01,P02,S0062,35.4,15.94
2025-01,P02,S0063,1.36,0.94
2025-01,P02,S0064,5.79,3.76
2025-01,P02,S0065,11.65,2.66
2025-01,P02,S0066,3.8,0.79
2025-01,P02,S0067,41.96,16.45
2025-01,P02,S0068,67.59,52.87
2025-01,P02,S0069,0.71,0.75
2025-01,P02,S0070,34.4,7.66
2025-01,P02,S0071,29.95,6.35
2025-01,P02,S0072,33.21,11.73
2025-01,P02,S0073,5.3,4.48
2025-01,P02,S0074,36.24,22.5
2025-01,P02,S0075,135.66,76.05
2025-01,P02,S0076,12.07,3.92
2025-01,P02,S0077,13.19,17.73
2025-01,P02,S0078,237.29,199.42
2025-01,P02,S0079,31.59,22.31
2025-01,P02,S0080,18.85,17.34
2025-01,P02,S0081,144.92,118.79
2025-01,P02,S0082,24.05,25.97
2025-01,P02,S0083,15.92,17.04
2025-01,P02,S0084,33.29,71.31
2025-01,P02,S0085,21.88,18.95
2025-01,P02,S0086,36.14,29.9
2025-01,P02,S0087,2.63,1.52
2025-01,P02,S0088,37.13,49.88
2025-01,P02,S0089,1.76,2.19
2025-01,P02,S0090,35.27,58.47
2025-01,P02,S0091,7.51,1.7
2025-01,P02,S0092,3.06,3.36
2025-01,P03,S0093,133.73,97.06
2025-01,P03,S0094,8.85,7.32
2025-01,P03,S0095,71.17,43.4
2025-01,P03,S0096,499.83,809.19
2025-01,P03,S0097,25.33,13.28
2025-01,P03,S0098,120.16,52.36
2025-01,P03,S0099,1.97,0.97
2025-01,P03,S0100,1.12,0.67
2025-01,P03,S0101,13.74,3.59
2025-01,P03,S0102,39.18,72.41
2025-01,P03,S0103,1.24,1.44
2025-01,P03,S0104,38.77,31.81
2025-01,P03,S0105,65.34,54.68
2025-01,P03,S0106,1.11,1.24
2025-01,P03,S0107,15.43,14.36
2025-01,P03,S0108,561.03,322.28
2025-01,P03,S0109,14.45,14.08
2025-01,P03,S0110,17.62,17.87
2025-01,P03,S0111,28.53,24.18
2025-01,P03,S0112,178.01,118.86
2025-01,P03,S0113,6.34,5.84
2025-01,P03,S0114,4.49,9.88
2025-01,P03,S0115,3.85,3.02
2025-01,P03,S0116,25.14,29.27
2025-01,P03,S0117,18.69,16.56
2025-01,P03,S0118,13.02,14.27
2025-01,P03,S0119,0.42,0.32
2025-01,P03,S0120,82.3,56.34
2025-01,P03,S0121,14.28,24.74
2025-01,P03,S0122,7.41,3.85
2025-02,P01,S0001,68.0,23.23
2025-02,P01,S0002,12.71,3.15
2025-02,P01,S0003,12.08,7.81
2025-02,P01,S0004,2.42,1.6
2025-02,P01,S0005,16.43,14.9
2025-02,P01,S0006,21.52,10.73
2025-02,P01,S0007,20.3,16.64
2025-02,P01,S0008,9.11,2.57
2025-02,P01,S0009,79.51,33.31
2025-02,P01,S0010,0.88,1.37
2025-02,P01,S0011,308.95,157.76
2025-02,P01,S0012,4.79,7.46
2025-02,P01,S0013,54.12,61.94
2025-02,P01,S0014,1.23,2.21
2025-02,P01,S0015,20.06,8.35
2025-02,P01,S0017,24.5,48.55
2025-02,P01,S0018,33.11,29.66
2025-02,P01,S0019,314.68,109.78
2025-02,P01,S0020,19.37,30.36
2025-02,P01,S0021,6.89,10.57
2025-02,P01,S0022,1.96,0.95
2025-02,P01,S0023,25.97,13.59
2025-02,P01,S0024,48.97,120.13
2025-02,P01,S0025,3.73,2.34
2025-02,P01,S0026,36.89,20.71
2025-02,P01,S0027,16.74,18.68
2025-02,P01,S0028,0.44,0.37
2025-02,P01,S0029,3.7,1.2
2025-02,P01,S0030,8.94,6.58
2025-02,P01,S0031,214.61,223.19
2025-02,P01,S0032,10.05,4.89
2025-02,P01,S0033,197.42,62.53
2025-02,P01,S0034,2.01,1.82
2025-02,P01,S0035,87.64,154.43
2025-02,P01,S0036,97.6,66.04
2025-02,P01,S0037,4.36,4.72
2025-02,P01,S0038,27.35,56.37
2025-02,P01,S0039,903.1,790.88
2025-02,P01,S0040,34.99,14.1
2025-02,P01,S0041,25.97,16.31
2025-02,P01,S0042,17.28,35.31
2025-02,P01,S0043,14.94,10.15
2025-02,P01,S0044,3.34,3.38
2025-02,P01,S0045,25.39,19.01
2025-02,P01,S0046,87.8,51.55
2025-02,P01,S0047,10.75,7.63
2025-02,P01,S0048,129.42,79.99
2025-02,P01,S0049,262.5,412.77
2025-02,P01,S0050,43.94,10.69
2025-02,P02,S0051,110.25,68.43
2025-02,P02,S0052,167.42,92.34
2025-02,P02,S0053,39.67,31.24
2025-02,P02,S0054,11.1,4.85
2025-02,P02,S0055,53.69,21.05
2025-02,P02,S0056,9.26,6.07
2025-02,P02,S0057,51.55,10.91
2025-02,P02,S0058,2.64,0.73
2025-02,P02,S0059,33.43,10.11
2025-02,P02,S0060,64.82,35.78
2025-02,P02,S0061,15.9,7.99
2025-02,P02,S0062,30.3,31.89
2025-02,P02,S0063,13.42,3.13
2025-02,P02,S0064,17.35,5.29
2025-02,P02,S0065,7.03,6.6
2025-02,P02,S0066,1.29,1.04
2025-02,P02,S0067,19.15,8.41
2025-02,P02,S0068,30.31,65.71
2025-02,P02,S0069,4.68,4.47
2025-02,P02,S0070,30.52,19.0
2025-02,P02,S0071,34.69,35.52
2025-02,P02,S0072,6.71,7.4
2025-02,P02,S0073,10.43,2.9
2025-02,P02,S0074,41.8,28.63
2025-02,P02,S0075,155.78,72.88
2025-02,P02,S0076,3.45,8.31
2025-02,P02,S0077,29.18,26.99
2025-02,P02,S0078,222.6,183.01
2025-02,P02,S0079,42.54,20.91
2025-02,P02,S0080,0.15,0.31
2025-02,P02,S0081,292.53,119.58
2025-02,P02,S0082,28.31,5.99
2025-02,P02,S0083,8.15,4.8
2025-02,P02,S0084,50.96,43.44
2025-02,P02,S0085,48.97,12.68
2025-02,P02,S0086,25.22,9.21
2025-02,P02,S0087,2.53,4.28
2025-02,P02,S0088,71.94,22.51
2025-02,P02,S0089,4.81,2.05
2025-02,P02,S0090,115.49,87.74
2025-02,P02,S0091,1.37,1.08
2025-02,P02,S0092,2.14,3.2
2025-02,P03,S0093,133.13,45.21
2025-02,P03,S0094,6.29,1.95
2025-02,P03,S0095,28.41,53.41
2025-02,P03,S0096,627.63,470.94
2025-02,P03,S0097,8.51,4.26
2025-02,P03,S0098,102.52,52.39
2025-02,P03,S0099,1.33,1.22
2025-02,P03,S0100,1.33,1.25
2025-02,P03,S0101,14.27,14.63
2025-02,P03,S0102,80.34,36.84
2025-02,P03,S0104,56.94,8.28
2025-02,P03,S0105,74.44,28.67
2025-02,P03,S0106,1.56,0.88
2025-02,P03,S0107,41.69,24.14
2025-02,P03,S0108,361.2,181.77
2025-02,P03,S0109,41.09,30.85
2025-02,P03,S0110,14.25,8.24
2025-02,P03,S0111,19.41,11.39
2025-02,P03,S0112,97.57,67.7
2025-02,P03,S0113,3.86,1.88
2025-02,P03,S0114,9.26,9.02
2025-02,P03,S0115,3.44,5.26
2025-02,P03,S0116,34.76,12.92
2025-02,P03,S0117,6.57,4.53
2025-02,P03,S0118,18.66,27.47
2025-02,P03,S0119,0.66,0.43
2025-02,P03,S0120,60.72,26.17
2025-02,P03,S0121,18.72,26.76
2025-02,P03,S0122,4.7,4.38
2025-03,P01,S0001,80.97,54.22
2025-03,P01,S0002,0.9,1.64
2025-03,P01,S0003,5.27,2.13
2025-03,P01,S0004,2.81,2.35
2025-03,P01,S0005,19.28,8.57
2025-03,P01,S0006,8.91,7.82
2025-03,P01,S0007,12.69,23.28
2025-03,P01,S0008,3.85,1.41
2025-03,P01,S0009,85.36,65.33
2025-03,P01,S0010,2.23,1.16
2025-03,P01,S0011,422.68,251.47
2025-03,P01,S0012,11.32,8.89
2025-03,P01,S0013,30.76,53.97
2025-03,P01,S0014,10.52,3.69
2025-03,P01,S0015,28.22,9.51
2025-03,P01,S0016,0.4,0.42
2025-03,P01,S0017,55.07,66.33
2025-03,P01,S0018,17.32,32.39
2025-03,P01,S0019,406.2,279.53
2025-03,P01,S0020,29.02,28.18
2025-03,P01,S0021,29.67,11.91
2025-03,P01,S0022,8.6,5.17
2025-03,P01,S0023,26.65,30.78
2025-03,P01,S0024,110.76,63.32
2025-03,P01,S0025,0.55,0.32
2025-03,P01,S0026,25.14,30.91
2025-03,P01,S0027,63.2,25.88
2025-03,P01,S0028,1.49,0.94
2025-03,P01,S0029,15.45,16.55
2025-03,P01,S0030,18.71,9.86
2025-03,P01,S0031,377.45,322.72
2025-03,P01,S0032,0.51,0.23
2025-03,P01,S0033,224.01,161.25
2025-03,P01,S0034,3.14,0.9
2025-03,P01,S0035,299.69,137.19
2025-03,P01,S0036,64.08,97.43
2025-03,P01,S0037,22.54,16.75
2025-03,P01,S0038,27.47,25.79
2025-03,P01,S0039,1132.87,242.56
2025-03,P01,S0040,46.73,17.13
2025-03,P01,S0041,11.78,13.69
2025-03,P01,S0042,32.73,27.57
2025-03,P01,S0043,22.98,17.11
2025-03,P01,S0044,5.62,8.44
2025-03,P01,S0045,32.3,10.71
2025-03,P01,S0046,215.36,43.39
2025-03,P01,S0047,3.25,4.96
2025-03,P01,S0048,75.79,58.58
2025-03,P01,S0049,488.67,347.9
2025-03,P01,S0050,27.37,57.75
2025-03,P02,S0051,68.0,97.96
2025-03,P02,S0052,50.01,135.04
2025-03,P02,S0053,43.39,18.97
2025-03,P02,S0054,8.85,11.59
2025-03,P02,S0055,101.63,59.74
2025-03,P02,S0056,31.75,22.2
2025-03,P02,S0057,25.28,9.86
2025-03,P02,S0058,0.87,0.85
2025-03,P02,S0059,29.41,26.33
2025-03,P02,S0060,83.57,35.97
2025-03,P02,S0061,44.52,11.79
2025-03,P02,S0062,52.59,21.38
2025-03,P02,S0063,1.28,2.11
2025-03,P02,S0064,7.54,3.88
