review_id,order_item_id,review_date,platform_id,seller_id,sku_id,category_id,rating,verified_purchase_flag,review_weight
REV0000001,OI0000001,2025-08-13,P01,S0049,SKU00513,C05,4,1,1.0
REV0000002,OI0000003,2026-04-01,P03,S0108,SKU01139,C02,5,1,1.0
REV0000003,OI0000005,2025-12-24,P03,S0096,SKU01023,C05,4,1,1.0
REV0000004,OI0000011,2025-06-16,P03,S0112,SKU01191,C02,5,1,1.0
REV0000005,OI0000014,2025-09-27,P03,S0120,SKU01275,C05,5,0,0.35
REV0000006,OI0000015,2025-03-15,P01,S0039,SKU00379,C05,5,1,1.0
REV0000007,OI0000016,2026-04-28,P01,S0001,SKU00004,C08,4,1,1.0
REV0000008,OI0000024,2026-05-08,P02,S0090,SKU00955,C05,4,1,1.0
REV0000009,OI0000028,2025-09-13,P01,S0003,SKU00019,C02,4,1,1.0
REV0000010,OI0000029,2025-02-20,P03,S0098,SKU01054,C07,5,1,1.0
REV0000011,OI0000031,2026-04-09,P03,S0118,SKU01252,C04,5,1,1.0
REV0000012,OI0000032,2026-05-03,P03,S0104,SKU01101,C01,4,1,1.0
REV0000013,OI0000035,2025-10-18,P02,S0070,SKU00737,C01,4,1,1.0
REV0000014,OI0000048,2026-03-24,P03,S0098,SKU01044,C05,4,1,1.0
REV0000015,OI0000049,2025-02-06,P01,S0039,SKU00380,C02,4,1,1.0
REV0000016,OI0000050,2026-03-01,P03,S0093,SKU00972,C02,5,1,1.0
REV0000017,OI0000052,2025-09-27,P02,S0051,SKU00537,C05,4,1,1.0
REV0000018,OI0000053,2025-01-14,P01,S0049,SKU00512,C01,4,1,1.0
REV0000019,OI0000056,2025-03-04,P02,S0060,SKU00656,C04,3,1,1.0
REV0000020,OI0000057,2025-05-14,P02,S0078,SKU00834,C03,4,1,1.0
REV0000021,OI0000058,2026-03-08,P02,S0078,SKU00840,C05,4,1,1.0
REV0000022,OI0000059,2026-04-24,P01,S0023,SKU00211,C01,4,1,1.0
REV0000023,OI0000061,2025-12-10,P02,S0086,SKU00924,C04,4,1,1.0
REV0000024,OI0000063,2025-01-13,P02,S0083,SKU00897,C02,5,1,1.0
REV0000025,OI0000064,2025-04-20,P01,S0011,SKU00077,C02,4,1,1.0
REV0000026,OI0000065,2026-04-14,P02,S0081,SKU00873,C05,4,1,1.0
REV0000027,OI0000080,2025-11-16,P02,S0063,SKU00682,C01,2,1,1.0
REV0000028,OI0000081,2025-03-20,P02,S0052,SKU00553,C03,4,1,1.0
REV0000029,OI0000086,2025-05-30,P03,S0107,SKU01130,C01,3,1,1.0
REV0000030,OI0000088,2026-03-11,P02,S0086,SKU00922,C05,4,1,1.0
REV0000031,OI0000091,2026-02-23,P01,S0039,SKU00381,C01,4,1,1.0
REV0000032,OI0000094,2025-12-09,P02,S0063,SKU00679,C08,4,1,1.0
REV0000033,OI0000095,2026-04-05,P01,S0001,SKU00007,C06,5,0,1.0
REV0000034,OI0000096,2025-04-19,P03,S0096,SKU01029,C03,4,1,1.0
REV0000035,OI0000097,2026-02-05,P01,S0039,SKU00375,C03,4,1,1.0
REV0000036,OI0000100,2026-06-08,P02,S0057,SKU00626,C01,5,1,1.0
REV0000037,OI0000101,2025-12-23,P02,S0084,SKU00909,C05,4,1,1.0
REV0000038,OI0000120,2026-01-11,P03,S0102,SKU01081,C02,4,1,1.0
REV0000039,OI0000122,2025-10-27,P01,S0048,SKU00490,C05,4,1,1.0
REV0000040,OI0000123,2026-04-05,P01,S0050,SKU00518,C02,5,1,1.0
REV0000041,OI0000126,2025-01-20,P03,S0102,SKU01088,C02,4,1,1.0
REV0000042,OI0000127,2026-04-08,P03,S0096,SKU01029,C03,4,1,1.0
REV0000043,OI0000128,2025-04-14,P03,S0096,SKU01027,C04,3,1,1.0
REV0000044,OI0000131,2026-01-07,P01,S0029,SKU00274,C05,4,1,1.0
REV0000045,OI0000132,2025-03-23,P02,S0071,SKU00745,C04,4,1,1.0
REV0000046,OI0000139,2026-03-01,P02,S0075,SKU00806,C03,5,1,1.0
REV0000047,OI0000141,2026-02-12,P01,S0049,SKU00496,C07,4,1,1.0
REV0000048,OI0000143,2025-01-28,P01,S0033,SKU00316,C03,4,1,1.0
REV0000049,OI0000146,2026-04-06,P02,S0074,SKU00787,C07,4,1,1.0
REV0000050,OI0000147,2026-05-16,P03,S0112,SKU01193,C03,4,1,1.0
REV0000051,OI0000149,2026-02-14,P02,S0055,SKU00605,C08,4,1,1.0
REV0000052,OI0000154,2026-06-10,P03,S0096,SKU01013,C07,4,1,1.0
REV0000053,OI0000156,2025-10-24,P01,S0045,SKU00455,C02,4,1,1.0
REV0000054,OI0000158,2025-07-20,P03,S0096,SKU01006,C02,4,1,1.0
