order_date,platform_id,seller_id,gross_gmv,seller_gmv_net,commission_revenue,order_items,orders,cancelled_items,returned_items,eligible_items,fulfilled_items,late_items,sku_day_count,in_stock_sku_days,low_stock_sku_days,rating_weighted_sum,rating_weight,rating_count,fulfillment_rate,cancellation_rate,stock_availability_rate
2025-01-01,P01,S0005,39.32,36.57,2.85,1,1,0,0,1,1,1,5,5,0,0.0,0.0,0.0,1.0,0.0,1.0
2025-01-01,P01,S0007,54.57,47.45,3.7,1,1,0,0,1,1,1,8,7,2,0.0,0.0,0.0,1.0,0.0,0.875
2025-01-01,P01,S0009,165.51999999999998,46.64,3.63,3,3,1,0,2,2,0,18,17,2,0.0,0.0,0.0,1.0,0.3333333333333333,0.9444444444444444
2025-01-01,P01,S0011,467.96999999999997,424.0,33.07,10,10,0,0,10,9,3,21,21,5,0.0,0.0,0.0,0.9,0.0,1.0
2025-01-01,P01,S0017,178.79999999999998,170.19,13.27,3,3,0,0,3,3,1,9,6,1,0.0,0.0,0.0,1.0,0.0,0.6666666666666666
2025-01-01,P01,S0018,105.52,95.67999999999999,7.46,3,3,0,1,3,3,0,13,11,2,0.0,0.0,0.0,1.0,0.0,0.8461538461538461
2025-01-01,P01,S0019,406.79,292.86,22.830000000000002,7,7,2,0,5,5,0,21,20,4,0.0,0.0,0.0,1.0,0.2857142857142857,0.9523809523809523
2025-01-01,P01,S0020,62.82,57.769999999999996,4.5,4,4,0,0,4,4,0,22,20,1,0.0,0.0,0.0,1.0,0.0,0.9090909090909091
2025-01-01,P01,S0022,8.67,7.97,0.62,1,1,0,0,1,1,0,4,4,0,0.0,0.0,0.0,1.0,0.0,1.0
2025-01-01,P01,S0023,39.97,37.41,2.92,1,1,0,0,1,1,0,9,9,0,0.0,0.0,0.0,1.0,0.0,1.0
2025-01-01,P01,S0024,41.6,37.39,2.92,1,1,0,0,1,1,0,21,18,5,0.0,0.0,0.0,1.0,0.0,0.8571428571428571
2025-01-01,P01,S0026,9.05,8.21,0.64,1,1,0,0,1,1,0,6,5,1,0.0,0.0,0.0,1.0,0.0,0.8333333333333334
2025-01-01,P01,S0027,49.980000000000004,45.35,3.54,2,2,0,0,2,2,2,10,10,1,0.0,0.0,0.0,1.0,0.0,1.0
2025-01-01,P01,S0030,79.53,35.97,2.8,3,3,1,0,2,2,0,9,8,3,0.0,0.0,0.0,1.0,0.3333333333333333,0.8888888888888888
2025-01-01,P01,S0031,549.43,506.88,39.53,14,14,0,1,14,14,2,21,20,3,0.0,0.0,0.0,1.0,0.0,0.9523809523809523
2025-01-01,P01,S0033,82.38,75.03999999999999,5.86,3,3,0,1,3,3,1,14,13,0,0.0,0.0,0.0,1.0,0.0,0.9285714285714286
