year_month,platform_id,seller_id,gross_gmv,seller_gmv_net,commission_revenue,order_items,orders,cancelled_items,returned_items,eligible_items,fulfilled_items,late_items,sku_day_count,in_stock_sku_days,low_stock_sku_days,rating_weighted_sum,rating_weight,rating_count,fulfillment_rate,cancellation_rate,stock_availability_rate,avg_rating
2025-01,P01,S0001,912.1999999999999,635.72,49.6,20,20,4,0,16,16,2,104,99,14,4.0,1.0,1.0,1.0,0.2,0.9519230769230769,4.0
2025-01,P01,S0002,143.97,137.67,10.73,6,6,0,0,6,5,0,35,34,0,0.0,0.0,0.0,0.8333333333333334,0.0,0.9714285714285714,
2025-01,P01,S0003,338.76,321.42,25.07,10,10,0,1,10,10,5,45,41,3,0.0,0.0,0.0,1.0,0.0,0.9111111111111111,
2025-01,P01,S0004,71.82,54.3,4.24,3,3,1,0,2,2,1,18,18,2,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,
2025-01,P01,S0005,701.11,656.34,51.190000000000005,10,10,1,0,9,9,5,45,36,6,5.0,1.0,1.0,1.0,0.1,0.8,5.0
2025-01,P01,S0006,301.42,294.12,22.939999999999998,6,6,0,0,6,6,1,48,37,3,0.0,0.0,0.0,1.0,0.0,0.7708333333333334,
2025-01,P01,S0007,333.49,165.7,12.92,8,8,3,0,5,5,3,64,53,13,0.0,0.0,0.0,1.0,0.375,0.828125,
2025-01,P01,S0008,7.86,7.08,0.55,1,1,0,0,1,1,1,5,4,0,0.0,0.0,0.0,1.0,0.0,0.8,
2025-01,P01,S0009,2890.14,2472.14,192.82,50,50,5,1,45,44,6,414,378,49,28.0,7.0,7.0,0.9777777777777777,0.1,0.9130434782608695,4.0
2025-01,P01,S0010,23.63,23.4,1.83,1,1,0,0,1,1,0,4,3,0,0.0,0.0,0.0,1.0,0.0,0.75,
2025-01,P01,S0011,9228.38,8330.21,649.75,191,191,6,3,185,182,22,651,631,122,131.0,33.0,33.0,0.9837837837837838,0.031413612565445025,0.9692780337941628,3.9696969696969697
2025-01,P01,S0012,329.23,253.23999999999998,19.77,7,7,1,1,6,6,1,20,19,0,0.0,0.0,0.0,1.0,0.14285714285714285,0.95,
2025-01,P01,S0013,2086.71,1986.89,154.98,41,41,0,2,41,40,18,286,277,30,20.0,5.0,5.0,0.975609756097561,0.0,0.9685314685314685,4.0
2025-01,P01,S0014,37.82,32.94,2.57,1,1,0,0,1,1,0,4,4,0,0.0,0.0,0.0,1.0,0.0,1.0,
2025-01,P01,S0015,195.09,185.31,14.450000000000001,4,4,0,0,4,4,1,32,32,5,5.0,1.0,1.0,1.0,0.0,1.0,5.0
2025-01,P01,S0017,2488.94,2152.1,167.85,37,37,3,0,34,33,14,225,195,18,33.0,7.0,7.0,0.9705882352941176,0.08108108108108109,0.8666666666666667,4.714285714285714
2025-01,P01,S0018,1483.71,1382.96,107.87,34,34,0,3,34,33,1,260,221,47,13.0,3.0,3.0,0.9705882352941176,0.0,0.85,4.333333333333333
2025-01,P01,S0019,5937.75,4637.8,361.76,142,142,26,2,116,113,11,651,636,89,79.4,19.35,20.0,0.9741379310344828,0.18309859154929578,0.9769585253456221,4.103359173126615
