forecast_month,scenario,forecast_balance,forecast_expected_loss,forecast_recovery,forecast_provision,incremental_provision
2026-06-01,Upside,1634413.15,15643.09,1122.94,35386.37,15171.45
2026-07-01,Upside,1658193.87,16172.08,1122.94,51086.82,15700.44
2026-08-01,Upside,1682320.59,16701.07,1122.94,67316.25,16229.44
2026-09-01,Upside,1706798.35,17230.07,1122.94,84074.68,16758.43
2026-10-01,Upside,1731632.27,17759.06,1122.94,101362.11,17287.42
2026-11-01,Upside,1756827.52,18288.05,1122.94,119178.53,17816.42
2026-12-01,Upside,1782389.36,18817.05,1122.94,137523.94,18345.41
2026-06-01,Base,1586808.89,19076.93,1002.62,38870.75,18655.83
2026-07-01,Base,1563006.75,19722.05,1002.62,58171.7,19300.95
2026-08-01,Base,1539561.65,20367.16,1002.62,78117.76,19946.06
2026-09-01,Base,1516468.23,21012.27,1002.62,98708.93,20591.17
2026-10-01,Base,1493721.2,21657.39,1002.62,119945.22,21236.29
2026-11-01,Base,1471315.39,22302.5,1002.62,141826.62,21881.4
2026-12-01,Base,1449245.66,22947.62,1002.62,164353.13,22526.51
2026-06-01,Downside,1459864.18,25563.09,822.15,45432.71,25217.79
2026-07-01,Downside,1322928.92,26427.54,822.15,71514.95,26082.24
2026-08-01,Downside,1198838.18,27292.0,822.15,98461.64,26946.69
2026-09-01,Downside,1086387.16,28156.45,822.15,126272.78,27811.14
2026-10-01,Downside,984484.05,29020.9,822.15,154948.38,28675.6
2026-11-01,Downside,892139.44,29885.35,822.15,184488.43,29540.05
2026-12-01,Downside,808456.76,30749.81,822.15,214892.93,30404.5
