snapshot_month,prior_dpd_bucket,dpd_bucket,loan_count,balance,roll_rate
2024-01-01,Current,1-7 DPD,277,114620.0,0.232
2024-01-01,Current,15-29 DPD,182,72579.36,0.1524
2024-01-01,Current,30-59 DPD,175,74240.2,0.1466
2024-01-01,Current,60-89 DPD,98,48027.37,0.0821
2024-01-01,Current,8-14 DPD,178,76331.78,0.1491
2024-01-01,Current,90+ DPD,55,25345.010000000002,0.0461
2024-01-01,Current,Charge-off,8,0.0,0.0067
2024-01-01,Current,Current,221,94527.32,0.1851
2024-02-01,1-7 DPD,1-7 DPD,82,22422.1,0.296
2024-02-01,1-7 DPD,15-29 DPD,59,18276.27,0.213
2024-02-01,1-7 DPD,30-59 DPD,43,14465.01,0.1552
2024-02-01,1-7 DPD,60-89 DPD,18,5058.42,0.065
2024-02-01,1-7 DPD,8-14 DPD,56,17292.21,0.2022
2024-02-01,1-7 DPD,90+ DPD,4,692.77,0.0144
2024-02-01,1-7 DPD,Charge-off,1,0.0,0.0036
2024-02-01,1-7 DPD,Current,14,4723.46,0.0505
2024-02-01,15-29 DPD,1-7 DPD,49,16071.61,0.2692
2024-02-01,15-29 DPD,15-29 DPD,38,12347.44,0.2088
2024-02-01,15-29 DPD,30-59 DPD,32,9412.27,0.1758
2024-02-01,15-29 DPD,60-89 DPD,20,6347.07,0.1099
2024-02-01,15-29 DPD,8-14 DPD,29,5868.03,0.1593
2024-02-01,15-29 DPD,90+ DPD,2,970.15,0.011
2024-02-01,15-29 DPD,Current,12,2175.52,0.0659
2024-02-01,30-59 DPD,1-7 DPD,52,15393.86,0.2971
2024-02-01,30-59 DPD,15-29 DPD,35,12200.32,0.2
2024-02-01,30-59 DPD,30-59 DPD,21,4486.719999999999,0.12
2024-02-01,30-59 DPD,60-89 DPD,17,7728.32,0.0971
2024-02-01,30-59 DPD,8-14 DPD,36,11763.119999999999,0.2057
2024-02-01,30-59 DPD,90+ DPD,3,253.01,0.0171
2024-02-01,30-59 DPD,Charge-off,2,0.0,0.0114
2024-02-01,30-59 DPD,Current,9,1713.44,0.0514
2024-02-01,60-89 DPD,1-7 DPD,17,10860.5,0.1735
2024-02-01,60-89 DPD,15-29 DPD,12,4780.48,0.1224
2024-02-01,60-89 DPD,30-59 DPD,12,3315.29,0.1224
2024-02-01,60-89 DPD,60-89 DPD,7,7173.38,0.0714
2024-02-01,60-89 DPD,8-14 DPD,13,2511.59,0.1327
2024-02-01,60-89 DPD,90+ DPD,20,3302.91,0.2041
2024-02-01,60-89 DPD,Charge-off,11,0.0,0.1122
2024-02-01,60-89 DPD,Current,6,1551.9499999999998,0.0612
2024-02-01,8-14 DPD,1-7 DPD,42,13453.27,0.236
2024-02-01,8-14 DPD,15-29 DPD,20,4391.83,0.1124
2024-02-01,8-14 DPD,30-59 DPD,39,9811.63,0.2191
2024-02-01,8-14 DPD,60-89 DPD,23,11097.359999999999,0.1292
2024-02-01,8-14 DPD,8-14 DPD,40,12539.25,0.2247
2024-02-01,8-14 DPD,90+ DPD,3,1961.02,0.0169
2024-02-01,8-14 DPD,Charge-off,2,0.0,0.0112
2024-02-01,8-14 DPD,Current,9,2970.92,0.0506
2024-02-01,90+ DPD,1-7 DPD,5,2114.09,0.0909
2024-02-01,90+ DPD,15-29 DPD,4,399.28999999999996,0.0727
2024-02-01,90+ DPD,30-59 DPD,7,5307.389999999999,0.1273
2024-02-01,90+ DPD,60-89 DPD,1,162.19,0.0182
2024-02-01,90+ DPD,8-14 DPD,10,3264.81,0.1818
2024-02-01,90+ DPD,90+ DPD,15,4810.12,0.2727
2024-02-01,90+ DPD,Charge-off,10,0.0,0.1818
2024-02-01,90+ DPD,Current,3,1056.24,0.0545
2024-02-01,Charge-off,Charge-off,8,0.0,1.0
2024-02-01,Current,1-7 DPD,313,129395.68,0.2391
2024-02-01,Current,15-29 DPD,200,78870.11,0.1528
2024-02-01,Current,30-59 DPD,191,78708.92,0.1459
2024-02-01,Current,60-89 DPD,133,49656.28,0.1016
2024-02-01,Current,8-14 DPD,224,86864.94,0.1711
2024-02-01,Current,90+ DPD,49,16921.11,0.0374
2024-02-01,Current,Charge-off,17,0.0,0.013
2024-02-01,Current,Current,182,76909.13,0.139
2024-03-01,1-7 DPD,1-7 DPD,179,48652.09,0.3196
2024-03-01,1-7 DPD,15-29 DPD,110,27453.27,0.1964
2024-03-01,1-7 DPD,30-59 DPD,87,22933.13,0.1554
2024-03-01,1-7 DPD,60-89 DPD,42,12943.99,0.075
2024-03-01,1-7 DPD,8-14 DPD,103,25970.27,0.1839
2024-03-01,1-7 DPD,90+ DPD,9,3620.1800000000003,0.0161
2024-03-01,1-7 DPD,Charge-off,1,0.0,0.0018
2024-03-01,1-7 DPD,Current,29,6055.81,0.0518
2024-03-01,15-29 DPD,1-7 DPD,102,29416.15,0.2772
2024-03-01,15-29 DPD,15-29 DPD,74,15639.0,0.2011
2024-03-01,15-29 DPD,30-59 DPD,57,12457.08,0.1549
2024-03-01,15-29 DPD,60-89 DPD,22,3114.38,0.0598
2024-03-01,15-29 DPD,8-14 DPD,78,21216.579999999998,0.212
2024-03-01,15-29 DPD,90+ DPD,8,2275.12,0.0217
2024-03-01,15-29 DPD,Charge-off,4,0.0,0.0109
2024-03-01,15-29 DPD,Current,23,7345.37,0.0625
2024-03-01,30-59 DPD,1-7 DPD,112,29260.84,0.3246
2024-03-01,30-59 DPD,15-29 DPD,62,14750.48,0.1797
2024-03-01,30-59 DPD,30-59 DPD,71,20063.99,0.2058
2024-03-01,30-59 DPD,60-89 DPD,15,1862.87,0.0435
2024-03-01,30-59 DPD,8-14 DPD,68,17187.079999999998,0.1971
2024-03-01,30-59 DPD,90+ DPD,1,223.63,0.0029
2024-03-01,30-59 DPD,Current,16,4486.32,0.0464
2024-03-01,60-89 DPD,1-7 DPD,52,15679.960000000001,0.2374
2024-03-01,60-89 DPD,15-29 DPD,30,6613.84,0.137
2024-03-01,60-89 DPD,30-59 DPD,20,5958.51,0.0913
2024-03-01,60-89 DPD,60-89 DPD,8,787.14,0.0365
2024-03-01,60-89 DPD,8-14 DPD,28,9788.64,0.1279
2024-03-01,60-89 DPD,90+ DPD,46,12622.44,0.21
2024-03-01,60-89 DPD,Charge-off,25,0.0,0.1142
2024-03-01,60-89 DPD,Current,10,4730.82,0.0457
2024-03-01,8-14 DPD,1-7 DPD,119,26442.16,0.2917
2024-03-01,8-14 DPD,15-29 DPD,67,17310.43,0.1642
2024-03-01,8-14 DPD,30-59 DPD,83,23445.94,0.2034
2024-03-01,8-14 DPD,60-89 DPD,26,5267.9,0.0637
2024-03-01,8-14 DPD,8-14 DPD,90,16524.52,0.2206
2024-03-01,8-14 DPD,90+ DPD,5,685.12,0.0123
2024-03-01,8-14 DPD,Charge-off,1,0.0,0.0025
2024-03-01,8-14 DPD,Current,17,5255.04,0.0417
2024-03-01,90+ DPD,1-7 DPD,14,1541.95,0.1458
2024-03-01,90+ DPD,15-29 DPD,14,4768.09,0.1458
2024-03-01,90+ DPD,30-59 DPD,12,2391.29,0.125
2024-03-01,90+ DPD,60-89 DPD,5,1278.8700000000001,0.0521
2024-03-01,90+ DPD,8-14 DPD,7,1401.27,0.0729
2024-03-01,90+ DPD,90+ DPD,24,3258.59,0.25
