origination_month,mob,loan_count,originated_amount,outstanding_balance,dpd30_balance,dpd60_balance,npl_balance,chargeoff_amount,dpd30_rate,dpd60_rate,npl_rate,cumulative_loss_rate
2024-01-01,0,1194,508597.36,505671.04,147612.58,73372.38,25345.010000000002,1648.51,0.2919,0.1451,0.0501,0.0032
2024-01-01,1,1194,508597.36,367181.8,108266.98,54204.92,12365.13,5318.88,0.2949,0.1476,0.0337,0.0137
2024-01-01,2,1194,508597.36,236909.4,56349.05,20541.09,12110.1,7091.94,0.2379,0.0867,0.0511,0.0276
2024-01-01,3,1194,508597.36,163884.03,33836.08,13129.53,2992.82,6810.77,0.2065,0.0801,0.0183,0.041
2024-01-01,4,1194,508597.36,130194.78,28389.62,11055.73,2769.38,3385.9,0.2181,0.0849,0.0213,0.0477
2024-01-01,5,1194,508597.36,91624.41,26967.27,8296.52,3984.9900000000002,2859.31,0.2943,0.0905,0.0435,0.0533
2024-01-01,6,577,401728.65,56542.86,20472.34,8312.43,3286.64,2169.83,0.3621,0.147,0.0581,0.0576
2024-01-01,7,297,284839.77,44796.9,13362.18,7162.67,2211.0,1649.57,0.2983,0.1599,0.0494,0.0608
2024-01-01,8,297,284839.77,37241.01,7529.59,3524.46,2639.17,1387.34,0.2022,0.0946,0.0709,0.0636
2024-01-01,9,297,284839.77,29665.76,5836.17,1715.99,265.38,1136.1200000000001,0.1967,0.0578,0.0089,0.0658
2024-01-01,10,71,95886.85,14777.18,2089.71,844.95,0.0,738.14,0.1414,0.0572,0.0,0.0672
2024-01-01,11,71,95886.85,7412.22,723.7600000000001,275.02,197.33,354.36,0.0976,0.0371,0.0266,0.0679
2024-01-01,12,71,95886.85,3463.16,754.03,22.74,0.0,229.29,0.2177,0.0066,0.0,0.0684
2024-01-01,13,71,95886.85,3557.88,814.34,504.83,54.779999999999994,170.09,0.2289,0.1419,0.0154,0.0687
2024-01-01,14,71,95886.85,3557.88,777.67,211.68,211.68,170.09,0.2186,0.0595,0.0595,0.0691
2024-01-01,15,71,95886.85,3557.88,812.72,316.59,71.7,170.09,0.2284,0.089,0.0202,0.0694
2024-02-01,0,1088,451312.5,446641.0,133374.36000000002,61929.19,16545.96,2549.2599999999998,0.2986,0.1387,0.037,0.0056
