AlertKey,TransactionKey,DateKey,AlertDateKey,CustomerKey,RuleKey,CorridorKey,ChannelKey,ProductKey,AlertAmountUSD,RiskScore,Severity,AlertStatus,IsFalsePositive,IsTruePositive,EscalatedToCase,CaseKey,ClosedDateKey,HoursToDisposition
AL000001,T0000003,20251221,20251221,C0075,R003,COR008,CH007,PR007,8059.37,87,High,Closed True Positive,N,Y,N,,20251224.0,87.0
AL000002,T0000006,20260323,20260323,C0006,R002,COR003,CH001,PR003,64000.0,76,High,SAR Filed,N,Y,Y,CA000002,20260327.0,102.0
AL000003,T0000009,20250506,20250507,C0046,R003,COR007,CH006,PR006,32292.56,73,Medium,In Review,Y,N,N,,,
AL000004,T0000019,20260111,20260112,C0049,R005,COR009,CH005,PR003,1066.68,77,High,Closed False Positive,Y,N,N,,20260123.0,276.0
AL000005,T0000024,20250718,20250718,C0008,R003,COR004,CH006,PR005,195964.94,66,Medium,Closed False Positive,Y,N,N,,20250720.0,56.0
AL000006,T0000038,20260511,20260512,C0001,R001,COR006,CH002,PR001,2072.27,90,Critical,Escalated,N,Y,Y,CA000006,,
AL000007,T0000039,20250801,20250801,C0122,R009,COR010,CH008,PR006,29768.73,92,Critical,SAR Filed,N,Y,Y,CA000007,20250816.0,363.0
AL000008,T0000048,20260516,20260516,C0102,R001,COR006,CH007,PR006,1297.77,78,High,Closed False Positive,Y,N,N,,20260525.0,225.0
AL000009,T0000050,20250723,20250723,C0068,R005,COR002,CH003,PR006,4729.25,66,Medium,SAR Filed,N,Y,Y,CA000009,20250727.0,102.0
AL000010,T0000053,20250806,20250806,C0124,R006,COR010,CH005,PR002,54789.87,84,High,Closed False Positive,Y,N,N,,20250814.0,199.0
AL000011,T0000054,20251204,20251204,C0158,R003,COR006,CH001,PR001,25398.75,68,Medium,In Review,Y,N,N,,,
AL000012,T0000055,20250130,20250130,C0073,R006,COR007,CH002,PR002,10018.3,86,High,In Review,Y,N,N,,,
AL000013,T0000061,20251208,20251210,C0091,R001,COR011,CH006,PR004,129098.11,93,Critical,SAR Filed,N,Y,Y,CA000013,20251222.0,298.0
AL000014,T0000071,20260106,20260107,C0130,R008,COR009,CH004,PR002,8917.0,78,High,Escalated,N,Y,Y,CA000014,,
AL000015,T0000077,20251117,20251119,C0114,R007,COR010,CH006,PR008,44670.53,68,Medium,Escalated,N,Y,Y,CA000015,,
AL000016,T0000082,20250929,20250929,C0075,R010,COR011,CH002,PR004,25007.79,99,Critical,SAR Filed,N,Y,Y,CA000016,20251011.0,297.0
AL000017,T0000090,20260328,20260328,C0152,R005,COR004,CH005,PR007,95000.0,87,High,SAR Filed,N,Y,Y,CA000017,20260412.0,370.0
AL000018,T0000093,20260224,20260224,C0132,R009,COR007,CH005,PR002,5257.59,98,Critical,SAR Filed,N,Y,Y,CA000018,20260309.0,323.0
AL000019,T0000097,20260105,20260107,C0158,R009,COR001,CH004,PR001,44460.47,71,Medium,Closed True Positive,N,Y,Y,CA000019,20260118.0,274.0
AL000020,T0000099,20250601,20250603,C0014,R007,COR010,CH008,PR006,39722.96,85,High,Closed True Positive,N,Y,N,,20250612.0,217.0
AL000021,T0000115,20260423,20260425,C0106,R010,COR009,CH004,PR001,7843.69,63,Medium,Closed False Positive,Y,N,N,,20260507.0,299.0
AL000022,T0000119,20260123,20260124,C0021,R010,COR009,CH003,PR006,40042.34,72,Medium,In Review,N,Y,N,,,
AL000023,T0000122,20250417,20250417,C0127,R002,COR010,CH004,PR006,4480.59,82,High,Closed True Positive,N,Y,N,,20250424.0,171.0
AL000024,T0000128,20251206,20251207,C0157,R009,COR008,CH008,PR002,4412.73,67,Medium,Closed False Positive,Y,N,N,,20251213.0,148.0
AL000025,T0000138,20250120,20250122,C0062,R009,COR010,CH004,PR005,6248.7,75,High,In Review,N,Y,N,,,
AL000026,T0000143,20251105,20251107,C0161,R002,COR001,CH008,PR001,13360.78,75,High,Closed True Positive,N,Y,Y,CA000026,20251112.0,126.0
AL000027,T0000146,20251204,20251206,C0117,R002,COR005,CH006,PR006,41862.91,68,Medium,New,Y,N,N,,,
AL000028,T0000148,20260110,20260110,C0138,R006,COR009,CH003,PR008,307027.9,80,High,In Review,N,Y,N,,,
AL000029,T0000158,20250604,20250605,C0131,R002,COR010,CH005,PR003,41000.0,99,Critical,SAR Filed,N,Y,Y,CA000029,20250616.0,273.0
AL000030,T0000162,20260221,20260223,C0049,R004,COR002,CH008,PR007,25253.49,80,High,Closed True Positive,N,Y,N,,20260309.0,337.0
AL000031,T0000167,20251008,20251008,C0065,R008,COR008,CH002,PR001,35864.52,81,High,Closed False Positive,Y,N,N,,20251012.0,108.0
AL000032,T0000193,20260127,20260127,C0140,R006,COR012,CH008,PR003,57988.8,87,High,Escalated,N,Y,Y,CA000032,,
AL000033,T0000200,20250117,20250118,C0128,R007,COR003,CH001,PR005,6501.8,80,High,Closed False Positive,Y,N,N,,20250122.0,101.0
AL000034,T0000205,20250824,20250824,C0158,R005,COR006,CH002,PR003,62000.0,86,High,Closed False Positive,Y,N,N,,20250828.0,104.0
AL000035,T0000211,20250426,20250426,C0133,R001,COR011,CH004,PR001,50371.28,89,Critical,Escalated,Y,N,Y,CA000035,,
AL000036,T0000214,20251119,20251120,C0144,R005,COR002,CH005,PR008,8000.0,92,Critical,Escalated,N,Y,Y,CA000036,,
AL000037,T0000217,20251104,20251104,C0131,R002,COR002,CH006,PR001,185362.24,89,Critical,SAR Filed,N,Y,Y,CA000037,20251105.0,35.0
AL000038,T0000221,20260303,20260305,C0011,R005,COR012,CH005,PR006,10259.52,75,High,SAR Filed,N,Y,Y,CA000038,20260307.0,58.0
AL000039,T0000224,20260329,20260329,C0096,R004,COR006,CH004,PR001,6175.7,85,High,SAR Filed,N,Y,Y,CA000039,20260406.0,193.0
AL000040,T0000225,20250808,20250809,C0018,R005,COR005,CH006,PR006,34161.0,73,Medium,Closed True Positive,N,Y,Y,CA000040,20250815.0,158.0
AL000041,T0000229,20250126,20250128,C0139,R008,COR001,CH001,PR008,7791.88,83,High,In Review,N,Y,N,,,
AL000042,T0000232,20250528,20250530,C0121,R001,COR001,CH001,PR006,4236.31,67,Medium,Closed True Positive,N,Y,N,,20250603.0,109.0
AL000043,T0000240,20260220,20260221,C0090,R008,COR003,CH006,PR007,17000.0,70,Medium,Closed True Positive,N,Y,Y,CA000043,20260305.0,302.0
AL000044,T0000246,20250907,20250908,C0026,R002,COR011,CH008,PR004,54560.78,99,Critical,Escalated,N,Y,Y,CA000044,,
AL000045,T0000264,20250904,20250906,C0178,R003,COR006,CH002,PR008,13679.96,85,High,SAR Filed,N,Y,Y,CA000045,20250919.0,321.0
AL000046,T0000265,20250109,20250111,C0134,R008,COR001,CH003,PR006,100000.0,74,High,Closed False Positive,Y,N,N,,20250126.0,365.0
AL000047,T0000271,20250630,20250701,C0176,R005,COR008,CH005,PR005,38000.0,80,High,SAR Filed,N,Y,Y,CA000047,20250702.0,28.0
AL000048,T0000291,20251022,20251022,C0112,R005,COR001,CH008,PR004,195721.39,97,Critical,SAR Filed,N,Y,Y,CA000048,20251106.0,375.0
AL000049,T0000300,20250211,20250212,C0106,R008,COR010,CH006,PR002,78114.6,79,High,Closed False Positive,Y,N,N,,20250227.0,367.0
AL000050,T0000305,20260403,20260403,C0049,R006,COR001,CH007,PR007,16000.0,72,Medium,In Review,N,Y,Y,CA000050,,
