CaseKey,AlertKey,CreatedDateKey,ClosedDateKey,CustomerKey,RuleKey,CorridorKey,AnalystKey,CasePriority,CaseStatus,Outcome,SARFiled,SLAHours,AgeDays,HoursToClose,IsOverdue,CaseAmountUSD
CA000002,AL000002,20260323,20260323.0,C0006,R002,COR003,A003,P2,SAR Filed,SAR Filed,Y,48,1,23.0,N,64000.0
CA000006,AL000006,20260513,20260513.0,C0001,R001,COR006,A007,P1,SAR Filed,SAR Filed,Y,24,1,19.0,N,2072.27
CA000007,AL000007,20250801,20250801.0,C0122,R009,COR010,A005,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,29768.73
CA000009,AL000009,20250724,20250725.0,C0068,R005,COR002,A008,P3,SAR Filed,SAR Filed,Y,96,2,45.0,N,4729.25
CA000013,AL000013,20251212,20251212.0,C0091,R001,COR011,A003,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,129098.11
CA000014,AL000014,20260107,20260108.0,C0130,R008,COR009,A006,P2,SAR Filed,SAR Filed,Y,48,2,32.0,N,8917.0
CA000015,AL000015,20251121,,C0114,R007,COR010,A002,P3,In Review,Pending,N,96,1,,N,44670.53
CA000016,AL000016,20250930,20251001.0,C0075,R010,COR011,A004,P1,SAR Filed,SAR Filed,Y,24,2,34.0,Y,25007.79
CA000017,AL000017,20260330,20260401.0,C0152,R005,COR004,A001,P2,SAR Filed,SAR Filed,Y,48,3,69.0,Y,95000.0
CA000018,AL000018,20260226,20260226.0,C0132,R009,COR007,A006,P1,SAR Filed,SAR Filed,Y,24,1,10.0,N,5257.59
CA000019,AL000019,20260108,,C0158,R009,COR001,A003,P3,Pending EDD,Pending,N,96,0,,N,44460.47
CA000026,AL000026,20251107,20251111.0,C0161,R002,COR001,A001,P2,Closed,Confirmed Suspicious,N,48,5,109.0,Y,13360.78
CA000029,AL000029,20250607,20250609.0,C0131,R002,COR010,A005,P1,SAR Filed,SAR Filed,Y,24,3,66.0,Y,41000.0
CA000032,AL000032,20260129,20260206.0,C0140,R006,COR012,A006,P2,SAR Filed,SAR Filed,Y,48,9,195.0,Y,57988.8
CA000035,AL000035,20250428,,C0133,R001,COR011,A001,P1,In Review,Pending,N,24,5,,Y,50371.28
CA000036,AL000036,20251120,20251120.0,C0144,R005,COR002,A001,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,8000.0
CA000037,AL000037,20251106,20251106.0,C0131,R002,COR002,A006,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,185362.24
CA000038,AL000038,20260307,20260307.0,C0011,R005,COR012,A006,P2,SAR Filed,SAR Filed,Y,48,1,10.0,N,10259.52
CA000039,AL000039,20260330,20260331.0,C0096,R004,COR006,A001,P2,SAR Filed,SAR Filed,Y,48,2,38.0,N,6175.7
CA000040,AL000040,20250810,20250813.0,C0018,R005,COR005,A008,P3,Closed,Confirmed Suspicious,N,96,4,77.0,N,34161.0
CA000043,AL000043,20260223,,C0090,R008,COR003,A005,P3,In Review,Pending,N,96,2,,N,17000.0
CA000044,AL000044,20250908,20250908.0,C0026,R002,COR011,A008,P1,SAR Filed,SAR Filed,Y,24,1,6.0,N,54560.78
CA000045,AL000045,20250907,20250908.0,C0178,R003,COR006,A003,P2,SAR Filed,SAR Filed,Y,48,2,32.0,N,13679.96
CA000047,AL000047,20250703,20250703.0,C0176,R005,COR008,A008,P2,SAR Filed,SAR Filed,Y,48,1,10.0,N,38000.0
CA000048,AL000048,20251022,20251022.0,C0112,R005,COR001,A004,P1,SAR Filed,SAR Filed,Y,24,1,15.0,N,195721.39
CA000050,AL000050,20260404,,C0049,R006,COR001,A007,P3,Pending EDD,Pending,N,96,2,,N,16000.0
CA000053,AL000053,20250422,20250422.0,C0132,R005,COR009,A008,P2,SAR Filed,SAR Filed,Y,48,1,17.0,N,12788.61
CA000054,AL000054,20250911,20250911.0,C0119,R003,COR006,A007,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,1265.78
CA000055,AL000055,20260513,20260513.0,C0100,R007,COR007,A004,P2,Closed,Confirmed Suspicious,N,48,1,8.0,N,51928.95
CA000060,AL000060,20260422,,C0179,R004,COR006,A002,P1,Pending EDD,Pending,N,24,3,,Y,4282.94
CA000062,AL000062,20260312,20260314.0,C0130,R010,COR006,A007,P3,Closed,Confirmed Suspicious,N,96,3,57.0,N,2601.52
CA000064,AL000064,20250601,20250601.0,C0078,R001,COR012,A003,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,14301.14
CA000065,AL000065,20250810,20250810.0,C0141,R002,COR001,A006,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,158811.96
CA000067,AL000067,20260207,20260208.0,C0120,R007,COR007,A002,P2,SAR Filed,SAR Filed,Y,48,2,28.0,N,2961.68
CA000068,AL000068,20251105,20251106.0,C0018,R005,COR003,A002,P2,SAR Filed,SAR Filed,Y,48,2,30.0,N,77416.22
CA000069,AL000069,20260409,20260409.0,C0055,R004,COR006,A005,P1,SAR Filed,SAR Filed,Y,24,1,9.0,N,163000.0
CA000070,AL000070,20260524,20260524.0,C0022,R008,COR011,A007,P1,Closed,False Positive,N,24,1,13.0,N,29091.07
CA000072,AL000072,20251225,20251225.0,C0056,R003,COR006,A007,P2,Closed,Confirmed Suspicious,N,48,1,6.0,N,2355.25
CA000073,AL000073,20250731,20250807.0,C0062,R008,COR006,A005,P3,Closed,Confirmed Suspicious,N,96,8,169.0,Y,31319.45
CA000074,AL000074,20260101,20260102.0,C0001,R002,COR010,A006,P1,SAR Filed,SAR Filed,Y,24,2,35.0,Y,192000.0
CA000076,AL000076,20250826,20250831.0,C0100,R003,COR006,A003,P2,SAR Filed,SAR Filed,Y,48,6,131.0,Y,3644.92
CA000077,AL000077,20260402,20260402.0,C0032,R002,COR008,A005,P1,SAR Filed,SAR Filed,Y,24,1,8.0,N,54000.0
CA000079,AL000079,20251029,20251029.0,C0026,R001,COR004,A004,P1,SAR Filed,SAR Filed,Y,24,1,18.0,N,2678.05
CA000081,AL000081,20251122,20251124.0,C0064,R008,COR004,A005,P1,Closed,False Positive,N,24,3,63.0,Y,53878.55
CA000082,AL000082,20250211,20250211.0,C0120,R003,COR011,A007,P1,SAR Filed,SAR Filed,Y,24,1,16.0,N,171213.04
CA000083,AL000083,20250719,20250719.0,C0072,R006,COR002,A003,P1,SAR Filed,SAR Filed,Y,24,1,20.0,N,120480.47
CA000085,AL000085,20251106,20251106.0,C0033,R001,COR002,A008,P1,Closed,False Positive,N,24,1,6.0,N,13000.0
CA000087,AL000087,20260528,20260528.0,C0156,R003,COR011,A001,P3,Closed,Confirmed Suspicious,N,96,1,7.0,N,9076.28
CA000089,AL000089,20250614,20250614.0,C0001,R009,COR012,A003,P2,SAR Filed,SAR Filed,Y,48,1,23.0,N,71429.1
CA000090,AL000090,20250115,20250115.0,C0131,R004,COR004,A008,P1,SAR Filed,SAR Filed,Y,24,1,7.0,N,216835.15
CA000092,AL000092,20251208,,C0055,R002,COR010,A004,P2,Open,Pending,N,48,3,,Y,454615.54
CA000095,AL000095,20250327,20250328.0,C0001,R002,COR002,A005,P1,SAR Filed,SAR Filed,Y,24,2,35.0,Y,43327.67
CA000096,AL000096,20260123,20260123.0,C0019,R004,COR012,A003,P1,SAR Filed,SAR Filed,Y,24,1,14.0,N,87137.16
CA000097,AL000097,20260202,20260205.0,C0031,R010,COR008,A007,P1,SAR Filed,SAR Filed,Y,24,4,77.0,Y,54100.53
