TransactionKey,DateKey,CustomerKey,CorridorKey,ChannelKey,ProductKey,AmountUSD,RiskScore,IsFlagged,PrimaryRuleKey,RoundDollarFlag,TransactionType
T0000001,20251126,C0003,COR008,CH006,PR002,52915.15,75,N,,N,Credit
T0000002,20260417,C0038,COR001,CH006,PR007,36672.44,79,N,,N,Debit
T0000003,20251221,C0075,COR008,CH007,PR007,8059.37,87,Y,R003,N,Transfer
T0000004,20251117,C0106,COR012,CH003,PR002,10000.0,64,N,,Y,Debit
T0000005,20250607,C0024,COR010,CH006,PR006,3652.88,74,N,,N,Credit
T0000006,20260323,C0006,COR003,CH001,PR003,64000.0,76,Y,R002,Y,Debit
T0000007,20260122,C0107,COR010,CH002,PR005,52000.0,68,N,,Y,Credit
T0000008,20260313,C0026,COR008,CH001,PR006,2007.08,66,N,,N,Transfer
T0000009,20250506,C0046,COR007,CH006,PR006,32292.56,73,Y,R003,N,Credit
T0000010,20250104,C0085,COR003,CH007,PR003,3993.6,79,N,,N,Transfer
T0000011,20260212,C0065,COR006,CH002,PR006,230205.77,90,N,,N,Transfer
T0000012,20250324,C0085,COR011,CH002,PR004,32446.05,81,N,,N,Debit
T0000013,20251022,C0078,COR004,CH003,PR002,101939.28,75,N,,N,Credit
T0000014,20250304,C0110,COR002,CH001,PR005,12000.0,77,N,,Y,Transfer
T0000015,20251102,C0125,COR004,CH001,PR004,57400.45,71,N,,N,Credit
T0000016,20260530,C0174,COR003,CH002,PR003,143092.44,83,N,,N,Transfer
T0000017,20250417,C0100,COR001,CH001,PR004,8615.67,64,N,,N,Transfer
T0000018,20250704,C0116,COR006,CH008,PR007,261655.69,99,N,,N,Transfer
T0000019,20260111,C0049,COR009,CH005,PR003,1066.68,77,Y,R005,N,Transfer
T0000020,20250816,C0139,COR011,CH007,PR008,7929.9,92,N,,N,Debit
T0000021,20251120,C0020,COR009,CH008,PR004,36814.01,89,N,,N,Credit
T0000022,20260112,C0169,COR006,CH004,PR005,31381.33,87,N,,N,Transfer
T0000023,20260306,C0046,COR005,CH005,PR002,3056.8,71,N,,N,Credit
T0000024,20250718,C0008,COR004,CH006,PR005,195964.94,66,Y,R003,N,Credit
T0000025,20250306,C0019,COR011,CH004,PR002,25691.6,82,N,,N,Debit
T0000026,20250809,C0097,COR008,CH001,PR008,3562.72,88,N,,N,Debit
T0000027,20260429,C0055,COR001,CH005,PR005,77854.56,78,N,,N,Transfer
T0000028,20250204,C0105,COR012,CH005,PR007,121434.46,72,N,,N,Transfer
T0000029,20250908,C0146,COR004,CH007,PR004,33703.48,86,N,,N,Transfer
T0000030,20260516,C0097,COR004,CH008,PR006,18960.2,89,N,,N,Debit
T0000031,20250926,C0007,COR007,CH002,PR002,69789.18,99,N,,N,Debit
T0000032,20250412,C0038,COR012,CH004,PR008,1711.89,63,N,,N,Credit
T0000033,20251207,C0031,COR009,CH008,PR008,96531.9,94,N,,N,Credit
T0000034,20251015,C0061,COR009,CH003,PR004,46907.41,73,N,,N,Transfer
T0000035,20250115,C0141,COR007,CH003,PR007,10966.49,95,N,,N,Debit
T0000036,20260311,C0026,COR011,CH002,PR003,12628.39,91,N,,N,Transfer
T0000037,20250706,C0122,COR006,CH004,PR002,14689.67,77,N,,N,Transfer
T0000038,20260511,C0001,COR006,CH002,PR001,2072.27,90,Y,R001,N,Debit
T0000039,20250801,C0122,COR010,CH008,PR006,29768.73,92,Y,R009,N,Credit
T0000040,20251203,C0127,COR001,CH006,PR005,4547.81,77,N,,N,Transfer
T0000041,20250717,C0129,COR007,CH002,PR005,68930.93,99,N,,N,Credit
T0000042,20260430,C0003,COR002,CH003,PR003,15000.0,86,N,,Y,Debit
T0000043,20250421,C0068,COR007,CH006,PR006,13002.63,86,N,,N,Transfer
T0000044,20250501,C0025,COR009,CH001,PR004,4858.92,55,N,,N,Credit
T0000045,20260503,C0049,COR012,CH003,PR005,1483.05,62,N,,N,Transfer
T0000046,20251224,C0145,COR007,CH008,PR003,68709.91,95,N,,N,Transfer
T0000047,20251208,C0049,COR010,CH007,PR008,1816.22,71,N,,N,Debit
T0000048,20260516,C0102,COR006,CH007,PR006,1297.77,78,Y,R001,N,Debit
T0000049,20250708,C0009,COR005,CH007,PR007,7558.18,75,N,,N,Transfer
T0000050,20250723,C0068,COR002,CH003,PR006,4729.25,66,Y,R005,N,Transfer
T0000051,20251115,C0090,COR011,CH006,PR001,20595.96,69,N,,N,Credit
T0000052,20251125,C0076,COR007,CH006,PR004,132698.74,98,N,,N,Debit
T0000053,20250806,C0124,COR010,CH005,PR002,54789.87,84,Y,R006,N,Credit
T0000054,20251204,C0158,COR006,CH001,PR001,25398.75,68,Y,R003,N,Credit
T0000055,20250130,C0073,COR007,CH002,PR002,10018.3,86,Y,R006,N,Debit
T0000056,20260301,C0031,COR012,CH006,PR003,64715.66,70,N,,N,Transfer
T0000057,20250805,C0019,COR004,CH008,PR001,17641.98,83,N,,N,Withdrawal
T0000058,20250514,C0158,COR004,CH003,PR007,31063.19,52,N,,N,Debit
T0000059,20251213,C0042,COR001,CH007,PR002,2868.8,62,N,,N,Credit
T0000060,20250209,C0056,COR010,CH002,PR005,28000.0,77,N,,Y,Credit
T0000061,20251208,C0091,COR011,CH006,PR004,129098.11,93,Y,R001,N,Transfer
T0000062,20251212,C0102,COR007,CH004,PR001,31137.62,80,N,,N,Debit
T0000063,20250320,C0083,COR004,CH008,PR005,150840.54,99,N,,N,Credit
T0000064,20251212,C0104,COR011,CH002,PR007,58443.93,86,N,,N,Credit
T0000065,20260130,C0007,COR009,CH006,PR008,90254.77,98,N,,N,Debit
T0000066,20260312,C0113,COR003,CH008,PR008,4781.82,90,N,,N,Credit
T0000067,20250822,C0180,COR002,CH002,PR004,38301.99,60,N,,N,Withdrawal
T0000068,20251106,C0004,COR011,CH005,PR007,34000.0,78,N,,Y,Transfer
T0000069,20251008,C0087,COR006,CH002,PR007,20317.67,84,N,,N,Credit
T0000070,20250910,C0006,COR002,CH003,PR001,27000.0,69,N,,Y,Transfer
T0000071,20260106,C0130,COR009,CH004,PR002,8917.0,78,Y,R008,N,Transfer
T0000072,20250614,C0091,COR005,CH003,PR003,25000.0,51,N,,Y,Debit
T0000073,20260112,C0112,COR006,CH002,PR005,47114.22,89,N,,N,Credit
T0000074,20250216,C0086,COR002,CH006,PR002,10958.26,76,N,,N,Transfer
T0000075,20251003,C0125,COR008,CH004,PR008,21259.8,81,N,,N,Debit
T0000076,20260302,C0070,COR002,CH008,PR002,16212.72,82,N,,N,Credit
T0000077,20251117,C0114,COR010,CH006,PR008,44670.53,68,Y,R007,N,Credit
T0000078,20251005,C0047,COR005,CH005,PR004,269.85,71,N,,N,Debit
T0000079,20250323,C0143,COR008,CH005,PR002,5836.52,76,N,,N,Debit
T0000080,20260519,C0078,COR011,CH007,PR001,27319.6,70,N,,N,Transfer
T0000081,20250906,C0003,COR007,CH004,PR006,5031.62,80,N,,N,Withdrawal
T0000082,20250929,C0075,COR011,CH002,PR004,25007.79,99,Y,R010,N,Transfer
T0000083,20250831,C0123,COR006,CH008,PR008,36597.81,97,N,,N,Withdrawal
T0000084,20250322,C0065,COR001,CH005,PR004,5800.51,85,N,,N,Transfer
T0000085,20260106,C0119,COR006,CH004,PR002,9755.87,90,N,,N,Withdrawal
T0000086,20250215,C0073,COR012,CH001,PR008,14628.04,63,N,,N,Transfer
T0000087,20251217,C0081,COR008,CH008,PR007,50245.58,84,N,,N,Withdrawal
T0000088,20250307,C0044,COR003,CH001,PR006,32009.74,79,N,,N,Credit
T0000089,20250206,C0064,COR002,CH002,PR006,27803.96,87,N,,N,Transfer
T0000090,20260328,C0152,COR004,CH005,PR007,95000.0,87,Y,R005,Y,Withdrawal
T0000091,20260201,C0009,COR003,CH007,PR007,42170.99,81,N,,N,Credit
T0000092,20260224,C0032,COR002,CH004,PR005,27171.47,80,N,,N,Credit
T0000093,20260224,C0132,COR007,CH005,PR002,5257.59,98,Y,R009,N,Debit
T0000094,20260305,C0076,COR008,CH005,PR003,18553.99,74,N,,N,Transfer
T0000095,20260209,C0010,COR011,CH001,PR008,6804.43,65,N,,N,Transfer
T0000096,20250628,C0034,COR008,CH001,PR004,97222.08,52,N,,N,Transfer
T0000097,20260105,C0158,COR001,CH004,PR001,44460.47,71,Y,R009,N,Transfer
T0000098,20260321,C0044,COR009,CH004,PR005,29442.18,89,N,,N,Transfer
T0000099,20250601,C0014,COR010,CH008,PR006,39722.96,85,Y,R007,N,Debit
T0000100,20250225,C0116,COR006,CH006,PR007,82578.8,97,N,,N,Transfer
T0000101,20260411,C0014,COR002,CH004,PR005,170078.6,88,N,,N,Debit
T0000102,20250111,C0079,COR005,CH004,PR006,3809.88,61,N,,N,Credit
T0000103,20260427,C0108,COR010,CH004,PR005,10116.53,71,N,,N,Credit
T0000104,20260226,C0037,COR004,CH001,PR002,5269.12,48,N,,N,Withdrawal
T0000105,20250926,C0113,COR010,CH007,PR001,2937.84,59,N,,N,Credit
T0000106,20250129,C0025,COR012,CH001,PR006,3926.44,58,N,,N,Credit
T0000107,20260117,C0080,COR011,CH005,PR002,6408.17,79,N,,N,Transfer
T0000108,20251107,C0157,COR006,CH001,PR007,28000.0,90,N,,Y,Transfer
T0000109,20251106,C0141,COR011,CH004,PR002,8000.0,79,N,,Y,Credit
T0000110,20260125,C0132,COR003,CH007,PR007,758.81,73,N,,N,Transfer
T0000111,20250808,C0065,COR011,CH005,PR006,6109.14,83,N,,N,Withdrawal
T0000112,20260418,C0132,COR009,CH007,PR005,4961.69,85,N,,N,Transfer
T0000113,20250731,C0048,COR010,CH008,PR005,50280.55,74,N,,N,Transfer
T0000114,20260403,C0126,COR002,CH002,PR005,50628.55,81,N,,N,Debit
T0000115,20260423,C0106,COR009,CH004,PR001,7843.69,63,Y,R010,N,Debit
T0000116,20250622,C0102,COR009,CH008,PR007,30683.12,93,N,,N,Withdrawal
T0000117,20250615,C0038,COR005,CH001,PR005,33658.62,70,N,,N,Credit
T0000118,20260519,C0005,COR011,CH006,PR001,53496.7,92,N,,N,Transfer
T0000119,20260123,C0021,COR009,CH003,PR006,40042.34,72,Y,R010,N,Debit
T0000120,20251005,C0172,COR010,CH002,PR008,8000.0,83,N,,Y,Debit
T0000121,20260319,C0054,COR003,CH001,PR004,15593.18,87,N,,N,Credit
T0000122,20250417,C0127,COR010,CH004,PR006,4480.59,82,Y,R002,N,Credit
T0000123,20250412,C0072,COR010,CH008,PR008,30000.0,80,N,,Y,Withdrawal
T0000124,20250512,C0070,COR011,CH003,PR003,3152.06,72,N,,N,Transfer
T0000125,20250819,C0053,COR010,CH006,PR008,15097.03,91,N,,N,Credit
T0000126,20250329,C0093,COR001,CH008,PR007,10621.06,72,N,,N,Transfer
T0000127,20260103,C0097,COR009,CH003,PR002,1805.78,75,N,,N,Transfer
T0000128,20251206,C0157,COR008,CH008,PR002,4412.73,67,Y,R009,N,Transfer
T0000129,20250614,C0008,COR011,CH004,PR002,28918.94,99,N,,N,Debit
T0000130,20250929,C0014,COR008,CH004,PR007,6521.19,66,N,,N,Transfer
T0000131,20250704,C0001,COR003,CH001,PR007,61295.07,82,N,,N,Transfer
T0000132,20250906,C0152,COR004,CH006,PR008,49651.6,69,N,,N,Debit
T0000133,20260209,C0044,COR008,CH008,PR005,57310.94,96,N,,N,Credit
T0000134,20250329,C0162,COR012,CH007,PR008,115334.07,99,N,,N,Transfer
T0000135,20251116,C0035,COR006,CH004,PR001,15853.46,83,N,,N,Debit
T0000136,20250424,C0129,COR003,CH007,PR006,10692.06,78,N,,N,Debit
T0000137,20250221,C0086,COR006,CH005,PR006,13260.61,99,N,,N,Credit
T0000138,20250120,C0062,COR010,CH004,PR005,6248.7,75,Y,R009,N,Transfer
T0000139,20250313,C0141,COR006,CH004,PR005,11000.0,76,N,,Y,Debit
T0000140,20250626,C0088,COR007,CH003,PR008,2656.69,73,N,,N,Transfer
T0000141,20250620,C0150,COR005,CH002,PR004,135349.86,73,N,,N,Transfer
T0000142,20260301,C0133,COR007,CH003,PR001,10000.0,71,N,,Y,Transfer
T0000143,20251105,C0161,COR001,CH008,PR001,13360.78,75,Y,R002,N,Credit
T0000144,20260116,C0170,COR012,CH007,PR003,11000.0,79,N,,Y,Debit
T0000145,20260325,C0110,COR005,CH007,PR003,14623.74,66,N,,N,Transfer
T0000146,20251204,C0117,COR005,CH006,PR006,41862.91,68,Y,R002,N,Withdrawal
T0000147,20251025,C0170,COR004,CH008,PR001,39000.0,71,N,,Y,Transfer
T0000148,20260110,C0138,COR009,CH003,PR008,307027.9,80,Y,R006,N,Transfer
T0000149,20250425,C0133,COR011,CH006,PR007,17190.37,94,N,,N,Credit
T0000150,20250913,C0092,COR002,CH004,PR003,1153.43,58,N,,N,Transfer
T0000151,20260317,C0023,COR003,CH008,PR007,28018.73,83,N,,N,Debit
T0000152,20250324,C0059,COR003,CH004,PR004,36467.59,77,N,,N,Transfer
T0000153,20260518,C0074,COR010,CH008,PR001,17000.0,79,N,,Y,Transfer
T0000154,20250223,C0070,COR009,CH005,PR003,18715.69,81,N,,N,Transfer
T0000155,20260308,C0050,COR010,CH007,PR007,37259.76,80,N,,N,Transfer
T0000156,20250114,C0045,COR003,CH007,PR008,2874.82,61,N,,N,Transfer
T0000157,20260220,C0060,COR011,CH006,PR006,13066.24,89,N,,N,Debit
T0000158,20250604,C0131,COR010,CH005,PR003,41000.0,99,Y,R002,Y,Credit
T0000159,20251003,C0057,COR004,CH007,PR004,22016.37,85,N,,N,Debit
T0000160,20250610,C0131,COR010,CH007,PR001,19025.51,90,N,,N,Credit
T0000161,20251122,C0056,COR006,CH003,PR003,33617.36,79,N,,N,Transfer
T0000162,20260221,C0049,COR002,CH008,PR007,25253.49,80,Y,R004,N,Debit
T0000163,20250504,C0167,COR006,CH008,PR004,10873.37,99,N,,N,Debit
T0000164,20260311,C0027,COR008,CH004,PR007,11805.36,64,N,,N,Credit
T0000165,20250304,C0101,COR010,CH003,PR006,11800.23,77,N,,N,Credit
T0000166,20250202,C0110,COR001,CH004,PR007,46581.51,83,N,,N,Debit
T0000167,20251008,C0065,COR008,CH002,PR001,35864.52,81,Y,R008,N,Transfer
T0000168,20250219,C0157,COR008,CH004,PR005,51238.39,74,N,,N,Transfer
T0000169,20250703,C0109,COR001,CH006,PR002,16000.0,85,N,,Y,Transfer
T0000170,20251209,C0075,COR008,CH002,PR004,77000.0,99,N,,Y,Credit
T0000171,20250121,C0036,COR004,CH007,PR008,3114.11,72,N,,N,Credit
T0000172,20251211,C0142,COR010,CH003,PR007,47247.0,82,N,,N,Debit
T0000173,20251218,C0086,COR009,CH008,PR003,28219.09,99,N,,N,Debit
T0000174,20250524,C0050,COR005,CH001,PR008,12000.0,66,N,,Y,Transfer
T0000175,20250731,C0086,COR008,CH002,PR002,45981.4,77,N,,N,Credit
T0000176,20260519,C0019,COR005,CH005,PR008,5080.37,83,N,,N,Debit
T0000177,20260527,C0010,COR006,CH007,PR007,56370.14,66,N,,N,Credit
T0000178,20260416,C0119,COR011,CH007,PR002,59313.14,65,N,,N,Debit
T0000179,20251115,C0087,COR006,CH002,PR005,2040.58,81,N,,N,Withdrawal
