MonthStart,CampaignKey,ChannelKey,Spend,NewUsers,FundedAccounts,Revenue,GrossProfit
2024-01-01,seo_guides,organic,8838.07,299,63,801.91,551.13
2024-01-01,appstore,organic,11401.32,386,81,1034.48,710.98
2024-01-01,brand_search,paid_search,17385.84,167,28,319.34,225.01
2024-01-01,competitor,paid_search,71155.12,685,117,1306.97,920.89
2024-01-01,creator_cashback,paid_social,99676.23,814,128,1501.56,1047.55
2024-01-01,salary_lookalike,paid_social,32188.05,263,41,484.89,338.28
2024-01-01,member_ref,referral,3614.73,156,33,402.23,279.39
2024-01-01,payroll_ref,referral,13173.66,572,121,1465.9,1018.22
2024-01-01,payroll_partner,partner,19148.59,586,108,1413.26,974.37
2024-01-01,wallet_bundle,partner,9168.9,280,52,676.71,466.56
2024-01-01,winback,lifecycle,2175.64,108,20,254.9,181.09
2024-01-01,kyc_reminder,lifecycle,9303.37,465,89,1090.0,774.35
2024-02-01,seo_guides,organic,12506.74,375,79,1461.83,974.44
2024-02-01,appstore,organic,14999.46,450,95,1753.19,1168.65
2024-02-01,brand_search,paid_search,44735.82,478,83,1706.79,1187.59
2024-02-01,competitor,paid_search,49369.91,528,92,1883.6,1310.61
2024-02-01,creator_cashback,paid_social,34030.5,270,40,730.85,515.33
2024-02-01,salary_lookalike,paid_social,113759.99,905,136,2443.16,1722.69
2024-02-01,member_ref,referral,7637.06,363,80,1590.36,1089.05
2024-02-01,payroll_ref,referral,9064.97,431,95,1887.71,1292.67
2024-02-01,payroll_partner,partner,33326.56,789,163,2922.87,1979.93
2024-02-01,wallet_bundle,partner,6449.36,152,31,565.63,383.16
2024-02-01,winback,lifecycle,8815.12,539,98,1896.85,1345.91
2024-02-01,kyc_reminder,lifecycle,2586.31,158,28,556.53,394.88
2024-03-01,seo_guides,organic,19773.03,717,132,3444.06,2393.37
2024-03-01,appstore,organic,6174.81,223,41,1075.52,747.41
2024-03-01,brand_search,paid_search,75100.57,789,143,3437.99,2264.39
2024-03-01,competitor,paid_search,29215.59,307,55,1337.44,880.89
2024-03-01,creator_cashback,paid_social,62210.74,468,78,1939.41,1323.36
2024-03-01,salary_lookalike,paid_social,82274.09,619,104,2564.89,1750.15
2024-03-01,member_ref,referral,12299.15,529,120,3269.21,2225.03
2024-03-01,payroll_ref,referral,4891.8,210,47,1300.28,884.97
2024-03-01,payroll_partner,partner,26331.97,684,135,3450.69,2300.01
2024-03-01,wallet_bundle,partner,10594.67,275,54,1388.39,925.41
2024-03-01,winback,lifecycle,6288.5,388,77,1958.5,1370.5
2024-03-01,kyc_reminder,lifecycle,4878.39,301,60,1519.33,1063.19
2024-04-01,seo_guides,organic,17883.65,652,139,3996.84,2775.0
2024-04-01,appstore,organic,7732.49,282,60,1728.14,1199.85
2024-04-01,brand_search,paid_search,59549.91,571,97,3164.56,2184.44
2024-04-01,competitor,paid_search,53091.09,509,87,2821.33,1947.52
2024-04-01,creator_cashback,paid_social,61653.9,486,78,2367.08,1659.43
2024-04-01,salary_lookalike,paid_social,85777.31,677,109,3293.25,2308.72
2024-04-01,member_ref,referral,3364.39,149,34,1046.91,722.75
2024-04-01,payroll_ref,referral,16694.8,739,170,5195.01,3586.45
2024-04-01,payroll_partner,partner,6420.91,151,31,994.33,718.95
2024-04-01,wallet_bundle,partner,38487.14,909,188,5960.06,4309.41
2024-04-01,winback,lifecycle,1499.78,88,17,554.63,380.86
2024-04-01,kyc_reminder,lifecycle,10391.59,610,119,3842.91,2638.88
2024-05-01,seo_guides,organic,10732.66,378,72,2866.86,1969.3
