MonthStart,ChannelKey,NewUsers,FundedAccounts,ActiveUsers,DepositVolume,TotalRevenue,GrossProfit,MarketingSpend,ChurnedUsers,ChannelName,ChannelType,CAC,MarketingROI
2024-01-01,lifecycle,601,115,90,182420.37,1407.1399999999999,999.65,12010.18,0,Lifecycle Email,Owned,104.43634782608696,-0.9167664431340746
2024-01-01,organic,681,144,115,248754.19,1822.04,1252.25,20081.3,0,Organic Search,Organic,139.45347222222222,-0.9376409893781777
2024-01-01,paid_search,901,155,124,236567.52,1718.9299999999998,1211.1599999999999,93583.23,0,Paid Search,Paid,603.7627741935484,-0.9870579376240807
2024-01-01,paid_social,1069,169,134,274405.0,1969.8200000000002,1374.23,130760.24,0,Paid Social,Paid,773.7292307692308,-0.9894904597911415
2024-01-01,partner,862,160,130,292120.28,2078.74,1433.19,28165.38,0,Partner Marketplace,Partner,176.033625,-0.9491151903507072
2024-01-01,referral,698,148,124,232844.01,1788.29,1242.15,16070.91,0,Referral,Owned,108.58722972972973,-0.9227081727170396
2024-02-01,lifecycle,661,121,193,244223.87,2325.33,1649.93,10806.35,2,Lifecycle Email,Owned,89.30867768595041,-0.8473184747856584
2024-02-01,organic,814,173,260,353751.29000000004,3168.39,2112.01,27107.260000000002,5,Organic Search,Organic,156.6893641618497,-0.9220869243147407
2024-02-01,paid_search,944,165,250,346179.44,3365.98,2342.05,88223.88,6,Paid Search,Paid,534.6901818181818,-0.9734533325897704
2024-02-01,paid_social,1145,173,269,343292.6,3089.2200000000003,2178.23,143842.44,7,Paid Social,Paid,831.4591907514451,-0.9848568336299077
2024-02-01,partner,988,204,299,391572.88,3655.71,2476.35,41682.47,5,Partner Marketplace,Partner,204.32583333333335,-0.9405901329743656
2024-02-01,referral,817,180,269,351583.83999999997,3574.46,2447.73,17164.95,4,Referral,Owned,95.36083333333333,-0.8573995263604031
2024-03-01,lifecycle,654,131,295,299763.63,3300.55,2309.63,10597.64,7,Lifecycle Email,Owned,80.89801526717557,-0.7820618552809869
2024-03-01,organic,927,171,386,429649.39,4452.67,3094.29,25563.690000000002,12,Organic Search,Organic,149.49526315789475,-0.8789576152738513
2024-03-01,paid_search,1029,187,403,414824.3,4479.52,2950.38,97852.2,16,Paid Search,Paid,523.2737967914438,-0.9698486084114614
2024-03-01,paid_social,1146,193,417,452008.68,4741.41,3235.3,152090.7,17,Paid Social,Paid,788.0347150259068,-0.9787278249097414
2024-03-01,partner,1001,198,456,423554.67,5043.38,3361.59,38485.62,13,Partner Marketplace,Partner,194.37181818181818,-0.9126533494848205
2024-03-01,referral,753,171,402,411762.64,4645.4400000000005,3161.7,17476.7,13,Referral,Owned,102.20292397660819,-0.8190905605749369
2024-04-01,lifecycle,723,142,409,392941.74,4549.96,3124.3999999999996,12303.52,12,Lifecycle Email,Owned,86.64450704225352,-0.7460564131240491
2024-04-01,organic,899,192,530,445717.38,5508.03,3824.2200000000003,24645.39,17,Organic Search,Organic,128.36140625,-0.8448302096254107
2024-04-01,paid_search,1097,188,518,512280.0,6074.46,4193.1,114307.78,26,Paid Search,Paid,608.0201063829787,-0.9633174574818967
2024-04-01,paid_social,1231,199,556,499619.22000000003,5986.99,4197.15,155939.44,28,Paid Social,Paid,783.6152763819096,-0.973084743667157
2024-04-01,partner,1020,211,600,533932.51,6681.89,4831.33,43148.36,23,Partner Marketplace,Partner,204.4945971563981,-0.8880298115617835
2024-04-01,referral,816,188,539,484067.59,5732.41,3957.45,18421.81,22,Referral,Owned,97.9883510638298,-0.7851758323422074
2024-05-01,lifecycle,808,156,519,455558.6,5706.6,3859.02,14341.02,19,Lifecycle Email,Owned,91.92961538461539,-0.7309103536568529
2024-05-01,organic,904,173,654,511317.31,6843.57,4700.98,25620.29,27,Organic Search,Organic,148.09416184971099,-0.8165133962183879
2024-05-01,paid_search,1148,203,671,568344.63,6982.799999999999,4723.02,117849.47,33,Paid Search,Paid,580.5392610837439,-0.959923281793291
2024-05-01,paid_social,1219,193,672,540149.1,6565.51,4663.95,151569.11,40,Paid Social,Paid,785.332176165803,-0.9692288883928921
2024-05-01,partner,991,212,746,709972.14,7934.42,5441.12,41543.01,26,Partner Marketplace,Partner,195.95759433962266,-0.8690244159005329
2024-05-01,referral,834,166,660,531643.64,7104.58,4830.889999999999,17105.31,23,Referral,Owned,103.04403614457833,-0.717579511859183
2024-06-01,lifecycle,734,136,617,432640.53,6399.63,4395.78,12668.48,23,Lifecycle Email,Owned,93.15058823529411,-0.6530144105685923
2024-06-01,organic,856,183,783,578015.22,8634.4,5780.96,22849.62,31,Organic Search,Organic,124.86131147540983,-0.7469997312865597
2024-06-01,paid_search,1054,200,794,637976.3,8047.2,5783.33,95064.22,47,Paid Search,Paid,475.3211,-0.9391639672633931
2024-06-01,paid_social,1212,199,782,655306.76,8254.93,5452.1,134416.52,46,Paid Social,Paid,675.4598994974874,-0.9594387654136559
2024-06-01,partner,1008,216,900,661642.6699999999,8585.09,5829.27,39096.66,35,Partner Marketplace,Partner,181.00305555555556,-0.8509010744140292
2024-06-01,referral,846,189,774,564704.97,8243.04,5800.88,19868.8,33,Referral,Owned,105.12592592592593,-0.708040747302303
2024-07-01,lifecycle,720,138,693,481766.55000000005,7014.49,4797.46,14030.49,29,Lifecycle Email,Owned,101.67021739130435,-0.6580689626663073
2024-07-01,organic,899,196,915,695487.09,9371.53,6276.41,30298.48,34,Organic Search,Organic,154.58408163265307,-0.7928473639601723
2024-07-01,paid_search,1070,194,887,698738.88,8935.24,6096.83,103606.57,55,Paid Search,Paid,534.0544845360826,-0.9411540214100322
2024-07-01,paid_social,1275,202,920,735166.71,8937.24,5998.6,170463.72,58,Paid Social,Paid,843.8798019801981,-0.9648101073941129
2024-07-01,partner,929,187,1025,694690.99,10579.26,7134.91,35500.86,43,Partner Marketplace,Partner,189.84417112299465,-0.7990214884935182
2024-07-01,referral,758,173,915,642139.27,9619.85,6733.450000000001,16425.13,39,Referral,Owned,94.94294797687861,-0.5900519508825806
2024-08-01,lifecycle,608,114,745,510431.04000000004,7617.57,5158.98,9957.11,33,Lifecycle Email,Owned,87.3430701754386,-0.48187978238665646
2024-08-01,organic,846,186,1030,733783.46,10465.82,7084.32,28893.7,43,Organic Search,Organic,155.34247311827957,-0.7548143712989337
2024-08-01,paid_search,950,168,974,666278.3200000001,9641.35,6299.02,91315.1,58,Paid Search,Paid,543.542261904762,-0.9310188566841628
2024-08-01,paid_social,1165,181,990,709070.77,9918.57,6676.91,132740.68,64,Paid Social,Paid,733.3739226519336,-0.9496995947286092
2024-08-01,partner,897,195,1157,759988.72,10826.39,7714.34,42708.55,52,Partner Marketplace,Partner,219.01820512820515,-0.8193724675738231
2024-08-01,referral,795,178,1022,719299.5,10539.529999999999,7381.88,15727.980000000001,43,Referral,Owned,88.3594382022472,-0.5306530145638538
2024-09-01,lifecycle,694,139,850,603304.79,8951.55,6252.97,13238.68,36,Lifecycle Email,Owned,95.24230215827339,-0.5276742092111902
2024-09-01,organic,764,167,1136,746218.4299999999,11670.439999999999,8097.87,22220.05,55,Organic Search,Organic,133.05419161676647,-0.6355602260120927
2024-09-01,paid_search,985,177,1087,756401.6200000001,11526.16,7601.64,90567.95000000001,69,Paid Search,Paid,511.6833333333334,-0.9160669972103819
2024-09-01,paid_social,1174,176,1055,654769.45,10248.27,6824.72,137083.61,71,Paid Social,Paid,778.8841477272726,-0.950214908988755
2024-09-01,partner,890,172,1239,839707.83,11904.599999999999,7912.92,32396.590000000004,58,Partner Marketplace,Partner,188.35226744186048,-0.7557483673436002
2024-09-01,referral,807,171,1106,673971.3,11299.35,7584.95,15836.86,53,Referral,Owned,92.61321637426902,-0.5210572045216034
