UserID,ChannelKey,SegmentKey,RiskBand,RiskScore,DormantDays,Balance,EstimatedLTV,RecommendedAction
NB0000016,organic,mass,Critical,99.0,255,1249.69,223.17,Human outreach
NB0000164,referral,freelancer,Critical,99.0,251,2460.65,105.47,Human outreach
NB0000158,referral,affluent,Critical,99.0,220,2800.79,96.95,Human outreach
NB0000040,paid_search,mass,Critical,99.0,260,1134.08,68.57,Human outreach
NB0000010,organic,mass,Critical,99.0,260,1180.07,62.56,Human outreach
NB0000203,partner,freelancer,Critical,99.0,260,2392.79,60.84,Human outreach
NB0000133,referral,mass,Critical,99.0,237,1550.98,54.09,Human outreach
NB0000046,paid_search,mass,Critical,99.0,220,1786.9,44.97,Human outreach
NB0000102,paid_social,mass,Critical,99.0,231,719.2,42.98,Human outreach
NB0000037,paid_search,mass,Critical,97.6,241,3015.4,140.54,Human outreach
NB0000233,lifecycle,affluent,Critical,97.1,239,956.61,109.13,Human outreach
NB0000235,lifecycle,affluent,Critical,95.8,255,1447.97,128.2,Human outreach
NB0000124,paid_social,freelancer,Critical,95.8,219,1492.58,90.18,Human outreach
NB0000072,paid_search,affluent,Critical,95.7,203,2194.63,71.58,Human outreach
NB0000055,paid_search,mass,Critical,95.6,228,693.91,146.12,Human outreach
NB0000210,partner,freelancer,Critical,94.9,240,1586.06,51.8,Human outreach
NB0000030,organic,freelancer,Critical,94.7,195,1086.35,57.63,Human outreach
NB0000137,referral,mass,Critical,94.4,221,1141.91,86.39,Human outreach
NB0000070,paid_search,affluent,Critical,93.6,227,3054.53,35.0,Human outreach
NB0000125,paid_social,freelancer,Critical,93.5,217,2691.68,95.96,Human outreach
NB0000167,referral,freelancer,Critical,92.3,205,1812.05,79.96,Human outreach
NB0000025,organic,affluent,Critical,92.2,236,1615.49,54.67,Human outreach
NB0000093,paid_social,mass,Critical,91.3,260,3890.47,65.05,Human outreach
NB0000004,organic,mass,Critical,91.2,200,1626.08,55.76,Human outreach
NB0000163,referral,affluent,Critical,90.5,213,7821.06,45.81,Human outreach
NB0000144,referral,mass,Critical,90.4,190,2774.11,171.14,Human outreach
NB0000083,paid_search,smb,Critical,89.6,215,963.15,137.9,Human outreach
NB0000033,organic,smb,Critical,89.2,199,2650.85,51.17,Human outreach
NB0000232,lifecycle,affluent,Critical,88.6,197,356.7,98.46,Human outreach
NB0000199,partner,affluent,Critical,87.9,218,595.84,108.43,Human outreach
NB0000194,partner,mass,Critical,87.8,226,1357.38,53.99,Human outreach
NB0000075,paid_search,freelancer,Critical,87.7,218,1103.8,130.93,Human outreach
NB0000020,organic,affluent,Critical,87.3,214,1344.69,35.0,Human outreach
NB0000067,paid_search,affluent,Critical,87.0,209,1358.83,75.7,Human outreach
NB0000171,referral,smb,Critical,86.9,195,1206.85,86.15,Human outreach
NB0000062,paid_search,mass,Critical,86.8,201,796.64,92.93,Human outreach
NB0000184,partner,mass,Critical,86.6,212,1087.98,101.29,Human outreach
NB0000044,paid_search,mass,Critical,86.0,192,1041.77,35.0,Human outreach
NB0000223,lifecycle,mass,Critical,85.9,219,481.77,101.59,Human outreach
NB0000208,partner,freelancer,Critical,85.7,185,825.17,113.24,Human outreach
NB0000117,paid_social,affluent,Critical,85.6,208,1249.1,53.53,Human outreach
NB0000147,referral,mass,Critical,85.6,219,1212.66,36.29,Human outreach
NB0000089,paid_social,mass,Critical,85.5,212,817.07,131.51,Human outreach
NB0000141,referral,mass,Critical,85.4,192,540.55,53.76,Human outreach
NB0000166,referral,freelancer,Critical,85.2,197,3900.71,172.08,Human outreach
NB0000100,paid_social,mass,Critical,85.1,213,1435.5,92.17,Human outreach
NB0000148,referral,mass,Critical,84.9,208,4970.59,35.55,Human outreach
NB0000160,referral,affluent,Critical,84.7,208,1835.51,83.65,Human outreach
NB0000090,paid_social,mass,Critical,84.4,221,1420.82,155.98,Human outreach
NB0000140,referral,mass,Critical,84.4,194,570.44,50.37,Human outreach
NB0000231,lifecycle,affluent,Critical,84.2,196,405.26,108.84,Human outreach
NB0000143,referral,mass,Critical,84.1,231,1038.29,101.93,Human outreach
NB0000215,lifecycle,mass,High,84.0,194,512.33,130.02,Fee waiver
NB0000003,organic,mass,High,83.5,174,1310.72,35.0,Fee waiver
NB0000216,lifecycle,mass,High,83.4,196,1391.44,74.79,Fee waiver
