CohortMonth,CohortLabel,ActivityMonth,MonthsSinceCohort,ChannelKey,SegmentKey,CohortSize,RetainedUsers,RetentionRate,Revenue,CumulativeRevenue,CumulativeLTV
2024-01-01,Jan 2024,2024-01-01,0,organic,mass,70,62,0.8857,866.4,866.4,12.38
2024-01-01,Jan 2024,2024-02-01,1,organic,mass,70,59,0.8429,652.78,1519.18,21.7
2024-01-01,Jan 2024,2024-03-01,2,organic,mass,70,56,0.8,603.55,2122.73,30.32
2024-01-01,Jan 2024,2024-04-01,3,organic,mass,70,54,0.7714,749.98,2872.71,41.04
2024-01-01,Jan 2024,2024-05-01,4,organic,mass,70,51,0.7286,667.34,3540.05,50.57
2024-01-01,Jan 2024,2024-06-01,5,organic,mass,70,50,0.7143,691.87,4231.92,60.46
2024-01-01,Jan 2024,2024-07-01,6,organic,mass,70,48,0.6857,537.83,4769.75,68.14
2024-01-01,Jan 2024,2024-08-01,7,organic,mass,70,45,0.6429,600.16,5369.91,76.71
2024-01-01,Jan 2024,2024-09-01,8,organic,mass,70,43,0.6143,600.62,5970.53,85.29
2024-01-01,Jan 2024,2024-10-01,9,organic,mass,70,40,0.5714,546.94,6517.47,93.11
2024-01-01,Jan 2024,2024-11-01,10,organic,mass,70,39,0.5571,561.41,7078.87,101.13
2024-01-01,Jan 2024,2024-12-01,11,organic,mass,70,36,0.5143,462.67,7541.54,107.74
2024-01-01,Jan 2024,2025-01-01,12,organic,mass,70,34,0.4857,447.25,7988.79,114.13
2024-01-01,Jan 2024,2025-02-01,13,organic,mass,70,32,0.4571,420.03,8408.82,120.13
2024-01-01,Jan 2024,2025-03-01,14,organic,mass,70,30,0.4286,410.75,8819.57,125.99
2024-01-01,Jan 2024,2025-04-01,15,organic,mass,70,28,0.4,390.01,9209.59,131.57
2024-01-01,Jan 2024,2025-05-01,16,organic,mass,70,24,0.3429,290.02,9499.61,135.71
2024-01-01,Jan 2024,2025-06-01,17,organic,mass,70,22,0.3143,278.31,9777.91,139.68
2024-01-01,Jan 2024,2025-07-01,18,organic,mass,70,19,0.2714,262.11,10040.03,143.43
2024-01-01,Jan 2024,2025-08-01,19,organic,mass,70,17,0.2429,271.4,10311.42,147.31
2024-01-01,Jan 2024,2025-09-01,20,organic,mass,70,16,0.2286,221.62,10533.05,150.47
2024-01-01,Jan 2024,2025-10-01,21,organic,mass,70,12,0.1714,190.74,10723.79,153.2
2024-01-01,Jan 2024,2025-11-01,22,organic,mass,70,11,0.1571,174.5,10898.29,155.69
2024-01-01,Jan 2024,2025-12-01,23,organic,mass,70,8,0.1143,110.71,11009.0,157.27
2024-01-01,Jan 2024,2026-01-01,24,organic,mass,70,8,0.1143,111.01,11120.01,158.86
2024-01-01,Jan 2024,2026-02-01,25,organic,mass,70,8,0.1143,112.95,11232.96,160.47
2024-01-01,Jan 2024,2026-03-01,26,organic,mass,70,8,0.1143,107.28,11340.24,162.0
2024-01-01,Jan 2024,2026-04-01,27,organic,mass,70,8,0.1143,112.47,11452.71,163.61
2024-01-01,Jan 2024,2026-05-01,28,organic,mass,70,8,0.1143,130.85,11583.56,165.48
2024-01-01,Jan 2024,2024-01-01,0,organic,affluent,32,28,0.875,365.24,365.24,11.41
2024-01-01,Jan 2024,2024-02-01,1,organic,affluent,32,28,0.875,289.55,654.8,20.46
2024-01-01,Jan 2024,2024-03-01,2,organic,affluent,32,26,0.8125,281.29,936.09,29.25
2024-01-01,Jan 2024,2024-04-01,3,organic,affluent,32,25,0.7812,283.92,1220.0,38.13
2024-01-01,Jan 2024,2024-05-01,4,organic,affluent,32,24,0.75,344.36,1564.37,48.89
2024-01-01,Jan 2024,2024-06-01,5,organic,affluent,32,22,0.6875,273.81,1838.18,57.44
2024-01-01,Jan 2024,2024-07-01,6,organic,affluent,32,21,0.6562,271.93,2110.11,65.94
2024-01-01,Jan 2024,2024-08-01,7,organic,affluent,32,20,0.625,234.2,2344.31,73.26
2024-01-01,Jan 2024,2024-09-01,8,organic,affluent,32,19,0.5938,280.27,2624.58,82.02
2024-01-01,Jan 2024,2024-10-01,9,organic,affluent,32,18,0.5625,239.82,2864.4,89.51
2024-01-01,Jan 2024,2024-11-01,10,organic,affluent,32,17,0.5312,252.22,3116.62,97.39
2024-01-01,Jan 2024,2024-12-01,11,organic,affluent,32,16,0.5,207.51,3324.13,103.88
2024-01-01,Jan 2024,2025-01-01,12,organic,affluent,32,16,0.5,221.14,3545.27,110.79
