MonthStart,ChannelKey,StageName,StageOrder,UserCount
2024-01-01,lifecycle,Signup Started,1,601
2024-01-01,lifecycle,KYC Submitted,2,454
2024-01-01,lifecycle,KYC Approved,3,372
2024-01-01,lifecycle,Activated,4,228
2024-01-01,lifecycle,Funded Account,5,115
2024-01-01,organic,Signup Started,1,681
2024-01-01,organic,KYC Submitted,2,534
2024-01-01,organic,KYC Approved,3,451
2024-01-01,organic,Activated,4,273
2024-01-01,organic,Funded Account,5,144
2024-01-01,paid_search,Signup Started,1,901
2024-01-01,paid_search,KYC Submitted,2,681
2024-01-01,paid_search,KYC Approved,3,545
2024-01-01,paid_search,Activated,4,323
2024-01-01,paid_search,Funded Account,5,155
2024-01-01,paid_social,Signup Started,1,1069
2024-01-01,paid_social,KYC Submitted,2,784
2024-01-01,paid_social,KYC Approved,3,613
2024-01-01,paid_social,Activated,4,359
2024-01-01,paid_social,Funded Account,5,169
2024-01-01,partner,Signup Started,1,862
2024-01-01,partner,KYC Submitted,2,656
2024-01-01,partner,KYC Approved,3,529
2024-01-01,partner,Activated,4,320
2024-01-01,partner,Funded Account,5,160
2024-01-01,referral,Signup Started,1,698
2024-01-01,referral,KYC Submitted,2,547
2024-01-01,referral,KYC Approved,3,451
2024-01-01,referral,Activated,4,280
2024-01-01,referral,Funded Account,5,148
2024-02-01,lifecycle,Signup Started,1,661
2024-02-01,lifecycle,KYC Submitted,2,515
2024-02-01,lifecycle,KYC Approved,3,418
2024-02-01,lifecycle,Activated,4,252
2024-02-01,lifecycle,Funded Account,5,121
2024-02-01,organic,Signup Started,1,814
2024-02-01,organic,KYC Submitted,2,633
2024-02-01,organic,KYC Approved,3,529
2024-02-01,organic,Activated,4,333
2024-02-01,organic,Funded Account,5,173
2024-02-01,paid_search,Signup Started,1,944
2024-02-01,paid_search,KYC Submitted,2,723
2024-02-01,paid_search,KYC Approved,3,574
2024-02-01,paid_search,Activated,4,347
2024-02-01,paid_search,Funded Account,5,165
2024-02-01,paid_social,Signup Started,1,1145
2024-02-01,paid_social,KYC Submitted,2,838
2024-02-01,paid_social,KYC Approved,3,651
2024-02-01,paid_social,Activated,4,373
2024-02-01,paid_social,Funded Account,5,173
2024-02-01,partner,Signup Started,1,988
2024-02-01,partner,KYC Submitted,2,778
2024-02-01,partner,KYC Approved,3,634
2024-02-01,partner,Activated,4,397
2024-02-01,partner,Funded Account,5,204
2024-02-01,referral,Signup Started,1,817
2024-02-01,referral,KYC Submitted,2,642
2024-02-01,referral,KYC Approved,3,532
2024-02-01,referral,Activated,4,344
2024-02-01,referral,Funded Account,5,180
2024-03-01,lifecycle,Signup Started,1,654
2024-03-01,lifecycle,KYC Submitted,2,510
2024-03-01,lifecycle,KYC Approved,3,413
2024-03-01,lifecycle,Activated,4,260
2024-03-01,lifecycle,Funded Account,5,131
2024-03-01,organic,Signup Started,1,927
2024-03-01,organic,KYC Submitted,2,696
2024-03-01,organic,KYC Approved,3,561
2024-03-01,organic,Activated,4,345
2024-03-01,organic,Funded Account,5,171
2024-03-01,paid_search,Signup Started,1,1029
2024-03-01,paid_search,KYC Submitted,2,791
2024-03-01,paid_search,KYC Approved,3,634
2024-03-01,paid_search,Activated,4,383
2024-03-01,paid_search,Funded Account,5,187
2024-03-01,paid_social,Signup Started,1,1146
2024-03-01,paid_social,KYC Submitted,2,865
2024-03-01,paid_social,KYC Approved,3,696
2024-03-01,paid_social,Activated,4,389
2024-03-01,paid_social,Funded Account,5,193
2024-03-01,partner,Signup Started,1,1001
2024-03-01,partner,KYC Submitted,2,756
2024-03-01,partner,KYC Approved,3,622
2024-03-01,partner,Activated,4,390
2024-03-01,partner,Funded Account,5,198
2024-03-01,referral,Signup Started,1,753
2024-03-01,referral,KYC Submitted,2,595
2024-03-01,referral,KYC Approved,3,491
2024-03-01,referral,Activated,4,315
2024-03-01,referral,Funded Account,5,171
2024-04-01,lifecycle,Signup Started,1,723
2024-04-01,lifecycle,KYC Submitted,2,561
2024-04-01,lifecycle,KYC Approved,3,452
2024-04-01,lifecycle,Activated,4,281
2024-04-01,lifecycle,Funded Account,5,142
2024-04-01,organic,Signup Started,1,899
2024-04-01,organic,KYC Submitted,2,710
2024-04-01,organic,KYC Approved,3,586
2024-04-01,organic,Activated,4,367
2024-04-01,organic,Funded Account,5,192
2024-04-01,paid_search,Signup Started,1,1097
2024-04-01,paid_search,KYC Submitted,2,822
2024-04-01,paid_search,KYC Approved,3,650
2024-04-01,paid_search,Activated,4,386
2024-04-01,paid_search,Funded Account,5,188
2024-04-01,paid_social,Signup Started,1,1231
2024-04-01,paid_social,KYC Submitted,2,919
2024-04-01,paid_social,KYC Approved,3,739
2024-04-01,paid_social,Activated,4,435
2024-04-01,paid_social,Funded Account,5,199
2024-04-01,partner,Signup Started,1,1020
2024-04-01,partner,KYC Submitted,2,787
2024-04-01,partner,KYC Approved,3,655
2024-04-01,partner,Activated,4,410
2024-04-01,partner,Funded Account,5,211
2024-04-01,referral,Signup Started,1,816
2024-04-01,referral,KYC Submitted,2,663
2024-04-01,referral,KYC Approved,3,551
2024-04-01,referral,Activated,4,356
2024-04-01,referral,Funded Account,5,188
2024-05-01,lifecycle,Signup Started,1,808
2024-05-01,lifecycle,KYC Submitted,2,635
