MonthStart,NewUsers,KycSubmitted,KycApproved,ActivatedUsers,FundedAccounts,ActiveUsers,ChurnedUsers,DormantCustomers,ChurnRiskUsers,DepositVolume,TotalRevenue,GrossProfit,MarketingSpend,MonthLabel,MonthIndex,KycCompletionRate,ActivationRate,FundedRate,CAC,ChurnRate,ARPU,LTV,LTVCACRatio,PaybackMonths,MarketingROI
2024-01-01,4812,3656,2961,1783,891,717,0,94,32,1467111.3699999999,10784.96,7512.63,300671.24,Jan 2024,1,0.6153366583541147,0.3705320033250208,0.18516209476309228,337.4536924803591,0.0,15.041785216178521,0.0,0.0,32.206337528723964,-0.9750138057767015
2024-02-01,5369,4129,3338,2046,1016,1540,29,193,79,2030603.92,19179.09,13206.3,328827.35,Feb 2024,2,0.6217172657850624,0.381076550568076,0.18923449431924008,323.64896653543303,0.018483110261312937,12.453954545454545,458.1852821943574,1.4156859114957048,37.74103332989307,-0.9598381947243744
2024-03-01,5510,4213,3417,2082,1051,2359,78,286,125,2431563.31,26662.97,18112.89,342066.55,Mar 2024,3,0.6201451905626134,0.3778584392014519,0.19074410163339384,325.46769743101805,0.03200656544932294,11.302657905892328,240.13221250421194,0.7378065915592353,42.38850333876988,-0.9470486371730881
2024-04-01,5786,4462,3633,2235,1120,3152,128,416,190,2868558.44,34533.74,24127.65,368766.3,Apr 2024,4,0.6278949187694435,0.38627722087798133,0.1935706878672658,329.255625,0.03902439024390244,10.95613578680203,190.91066608502538,0.5798250708246074,43.013460904812526,-0.9345719768861742
2024-05-01,5904,4484,3633,2234,1103,3922,168,512,229,3316985.42,41137.48,28218.98,368028.20999999996,May 2024,5,0.6153455284552846,0.37838753387533874,0.18682249322493225,333.6611151405258,0.041075794621026895,10.488903620601734,173.6413020810568,0.5204121613269963,46.37371349287402,-0.9233238669394392
2024-06-01,5710,4412,3589,2203,1123,4650,215,624,287,3530286.45,48164.29,33042.32,323964.3,Jun 2024,6,0.6285464098073555,0.38581436077057796,0.1966725043782837,288.48112199465714,0.044193216855087356,10.35791182795699,159.3769484151038,0.5524692475996942,40.597549363215286,-0.8980062926686675
2024-07-01,5651,4332,3535,2166,1090,5355,258,699,321,3947989.4899999998,54457.61,37037.66,370325.25,Jul 2024,7,0.6255529994691205,0.38329499203680767,0.19288621482923377,339.7479357798165,0.04596472474612507,10.1694883286648,150.44693733480992,0.44281928303550144,49.12162906892382,-0.8999861338107514
2024-08-01,5261,4074,3314,2046,1022,5918,293,803,369,4098851.81,59009.229999999996,40315.45,321343.12,Aug 2024,8,0.6299182664892606,0.38889944877399735,0.19425964645504656,314.42575342465756,0.047174368056673646,9.971143967556607,143.73012670339924,0.45711944755771966,46.15529800032304,-0.874540802367264
2024-09-01,5314,4052,3304,2011,1002,6473,342,876,410,4274373.42,65600.37,44275.07,311343.74,Sep 2024,9,0.6217538577342868,0.3784343244260444,0.188558524651863,310.72229540918164,0.050183418928833455,10.134461609763633,137.3249181051656,0.4419538608400347,45.42749267666054,-0.857793607798249
2024-10-01,5408,4100,3336,2025,1016,7024,367,929,433,4580891.97,69756.91,47611.869999999995,322828.38,Oct 2024,10,0.6168639053254438,0.3744452662721893,0.1878698224852071,317.744468503937,0.049654985793532676,9.931222949886106,136.00309209638579,0.4280266238362561,46.8756456482733,-0.8525164671086228
2024-11-01,5338,4168,3421,2086,1043,7637,367,938,425,4797807.29,76606.63,51925.29,334320.25,Nov 2024,11,0.6408767328587486,0.390783064818284,0.195391532409142,320.53715244487057,0.04585207396301849,10.030984679848109,148.76250936431308,0.46410379648549116,47.14354475866146,-0.8446839819005879
2024-12-01,5790,4488,3638,2201,1108,8084,413,1100,507,5444239.15,81361.76,56068.39,361613.36,Dec 2024,12,0.6283246977547495,0.38013816925734023,0.1913644214162349,326.36584837545126,0.04860539013769566,10.064542305789212,140.8051400996558,0.4314334382734604,47.05577453297924,-0.8449493403672917
2025-01-01,6467,4988,4066,2486,1257,8841,454,1137,528,6140358.77,88855.52,61911.49,402709.97,Jan 2025,13,0.6287304778104221,0.38441317457862995,0.19437142415339415,320.3738822593476,0.048843464228079614,10.050392489537384,139.92182988848015,0.43674543287274353,45.74959338008005,-0.8462628327776439
2025-02-01,6911,5270,4299,2614,1316,9531,479,1223,566,6161794.12,94265.08,65254.86,414010.07,Feb 2025,14,0.622051801475908,0.3782375922442483,0.19042106786282736,314.5973176291793,0.04785214785214785,9.890366173538979,140.54643939466624,0.44675027890838687,45.9494822963946,-0.8423833990318158
2025-03-01,7486,5731,4677,2854,1448,10290,518,1321,611,6741159.08,102476.53,70570.96,437966.17,Mar 2025,15,0.6247662302965535,0.38124499064921186,0.19342773176596312,302.46282458563536,0.04792746113989637,9.958846452866862,141.297190105324,0.4671555596919944,44.1023115596867,-0.8388666412293899
