MonthStart,MonthKey,MonthLabel,MonthIndex,Year,Quarter,YearQuarter
2024-01-01,202401,Jan 2024,1,2024,Q1,2024 Q1
2024-02-01,202402,Feb 2024,2,2024,Q1,2024 Q1
2024-03-01,202403,Mar 2024,3,2024,Q1,2024 Q1
2024-04-01,202404,Apr 2024,4,2024,Q2,2024 Q2
2024-05-01,202405,May 2024,5,2024,Q2,2024 Q2
2024-06-01,202406,Jun 2024,6,2024,Q2,2024 Q2
2024-07-01,202407,Jul 2024,7,2024,Q3,2024 Q3
2024-08-01,202408,Aug 2024,8,2024,Q3,2024 Q3
2024-09-01,202409,Sep 2024,9,2024,Q3,2024 Q3
2024-10-01,202410,Oct 2024,10,2024,Q4,2024 Q4
2024-11-01,202411,Nov 2024,11,2024,Q4,2024 Q4
2024-12-01,202412,Dec 2024,12,2024,Q4,2024 Q4
2025-01-01,202501,Jan 2025,13,2025,Q1,2025 Q1
2025-02-01,202502,Feb 2025,14,2025,Q1,2025 Q1
2025-03-01,202503,Mar 2025,15,2025,Q1,2025 Q1
2025-04-01,202504,Apr 2025,16,2025,Q2,2025 Q2
2025-05-01,202505,May 2025,17,2025,Q2,2025 Q2
2025-06-01,202506,Jun 2025,18,2025,Q2,2025 Q2
2025-07-01,202507,Jul 2025,19,2025,Q3,2025 Q3
2025-08-01,202508,Aug 2025,20,2025,Q3,2025 Q3
2025-09-01,202509,Sep 2025,21,2025,Q3,2025 Q3
2025-10-01,202510,Oct 2025,22,2025,Q4,2025 Q4
2025-11-01,202511,Nov 2025,23,2025,Q4,2025 Q4
2025-12-01,202512,Dec 2025,24,2025,Q4,2025 Q4
2026-01-01,202601,Jan 2026,25,2026,Q1,2026 Q1
2026-02-01,202602,Feb 2026,26,2026,Q1,2026 Q1
2026-03-01,202603,Mar 2026,27,2026,Q1,2026 Q1
2026-04-01,202604,Apr 2026,28,2026,Q2,2026 Q2
2026-05-01,202605,May 2026,29,2026,Q2,2026 Q2
