MonthStart,ClientID,ModelPortfolio,BeginningAUM,Inflows,Outflows,NetNewMoney,MarketEffect,EndingAUM,AdvisoryRevenue,PortfolioReturnPct,BenchmarkReturnPct,RiskScore,TargetRiskScore,RiskMismatchFlag,RebalanceNeededFlag,ChurnRiskScore,OutflowRiskScore,ActiveClientFlag,ClientStatus
2024-01-01,CL00027,Growth Builder,446755.46,100598.98,4554.08,96044.9,-2128.31,540672.05,189.24,-0.004302,0.005964,60.07,68,0,0,0.1561,0.2385,1,Active
2024-01-01,CL00043,Income Shield,428799.34,85192.02,0.0,85192.02,3990.76,517982.12,181.29,0.008466,0.007069,26.76,25,0,0,0.2436,0.2028,1,Active
2024-01-01,CL00063,Balanced Core,5351276.13,820801.17,105879.25,714921.92,50230.87,6116428.92,3771.8,0.008799,0.006508,48.57,48,0,0,0.1588,0.1313,1,Active
2024-01-01,CL00077,Income Shield,360035.88,46931.87,327.33,46604.54,-5585.67,401054.75,140.37,-0.014571,0.007069,12.74,25,0,0,0.2358,0.2792,1,Active
2024-01-01,CL00088,Balanced Core,3385515.45,657433.59,110905.67,546527.93,20950.69,3952994.07,2437.68,0.005726,0.006508,69.02,48,1,1,0.438,0.328,1,Active
2024-01-01,CL00094,Income Shield,346721.89,43273.95,4068.66,39205.29,-1083.35,384843.83,134.7,-0.002957,0.007069,9.63,25,0,0,0.203,0.284,1,Active
2024-01-01,CL00132,Growth Builder,24895.27,5403.2,1020.55,4382.65,302.34,29580.26,7.15,0.011162,0.005964,65.96,68,0,0,0.2692,0.2891,1,Active
2024-01-01,CL00185,Income Shield,146196.15,25790.75,424.0,25366.76,3158.67,174721.58,42.22,0.019881,0.007069,34.98,25,0,0,0.1569,0.1495,1,Active
2024-01-01,CL00227,Growth Builder,385937.1,43685.63,5212.84,38472.79,2603.87,427013.76,149.45,0.006427,0.005964,64.47,68,0,0,0.1656,0.2307,1,Active
2024-01-01,CL00278,Balanced Core,161025.87,12978.37,2827.89,10150.48,3418.09,174594.43,61.11,0.020578,0.006508,39.84,48,0,0,0.0749,0.3082,1,Active
2024-01-01,CL00312,Income Shield,2125086.61,450540.4,25420.65,425119.75,30025.98,2580232.34,1247.11,0.012845,0.007069,42.56,25,0,0,0.2941,0.2746,1,Active
2024-01-01,CL00322,Balanced Core,374807.04,55155.33,11523.52,43631.81,-4253.26,414185.58,200.19,-0.010724,0.006508,22.57,48,1,1,0.4251,0.3656,1,Active
2024-01-01,CL00324,Equity Edge,498137.03,69900.19,0.0,69900.19,3685.31,571722.53,181.05,0.006913,0.007706,91.69,84,0,0,0.2272,0.1575,1,Active
2024-01-01,CL00345,Growth Builder,1179046.53,198793.57,19966.28,178827.3,-3736.43,1354137.39,654.5,-0.002946,0.005964,65.58,68,0,0,0.0974,0.2611,1,Active
2024-01-01,CL00383,Balanced Core,309010.2,51663.8,592.25,51071.54,990.91,361072.65,126.38,0.002962,0.006508,50.39,48,0,0,0.1735,0.0731,1,Active
2024-01-01,CL00438,Growth Builder,408034.92,96681.67,6853.42,89828.25,6939.95,504803.11,159.85,0.015322,0.005964,77.07,68,0,0,0.2153,0.1887,1,Active
2024-01-01,CL00443,Growth Builder,221629.3,36941.8,4793.37,32148.42,2901.23,256678.96,89.84,0.012205,0.005964,62.15,68,0,0,0.2504,0.296,1,Active
2024-01-01,CL00462,Income Shield,26611.5,3607.4,0.0,3607.4,412.55,30631.45,7.4,0.014519,0.007069,32.83,25,1,1,0.473,0.3171,1,Active
2024-01-01,CL00471,Equity Edge,370326.03,96659.44,1838.79,94820.65,3499.84,468646.52,226.51,0.008378,0.007706,97.95,84,0,0,0.2734,0.1578,1,Active
2024-01-01,CL00541,Growth Builder,573249.49,124951.54,6722.89,118228.65,359.78,691837.93,219.08,0.000569,0.005964,76.55,68,0,0,0.2291,0.2307,1,Active
2024-01-01,CL00548,Balanced Core,272327.73,50698.56,3706.94,46991.62,3817.67,323137.03,102.33,0.012905,0.006508,65.63,48,0,0,0.2294,0.1829,1,Active
2024-01-01,CL00622,Income Shield,599309.18,92644.86,0.0,92644.86,3470.1,695424.15,243.4,0.005375,0.007069,11.37,25,0,0,0.1001,0.2081,1,Active
2024-01-01,CL00696,Balanced Core,944032.98,184395.59,3305.3,181090.29,4195.43,1129318.71,545.84,0.004055,0.006508,42.44,48,0,0,0.2339,0.2879,1,Active
2024-01-01,CL00788,Growth Builder,1135776.67,311259.52,10062.66,301196.86,17728.16,1454701.69,703.11,0.013781,0.005964,60.67,68,0,0,0.255,0.2267,1,Active
2024-01-01,CL00796,Balanced Core,359997.3,72936.62,86414.67,-13478.05,-206.33,346312.92,121.21,-0.000584,0.006508,60.1,48,0,0,0.5846,0.8755,1,Active
2024-01-01,CL00823,Balanced Core,415608.47,64907.97,51954.08,12953.89,8532.89,437095.26,152.98,0.020216,0.006508,67.1,48,1,1,0.4944,0.5691,1,Active
2024-01-01,CL00831,Income Shield,252383.83,69334.34,3309.54,66024.8,1249.08,319657.71,111.88,0.004377,0.007069,30.13,25,0,0,0.2489,0.1949,1,Active
2024-02-01,CL00027,Growth Builder,540672.05,99733.23,8797.71,90935.51,9206.06,640813.62,224.28,0.015706,0.013654,59.38,68,0,0,0.2207,0.3739,1,Active
2024-02-01,CL00043,Income Shield,517982.12,54202.59,0.0,54202.59,9690.67,581875.37,203.66,0.017778,0.011578,28.78,25,0,0,0.2249,0.2,1,Active
2024-02-01,CL00046,Balanced Core,238877.62,66293.88,3327.6,62966.28,5115.63,306959.54,107.44,0.018922,0.012837,45.41,48,0,0,0.1997,0.167,1,Active
2024-02-01,CL00063,Balanced Core,6116428.92,1117078.62,83936.91,1033141.71,114085.64,7263656.26,4479.25,0.0172,0.012837,48.09,48,0,0,0.2684,0.1368,1,Active
2024-02-01,CL00077,Income Shield,401054.75,95508.28,4100.69,91407.59,4555.54,497017.87,173.96,0.010197,0.011578,9.15,25,0,0,0.214,0.0905,1,Active
2024-02-01,CL00088,Balanced Core,3952994.07,671705.94,0.0,671705.94,52381.97,4677081.98,2884.2,0.012214,0.012837,66.46,48,1,1,0.3421,0.2486,1,Active
2024-02-01,CL00094,Income Shield,384843.83,37455.78,352.47,37103.31,918.56,422865.7,148.0,0.002277,0.011578,7.71,25,0,0,0.0983,0.1646,1,Active
2024-02-01,CL00126,Income Shield,279666.58,62775.44,656.14,62119.29,998.52,342784.4,119.97,0.003214,0.011578,15.41,25,0,0,0.1478,0.2006,1,Active
2024-02-01,CL00132,Growth Builder,29580.26,3837.79,152.91,3684.88,817.31,34082.45,8.24,0.02601,0.013654,65.05,68,0,0,0.2486,0.3358,1,Active
2024-02-01,CL00154,Balanced Core,450985.24,109498.42,5108.17,104390.25,4003.51,559379.0,195.78,0.007956,0.012837,32.7,48,0,0,0.1825,0.191,1,Active
2024-02-01,CL00185,Income Shield,174721.58,48607.78,0.0,48607.78,2599.73,225929.09,54.6,0.013062,0.011578,35.0,25,0,0,0.1132,0.2096,1,Active
2024-02-01,CL00227,Growth Builder,427013.76,83250.77,6183.58,77067.18,7221.94,511302.88,178.96,0.015513,0.013654,67.04,68,0,1,0.3246,0.182,1,Active
2024-02-01,CL00278,Balanced Core,174594.43,28436.56,0.0,28436.56,2138.67,205169.67,71.81,0.011327,0.012837,41.29,48,0,0,0.1976,0.2194,1,Active
2024-02-01,CL00312,Income Shield,2580232.34,725637.39,0.0,725637.39,14371.09,3320240.82,1604.78,0.004883,0.011578,45.17,25,1,1,0.4273,0.2458,1,Active
2024-02-01,CL00313,Income Shield,56872.08,16180.78,184.82,15995.96,787.78,73655.82,17.8,0.012144,0.011578,12.17,25,0,0,0.1614,0.1684,1,Active
2024-02-01,CL00314,Balanced Core,825727.69,225213.3,0.0,225213.3,6266.26,1057207.25,510.98,0.006678,0.012837,56.78,48,0,0,0.1939,0.1566,1,Active
2024-02-01,CL00322,Balanced Core,414185.58,47047.55,7250.38,39797.17,8245.4,462228.15,223.41,0.018995,0.012837,21.3,48,1,1,0.2883,0.3762,1,Active
2024-02-01,CL00324,Equity Edge,571722.53,70276.67,0.0,70276.67,8001.19,650000.39,205.83,0.013185,0.016136,96.03,84,0,0,0.1975,0.2438,1,Active
2024-02-01,CL00327,Growth Builder,536989.97,76735.73,1626.4,75109.33,14280.7,626380.0,302.75,0.024856,0.013654,60.49,68,0,0,0.1938,0.2014,1,Active
2024-02-01,CL00328,Growth Builder,1075920.93,167746.81,14397.44,153349.37,5881.36,1235151.67,391.13,0.005103,0.013654,72.43,68,0,0,0.2367,0.2601,1,Active
2024-02-01,CL00345,Growth Builder,1354137.39,298604.97,0.0,298604.97,21312.13,1674054.48,809.13,0.014176,0.013654,63.78,68,0,0,0.2214,0.1341,1,Active
2024-02-01,CL00354,Growth Builder,29829.4,7808.99,190.49,7618.5,459.11,37907.01,9.16,0.013648,0.013654,77.23,68,0,0,0.2749,0.2294,1,Active
2024-02-01,CL00383,Balanced Core,361072.65,59035.21,7556.14,51479.07,9237.41,421789.13,147.63,0.023881,0.012837,50.88,48,0,0,0.2201,0.275,1,Active
2024-02-01,CL00405,Income Shield,157913.4,21807.25,989.55,20817.7,1261.04,179992.14,63.0,0.007492,0.011578,39.71,25,0,0,0.1645,0.2671,1,Active
2024-02-01,CL00438,Growth Builder,504803.11,58960.23,8545.42,50414.8,10919.89,566137.81,179.28,0.020603,0.013654,73.45,68,0,0,0.1773,0.2568,1,Active
2024-02-01,CL00443,Growth Builder,256678.96,59012.59,0.0,59012.59,5003.94,320695.49,112.24,0.017485,0.013654,63.21,68,0,0,0.2068,0.2985,1,Active
2024-02-01,CL00462,Income Shield,30631.45,6202.95,180.78,6022.17,348.76,37002.38,8.94,0.010367,0.011578,34.32,25,1,1,0.3734,0.3494,1,Active
2024-02-01,CL00471,Equity Edge,468646.52,96689.95,0.0,96689.95,6501.09,571837.55,276.39,0.012575,0.016136,97.67,84,0,0,0.2691,0.2582,1,Active
2024-02-01,CL00527,Growth Builder,739768.27,133934.97,12377.89,121557.08,3870.06,865195.41,418.18,0.004834,0.013654,72.54,68,0,0,0.1579,0.1718,1,Active
2024-02-01,CL00541,Growth Builder,691837.93,79528.37,18509.9,61018.47,2487.8,755344.2,239.19,0.003444,0.013654,82.01,68,0,0,0.3558,0.3147,1,Active
2024-02-01,CL00548,Balanced Core,323137.03,67623.86,3502.96,64120.91,10617.59,397875.53,125.99,0.029892,0.012837,68.34,48,1,1,0.4828,0.2723,1,Active
2024-02-01,CL00620,Equity Edge,291884.82,37911.25,1366.49,36544.76,4006.18,332435.75,116.35,0.012917,0.016136,80.3,84,0,0,0.2733,0.2086,1,Active
