MonthStart,MonthLabel,MonthIndex,Year,TotalAUM,BeginningAUM,Inflows,Outflows,NetNewMoney,MarketEffect,AdvisoryRevenue,ActiveClients,PortfolioReturnPct,BenchmarkReturnPct,RiskMismatchClients,RebalanceNeededClients,HighChurnRiskClients,HighOutflowRiskClients,ChurnRiskAUM,Top10AUMShare
2024-01-01,Jan 2024,1,2024,24659481.7,21102533.35,3873162.13,471684.63,3401477.51,155470.82,12207.67,27,0.006878,0.006559,4,4,0,1,0.0,0.774042
2024-02-01,Feb 2024,2,2024,40391869.26,33887150.03,6637062.74,641389.35,5995673.42,509045.84,19265.69,44,0.01381,0.012999,8,10,2,2,492402.8,0.639214
2024-03-01,Mar 2024,3,2024,63082776.93,56656893.03,6045211.16,776954.11,5268257.03,1157626.87,31015.26,65,0.019552,0.017927,11,13,0,1,0.0,0.586918
2024-04-01,Apr 2024,4,2024,86138316.14,78271948.43,6921403.27,1004232.31,5917171.03,1949196.75,41254.05,90,0.024013,0.025394,13,15,0,1,0.0,0.487729
2024-05-01,May 2024,5,2024,111199120.7,102664745.14,7149285.86,1726767.17,5422518.72,3111856.84,52584.91,111,0.029641,0.028659,17,22,0,2,0.0,0.40164
2024-06-01,Jun 2024,6,2024,145434881.85,135953686.09,9496408.37,2005786.84,7490621.47,1990574.27,68864.0,136,0.014295,0.015786,21,24,1,2,671959.04,0.354569
2024-07-01,Jul 2024,7,2024,181903668.06,171227829.78,10552578.94,2863871.03,7688707.92,2987130.37,87753.93,160,0.017073,0.016095,20,26,1,2,375813.56,0.334704
2024-08-01,Aug 2024,8,2024,223424596.42,212124118.65,12604962.11,3358405.07,9246557.04,2053920.78,109178.76,188,0.009523,0.008163,28,33,1,3,1303156.15,0.296888
2024-09-01,Sep 2024,9,2024,257084859.77,244957637.82,13144880.98,3644827.71,9500053.26,2627168.7,124923.44,214,0.010578,0.009565,30,35,1,4,86326.65,0.270166
2024-10-01,Oct 2024,10,2024,290985075.34,282052013.22,11535636.38,5537905.54,5997730.9,2935331.28,142406.37,239,0.010283,0.009899,36,41,1,3,367263.4,0.272048
2024-11-01,Nov 2024,11,2024,319355662.53,310649308.95,11401007.23,4696227.87,6704779.32,2001574.1,157045.3,258,0.006418,0.007301,36,39,0,3,0.0,0.269021
2024-12-01,Dec 2024,12,2024,342223196.04,335535197.45,12246878.14,5960160.89,6286717.19,401281.4,166456.88,292,0.001256,5.5e-05,36,47,0,4,0.0,0.262256
2025-01-01,Jan 2025,13,2025,359542164.05,358873244.65,11797415.96,8612236.49,3185179.48,-2516259.95,174317.2,319,-0.006984,-0.007568,36,52,0,4,0.0,0.250466
2025-02-01,Feb 2025,14,2025,381853461.16,377825714.18,10545224.75,7235701.3,3309523.44,718223.43,185126.6,340,0.00191,0.001659,36,45,1,5,23270.93,0.235493
2025-03-01,Mar 2025,15,2025,420312868.77,416631255.15,15221316.54,9459848.0,5761468.5,-2079854.75,204316.1,378,-0.004932,-0.00495,43,54,0,8,0.0,0.216847
2025-04-01,Apr 2025,16,2025,437990545.41,441183794.56,16793266.87,11781815.62,5011451.38,-8204700.52,212527.39,405,-0.018413,-0.018235,51,66,0,10,0.0,0.205684
2025-05-01,May 2025,17,2025,460329732.96,455396343.62,11692426.74,10062150.43,1630276.45,3303112.97,222104.72,439,0.007256,0.006827,59,70,3,8,2840789.5,0.196329
2025-06-01,Jun 2025,18,2025,486330323.01,486148933.29,14262900.21,11974150.86,2288749.39,-2107359.63,235310.48,466,-0.004274,-0.004788,72,82,3,11,3571688.35,0.188807
2025-07-01,Jul 2025,19,2025,512993958.12,514704943.51,16099323.16,13866732.15,2232591.06,-3943576.37,249318.01,497,-0.007602,-0.008054,77,97,0,8,0.0,0.186206
2025-08-01,Aug 2025,20,2025,543047872.72,541356413.12,16140961.15,16921902.8,-780941.73,2472401.35,263705.08,531,0.004604,0.00532,84,95,6,13,9500667.82,0.184725
2025-09-01,Sep 2025,21,2025,557818178.01,572633052.47,15971455.53,13451673.94,2519781.69,-17334655.71,270802.07,563,-0.030089,-0.029685,91,107,3,8,310996.52,0.175838
2025-10-01,Oct 2025,22,2025,586958820.16,578972879.12,16312017.73,13386097.11,2925920.66,5060020.2,285643.19,589,0.008776,0.008954,99,122,5,13,2692304.37,0.170365
2025-11-01,Nov 2025,23,2025,606062767.19,601567678.9,13623295.92,17868326.0,-4245030.12,8740118.47,294264.79,616,0.014644,0.014655,111,127,4,8,9034241.03,0.169798
2025-12-01,Dec 2025,24,2025,617004503.15,622262154.51,12373864.06,20378699.36,-8004835.37,2747183.98,297292.7,656,0.004475,0.00392,119,146,9,20,11591561.67,0.161641
2026-01-01,Jan 2026,25,2026,637964932.92,645889861.85,14328805.54,19643780.28,-5314974.78,-2609954.07,306938.06,702,-0.00401,-0.004225,126,143,5,20,2871473.57,0.153468
2026-02-01,Feb 2026,26,2026,674574557.76,675650372.08,21848666.52,21235299.15,613367.19,-1689181.7,324560.34,750,-0.002452,-0.002954,129,154,5,19,4601846.7,0.143774
2026-03-01,Mar 2026,27,2026,713038273.07,709187190.26,21559068.41,19775304.64,1783763.72,2067318.8,344483.19,782,0.002961,0.002408,133,155,2,13,105345.56,0.139366
2026-04-01,Apr 2026,28,2026,748454595.85,752334505.12,24356350.24,24371688.27,-15337.94,-3864571.14,361681.21,823,-0.005086,-0.005593,139,170,4,20,500032.59,0.12996
2026-05-01,May 2026,29,2026,811053076.37,791066303.56,28236441.88,25286839.96,2949601.94,17037170.96,393621.55,860,0.021578,0.021502,149,181,6,30,4877500.86,0.136765
