date_id,date,year,quarter,month_number,month_label,is_latest_complete,month_index
2025-01,2025-01-01,2025,Q1,1,Jan 2025,FALSE,1
2025-02,2025-02-01,2025,Q1,2,Feb 2025,FALSE,2
2025-03,2025-03-01,2025,Q1,3,Mar 2025,FALSE,3
2025-04,2025-04-01,2025,Q2,4,Apr 2025,FALSE,4
2025-05,2025-05-01,2025,Q2,5,May 2025,FALSE,5
2025-06,2025-06-01,2025,Q2,6,Jun 2025,FALSE,6
2025-07,2025-07-01,2025,Q3,7,Jul 2025,FALSE,7
2025-08,2025-08-01,2025,Q3,8,Aug 2025,FALSE,8
2025-09,2025-09-01,2025,Q3,9,Sep 2025,FALSE,9
2025-10,2025-10-01,2025,Q4,10,Oct 2025,FALSE,10
2025-11,2025-11-01,2025,Q4,11,Nov 2025,FALSE,11
2025-12,2025-12-01,2025,Q4,12,Dec 2025,FALSE,12
2026-01,2026-01-01,2026,Q1,1,Jan 2026,FALSE,13
2026-02,2026-02-01,2026,Q1,2,Feb 2026,FALSE,14
2026-03,2026-03-01,2026,Q1,3,Mar 2026,FALSE,15
2026-04,2026-04-01,2026,Q2,4,Apr 2026,FALSE,16
2026-05,2026-05-01,2026,Q2,5,May 2026,TRUE,17
