date_id,entity_id,business_unit_id,scenario_id,scenario,country,region,business_unit,currency,gross_revenue_usd,external_revenue_usd,intercompany_revenue_usd,intercompany_cost_usd,intercompany_elimination_usd,cogs_usd,gross_profit_usd,opex_usd,ebitda_pre_elim_usd,ebitda_usd,ebitda_margin,operating_income_usd,net_income_usd,cash_position_usd,operating_cash_flow_usd,working_capital_usd
2025-01,SGP01,FF,ACT,Actual,Singapore,SEA North,Freight Forwarding,SGD,555140.31,537731.63,17408.68,-17121.93,-286.74,-396981.67,140749.96,-91212.73,49823.97,49537.23,0.09212,39682.91,28714.08,266350.89,47786.77,85308.49
2025-01,SGP01,FF,BUD,Budget,Singapore,SEA North,Freight Forwarding,SGD,559592.44,540727.13,18865.31,-18196.61,-668.7,-372070.78,168656.34,-85963.65,83361.39,82692.69,0.15293,73016.03,55871.57,385373.58,59061.94,101952.36
2025-01,SGP01,FF,FCST,Forecast,Singapore,SEA North,Freight Forwarding,SGD,643696.72,619028.96,24667.76,-23798.7,-869.06,-456295.33,162733.63,-104177.23,59425.46,58556.4,0.09459,47334.18,33911.28,298828.33,43790.02,98706.98
2025-01,SGP01,FF,PY,Prior Year,Singapore,SEA North,Freight Forwarding,SGD,468922.51,451281.96,17640.54,-16923.66,-716.89,-303867.55,147414.41,-72772.98,75358.32,74641.43,0.1654,66257.7,51005.12,351733.76,70468.14,69830.43
2025-01,SGP01,CL,ACT,Actual,Singapore,SEA North,Contract Logistics,SGD,426396.44,412147.15,14249.29,-13481.9,-767.39,-348199.97,63947.18,-74224.12,-9509.55,-10276.94,-0.02494,-17476.61,-21351.34,40000.0,-7247.58,72737.75
2025-01,SGP01,CL,BUD,Budget,Singapore,SEA North,Contract Logistics,SGD,386036.63,372600.41,13436.22,-12965.49,-470.74,-299284.41,73316.0,-64534.26,9252.48,8781.74,0.02357,1741.64,-1563.49,114243.22,6416.45,69221.31
2025-01,SGP01,CL,FCST,Forecast,Singapore,SEA North,Contract Logistics,SGD,430845.24,417561.76,13283.48,-13199.8,-83.68,-342790.16,74771.61,-73133.79,1721.5,1637.81,0.00392,-5909.35,-9475.23,103961.75,1268.66,64959.42
2025-01,SGP01,CL,PY,Prior Year,Singapore,SEA North,Contract Logistics,SGD,318807.2,306926.22,11880.97,-11916.97,36.0,-235997.47,70928.75,-51281.56,19611.2,19647.19,0.06401,14156.19,9146.22,109098.95,14750.66,48973.25
2025-01,SGP01,WH,ACT,Actual,Singapore,SEA North,Warehousing,SGD,242254.54,233933.26,8321.29,-8419.39,98.11,-189064.41,44868.85,-46484.18,-1713.44,-1615.34,-0.00691,-5929.43,-7950.1,40000.0,-1338.03,46775.55
2025-01,SGP01,WH,BUD,Budget,Singapore,SEA North,Warehousing,SGD,232121.45,224102.44,8019.01,-7989.57,-29.44,-170394.32,53708.13,-42604.01,11133.56,11104.12,0.04955,7007.21,4161.02,86977.17,10614.56,47859.61
