date_id,currency,to_currency,rate_type,rate_to_usd
2025-01,SGD,USD,Average,0.74169976
2025-01,SGD,USD,Budget,0.744597
2025-01,SGD,USD,Closing,0.73883088
2025-01,VND,USD,Average,3.928e-05
2025-01,VND,USD,Budget,3.919e-05
2025-01,VND,USD,Closing,3.926e-05
2025-01,THB,USD,Average,0.02755716
2025-01,THB,USD,Budget,0.02755775
2025-01,THB,USD,Closing,0.0275665
2025-01,MYR,USD,Average,0.2130808
2025-01,MYR,USD,Budget,0.211509
2025-01,MYR,USD,Closing,0.21355261
2025-01,IDR,USD,Average,6.137e-05
2025-01,IDR,USD,Budget,6.074e-05
2025-01,IDR,USD,Closing,6.154e-05
2025-01,PHP,USD,Average,0.0172041
2025-01,PHP,USD,Budget,0.01716388
2025-01,PHP,USD,Closing,0.01724551
2025-01,AUD,USD,Average,0.6685778
2025-01,AUD,USD,Budget,0.6681832
2025-01,AUD,USD,Closing,0.6674812
2025-02,SGD,USD,Average,0.74540611
2025-02,SGD,USD,Budget,0.744597
2025-02,SGD,USD,Closing,0.74587231
2025-02,VND,USD,Average,3.967e-05
2025-02,VND,USD,Budget,3.919e-05
2025-02,VND,USD,Closing,3.956e-05
2025-02,THB,USD,Average,0.02755296
2025-02,THB,USD,Budget,0.02755775
2025-02,THB,USD,Closing,0.02760698
2025-02,MYR,USD,Average,0.21454404
2025-02,MYR,USD,Budget,0.211509
2025-02,MYR,USD,Closing,0.21408375
2025-02,IDR,USD,Average,6.117e-05
2025-02,IDR,USD,Budget,6.074e-05
2025-02,IDR,USD,Closing,6.108e-05
2025-02,PHP,USD,Average,0.01732787
2025-02,PHP,USD,Budget,0.01716388
2025-02,PHP,USD,Closing,0.01737249
2025-02,AUD,USD,Average,0.66287499
2025-02,AUD,USD,Budget,0.6681832
2025-02,AUD,USD,Closing,0.66338856
2025-03,SGD,USD,Average,0.74336443
2025-03,SGD,USD,Budget,0.744597
2025-03,SGD,USD,Closing,0.74151395
2025-03,VND,USD,Average,3.952e-05
2025-03,VND,USD,Budget,3.919e-05
2025-03,VND,USD,Closing,3.967e-05
2025-03,THB,USD,Average,0.02751675
2025-03,THB,USD,Budget,0.02755775
2025-03,THB,USD,Closing,0.02742224
2025-03,MYR,USD,Average,0.21315365
2025-03,MYR,USD,Budget,0.211509
2025-03,MYR,USD,Closing,0.21288322
2025-03,IDR,USD,Average,6.125e-05
2025-03,IDR,USD,Budget,6.074e-05
2025-03,IDR,USD,Closing,6.104e-05
2025-03,PHP,USD,Average,0.01720984
2025-03,PHP,USD,Budget,0.01716388
2025-03,PHP,USD,Closing,0.01717987
2025-03,AUD,USD,Average,0.66939447
2025-03,AUD,USD,Budget,0.6681832
2025-03,AUD,USD,Closing,0.67111298
2025-04,SGD,USD,Average,0.75038223
2025-04,SGD,USD,Budget,0.744597
2025-04,SGD,USD,Closing,0.74933915
2025-04,VND,USD,Average,3.971e-05
2025-04,VND,USD,Budget,3.919e-05
2025-04,VND,USD,Closing,3.983e-05
2025-04,THB,USD,Average,0.02765232
2025-04,THB,USD,Budget,0.02755775
2025-04,THB,USD,Closing,0.02769781
2025-04,MYR,USD,Average,0.21440025
2025-04,MYR,USD,Budget,0.211509
2025-04,MYR,USD,Closing,0.2152389
2025-04,IDR,USD,Average,6.105e-05
2025-04,IDR,USD,Budget,6.074e-05
2025-04,IDR,USD,Closing,6.118e-05
2025-04,PHP,USD,Average,0.01734515
2025-04,PHP,USD,Budget,0.01716388
2025-04,PHP,USD,Closing,0.01736827
