date_id,entity_id,business_unit_id,country,region,business_unit,driver,driver_sort,amount_usd,variance_sign
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,Volume,1,-7618.51,Unfavorable
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,Price / Yield,2,-6576.69,Unfavorable
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,Business Mix,3,-4073.53,Unfavorable
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,FX Translation,4,-46.31,Unfavorable
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,Intercompany Eliminations,5,345.19,Favorable
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,OPEX Discipline,6,-246.66,Unfavorable
2025-01,SGP01,FF,Singapore,SEA North,Freight Forwarding,Other / Rounding,7,1786.88,Favorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,Volume,1,4981.0,Favorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,Price / Yield,2,6927.3,Favorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,Business Mix,3,866.57,Favorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,FX Translation,4,-33.64,Unfavorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,Intercompany Eliminations,5,-244.91,Unfavorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,OPEX Discipline,6,-4943.88,Unfavorable
2025-01,SGP01,CL,Singapore,SEA North,Contract Logistics,Other / Rounding,7,-14473.52,Unfavorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,Volume,1,-590.92,Unfavorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,Price / Yield,2,282.68,Favorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,Business Mix,3,-858.09,Unfavorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,FX Translation,4,-23.7,Unfavorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,Intercompany Eliminations,5,134.54,Favorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,OPEX Discipline,6,-900.61,Unfavorable
2025-01,SGP01,WH,Singapore,SEA North,Warehousing,Other / Rounding,7,-3988.8,Unfavorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,Volume,1,1626.89,Favorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,Price / Yield,2,2654.75,Favorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,Business Mix,3,14.87,Favorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,FX Translation,4,-15.14,Unfavorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,Intercompany Eliminations,5,-35.2,Unfavorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,OPEX Discipline,6,-653.19,Unfavorable
2025-01,SGP01,CB,Singapore,SEA North,Customs Brokerage,Other / Rounding,7,-6766.26,Unfavorable
