week_id,entity_id,scenario_id,opening_cash_usd,customer_receipts_usd,other_receipts_usd,supplier_payments_usd,payroll_tax_usd,capex_usd,debt_service_usd,net_cash_flow_usd,closing_cash_usd,minimum_cash_buffer_usd,is_synthetic
W01,US01,BASE,13632549.02,1407264.5,241114.47,953681.86,416092.6,86534.63,72947.86,119122.01,13751671.03,2430000.0,TRUE
W02,US01,BASE,13751671.03,1410289.26,152401.43,941732.36,417596.4,74864.89,70038.3,58458.75,13810129.78,2430000.0,TRUE
W03,US01,BASE,13810129.78,1529289.5,214184.14,1031502.75,397078.4,289274.04,79825.22,-54206.78,13755923.0,2430000.0,TRUE
W04,US01,BASE,13755923.0,1526458.37,130272.81,948195.44,398599.75,80333.47,240181.51,-10579.0,13745344.01,2430000.0,TRUE
W05,US01,BASE,13745344.01,1384464.55,223152.08,908057.12,427148.27,83595.07,76289.32,112526.86,13857870.87,2430000.0,TRUE
W06,US01,BASE,13857870.87,1380657.79,205037.06,1022941.27,437964.28,90428.86,76247.07,-41886.64,13815984.23,2430000.0,TRUE
W07,US01,BASE,13815984.23,1346867.58,180729.79,1125993.64,401636.9,91080.33,71650.67,-162764.16,13653220.07,2430000.0,TRUE
W08,US01,BASE,13653220.07,1388659.21,199860.22,1135001.95,413629.07,296377.63,70628.33,-327117.55,13326102.52,2430000.0,TRUE
W09,US01,BASE,13326102.52,1447979.76,129807.38,1124259.31,422157.52,99296.34,235755.47,-303681.48,13022421.04,2430000.0,TRUE
W10,US01,BASE,13022421.04,1287147.92,139626.4,1050634.05,436736.55,85226.82,68506.31,-214329.41,12808091.63,2430000.0,TRUE
W11,US01,BASE,12808091.63,1371361.71,210968.35,1024119.08,425688.0,87790.96,71662.17,-26930.15,12781161.48,2430000.0,TRUE
W12,US01,BASE,12781161.48,1286488.2,134630.19,975146.84,404853.04,299199.36,71095.92,-329176.76,12451984.72,2430000.0,TRUE
W13,US01,BASE,12451984.72,1498088.92,180918.04,1023012.39,419957.43,85815.34,259333.81,-109112.01,12342872.71,2430000.0,TRUE
W01,DE01,BASE,12481270.86,1238106.31,113159.07,762940.63,322595.25,71016.11,62463.51,132249.89,12613520.75,1980000.0,TRUE
W02,DE01,BASE,12613520.75,1212814.91,153447.31,920871.4,347447.46,71668.33,64181.29,-37906.26,12575614.49,1980000.0,TRUE
W03,DE01,BASE,12575614.49,1106417.21,186581.0,764806.46,331013.48,222087.09,59065.2,-83974.03,12491640.46,1980000.0,TRUE
W04,DE01,BASE,12491640.46,1255591.21,208269.76,777995.53,325974.87,61900.0,189434.81,108555.77,12600196.23,1980000.0,TRUE
W05,DE01,BASE,12600196.23,1197945.75,213829.19,754756.92,347376.16,61109.45,56495.87,192036.55,12792232.78,1980000.0,TRUE
W06,DE01,BASE,12792232.78,1146890.94,110064.2,784809.8,348943.99,65704.86,62546.46,-5049.98,12787182.8,1980000.0,TRUE
W07,DE01,BASE,12787182.8,1168904.79,151567.13,780953.44,347257.29,78289.36,58982.4,54989.43,12842172.24,1980000.0,TRUE
W08,DE01,BASE,12842172.24,1098631.64,151976.89,895666.13,328815.74,190446.75,58932.78,-223252.87,12618919.37,1980000.0,TRUE
W09,DE01,BASE,12618919.37,1032512.96,168656.72,815305.05,323330.87,63492.27,212635.35,-213593.87,12405325.49,1980000.0,TRUE
W10,DE01,BASE,12405325.49,1043141.87,183111.57,755301.77,349098.74,67910.23,62460.71,-8518.02,12396807.47,1980000.0,TRUE
W11,DE01,BASE,12396807.47,1144179.24,214699.01,921637.07,339172.56,80010.51,59183.23,-41125.11,12355682.36,1980000.0,TRUE
W12,DE01,BASE,12355682.36,1149215.26,142162.36,735066.2,349326.64,200303.77,60913.43,-54232.42,12301449.94,1980000.0,TRUE
W13,DE01,BASE,12301449.94,1063479.74,125797.38,831003.43,347895.73,67971.92,214587.6,-272181.55,12029268.39,1980000.0,TRUE
W01,GB01,BASE,9353381.28,840763.77,111630.17,602005.12,259839.42,46415.98,48040.56,-3907.14,9349474.14,1476000.0,TRUE
W02,GB01,BASE,9349474.14,844455.9,91168.23,682927.12,262207.91,52767.42,42356.6,-104634.92,9244839.22,1476000.0,TRUE
W03,GB01,BASE,9244839.22,955902.44,129377.75,550605.15,247511.14,142960.84,46969.95,97233.12,9342072.34,1476000.0,TRUE
W04,GB01,BASE,9342072.34,904576.1,115667.56,625592.9,247936.34,60419.65,150824.72,-64529.96,9277542.38,1476000.0,TRUE
W05,GB01,BASE,9277542.38,852312.92,101786.96,574251.64,250358.7,47019.91,48400.65,34068.98,9311611.36,1476000.0,TRUE
W06,GB01,BASE,9311611.36,883356.1,105423.85,554591.77,252491.12,46611.88,45850.62,89234.55,9400845.91,1476000.0,TRUE
W07,GB01,BASE,9400845.91,816537.56,95142.21,648526.69,244413.41,56073.44,42956.98,-80290.75,9320555.16,1476000.0,TRUE
W08,GB01,BASE,9320555.16,862362.31,93481.85,580422.32,248380.05,160420.4,42382.37,-75760.99,9244794.17,1476000.0,TRUE
W09,GB01,BASE,9244794.17,876213.37,126408.64,535879.76,262429.9,58797.9,139872.22,5642.23,9250436.4,1476000.0,TRUE
W10,GB01,BASE,9250436.4,796701.12,125116.43,650613.07,271419.04,58667.29,47212.61,-106094.45,9144341.95,1476000.0,TRUE
W11,GB01,BASE,9144341.95,874423.2,148780.76,568741.36,248502.55,59471.04,48186.15,98302.86,9242644.81,1476000.0,TRUE
W12,GB01,BASE,9242644.81,820410.78,93240.71,631190.88,257206.04,197955.87,42422.77,-215124.07,9027520.74,1476000.0,TRUE
W13,GB01,BASE,9027520.74,906336.65,85067.04,690728.53,243223.8,52181.05,147208.41,-141938.11,8885582.63,1476000.0,TRUE
W01,SG01,BASE,11484766.19,1039599.75,125152.31,667407.93,270492.56,54538.25,51132.03,121181.28,11605947.47,1656000.0,TRUE
W02,SG01,BASE,11605947.47,959965.33,119534.07,687238.06,306704.17,66245.68,50244.49,-30933.0,11575014.47,1656000.0,TRUE
W03,SG01,BASE,11575014.47,928597.65,147642.57,749365.89,289861.05,173151.77,49443.76,-185582.25,11389432.22,1656000.0,TRUE
W04,SG01,BASE,11389432.22,1056497.03,103040.46,643253.19,278109.8,57849.8,162038.15,18286.54,11407718.76,1656000.0,TRUE
W05,SG01,BASE,11407718.76,1008274.26,155673.97,654622.47,291585.24,67817.04,50427.08,99496.4,11507215.16,1656000.0,TRUE
W06,SG01,BASE,11507215.16,986408.5,116219.43,697561.27,286271.55,64817.17,53436.79,541.15,11507756.31,1656000.0,TRUE
W07,SG01,BASE,11507756.31,1005541.7,134634.46,691475.14,288458.79,60296.3,53027.89,46918.03,11554674.33,1656000.0,TRUE
W08,SG01,BASE,11554674.33,898684.91,166665.08,612497.41,274301.43,173578.69,50978.38,-46005.92,11508668.41,1656000.0,TRUE
