CustomerID,AccountName,PlanID,PlanName,Segment,ChannelID,ChannelName,Motion,RegionID,Region,Industry,AcquisitionMonth
C0001,Software Cloud 001,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,emea,EMEA,Software,2024-06-01
C0002,Retail Cloud 002,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Retail,2024-03-01
C0003,Financial Cloud 003,starter,Starter,SMB,expansion,Customer Success,Expansion,na,North America,Financial Services,2024-04-01
C0004,Manufacturing Cloud 004,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Manufacturing,2025-04-01
C0005,Education Cloud 005,growth,Growth,SMB,expansion,Customer Success,Expansion,emea,EMEA,Education,2024-05-01
C0006,Healthcare Cloud 006,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Healthcare,2025-06-01
C0007,Retail Cloud 007,scale,Scale,Mid-Market,expansion,Customer Success,Expansion,emea,EMEA,Retail,2024-11-01
C0008,Education Cloud 008,scale,Scale,Mid-Market,partner,Partner Ecosystem,Partner,emea,EMEA,Education,2025-08-01
C0009,Retail Cloud 009,scale,Scale,Mid-Market,plg,Product-Led,PLG,na,North America,Retail,2024-04-01
C0010,Retail Cloud 010,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Retail,2024-03-01
C0011,Logistics Cloud 011,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Logistics,2024-01-01
C0012,Education Cloud 012,scale,Scale,Mid-Market,expansion,Customer Success,Expansion,na,North America,Education,2026-01-01
C0013,Education Cloud 013,scale,Scale,Mid-Market,expansion,Customer Success,Expansion,emea,EMEA,Education,2024-12-01
C0014,Software Cloud 014,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,apac,APAC,Software,2025-05-01
C0015,Software Cloud 015,growth,Growth,SMB,plg,Product-Led,PLG,apac,APAC,Software,2025-01-01
C0016,Healthcare Cloud 016,growth,Growth,SMB,outbound,Outbound Sales,Outbound,latam,LATAM,Healthcare,2026-04-01
C0017,Financial Cloud 017,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Financial Services,2024-05-01
C0018,Financial Cloud 018,growth,Growth,SMB,outbound,Outbound Sales,Outbound,na,North America,Financial Services,2025-02-01
C0019,Software Cloud 019,growth,Growth,SMB,plg,Product-Led,PLG,na,North America,Software,2024-12-01
C0020,Software Cloud 020,scale,Scale,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Software,2024-12-01
C0021,Retail Cloud 021,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Retail,2024-06-01
C0022,Healthcare Cloud 022,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,apac,APAC,Healthcare,2024-08-01
C0023,Financial Cloud 023,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Financial Services,2024-02-01
C0024,Education Cloud 024,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,apac,APAC,Education,2025-01-01
C0025,Healthcare Cloud 025,starter,Starter,SMB,plg,Product-Led,PLG,emea,EMEA,Healthcare,2024-01-01
C0026,Education Cloud 026,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Education,2024-05-01
C0027,Education Cloud 027,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Education,2025-07-01
C0028,Logistics Cloud 028,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Logistics,2024-03-01
C0029,Education Cloud 029,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,na,North America,Education,2025-08-01
C0030,Manufacturing Cloud 030,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Manufacturing,2025-07-01
C0031,Healthcare Cloud 031,starter,Starter,SMB,outbound,Outbound Sales,Outbound,na,North America,Healthcare,2024-05-01
C0032,Software Cloud 032,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Software,2026-04-01
C0033,Retail Cloud 033,starter,Starter,SMB,inbound,Inbound Demand,Inbound,emea,EMEA,Retail,2024-02-01
C0034,Software Cloud 034,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Software,2024-02-01
C0035,Healthcare Cloud 035,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Healthcare,2026-02-01
C0036,Software Cloud 036,growth,Growth,SMB,inbound,Inbound Demand,Inbound,apac,APAC,Software,2024-01-01
C0037,Financial Cloud 037,enterprise,Enterprise,Enterprise,outbound,Outbound Sales,Outbound,latam,LATAM,Financial Services,2025-08-01
C0038,Financial Cloud 038,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,emea,EMEA,Financial Services,2024-03-01
C0039,Logistics Cloud 039,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Logistics,2026-02-01
C0040,Retail Cloud 040,scale,Scale,Mid-Market,outbound,Outbound Sales,Outbound,emea,EMEA,Retail,2024-09-01
C0041,Software Cloud 041,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Software,2024-09-01
C0042,Logistics Cloud 042,growth,Growth,SMB,partner,Partner Ecosystem,Partner,na,North America,Logistics,2025-08-01
C0043,Retail Cloud 043,starter,Starter,SMB,partner,Partner Ecosystem,Partner,apac,APAC,Retail,2025-01-01
C0044,Manufacturing Cloud 044,growth,Growth,SMB,outbound,Outbound Sales,Outbound,na,North America,Manufacturing,2025-05-01
C0045,Education Cloud 045,starter,Starter,SMB,plg,Product-Led,PLG,na,North America,Education,2025-05-01
C0046,Logistics Cloud 046,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Logistics,2025-02-01
C0047,Education Cloud 047,growth,Growth,SMB,partner,Partner Ecosystem,Partner,emea,EMEA,Education,2025-06-01
C0048,Manufacturing Cloud 048,growth,Growth,SMB,outbound,Outbound Sales,Outbound,apac,APAC,Manufacturing,2024-04-01
C0049,Healthcare Cloud 049,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,apac,APAC,Healthcare,2024-02-01
C0050,Healthcare Cloud 050,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,emea,EMEA,Healthcare,2025-05-01
C0051,Healthcare Cloud 051,enterprise,Enterprise,Enterprise,plg,Product-Led,PLG,na,North America,Healthcare,2024-06-01
C0052,Financial Cloud 052,scale,Scale,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Financial Services,2024-11-01
C0053,Retail Cloud 053,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Retail,2025-08-01
C0054,Software Cloud 054,starter,Starter,SMB,partner,Partner Ecosystem,Partner,na,North America,Software,2024-04-01
C0055,Retail Cloud 055,starter,Starter,SMB,outbound,Outbound Sales,Outbound,apac,APAC,Retail,2025-11-01
C0056,Software Cloud 056,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Software,2024-12-01
C0057,Retail Cloud 057,enterprise,Enterprise,Enterprise,partner,Partner Ecosystem,Partner,emea,EMEA,Retail,2025-02-01
C0058,Education Cloud 058,business,Business,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Education,2024-10-01
C0059,Software Cloud 059,business,Business,Mid-Market,plg,Product-Led,PLG,apac,APAC,Software,2025-12-01
C0060,Logistics Cloud 060,scale,Scale,Mid-Market,plg,Product-Led,PLG,emea,EMEA,Logistics,2024-09-01
C0061,Manufacturing Cloud 061,growth,Growth,SMB,plg,Product-Led,PLG,emea,EMEA,Manufacturing,2025-10-01
C0062,Retail Cloud 062,business,Business,Mid-Market,plg,Product-Led,PLG,apac,APAC,Retail,2024-06-01
C0063,Logistics Cloud 063,growth,Growth,SMB,inbound,Inbound Demand,Inbound,na,North America,Logistics,2025-05-01
C0064,Logistics Cloud 064,scale,Scale,Mid-Market,partner,Partner Ecosystem,Partner,na,North America,Logistics,2025-06-01
C0065,Financial Cloud 065,business,Business,Mid-Market,plg,Product-Led,PLG,na,North America,Financial Services,2025-12-01
C0066,Logistics Cloud 066,business,Business,Mid-Market,outbound,Outbound Sales,Outbound,na,North America,Logistics,2024-04-01
C0067,Retail Cloud 067,scale,Scale,Mid-Market,inbound,Inbound Demand,Inbound,emea,EMEA,Retail,2024-10-01
C0068,Software Cloud 068,starter,Starter,SMB,partner,Partner Ecosystem,Partner,emea,EMEA,Software,2025-10-01
C0069,Education Cloud 069,growth,Growth,SMB,outbound,Outbound Sales,Outbound,emea,EMEA,Education,2025-04-01
C0070,Retail Cloud 070,enterprise,Enterprise,Enterprise,inbound,Inbound Demand,Inbound,na,North America,Retail,2025-10-01
C0071,Education Cloud 071,starter,Starter,SMB,inbound,Inbound Demand,Inbound,na,North America,Education,2025-06-01
C0072,Software Cloud 072,starter,Starter,SMB,plg,Product-Led,PLG,emea,EMEA,Software,2024-09-01
