CustomerID,AccountName,PlanID,ChannelID,RegionID,Segment,Industry,CurrentARR,Seats,HealthScore,RenewalRisk,NextAction
C0349,Manufacturing Cloud 349,enterprise,outbound,na,Enterprise,Manufacturing,844756.92,98,64.0,Healthy,Monitor
C0197,Financial Cloud 197,enterprise,inbound,na,Enterprise,Financial Services,696696.24,73,88.5,Healthy,CSM expansion plan
C0478,Software Cloud 478,enterprise,inbound,na,Enterprise,Software,476572.44,46,92.3,Healthy,CSM expansion plan
C0049,Healthcare Cloud 049,enterprise,inbound,apac,Enterprise,Healthcare,460584.84,29,74.3,Healthy,Monitor
C0316,Manufacturing Cloud 316,enterprise,partner,emea,Enterprise,Manufacturing,450125.52,38,86.0,Healthy,CSM expansion plan
C0289,Manufacturing Cloud 289,enterprise,plg,apac,Enterprise,Manufacturing,440022.24,16,74.6,Healthy,Monitor
C0399,Education Cloud 399,enterprise,partner,apac,Enterprise,Education,409048.8,50,74.9,Healthy,Monitor
C0104,Logistics Cloud 104,enterprise,plg,na,Enterprise,Logistics,404884.56,23,77.0,Healthy,Monitor
C0237,Manufacturing Cloud 237,enterprise,plg,na,Enterprise,Manufacturing,399338.64,40,99.0,Healthy,CSM expansion plan
C0342,Software Cloud 342,enterprise,plg,na,Enterprise,Software,384564.12,39,95.3,Healthy,CSM expansion plan
C0385,Education Cloud 385,enterprise,plg,apac,Enterprise,Education,349685.04,13,70.3,Healthy,Monitor
C0247,Healthcare Cloud 247,enterprise,partner,na,Enterprise,Healthcare,336984.96,16,72.2,Healthy,Monitor
C0322,Manufacturing Cloud 322,enterprise,inbound,na,Enterprise,Manufacturing,331722.0,37,87.6,Healthy,CSM expansion plan
C0346,Logistics Cloud 346,enterprise,plg,apac,Enterprise,Logistics,317851.32,35,77.4,Healthy,Monitor
C0504,Software Cloud 504,enterprise,inbound,na,Enterprise,Software,293437.92,25,71.8,Healthy,Monitor
C0186,Education Cloud 186,enterprise,inbound,na,Enterprise,Education,279294.24,25,67.4,Healthy,Monitor
C0057,Retail Cloud 057,enterprise,partner,emea,Enterprise,Retail,274822.68,33,79.2,Healthy,Monitor
C0227,Education Cloud 227,enterprise,plg,emea,Enterprise,Education,274464.24,13,88.6,Healthy,CSM expansion plan
C0240,Logistics Cloud 240,enterprise,inbound,na,Enterprise,Logistics,269814.96,24,64.6,Healthy,Monitor
C0444,Education Cloud 444,scale,outbound,emea,Mid-Market,Education,249350.64,71,92.0,Healthy,CSM expansion plan
C0215,Financial Cloud 215,enterprise,expansion,na,Enterprise,Financial Services,241377.48,16,80.1,Healthy,Monitor
C0340,Logistics Cloud 340,scale,expansion,na,Mid-Market,Logistics,230472.0,48,96.0,Healthy,CSM expansion plan
C0436,Retail Cloud 436,enterprise,partner,emea,Enterprise,Retail,226425.72,31,98.6,Healthy,CSM expansion plan
C0052,Financial Cloud 052,scale,outbound,na,Mid-Market,Financial Services,212832.96,61,75.7,Healthy,Monitor
C0279,Education Cloud 279,scale,partner,na,Mid-Market,Education,210369.6,30,64.5,Healthy,Monitor
C0511,Education Cloud 511,scale,expansion,latam,Mid-Market,Education,207668.4,35,92.8,Healthy,CSM expansion plan
C0160,Logistics Cloud 160,enterprise,plg,latam,Enterprise,Logistics,199669.8,8,81.0,Healthy,Monitor
C0151,Logistics Cloud 151,enterprise,outbound,emea,Enterprise,Logistics,199092.48,26,72.5,Healthy,Monitor
C0070,Retail Cloud 070,enterprise,inbound,na,Enterprise,Retail,197223.72,18,99.0,Healthy,CSM expansion plan
C0023,Financial Cloud 023,business,plg,na,Mid-Market,Financial Services,196994.52,59,71.6,Healthy,Monitor
C0260,Manufacturing Cloud 260,scale,inbound,emea,Mid-Market,Manufacturing,196715.52,43,96.4,Healthy,CSM expansion plan
C0118,Financial Cloud 118,business,plg,na,Mid-Market,Financial Services,195579.84,106,68.4,Healthy,Monitor
C0365,Manufacturing Cloud 365,scale,inbound,na,Mid-Market,Manufacturing,192315.24,47,94.7,Healthy,CSM expansion plan
C0133,Education Cloud 133,scale,outbound,na,Mid-Market,Education,192264.24,16,77.0,Healthy,Monitor
C0064,Logistics Cloud 064,scale,partner,na,Mid-Market,Logistics,190173.24,17,79.8,Healthy,Monitor
C0386,Healthcare Cloud 386,scale,expansion,emea,Mid-Market,Healthcare,187701.72,52,87.8,Healthy,CSM expansion plan
C0219,Logistics Cloud 219,scale,plg,emea,Mid-Market,Logistics,182518.2,41,71.2,Healthy,Monitor
C0158,Software Cloud 158,enterprise,partner,na,Enterprise,Software,177211.92,23,94.6,Healthy,CSM expansion plan
C0466,Manufacturing Cloud 466,scale,inbound,na,Mid-Market,Manufacturing,172437.96,23,80.9,Healthy,Monitor
C0116,Education Cloud 116,scale,partner,na,Mid-Market,Education,171107.76,41,74.4,Healthy,Monitor
C0120,Retail Cloud 120,business,outbound,apac,Mid-Market,Retail,168360.96,51,91.5,Healthy,CSM expansion plan
C0242,Retail Cloud 242,scale,expansion,emea,Mid-Market,Retail,166468.8,45,81.6,Healthy,Monitor
C0217,Healthcare Cloud 217,business,partner,na,Mid-Market,Healthcare,161363.28,25,84.7,Healthy,CSM expansion plan
