MonthStart,PlanID,ChannelID,RegionID,NewCustomers,NewARRBooked,SalesMarketingSpend,SalesPipelineARR
2024-01-01,business,inbound,na,1,59484.0,7714.25,170498.23
2024-01-01,business,partner,na,1,69384.72,7065.85,206840.65
2024-01-01,business,plg,emea,1,74114.52,4742.18,188895.58
2024-01-01,enterprise,plg,na,1,212087.88,24571.18,500438.87
2024-01-01,growth,inbound,apac,1,11956.8,3163.93,42924.24
2024-01-01,growth,inbound,emea,1,27706.08,2501.63,88962.48
2024-01-01,growth,outbound,na,2,34579.08,6512.71,105198.61
2024-01-01,growth,partner,na,1,29592.96,2573.15,105145.64
2024-01-01,growth,plg,emea,2,35825.88,4654.69,111448.07
2024-01-01,growth,plg,na,1,24499.44,2022.42,69701.19
2024-01-01,scale,expansion,na,1,104368.32,5159.35,304249.37
2024-01-01,starter,expansion,emea,1,8771.4,594.56,19741.25
2024-01-01,starter,inbound,apac,1,8017.92,1837.93,21449.23
2024-01-01,starter,inbound,emea,1,6783.84,1453.17,16520.02
2024-01-01,starter,inbound,na,1,9855.6,1357.68,35261.27
2024-01-01,starter,partner,apac,2,11867.52,3308.16,26491.36
2024-01-01,starter,partner,latam,1,6223.32,1400.36,14835.7
2024-01-01,starter,plg,apac,1,9850.68,1119.9,28650.31
2024-01-01,starter,plg,emea,1,5784.72,1119.77,13211.88
2024-01-01,starter,plg,latam,1,6101.64,1171.63,17766.28
2024-02-01,business,expansion,na,1,64735.8,2735.78,229228.26
2024-02-01,business,inbound,na,1,54944.52,8050.57,157137.25
2024-02-01,business,plg,emea,1,65933.04,5329.97,171226.7
2024-02-01,business,plg,na,1,54187.44,5120.36,193338.23
2024-02-01,enterprise,inbound,apac,1,189924.96,36656.02,511634.56
2024-02-01,enterprise,outbound,latam,1,138773.76,39672.13,326278.96
2024-02-01,enterprise,plg,apac,1,170249.4,24375.86,400199.5
2024-02-01,growth,expansion,na,1,33570.48,1346.92,115604.75
2024-02-01,growth,inbound,apac,1,17398.68,2448.34,39061.16
2024-02-01,growth,inbound,na,1,12567.36,3303.73,35617.38
2024-02-01,growth,outbound,apac,1,15718.08,4280.33,43216.24
2024-02-01,growth,outbound,latam,1,16632.6,3516.82,50745.36
2024-02-01,growth,plg,emea,1,16844.88,2059.99,37745.55
2024-02-01,scale,inbound,emea,1,88562.64,13755.3,286248.84
2024-02-01,scale,plg,apac,1,152583.6,9484.1,375469.87
2024-02-01,starter,inbound,emea,3,21043.8,4668.75,62296.72
2024-02-01,starter,inbound,na,2,18977.04,3182.23,56377.23
2024-02-01,starter,partner,na,2,22874.76,2962.62,77956.63
2024-02-01,starter,plg,apac,1,7479.96,1134.6,26456.38
2024-02-01,starter,plg,emea,1,5669.04,1044.17,13669.27
2024-02-01,starter,plg,na,1,9244.44,1269.1,32328.78
2024-03-01,business,partner,na,1,68410.32,7217.19,191895.57
2024-03-01,business,plg,emea,1,31038.84,5587.1,92819.15
2024-03-01,business,plg,na,1,59645.4,6546.12,159164.99
2024-03-01,enterprise,plg,emea,1,168672.24,26507.95,531728.84
2024-03-01,growth,inbound,na,1,14485.56,2563.63,42000.44
2024-03-01,growth,outbound,apac,1,12980.52,3995.19,38188.53
2024-03-01,growth,outbound,emea,1,13925.4,3771.48,38914.94
2024-03-01,growth,outbound,na,2,38033.16,7525.12,91408.29
2024-03-01,growth,partner,emea,1,28882.44,2473.16,102858.73
2024-03-01,growth,partner,latam,1,9841.44,2210.98,29226.08
2024-03-01,growth,plg,na,1,24954.48,1779.57,84650.78
2024-03-01,scale,inbound,na,1,70045.68,15790.13,163911.15
2024-03-01,scale,partner,latam,1,58607.04,12355.32,164891.23
2024-03-01,starter,inbound,apac,1,8214.0,1528.93,24375.03
2024-03-01,starter,outbound,apac,1,8908.44,1966.57,30145.67
2024-03-01,starter,outbound,na,1,11103.36,1762.96,32306.25
2024-03-01,starter,partner,na,1,9978.0,1507.72,33060.32
2024-03-01,starter,plg,emea,1,7219.2,995.2,18433.31
2024-03-01,starter,plg,na,2,13873.8,2282.21,41149.03
2024-04-01,business,inbound,na,2,141871.32,14175.95,372911.73
2024-04-01,business,outbound,emea,1,84374.16,10165.44,230977.93
2024-04-01,business,outbound,na,2,103147.92,17675.43,309646.06
2024-04-01,business,partner,na,1,76184.88,6358.23,205516.35
2024-04-01,business,plg,apac,1,39081.48,5860.26,114781.1
2024-04-01,growth,outbound,apac,1,16476.36,4285.88,52785.86
