MonthStart,Revenue,COGS,GrossMargin,SalesMarketingExpense,ResearchDevelopmentExpense,GeneralAdminExpense,CustomerSuccessExpense,EBITDA,CashBalance,NetBurn,ActualARR,PlanARR,ForecastARR,ARRGrowthPct
2024-01-01,62735.96,12980.46,49755.5,93153.51,16867.01,8722.26,5228.67,-74215.96,18132314.67,367685.33,756856.32,734819.4,766812.63,0.0
2024-02-01,161510.95,28477.22,133033.73,197943.04,44562.73,26091.64,11193.88,-146757.55,17754903.13,377411.54,1955579.28,1955204.12,2021662.05,1.58382
2024-03-01,218909.48,39808.54,179100.94,142217.9,65197.55,33871.98,17263.27,-79449.75,17503926.47,250976.66,2634854.64,2751297.37,2619370.0,0.34735
2024-04-01,291008.3,54377.68,236630.62,154417.89,88465.7,45976.28,20351.11,-72580.36,17174311.95,329614.52,3489222.36,3428776.0,3578386.06,0.32426
2024-05-01,356987.41,67146.96,289840.45,144224.04,97207.73,57219.02,27075.91,-35886.26,16692648.49,481663.46,4299967.08,4416155.9,4317287.01,0.23236
2024-06-01,450896.29,82272.68,368623.61,211888.13,108141.76,63646.41,41301.26,-56353.95,16367391.91,325256.57,5405273.04,5375561.75,5541531.84,0.25705
2024-07-01,525017.8,96156.98,428860.82,192431.32,120381.71,67466.19,40100.95,8480.66,15952335.95,416582.48,6336877.08,6829999.05,6509468.05,0.17235
2024-08-01,651053.75,119684.24,531369.51,285714.89,148994.2,93323.12,48724.17,-45386.86,15732572.36,219763.59,7865331.96,7598033.33,8081037.61,0.2412
2024-09-01,708751.61,129529.01,579222.6,177859.38,182943.85,97430.94,59467.79,61520.63,15452450.74,291195.34,8541148.68,8351995.55,8896611.99,0.08592
2024-10-01,735838.64,133757.07,602081.57,223714.81,186971.44,91963.46,72764.01,26667.85,15112183.7,345067.25,8869800.24,9302514.2,9060806.28,0.03848
2024-11-01,770019.38,137465.99,632553.39,197872.62,197710.73,119573.54,70524.67,46871.83,14807683.42,312937.21,9293444.04,9712904.35,9697174.0,0.04776
2024-12-01,854653.89,154664.08,699989.81,234786.39,258514.66,125196.09,65922.05,15570.61,14446064.58,364421.55,10265566.8,10310681.81,10703764.58,0.1046
2025-01-01,911038.18,167871.55,743166.63,216430.53,223065.36,119088.18,86139.57,98442.99,14143489.84,320294.48,10970620.44,11757020.0,11108238.88,0.06868
2025-02-01,1027841.73,187740.79,840100.94,297034.36,233590.52,126217.65,65952.76,117305.64,14095207.15,69397.71,12408297.24,12228895.08,12425358.01,0.13105
2025-03-01,1073155.99,194645.69,878510.3,285492.68,286075.22,144460.78,89027.28,73454.34,13790151.07,318277.86,12991241.88,13979935.24,12735287.2,0.04698
2025-04-01,1158058.27,212002.62,946055.65,263552.11,345810.26,142016.34,99769.24,94907.7,13750944.33,56290.12,13966265.64,14257694.43,14182962.09,0.07505
2025-05-01,1354154.97,248360.16,1105794.81,434920.54,400588.9,171330.53,124251.69,-25296.86,13246948.14,503996.19,16325720.88,16349761.11,16660607.43,0.16894
2025-06-01,1394747.72,250156.49,1144591.23,254571.58,331633.75,218878.35,97254.56,242252.99,13224381.12,66172.56,16855585.92,16995180.42,16866117.24,0.03246
2025-07-01,1462384.07,264773.1,1197610.97,274558.29,362499.76,192850.48,119458.45,248243.99,13269065.04,0.0,17626655.28,17671218.59,18000118.04,0.04575
2025-08-01,1533424.36,273489.11,1259935.25,320517.64,452257.64,214937.77,137826.95,134395.26,13157280.6,135975.59,18504580.56,17873870.27,19303484.33,0.04981
2025-09-01,1612193.55,290241.7,1321951.85,298939.07,435038.45,240228.72,102711.24,245034.38,13201386.79,0.0,19427190.24,20748437.75,19127314.33,0.04986
2025-10-01,1708727.39,308198.7,1400528.69,368455.02,493609.58,218442.58,125389.79,194631.71,13192800.96,43619.53,20583314.28,21897597.02,20636919.5,0.05951
2025-11-01,1765585.11,316012.34,1449572.77,314997.88,398301.79,248333.95,168193.29,319745.85,13250355.21,0.0,21307495.08,21660556.72,20975447.49,0.03518
2025-12-01,1791996.95,322172.19,1469824.76,315830.13,460581.97,274911.92,166457.08,252043.66,13238003.57,57719.5,21650082.0,22261344.73,22370060.23,0.01608
2026-01-01,1922547.09,346135.03,1576412.06,368448.33,584027.55,308674.43,171893.8,143367.96,13263809.8,0.0,23151733.08,22366239.24,23774689.14,0.06936
2026-02-01,2017949.89,363586.67,1654363.22,386676.98,511554.79,256587.19,127956.11,371588.16,13330695.67,0.0,24320785.92,25540906.68,24628588.14,0.0505
2026-03-01,2052388.55,368166.21,1684222.34,356560.61,460990.82,267140.01,198592.82,400938.08,13402864.52,0.0,24778086.36,25113838.21,24202449.85,0.0188
2026-04-01,2095813.97,377140.39,1718673.58,318801.63,622267.44,333531.94,179924.87,264147.7,13396640.87,53770.24,25329187.56,25062384.68,24904387.98,0.02224
2026-05-01,2097978.24,373856.44,1724121.8,260906.7,572782.97,328249.07,181387.31,380795.74,13396083.46,69100.64,25304434.8,24451277.18,25337629.97,-0.00098
