MonthStart,Scenario,ARRValue,RevenueValue
2024-01-01,Actual,756856.32,62735.96
2024-01-01,Forecast,766812.63,63561.24
2024-01-01,Plan,734819.4,60909.32
2024-02-01,Actual,1955579.28,161510.95
2024-02-01,Forecast,2021662.05,166968.71
2024-02-01,Plan,1955204.12,161479.97
2024-03-01,Actual,2634854.64,218909.48
2024-03-01,Forecast,2619370.0,217622.98
2024-03-01,Plan,2751297.37,228583.8
2024-04-01,Actual,3489222.36,291008.3
2024-04-01,Forecast,3578386.06,298444.74
2024-04-01,Plan,3428776.0,285966.95
2024-05-01,Actual,4299967.08,356987.41
2024-05-01,Forecast,4317287.01,358425.33
2024-05-01,Plan,4416155.9,366633.52
2024-06-01,Actual,5405273.04,450896.29
2024-06-01,Forecast,5541531.84,462262.71
2024-06-01,Plan,5375561.75,448417.84
2024-07-01,Actual,6336877.08,525017.8
2024-07-01,Forecast,6509468.05,539317.17
2024-07-01,Plan,6829999.05,565873.54
2024-08-01,Actual,7865331.96,651053.75
2024-08-01,Forecast,8081037.61,668908.81
2024-08-01,Plan,7598033.33,628928.08
2024-09-01,Actual,8541148.68,708751.61
2024-09-01,Forecast,8896611.99,738248.25
2024-09-01,Plan,8351995.55,693055.53
2024-10-01,Actual,8869800.24,735838.64
2024-10-01,Forecast,9060806.28,751684.5
2024-10-01,Plan,9302514.2,771736.59
2024-11-01,Actual,9293444.04,770019.38
2024-11-01,Forecast,9697174.0,803470.91
2024-11-01,Plan,9712904.35,804774.26
2024-12-01,Actual,10265566.8,854653.89
2024-12-01,Forecast,10703764.58,891135.8
2024-12-01,Plan,10310681.81,858409.91
2025-01-01,Actual,10970620.44,911038.18
2025-01-01,Forecast,11108238.88,922466.49
2025-01-01,Plan,11757020.0,976343.51
2025-02-01,Actual,12408297.24,1027841.73
2025-02-01,Forecast,12425358.01,1029254.96
2025-02-01,Plan,12228895.08,1012980.95
2025-03-01,Actual,12991241.88,1073155.99
2025-03-01,Forecast,12735287.2,1052012.57
2025-03-01,Plan,13979935.24,1154828.11
2025-04-01,Actual,13966265.64,1158058.27
2025-04-01,Forecast,14182962.09,1176026.36
2025-04-01,Plan,14257694.43,1182223.03
2025-05-01,Actual,16325720.88,1354154.97
2025-05-01,Forecast,16660607.43,1381932.5
2025-05-01,Plan,16349761.11,1356149.01
2025-06-01,Actual,16855585.92,1394747.72
2025-06-01,Forecast,16866117.24,1395619.15
2025-06-01,Plan,16995180.42,1406298.73
2025-07-01,Actual,17626655.28,1462384.07
2025-07-01,Forecast,18000118.04,1493368.17
2025-07-01,Plan,17671218.59,1466081.24
2025-08-01,Actual,18504580.56,1533424.36
2025-08-01,Forecast,19303484.33,1599627.35
2025-08-01,Plan,17873870.27,1481159.11
2025-09-01,Actual,19427190.24,1612193.55
2025-09-01,Forecast,19127314.33,1587307.91
2025-09-01,Plan,20748437.75,1721839.19
2025-10-01,Actual,20583314.28,1708727.39
2025-10-01,Forecast,20636919.5,1713177.44
2025-10-01,Plan,21897597.02,1817832.8
2025-11-01,Actual,21307495.08,1765585.11
2025-11-01,Forecast,20975447.49,1738070.93
2025-11-01,Plan,21660556.72,1794840.56
2025-12-01,Actual,21650082.0,1791996.95
2025-12-01,Forecast,22370060.23,1851590.2
2025-12-01,Plan,22261344.73,1842591.72
2026-01-01,Actual,23151733.08,1922547.09
2026-01-01,Forecast,23774689.14,1974278.09
2026-01-01,Plan,22366239.24,1857318.76
2026-02-01,Actual,24320785.92,2017949.89
2026-02-01,Forecast,24628588.14,2043488.93
2026-02-01,Plan,25540906.68,2119186.03
2026-03-01,Actual,24778086.36,2052388.55
2026-03-01,Forecast,24202449.85,2004708.12
2026-03-01,Plan,25113838.21,2080199.14
2026-04-01,Actual,25329187.56,2095813.97
2026-04-01,Forecast,24904387.98,2060664.76
2026-04-01,Plan,25062384.68,2073737.89
2026-05-01,Actual,25304434.8,2097978.24
2026-05-01,Forecast,25337629.97,2100730.44
2026-05-01,Plan,24451277.18,2027243.36
