date_key,month_start_date,year_month,year,quarter,month_no,month_name,month_index,is_latest_complete_month
20240101,2024-01-01,2024-01,2024,Q1,1,Jan,1,0
20240201,2024-02-01,2024-02,2024,Q1,2,Feb,2,0
20240301,2024-03-01,2024-03,2024,Q1,3,Mar,3,0
20240401,2024-04-01,2024-04,2024,Q2,4,Apr,4,0
20240501,2024-05-01,2024-05,2024,Q2,5,May,5,0
20240601,2024-06-01,2024-06,2024,Q2,6,Jun,6,0
20240701,2024-07-01,2024-07,2024,Q3,7,Jul,7,0
20240801,2024-08-01,2024-08,2024,Q3,8,Aug,8,0
20240901,2024-09-01,2024-09,2024,Q3,9,Sep,9,0
20241001,2024-10-01,2024-10,2024,Q4,10,Oct,10,0
20241101,2024-11-01,2024-11,2024,Q4,11,Nov,11,0
20241201,2024-12-01,2024-12,2024,Q4,12,Dec,12,0
20250101,2025-01-01,2025-01,2025,Q1,1,Jan,13,0
20250201,2025-02-01,2025-02,2025,Q1,2,Feb,14,0
20250301,2025-03-01,2025-03,2025,Q1,3,Mar,15,0
20250401,2025-04-01,2025-04,2025,Q2,4,Apr,16,0
20250501,2025-05-01,2025-05,2025,Q2,5,May,17,0
20250601,2025-06-01,2025-06,2025,Q2,6,Jun,18,0
20250701,2025-07-01,2025-07,2025,Q3,7,Jul,19,0
20250801,2025-08-01,2025-08,2025,Q3,8,Aug,20,0
20250901,2025-09-01,2025-09,2025,Q3,9,Sep,21,0
20251001,2025-10-01,2025-10,2025,Q4,10,Oct,22,0
20251101,2025-11-01,2025-11,2025,Q4,11,Nov,23,0
20251201,2025-12-01,2025-12,2025,Q4,12,Dec,24,0
20260101,2026-01-01,2026-01,2026,Q1,1,Jan,25,0
20260201,2026-02-01,2026-02,2026,Q1,2,Feb,26,0
20260301,2026-03-01,2026-03,2026,Q1,3,Mar,27,0
20260401,2026-04-01,2026-04,2026,Q2,4,Apr,28,0
20260501,2026-05-01,2026-05,2026,Q2,5,May,29,1
