date_key,month_start_date,year_month,month_index,plant_id,line_id,product_id,budget_units,produced_units,good_units,scrap_units,rework_units,capacity_units,available_hours,run_hours,downtime_hours,actual_revenue,budget_revenue,standard_material_cost,standard_labor_cost,standard_overhead_cost,standard_cogs,actual_material_cost,actual_labor_cost,actual_overhead_cost,scrap_cost,rework_cost,actual_cogs,material_variance,labor_variance,overhead_variance,yield_loss_cost,gross_margin,inventory_units,inventory_value,slow_moving_inventory_value
20240101,2024-01-01,2024-01,1,P01,L01,SKU001,11063.0,11684.0,11325.0,360.0,130.0,12124.0,361.2,217.41,19.43,888903.71,854733.52,333358.34,23359.62,54473.07,411191.02,337321.81,25770.37,54048.93,10663.91,145.12,427950.13,3963.47,2410.75,-424.14,10809.03,460953.57,8932.0,293122.93,3276.32
20240101,2024-01-01,2024-01,1,P01,L01,SKU002,10062.0,9695.0,9377.0,318.0,82.0,11791.0,361.2,215.22,18.71,728605.34,772268.04,327505.12,16484.81,53924.91,397914.84,335558.06,16925.12,53899.68,11032.86,85.2,417500.92,8052.94,440.3,-25.23,11118.06,311104.42,12876.0,551814.68,104103.24
20240101,2024-01-01,2024-01,1,P01,L01,SKU003,10399.0,9331.0,9056.0,275.0,107.0,11627.0,361.2,176.3,22.1,733498.38,857611.07,321747.35,16277.73,44174.94,382200.02,329550.23,17695.33,45902.01,9749.06,88.1,402984.73,7802.87,1417.6,1727.07,9837.16,330513.65,10629.0,419454.83,11587.42
20240101,2024-01-01,2024-01,1,P01,L01,SKU004,10829.0,9638.0,9341.0,297.0,94.0,12336.0,361.2,126.02,11.59,412399.75,473321.76,156812.62,13979.17,31574.56,202366.35,146969.65,13607.2,31470.53,5066.51,78.11,197192.0,-9842.97,-371.96,-104.04,5144.62,215207.75,13399.0,265914.63,37766.8
20240101,2024-01-01,2024-01,1,P01,L01,SKU005,24245.0,23788.0,23032.0,755.0,282.0,30981.0,361.2,293.93,16.08,1151566.34,1220741.73,432219.19,32519.91,73646.15,538385.26,431513.41,31920.66,75683.52,14289.79,255.35,553662.72,-705.78,-599.26,2037.36,14545.14,597903.62,15231.0,346762.85,19321.79
20240101,2024-01-01,2024-01,1,P01,L01,SKU006,8330.0,8724.0,8473.0,251.0,98.0,10140.0,361.2,124.71,20.24,382227.89,367781.88,145684.36,12780.97,31247.99,189713.31,151396.54,13185.44,32688.52,4386.27,87.74,201744.51,5712.18,404.47,1440.54,4474.01,180483.39,8672.0,174352.94,18331.27
20240201,2024-02-01,2024-02,2,P01,L01,SKU001,9237.0,9876.0,9553.0,323.0,93.0,11396.0,361.2,183.76,12.84,741187.06,713649.41,281771.12,19744.72,46043.36,347559.2,304423.36,22601.3,45546.53,9579.6,112.43,382263.22,22652.24,2856.58,-496.83,9692.03,358923.85,9217.0,325924.34,30803.43
20240201,2024-02-01,2024-02,2,P01,L01,SKU002,10058.0,10716.0,10358.0,357.0,128.0,11084.0,361.2,237.87,20.81,798119.52,771929.4,361973.35,18219.75,59600.23,439793.33,358835.88,19284.0,61965.17,12401.18,146.65,452632.88,-3137.47,1064.25,2364.94,12547.83,345486.65,13499.0,521263.87,69830.02
20240201,2024-02-01,2024-02,2,P01,L01,SKU003,9483.0,10012.0,9723.0,289.0,111.0,10929.0,361.2,189.17,10.37,785024.57,782068.76,345218.27,17465.16,47397.43,410080.86,348406.26,18543.48,47112.23,10231.81,135.46,424429.23,3187.98,1078.32,-285.2,10367.27,360595.34,7969.0,352139.91,7193.29
20240201,2024-02-01,2024-02,2,P01,L01,SKU004,10458.0,11022.0,10696.0,326.0,128.0,11596.0,361.2,144.11,9.9,471676.69,457115.3,179328.25,15986.34,36108.13,231422.71,188447.0,17127.99,34336.43,5565.74,92.95,245570.11,9118.75,1141.66,-1771.7,5658.68,226106.59,13692.0,303766.0,32187.29
