date_key,month_start,year,quarter,month_no,month_name,fiscal_year,month_index
202401,2024-01-01,2024,Q1,1,Jan,2023,1
202402,2024-02-01,2024,Q1,2,Feb,2023,2
202403,2024-03-01,2024,Q1,3,Mar,2023,3
202404,2024-04-01,2024,Q2,4,Apr,2024,4
202405,2024-05-01,2024,Q2,5,May,2024,5
202406,2024-06-01,2024,Q2,6,Jun,2024,6
202407,2024-07-01,2024,Q3,7,Jul,2024,7
202408,2024-08-01,2024,Q3,8,Aug,2024,8
202409,2024-09-01,2024,Q3,9,Sep,2024,9
202410,2024-10-01,2024,Q4,10,Oct,2024,10
202411,2024-11-01,2024,Q4,11,Nov,2024,11
202412,2024-12-01,2024,Q4,12,Dec,2024,12
202501,2025-01-01,2025,Q1,1,Jan,2024,13
202502,2025-02-01,2025,Q1,2,Feb,2024,14
202503,2025-03-01,2025,Q1,3,Mar,2024,15
202504,2025-04-01,2025,Q2,4,Apr,2025,16
202505,2025-05-01,2025,Q2,5,May,2025,17
202506,2025-06-01,2025,Q2,6,Jun,2025,18
202507,2025-07-01,2025,Q3,7,Jul,2025,19
202508,2025-08-01,2025,Q3,8,Aug,2025,20
202509,2025-09-01,2025,Q3,9,Sep,2025,21
202510,2025-10-01,2025,Q4,10,Oct,2025,22
202511,2025-11-01,2025,Q4,11,Nov,2025,23
202512,2025-12-01,2025,Q4,12,Dec,2025,24
202601,2026-01-01,2026,Q1,1,Jan,2025,25
202602,2026-02-01,2026,Q1,2,Feb,2025,26
202603,2026-03-01,2026,Q1,3,Mar,2025,27
202604,2026-04-01,2026,Q2,4,Apr,2026,28
202605,2026-05-01,2026,Q2,5,May,2026,29
