emission_record_id,date_key,business_unit_id,facility_id,supplier_id,activity_id,scope,ghg_category,activity_volume,activity_unit,emission_factor,emissions_tco2e,spend_usd,revenue_usd,data_quality_score
E000001,202401,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,1771.15,MWh thermal,0.153,282.82,327128.99,7181369.89,0.92
E000002,202401,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,114.46,kg refrigerant,1.2971,154.96,10991.68,7181369.89,0.72
E000003,202401,BU01,F01,S007,A04,Scope 2,Electricity,1657.31,MWh,0.4683,908.46,254827.13,7181369.89,0.74
E000004,202401,BU01,F01,S004,A06,Scope 3,Purchased goods and services,2102.03,USD thousand spend,0.5235,1148.09,615415.39,7181369.89,0.86
E000005,202401,BU01,F01,S011,A06,Scope 3,Purchased goods and services,3395.79,USD thousand spend,0.463,2040.52,676709.83,7181369.89,0.93
E000006,202401,BU01,F01,S011,A09,Scope 3,Waste,912.06,tonnes waste,0.583,690.06,203650.55,7181369.89,0.97
E000007,202401,BU02,F02,DIRECT,A02,Scope 1,Mobile combustion,847.92,kiloliters,2.3663,2094.12,136274.19,5593593.21,0.76
E000008,202401,BU02,F02,S006,A04,Scope 2,Electricity,413.71,MWh,0.3892,150.18,41918.87,5593593.21,0.91
E000009,202401,BU02,F02,S023,A07,Scope 3,Transportation and distribution,1429.88,ton-km thousand,0.1886,439.09,557712.6,5593593.21,0.71
E000010,202401,BU02,F02,S019,A07,Scope 3,Transportation and distribution,1163.93,ton-km thousand,0.145,219.02,447021.14,5593593.21,0.96
E000011,202401,BU02,F02,S014,A09,Scope 3,Waste,1462.36,tonnes waste,0.444,1057.39,765317.78,5593593.21,0.73
E000012,202401,BU02,F03,DIRECT,A02,Scope 1,Mobile combustion,1113.77,kiloliters,2.4584,2857.7,110995.89,5768074.47,0.86
E000013,202401,BU02,F03,S007,A04,Scope 2,Electricity,660.79,MWh,0.3865,298.92,88126.46,5768074.47,0.93
E000014,202401,BU02,F03,S021,A07,Scope 3,Transportation and distribution,1578.38,ton-km thousand,0.1376,281.95,740635.11,5768074.47,0.85
E000015,202401,BU02,F03,S012,A07,Scope 3,Transportation and distribution,1199.82,ton-km thousand,0.1724,215.82,351766.39,5768074.47,0.97
E000016,202401,BU02,F03,S016,A09,Scope 3,Waste,564.19,tonnes waste,0.4701,431.9,256860.91,5768074.47,0.85
E000017,202401,BU01,F04,DIRECT,A01,Scope 1,Stationary combustion,1768.68,MWh thermal,0.1635,301.86,265810.28,7280608.63,0.97
E000018,202401,BU01,F04,DIRECT,A03,Scope 1,Fugitive emissions,238.8,kg refrigerant,1.6233,404.57,36517.02,7280608.63,0.81
E000019,202401,BU01,F04,S004,A04,Scope 2,Electricity,1282.04,MWh,0.4723,454.06,133784.77,7280608.63,0.71
E000020,202401,BU01,F04,S002,A06,Scope 3,Purchased goods and services,1331.19,USD thousand spend,0.6344,1375.25,506319.45,7280608.63,0.71
E000021,202401,BU01,F04,S024,A06,Scope 3,Purchased goods and services,2189.94,USD thousand spend,0.5359,1224.49,683476.57,7280608.63,0.88
E000022,202401,BU01,F04,S014,A09,Scope 3,Waste,655.58,tonnes waste,0.4249,453.7,159737.14,7280608.63,0.78
E000023,202401,BU02,F05,DIRECT,A02,Scope 1,Mobile combustion,1136.24,kiloliters,2.8178,3341.58,101879.09,5663817.2,0.91
E000024,202401,BU02,F05,S019,A04,Scope 2,Electricity,646.38,MWh,0.5391,325.06,89550.86,5663817.2,0.73
E000025,202401,BU02,F05,S010,A07,Scope 3,Transportation and distribution,547.51,ton-km thousand,0.152,135.56,385275.13,5663817.2,0.75
E000026,202401,BU02,F05,S007,A07,Scope 3,Transportation and distribution,1387.54,ton-km thousand,0.1534,346.6,422402.99,5663817.2,0.79
E000027,202401,BU02,F05,S004,A09,Scope 3,Waste,1171.77,tonnes waste,0.5207,636.52,195514.52,5663817.2,0.77
E000028,202401,BU05,F06,S015,A04,Scope 2,Electricity,544.37,MWh,0.4982,252.95,74093.02,2137803.17,0.92
E000029,202401,BU05,F06,S004,A05,Scope 2,Purchased energy,171.9,MWh,0.1966,25.34,24346.58,2137803.17,0.8
E000030,202401,BU05,F06,S015,A08,Scope 3,Business travel,511.91,passenger-km thousand,0.1091,72.49,210543.22,2137803.17,0.86
E000031,202401,BU05,F06,S021,A09,Scope 3,Waste,216.79,tonnes waste,0.4339,122.06,146785.22,2137803.17,0.93
E000032,202401,BU04,F07,S003,A04,Scope 2,Electricity,813.49,MWh,0.3927,297.97,120362.78,2901513.56,0.83
E000033,202401,BU04,F07,S005,A05,Scope 2,Purchased energy,476.79,MWh,0.1973,87.76,83996.96,2901513.56,0.83
E000034,202401,BU04,F07,S008,A06,Scope 3,Purchased goods and services,1945.59,USD thousand spend,0.4381,889.23,773993.43,2901513.56,0.98
E000035,202401,BU04,F07,S013,A06,Scope 3,Purchased goods and services,347.47,USD thousand spend,0.4725,213.08,102325.08,2901513.56,0.76
E000036,202401,BU04,F07,S023,A08,Scope 3,Business travel,554.99,passenger-km thousand,0.1177,106.35,242011.65,2901513.56,0.94
E000037,202401,BU04,F07,S013,A09,Scope 3,Waste,965.77,tonnes waste,0.4975,623.57,634419.24,2901513.56,0.75
E000038,202401,BU05,F08,S013,A04,Scope 2,Electricity,117.9,MWh,0.4742,52.14,13945.72,2089540.46,0.8
E000039,202401,BU05,F08,S024,A05,Scope 2,Purchased energy,341.86,MWh,0.1939,49.7,27085.05,2089540.46,0.76
E000040,202401,BU05,F08,S003,A08,Scope 3,Business travel,508.13,passenger-km thousand,0.1135,74.87,347325.9,2089540.46,0.89
E000041,202401,BU05,F08,S022,A09,Scope 3,Waste,206.74,tonnes waste,0.4726,126.79,138591.56,2089540.46,0.71
E000042,202402,BU01,F01,DIRECT,A01,Scope 1,Stationary combustion,508.67,MWh thermal,0.1588,83.8,67731.36,7768637.67,0.96
E000043,202402,BU01,F01,DIRECT,A03,Scope 1,Fugitive emissions,59.03,kg refrigerant,1.6125,98.75,8718.93,7768637.67,0.87
