DateKey,DatasetKey,RowsExpected,RowsLoaded,CompletenessPct,NullCriticalCount,DuplicateKeyCount,SchemaDriftCount,FreshnessMinutes,FreshnessWithinSLAFlag,DataQualityScore,ReconciliationVarianceAmount,OpenIssueCount
20250101,DS001,334397,329671,0.98587,131,9,0,231,1,90.06,38637.68,3
20250102,DS001,410279,408424,0.99548,101,8,0,287,1,89.7,3782.57,2
20250103,DS001,368709,363232,0.98515,82,14,0,248,1,88.05,-41195.06,4
20250104,DS001,346396,339366,0.97971,82,0,0,254,1,91.51,16475.04,1
20250105,DS001,372433,365977,0.98267,126,21,0,328,1,91.2,-1746.11,3
20250106,DS001,377252,374992,0.99401,40,8,0,251,1,92.88,-16389.53,2
20250107,DS001,424552,419288,0.9876,23,42,0,213,1,92.87,-5934.23,2
20250108,DS001,382173,377663,0.9882,58,29,0,375,0,92.79,13809.29,2
20250109,DS001,448890,444153,0.98945,21,39,0,290,1,93.85,-18566.9,2
20250110,DS001,402652,397428,0.98703,42,19,0,354,1,92.71,2280.39,2
20250111,DS001,410486,409522,0.99765,75,21,0,317,1,93.67,13680.8,2
20250112,DS001,407389,404433,0.99274,39,8,0,269,1,93.87,15081.3,2
20250113,DS001,382294,377323,0.987,106,1,0,349,1,93.03,29522.96,2
20250114,DS001,416561,412467,0.99017,50,18,0,502,0,93.95,7615.56,2
20250115,DS001,381293,381293,1.0,42,5,0,310,1,93.45,-19103.68,1
20250116,DS001,407135,400062,0.98263,40,20,0,218,1,93.13,9704.65,2
20250117,DS001,342963,342963,1.0,35,3,0,300,1,94.17,40534.06,1
20250118,DS001,367595,365763,0.99502,109,26,0,208,1,93.71,-17535.98,3
20250119,DS001,421094,416461,0.989,0,24,0,94,1,92.12,30295.44,3
20250120,DS001,395482,392984,0.99369,108,29,0,257,1,92.04,7213.58,1
20250121,DS001,353349,350198,0.99108,103,0,0,262,1,93.48,-33825.45,2
20250122,DS001,387717,384534,0.99179,81,0,0,292,1,90.88,-16977.04,3
20250123,DS001,373028,367987,0.98649,72,21,0,311,1,92.22,6637.32,0
20250124,DS001,397327,393680,0.99082,73,33,0,232,1,93.94,-55089.61,2
20250125,DS001,359454,355947,0.99024,102,22,0,233,1,92.98,29019.18,4
20250126,DS001,379836,375379,0.98827,87,11,0,159,1,94.06,-73320.93,2
20250127,DS001,342352,338953,0.99007,56,4,0,251,1,94.26,-21514.19,1
20250128,DS001,364416,359318,0.98601,81,22,0,301,1,93.91,-25709.73,1
20250129,DS001,352294,352294,1.0,71,24,0,176,1,91.77,26314.51,3
20250130,DS001,437699,434126,0.99184,88,28,0,314,1,93.04,-19086.91,3
20250131,DS001,422843,420939,0.9955,68,0,0,321,1,94.3,18930.17,2
20250201,DS001,391337,390727,0.99844,89,19,0,310,1,91.9,-8746.68,3
20250202,DS001,319107,313942,0.98382,81,11,0,401,0,90.25,20086.1,3
20250203,DS001,373577,372406,0.99687,142,10,0,319,1,90.54,-31839.04,3
20250204,DS001,364780,359747,0.9862,127,10,0,251,1,90.94,-13370.05,2
20250205,DS001,399353,391787,0.98105,131,0,0,219,1,90.69,58883.97,3
20250206,DS001,340976,338587,0.99299,79,0,0,255,1,94.02,-1809.14,3
20250207,DS001,347402,347402,1.0,88,18,0,412,0,93.81,-33726.54,0
20250208,DS001,404598,401410,0.99212,90,31,0,178,1,91.82,60701.58,4
20250209,DS001,380822,378798,0.99469,27,25,0,259,1,93.49,17513.09,1
20250210,DS001,392753,392065,0.99825,95,30,0,245,1,93.36,-11111.83,2
20250211,DS001,323867,323163,0.99783,47,37,0,203,1,91.97,-12718.61,2
20250212,DS001,346962,346180,0.99775,88,20,0,250,1,92.93,16443.75,3
20250213,DS001,378962,372603,0.98322,101,11,0,156,1,94.3,-3749.42,2
20250214,DS001,359602,354135,0.9848,84,10,0,253,1,92.94,-12726.86,3
20250215,DS001,389651,385028,0.98814,56,16,0,369,0,93.0,-60665.72,2
20250216,DS001,366590,363609,0.99187,38,15,0,337,1,92.83,16636.01,0
20250217,DS001,334671,334671,1.0,48,34,0,199,1,94.35,2681.71,1
20250218,DS001,308985,303993,0.98385,30,5,0,418,0,93.8,-27470.0,1
20250219,DS001,371782,366051,0.98459,103,0,0,292,1,93.99,-9705.62,2
20250220,DS001,389766,387654,0.99458,74,0,0,405,0,93.91,41039.29,2
20250221,DS001,401308,398353,0.99264,55,19,0,310,1,93.59,-16039.08,2
20250222,DS001,322445,320610,0.99431,28,0,0,255,1,94.04,-2396.78,2
20250223,DS001,383852,381010,0.9926,81,8,0,237,1,93.47,11930.69,1
20250224,DS001,406010,397438,0.97889,76,2,0,185,1,94.62,-67501.52,2
20250225,DS001,324676,322720,0.99398,95,23,0,357,1,94.01,-13412.93,2
20250226,DS001,338989,336105,0.99149,17,12,0,280,1,94.85,49840.75,2
20250227,DS001,370390,366629,0.98985,81,2,0,198,1,93.09,-46387.14,2
20250228,DS001,411500,409174,0.99435,2,39,0,176,1,93.84,4785.59,3
20250301,DS001,417587,412956,0.98891,109,8,0,289,1,91.33,-24862.78,1
20250302,DS001,321948,319200,0.99147,140,26,0,243,1,91.05,11598.03,3
20250303,DS001,382984,377968,0.98691,109,27,0,386,0,92.18,53064.6,2
20250304,DS001,346623,343644,0.99141,53,31,0,295,1,91.58,-43342.92,2
20250305,DS001,366033,358828,0.98032,89,21,0,318,1,90.58,52125.47,3
20250306,DS001,387958,382395,0.98566,86,8,0,333,1,94.64,-17845.07,1
20250307,DS001,363196,359158,0.98888,25,13,0,267,1,93.86,-16467.23,2
20250308,DS001,344250,338171,0.98234,67,16,0,293,1,94.6,10013.2,1
20250309,DS001,380761,380761,1.0,87,40,0,236,1,92.97,-20406.08,3
20250310,DS001,426799,425602,0.9972,68,33,0,244,1,94.6,-66832.68,2
20250311,DS001,366971,364302,0.99273,13,20,0,253,1,92.96,-9520.98,3
20250312,DS001,361030,356854,0.98843,48,10,0,308,1,93.33,-5374.56,2
20250313,DS001,364997,362846,0.99411,66,15,0,352,1,93.94,9730.83,2
20250314,DS001,359508,357004,0.99304,42,3,0,200,1,93.37,11635.88,2
20250315,DS001,366346,359574,0.98151,68,36,0,366,0,94.51,2229.25,2
20250316,DS001,357002,355186,0.99491,21,35,0,299,1,93.57,14202.79,1
20250317,DS001,358384,353961,0.98766,34,28,0,213,1,93.19,12884.03,1
20250318,DS001,348898,347818,0.99691,51,0,0,392,0,93.52,-15837.18,1
20250319,DS001,397011,396976,0.99991,65,5,0,360,1,93.96,-43497.1,1
20250320,DS001,349377,349377,1.0,54,25,0,232,1,94.77,-48759.32,2
20250321,DS001,372841,368812,0.9892,63,0,0,231,1,93.91,-19826.9,2
20250322,DS001,410082,405060,0.98775,75,23,0,267,1,94.41,-40549.05,3
20250323,DS001,358194,355937,0.9937,57,14,0,174,1,93.8,10863.57,2
20250324,DS001,379791,379183,0.9984,37,0,0,246,1,94.88,-31011.63,3
20250325,DS001,353630,347716,0.98328,49,0,0,224,1,93.87,26944.4,2
20250326,DS001,357253,354001,0.9909,14,34,0,279,1,94.35,-2414.57,2
20250327,DS001,401482,398679,0.99302,72,0,0,407,0,94.01,-31567.36,2
20250328,DS001,407927,407927,1.0,52,28,0,291,1,93.18,30264.98,2
20250329,DS001,328653,326155,0.9924,4,0,0,236,1,94.65,-51349.9,0
20250330,DS001,396141,392722,0.99137,62,12,0,194,1,94.84,-35821.23,0
20250331,DS001,355332,352552,0.99218,131,11,0,261,1,92.82,-5881.89,3
20250401,DS001,388484,385101,0.99129,88,3,0,275,1,92.25,1806.83,3
20250402,DS001,359493,356398,0.99139,88,4,0,367,0,92.57,-43939.07,2
20250403,DS001,460843,455932,0.98934,95,19,0,287,1,92.11,-10173.26,3
20250404,DS001,409088,405923,0.99227,109,14,0,223,1,91.27,1923.12,2
20250405,DS001,367322,362505,0.98689,112,9,0,252,1,91.09,27278.77,2
20250406,DS001,433752,428765,0.9885,44,22,0,303,1,92.64,-20890.88,1
20250407,DS001,362373,356914,0.98494,76,20,0,161,1,94.39,45529.13,2
20250408,DS001,384667,382807,0.99517,56,17,0,214,1,93.95,35878.69,1
20250409,DS001,360563,357999,0.99289,68,10,0,140,1,93.52,-20045.95,2
20250410,DS001,396828,393167,0.99078,85,21,0,206,1,92.12,-19787.49,3
20250411,DS001,358093,358093,1.0,35,35,0,317,1,93.7,-25262.23,2
20250412,DS001,387858,385150,0.99302,58,12,0,268,1,94.31,21337.46,1
20250413,DS001,332475,332475,1.0,66,12,0,265,1,94.55,-21877.35,2
20250414,DS001,379188,375325,0.98981,46,13,0,339,1,93.82,-14533.28,1
20250415,DS001,397716,397458,0.99935,60,1,0,216,1,93.95,96099.65,1
20250416,DS001,432445,428150,0.99007,87,8,0,254,1,94.53,-24018.66,2
20250417,DS001,370732,368569,0.99417,90,11,0,331,1,92.82,-7519.61,2
20250418,DS001,306248,304373,0.99388,95,9,0,209,1,94.39,13603.35,2
20250419,DS001,385328,382695,0.99317,55,28,0,319,1,94.02,3024.05,2
20250420,DS001,371560,371262,0.9992,71,14,0,193,1,94.73,13371.79,2
20250421,DS001,392424,390922,0.99617,47,25,0,301,1,94.29,34666.17,2
