IncidentKey,DateKey,DatasetKey,Severity,IncidentStatus,RootCause,MTTRHours,SLAOverdueFlag,BusinessImpact
INC00001,20260202,DS012,High,Closed,Null critical field,22.6,0,Wrong KPI
INC00002,20251211,DS010,Medium,Closed,Duplicate key,33.9,0,Wrong KPI
INC00003,20260218,DS001,Critical,Closed,Mapping break,10.3,0,Wrong KPI
INC00004,20260113,DS008,Critical,Closed,Null critical field,9.5,0,Manual rework
INC00005,20250615,DS002,Medium,Open,Late source extract,66.7,0,Manual rework
INC00006,20260104,DS008,High,Closed,Duplicate key,10.2,0,Wrong KPI
INC00007,20250827,DS003,Medium,Closed,Duplicate key,2.0,0,Close delay
INC00008,20260509,DS005,Medium,Open,Report performance,46.3,0,Manual rework
INC00009,20250614,DS006,High,Closed,Late source extract,21.8,0,Wrong KPI
INC00010,20250729,DS003,High,Closed,Failed refresh,19.1,0,Access risk
INC00011,20260415,DS003,Medium,Closed,Mapping break,61.3,0,Manual rework
INC00012,20251117,DS005,Medium,Open,Null critical field,46.4,0,Wrong KPI
INC00013,20250910,DS010,Medium,Open,Late source extract,43.5,0,Stakeholder trust
INC00014,20251124,DS004,Medium,Closed,Report performance,30.8,0,Manual rework
INC00015,20251202,DS001,Medium,Closed,Duplicate key,16.8,0,Access risk
INC00016,20250208,DS001,Critical,Closed,Duplicate key,13.0,0,Wrong KPI
INC00017,20250416,DS010,Low,Open,Report performance,89.1,0,Wrong KPI
INC00018,20250425,DS012,High,Closed,Report performance,10.0,0,Close delay
INC00019,20250526,DS001,Critical,Closed,Duplicate key,11.4,0,Manual rework
INC00020,20260508,DS010,Low,Open,Null critical field,97.5,1,Stakeholder trust
INC00021,20260324,DS009,Medium,Closed,Duplicate key,10.7,0,Close delay
INC00022,20250525,DS008,Low,Closed,Late source extract,54.5,0,Close delay
INC00023,20260420,DS006,Medium,Closed,Late source extract,21.8,0,Access risk
INC00024,20251230,DS003,Low,Open,Mapping break,118.5,1,Wrong KPI
INC00025,20251209,DS011,Medium,Closed,Duplicate key,71.0,0,Wrong KPI
INC00026,20250122,DS001,Low,Closed,Late source extract,93.7,1,Close delay
INC00027,20250314,DS012,Medium,Open,Late source extract,97.5,1,Access risk
INC00028,20250428,DS012,Low,Closed,Duplicate key,79.1,1,Manual rework
INC00029,20250212,DS010,Low,Closed,Null critical field,70.2,0,Wrong KPI
INC00030,20250815,DS012,Low,Open,Late source extract,115.8,1,Access risk
INC00031,20260523,DS004,Medium,Open,Late source extract,45.6,0,Manual rework
INC00032,20260209,DS006,Medium,Closed,Null critical field,41.0,0,Wrong KPI
INC00033,20260410,DS003,Medium,Closed,Late source extract,41.3,0,Manual rework
INC00034,20250726,DS011,Medium,Closed,Late source extract,30.5,0,Stakeholder trust
INC00035,20250708,DS007,High,Open,RLS misconfiguration,26.7,0,Access risk
INC00036,20250418,DS007,Medium,Closed,Late source extract,48.6,0,Wrong KPI
INC00037,20251208,DS002,Medium,Open,Late source extract,67.8,0,Manual rework
INC00038,20250606,DS005,High,Closed,Failed refresh,18.6,0,Stakeholder trust
INC00039,20260516,DS012,Medium,Open,Mapping break,76.5,0,Manual rework
INC00040,20251016,DS007,Medium,Closed,Failed refresh,59.2,0,Close delay
INC00041,20251225,DS008,Low,Closed,RLS misconfiguration,80.0,1,Manual rework
INC00042,20260129,DS012,Medium,Closed,Mapping break,41.4,0,Close delay
INC00043,20250614,DS001,High,Closed,Duplicate key,19.6,0,Stakeholder trust
INC00044,20260112,DS008,Medium,Closed,RLS misconfiguration,51.4,0,Wrong KPI
INC00045,20250724,DS011,Low,Closed,Report performance,57.2,0,Access risk
INC00046,20250519,DS002,Medium,Closed,Late source extract,68.4,0,Close delay
INC00047,20260322,DS011,Medium,Closed,Failed refresh,40.9,0,Manual rework
INC00048,20260320,DS008,Medium,Closed,Mapping break,61.0,0,Close delay
INC00049,20250115,DS004,High,Open,Report performance,36.8,1,Wrong KPI
INC00050,20250208,DS011,High,Closed,Report performance,17.7,0,Close delay
INC00051,20260201,DS009,High,Closed,Late source extract,19.5,0,Manual rework
INC00052,20250527,DS012,High,Closed,Duplicate key,29.7,1,Manual rework
INC00053,20260408,DS010,Low,Closed,Mapping break,73.8,1,Manual rework
INC00054,20260511,DS011,Medium,Closed,Report performance,52.0,0,Close delay
INC00055,20250626,DS008,High,Closed,Duplicate key,19.1,0,Manual rework
INC00056,20250526,DS007,Medium,Closed,RLS misconfiguration,44.7,0,Manual rework
INC00057,20250602,DS001,Low,Closed,Mapping break,46.8,0,Manual rework
INC00058,20260211,DS005,Medium,Closed,Null critical field,34.4,0,Manual rework
INC00059,20251208,DS009,Medium,Closed,Report performance,30.1,0,Stakeholder trust
INC00060,20250606,DS010,Low,Open,Report performance,157.7,1,Manual rework
INC00061,20250218,DS003,Medium,Closed,RLS misconfiguration,58.9,0,Access risk
INC00062,20250507,DS009,Medium,Closed,Late source extract,33.5,0,Stakeholder trust
INC00063,20250223,DS009,Medium,Closed,RLS misconfiguration,58.4,0,Stakeholder trust
INC00064,20251203,DS012,Medium,Closed,Report performance,32.4,0,Manual rework
INC00065,20250204,DS004,Medium,Closed,Failed refresh,55.7,0,Wrong KPI
INC00066,20250816,DS005,Medium,Closed,Mapping break,53.9,0,Access risk
INC00067,20260510,DS006,Medium,Closed,RLS misconfiguration,51.5,0,Manual rework
INC00068,20260301,DS004,Low,Closed,RLS misconfiguration,78.6,1,Stakeholder trust
INC00069,20250401,DS010,Medium,Closed,Late source extract,57.5,0,Manual rework
INC00070,20250513,DS005,Low,Closed,Mapping break,85.9,1,Stakeholder trust
INC00071,20251110,DS003,Medium,Closed,Late source extract,21.8,0,Manual rework
INC00072,20260406,DS010,Critical,Closed,Failed refresh,11.7,0,Manual rework
INC00073,20251029,DS005,High,Closed,Mapping break,19.1,0,Wrong KPI
INC00074,20260102,DS001,Medium,Closed,Null critical field,54.5,0,Manual rework
INC00075,20250722,DS009,Low,Closed,Late source extract,73.2,1,Wrong KPI
INC00076,20250328,DS011,Medium,Closed,Report performance,20.3,0,Access risk
INC00077,20250918,DS007,High,Open,Mapping break,28.9,0,Manual rework
INC00078,20250629,DS003,Low,Closed,Mapping break,68.3,0,Manual rework
INC00079,20260201,DS012,Medium,Closed,Failed refresh,46.6,0,Close delay
INC00080,20250605,DS008,Medium,Closed,RLS misconfiguration,43.5,0,Stakeholder trust
INC00081,20251117,DS009,Medium,Closed,Duplicate key,47.7,0,Access risk
INC00082,20250115,DS010,Medium,Closed,Null critical field,46.6,0,Access risk
INC00083,20251219,DS007,Medium,Open,Late source extract,69.9,0,Manual rework
INC00084,20250627,DS008,Medium,Closed,Report performance,29.7,0,Stakeholder trust
INC00085,20250202,DS004,High,Closed,Mapping break,19.0,0,Wrong KPI
INC00086,20250915,DS006,Low,Closed,RLS misconfiguration,57.5,0,Wrong KPI
INC00087,20260511,DS008,High,Closed,Report performance,9.7,0,Close delay
INC00088,20251220,DS007,High,Closed,Late source extract,34.0,1,Manual rework
INC00089,20251228,DS010,Medium,Closed,Failed refresh,67.2,0,Close delay
INC00090,20260208,DS007,High,Closed,RLS misconfiguration,30.9,1,Stakeholder trust
INC00091,20251202,DS011,High,Closed,Null critical field,23.8,0,Manual rework
INC00092,20251117,DS004,Low,Open,Report performance,72.9,0,Wrong KPI
INC00093,20250326,DS006,Medium,Closed,Failed refresh,64.3,0,Access risk
INC00094,20260420,DS010,Low,Open,Duplicate key,73.1,0,Wrong KPI
INC00095,20260320,DS005,Medium,Closed,Duplicate key,72.7,1,Close delay
INC00096,20251011,DS007,Low,Open,Mapping break,97.5,1,Close delay
INC00097,20250317,DS005,Low,Open,Duplicate key,95.5,0,Close delay
INC00098,20250717,DS010,Low,Closed,Report performance,66.2,0,Close delay
INC00099,20260408,DS001,Low,Closed,Late source extract,66.0,0,Manual rework
